tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,20,3360,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,42,3337,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,40,3339,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,10,3370,0.0,0.0,0.0,0.0
0,0,33,3347,0.0,0.0,0.0,0.0
0,0,45,3334,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,27,3352,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,14,3366,0.0,0.0,0.0,0.0
0,0,25,3355,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,31,3348,0.0,0.0,0.0,0.0
0,0,54,3325,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,42,3338,0.0,0.0,0.0,0.0
0,0,50,3329,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,31,3348,0.0,0.0,0.0,0.0
0,0,36,3344,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,33,3346,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,56,3323,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,43,3336,0.0,0.0,0.0,0.0
0,0,7,3372,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,12,3368,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,19,3361,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,8,3371,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,27,3352,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,42,3338,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,55,3325,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,25,3355,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,4,3375,0.0,0.0,0.0,0.0
0,0,48,3331,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,27,3352,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,8,3371,0.0,0.0,0.0,0.0
0,0,20,3360,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,39,3340,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,10,3370,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,12,3368,0.0,0.0,0.0,0.0
0,0,8,3371,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,21,3359,0.0,0.0,0.0,0.0
0,0,11,3369,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,43,3337,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,7,3373,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,62,3317,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,30,3349,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,56,3323,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,24,3356,0.0,0.0,0.0,0.0
0,0,11,3369,0.0,0.0,0.0,0.0
0,0,6,3373,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,14,3366,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,28,3351,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,21,3359,0.0,0.0,0.0,0.0
0,0,33,3346,0.0,0.0,0.0,0.0
0,0,41,3338,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,8,3371,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,28,3352,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,35,3345,0.0,0.0,0.0,0.0
0,0,35,3345,0.0,0.0,0.0,0.0
0,0,35,3345,0.0,0.0,0.0,0.0
0,0,34,3346,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,19,3361,0.0,0.0,0.0,0.0
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,14,3366,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,52,3327,0.0,0.0,0.0,0.0
0,0,7,3372,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,18,3362,0.0,0.0,0.0,0.0
0,0,14,3366,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
