tp,fp,fn,tn,precision,recall,f_measure,mcc
0,1,26,3352,0.0,0.0,0.0,-0.001515095731503023
0,0,63,3316,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,45,3335,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,63,3316,0.0,0.0,0.0,0.0
0,0,30,3349,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
1,0,37,3342,1.0,0.02631578947368421,0.05128205128205127,0.16133081530925641
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,35,3345,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
1,1,27,3350,0.5,0.03571428571428571,0.06666666666666667,0.1320029337750197
1,1,13,3364,0.5,0.07142857142857142,0.125,0.18786131048461052
1,0,24,3354,1.0,0.04,0.07692307692307693,0.19928825397026065
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,2,26,3351,0.0,0.0,0.0,-0.002142986152740602
0,1,36,3342,0.0,0.0,0.0,-0.0017854728039423226
0,0,62,3317,0.0,0.0,0.0,0.0
0,0,25,3355,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,60,3319,0.0,0.0,0.0,0.0
0,0,68,3311,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,39,3341,0.0,0.0,0.0,0.0
1,0,21,3357,1.0,0.045454545454545456,0.08695652173913045,0.2125369811382585
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,42,3338,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,48,3331,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,67,3312,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,44,3335,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,31,3349,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,39,3340,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,55,3324,0.0,0.0,0.0,0.0
1,0,65,3313,1.0,0.015151515151515152,0.02985074626865672,0.1219014657280455
0,0,31,3348,0.0,0.0,0.0,0.0
0,0,35,3344,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,57,3323,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
1,1,37,3341,0.5,0.02631578947368421,0.05,0.11279768775390876
0,0,41,3338,0.0,0.0,0.0,0.0
