tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,63,3377,0.0,0.0,0.0,0.0
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
0,0,45,3395,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,38,3402,0.0,0.0,0.0,0.0
0,0,63,3377,0.0,0.0,0.0,0.0
0,0,30,3410,0.0,0.0,0.0,0.0
0,0,30,3410,0.0,0.0,0.0,0.0
1,0,28,3411,1.0,0.034482758620689655,0.06666666666666667,0.18493783655357474
0,1,38,3401,0.0,0.0,0.0,-0.0018022231157646645
0,0,38,3402,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,35,3405,0.0,0.0,0.0,0.0
0,1,32,3407,0.0,0.0,0.0,-0.0016523768742467949
0,0,28,3412,0.0,0.0,0.0,0.0
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
0,0,25,3415,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,26,3414,0.0,0.0,0.0,0.0
0,0,36,3404,0.0,0.0,0.0,0.0
0,0,63,3377,0.0,0.0,0.0,0.0
0,0,25,3415,0.0,0.0,0.0,0.0
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,61,3379,0.0,0.0,0.0,0.0
0,0,69,3371,0.0,0.0,0.0,0.0
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,39,3401,0.0,0.0,0.0,0.0
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,42,3398,0.0,0.0,0.0,0.0
0,0,29,3411,0.0,0.0,0.0,0.0
0,0,18,3422,0.0,0.0,0.0,0.0
0,0,49,3391,0.0,0.0,0.0,0.0
0,0,19,3421,0.0,0.0,0.0,0.0
0,0,19,3421,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,30,3410,0.0,0.0,0.0,0.0
0,0,30,3410,0.0,0.0,0.0,0.0
0,0,67,3373,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,24,3416,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,44,3396,0.0,0.0,0.0,0.0
