tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,20,2676,0.0,0.0,0.0,0.0
0,0,49,2647,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,35,2661,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
0,0,51,2645,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
1,1,21,2673,0.5,0.045454545454545456,0.08333333333333334,0.14895932111394933
0,0,29,2667,0.0,0.0,0.0,0.0
0,0,30,2665,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,1,27,2668,0.0,0.0,0.0,-0.001937439770581101
0,0,25,2671,0.0,0.0,0.0,0.0
0,0,21,2674,0.0,0.0,0.0,0.0
0,1,12,2683,0.0,0.0,0.0,-0.0012880122173518564
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,21,2675,0.0,0.0,0.0,0.0
0,0,29,2667,0.0,0.0,0.0,0.0
0,0,48,2647,0.0,0.0,0.0,0.0
0,0,20,2676,0.0,0.0,0.0,0.0
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,49,2647,0.0,0.0,0.0,0.0
0,0,54,2642,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
1,0,16,2679,1.0,0.058823529411764705,0.1111111111111111,0.2418145959416703
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
0,0,25,2671,0.0,0.0,0.0,0.0
1,0,14,2681,1.0,0.06666666666666667,0.125,0.2575273700412178
0,0,39,2657,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,15,2680,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,16,2679,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,52,2644,0.0,0.0,0.0,0.0
0,3,13,2680,0.0,0.0,0.0,-0.0023232919651811155
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
0,0,38,2658,0.0,0.0,0.0,0.0
0,0,32,2664,0.0,0.0,0.0,0.0
0,0,24,2671,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,32,2664,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,27,2669,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,43,2653,0.0,0.0,0.0,0.0
0,0,50,2645,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,27,2669,0.0,0.0,0.0,0.0
1,0,10,2685,1.0,0.09090909090909091,0.16666666666666669,0.3009514344482199
0,0,46,2650,0.0,0.0,0.0,0.0
0,0,32,2664,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
1,0,9,2686,1.0,0.1,0.18181818181818182,0.3156993003436606
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
0,0,32,2664,0.0,0.0,0.0,0.0
1,0,13,2682,1.0,0.07142857142857142,0.13333333333333333,0.2666158622865368
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,39,2657,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,2,11,2683,0.0,0.0,0.0,-0.0017439755810629198
1,0,10,2685,1.0,0.09090909090909091,0.16666666666666669,0.3009514344482199
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,18,2677,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
1,0,15,2680,1.0,0.0625,0.11764705882352941,0.24930329636951254
0,0,18,2678,0.0,0.0,0.0,0.0
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
0,0,43,2652,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,50,2646,0.0,0.0,0.0,0.0
0,0,22,2674,0.0,0.0,0.0,0.0
1,0,11,2684,1.0,0.08333333333333333,0.15384615384615385,0.2880853992810319
0,0,47,2649,0.0,0.0,0.0,0.0
1,0,16,2679,1.0,0.058823529411764705,0.1111111111111111,0.2418145959416703
0,0,22,2673,0.0,0.0,0.0,0.0
0,3,11,2681,0.0,0.0,0.0,-0.0021371164460592127
0,0,13,2683,0.0,0.0,0.0,0.0
2,1,10,2683,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3320319572673815
0,0,18,2678,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,24,2671,0.0,0.0,0.0,0.0
1,3,11,2681,0.25,0.08333333333333333,0.125,0.14218984426630463
0,0,34,2662,0.0,0.0,0.0,0.0
0,0,34,2662,0.0,0.0,0.0,0.0
1,2,21,2672,0.3333333333333333,0.045454545454545456,0.08,0.12063821498085969
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
0,0,20,2676,0.0,0.0,0.0,0.0
0,0,20,2676,0.0,0.0,0.0,0.0
1,0,19,2676,1.0,0.05,0.09523809523809523,0.22281717923396543
0,0,20,2676,0.0,0.0,0.0,0.0
0,0,20,2676,0.0,0.0,0.0,0.0
0,0,29,2667,0.0,0.0,0.0,0.0
0,0,29,2667,0.0,0.0,0.0,0.0
0,0,29,2667,0.0,0.0,0.0,0.0
0,1,29,2666,0.0,0.0,0.0,-0.0020086677476767586
