tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
1,2,21,3356,0.3333333333333333,0.045454545454545456,0.08,0.12113639921439462
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,48,3331,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,2,17,3360,0.0,0.0,0.0,-0.0017305138267846604
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,33,3346,0.0,0.0,0.0,0.0
0,1,15,3363,0.0,0.0,0.0,-0.0011489147719914296
0,0,11,3369,0.0,0.0,0.0,0.0
0,0,29,3351,0.0,0.0,0.0,0.0
0,0,48,3331,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
1,1,23,3354,0.5,0.041666666666666664,0.07692307692307693,0.1428374937656238
1,5,23,3350,0.16666666666666666,0.041666666666666664,0.06666666666666667,0.08013801965987859
1,0,23,3355,1.0,0.041666666666666664,0.07999999999999999,0.20342804188649757
2,3,30,3344,0.4,0.0625,0.10810810810810811,0.15522151737125808
1,0,29,3349,1.0,0.03333333333333333,0.06451612903225806,0.18178880039616577
0,0,11,3369,0.0,0.0,0.0,0.0
0,0,29,3351,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
1,0,22,3356,1.0,0.043478260869565216,0.08333333333333333,0.2078343059281165
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,1,11,3367,0.0,0.0,0.0,-0.00098328741011622
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,11,3369,0.0,0.0,0.0,0.0
0,0,28,3351,0.0,0.0,0.0,0.0
0,0,50,3329,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
1,2,18,3358,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.13064456362745624
0,0,17,3362,0.0,0.0,0.0,0.0
1,0,46,3333,1.0,0.02127659574468085,0.04166666666666667,0.1448687230302194
1,2,52,3324,0.3333333333333333,0.018867924528301886,0.03571428571428571,0.07620701803710535
0,0,13,3366,0.0,0.0,0.0,0.0
0,1,20,3358,0.0,0.0,0.0,-0.0013276395251062062
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,30,3349,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
2,2,35,3340,0.5,0.05405405405405406,0.0975609756097561,0.1617821081891418
0,0,14,3365,0.0,0.0,0.0,0.0
1,1,14,3363,0.5,0.06666666666666667,0.11764705882352941,0.18140990516846062
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,54,3325,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,35,3344,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,0,27,3352,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,10,3370,0.0,0.0,0.0,0.0
0,0,11,3368,0.0,0.0,0.0,0.0
0,0,20,3360,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,10,3369,0.0,0.0,0.0,0.0
0,0,9,3370,0.0,0.0,0.0,0.0
0,1,10,3368,0.0,0.0,0.0,-0.0009373886093332936
0,1,33,3345,0.0,0.0,0.0,-0.0017086935458866773
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,25,3354,0.0,0.0,0.0,0.0
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,1,46,3333,0.0,0.0,0.0,-0.002020700840968749
0,0,13,3366,0.0,0.0,0.0,0.0
1,0,57,3322,1.0,0.017241379310344827,0.03389830508474576,0.13019422519351398
0,1,26,3352,0.0,0.0,0.0,-0.001515095731503023
1,3,29,3347,0.25,0.03333333333333333,0.058823529411764705,0.08849186630963038
0,0,13,3366,0.0,0.0,0.0,0.0
0,2,9,3368,0.0,0.0,0.0,-0.0012576383490485992
0,1,45,3333,0.0,0.0,0.0,-0.0019989118220764394
0,0,27,3352,0.0,0.0,0.0,0.0
