tp,fp,fn,tn,precision,recall,f_measure,mcc
0,3,27,3410,0.0,0.0,0.0,-0.0026277533548998613
3,2,60,3375,0.6,0.047619047619047616,0.08823529411764705,0.16551330661062771
2,1,25,3412,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.22056907481437232
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
2,4,13,3421,0.3333333333333333,0.13333333333333333,0.19047619047619044,0.2086979034540989
2,3,43,3392,0.4,0.044444444444444446,0.07999999999999999,0.12991926075355473
0,2,16,3422,0.0,0.0,0.0,-0.001648751391101083
3,2,35,3400,0.6,0.07894736842105263,0.1395348837209302,0.2149820102430019
3,3,60,3374,0.5,0.047619047619047616,0.08695652173913042,0.15016273963821414
0,1,30,3409,0.0,0.0,0.0,-0.0015994377791420911
0,2,30,3408,0.0,0.0,0.0,-0.002262275538082419
1,3,28,3408,0.25,0.034482758620689655,0.0606060606060606,0.09014976173328533
3,3,35,3399,0.5,0.07894736842105263,0.13636363636363635,0.19554311008485953
2,1,36,3401,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.18532015171677876
2,0,11,3427,1.0,0.15384615384615385,0.2666666666666667,0.3916042871979615
3,2,32,3403,0.6,0.08571428571428572,0.15,0.22423897428457457
4,1,28,3407,0.8,0.125,0.21621621621621623,0.3142431020733176
2,1,26,3411,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.21653068502608877
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
1,3,24,3412,0.25,0.04,0.06896551724137932,0.09750447207660873
1,1,15,3423,0.5,0.0625,0.1111111111111111,0.17559202315226533
2,1,19,3418,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.2505438246446919
2,1,24,3413,0.6666666666666666,0.07692307692307693,0.13793103448275862,0.22483701031531406
3,2,33,3402,0.6,0.08333333333333333,0.14634146341463414,0.2210260976605022
2,4,61,3373,0.3333333333333333,0.031746031746031744,0.057971014492753624,0.09820540465979363
3,2,22,3413,0.6,0.12,0.19999999999999998,0.26624011910942036
2,5,20,3413,0.2857142857142857,0.09090909090909091,0.13793103448275862,0.1582244416008396
4,2,57,3377,0.6666666666666666,0.06557377049180328,0.11940298507462688,0.20553013646840484
5,6,64,3365,0.45454545454545453,0.07246376811594203,0.125,0.1755271181683351
2,2,25,3411,0.5,0.07407407407407407,0.12903225806451613,0.19028753925293848
2,1,37,3400,0.6666666666666666,0.05128205128205128,0.09523809523809523,0.18287459381484938
1,2,21,3416,0.3333333333333333,0.045454545454545456,0.08,0.12117061585641707
2,0,20,3418,1.0,0.09090909090909091,0.16666666666666669,0.3006330690604461
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
3,1,39,3397,0.75,0.07142857142857142,0.13043478260869565,0.22922326983244842
0,2,29,3409,0.0,0.0,0.0,-0.0022239253275319307
1,2,17,3420,0.3333333333333333,0.05555555555555555,0.09523809523809525,0.13435700219285523
7,3,42,3388,0.7,0.14285714285714285,0.23728813559322035,0.31247764002256706
1,1,18,3420,0.5,0.05263157894736842,0.09523809523809525,0.16092111671351933
1,1,18,3420,0.5,0.05263157894736842,0.09523809523809525,0.16092111671351933
2,3,19,3416,0.4,0.09523809523809523,0.15384615384615385,0.19293087275720022
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
3,1,27,3409,0.75,0.1,0.17647058823529416,0.2720230975550796
0,2,30,3408,0.0,0.0,0.0,-0.002262275538082419
0,0,67,3373,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
0,2,24,3414,0.0,0.0,0.0,-0.0020216629473746458
0,0,17,3423,0.0,0.0,0.0,0.0
2,2,42,3394,0.5,0.045454545454545456,0.08333333333333334,0.14793374555412106
0,3,38,3399,0.0,0.0,0.0,-0.003122450088045046
2,0,29,3409,1.0,0.06451612903225806,0.12121212121212122,0.25292672192561916
3,1,12,3424,0.75,0.2,0.31578947368421056,0.3861133965222593
1,1,21,3417,0.5,0.045454545454545456,0.08333333333333334,0.14934902026466865
3,2,27,3408,0.6,0.1,0.17142857142857143,0.24262456133935445
0,0,12,3428,0.0,0.0,0.0,0.0
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
0,0,13,3427,0.0,0.0,0.0,0.0
2,2,37,3399,0.5,0.05128205128205128,0.09302325581395347,0.15748366456360158
1,0,21,3418,1.0,0.045454545454545456,0.08695652173913045,0.21254877234021208
2,2,33,3403,0.5,0.05714285714285714,0.10256410256410256,0.16653700229570226
0,2,16,3422,0.0,0.0,0.0,-0.001648751391101083
3,5,53,3379,0.375,0.05357142857142857,0.09375,0.1368602480902444
0,0,67,3373,0.0,0.0,0.0,0.0
1,1,30,3408,0.5,0.03225806451612903,0.06060606060606061,0.12531335680034345
2,2,34,3402,0.5,0.05555555555555555,0.09999999999999999,0.16413434982659078
1,0,12,3427,1.0,0.07692307692307693,0.14285714285714288,0.2768657844169335
6,5,51,3378,0.5454545454545454,0.10526315789473684,0.1764705882352941,0.23466249478368895
2,3,36,3399,0.4,0.05263157894736842,0.09302325581395349,0.14197726046650372
1,1,16,3422,0.5,0.058823529411764705,0.10526315789473684,0.1702741807293965
1,0,12,3427,1.0,0.07692307692307693,0.14285714285714288,0.2768657844169335
2,0,28,3410,1.0,0.06666666666666667,0.125,0.2571453194953683
3,0,19,3418,1.0,0.13636363636363635,0.24000000000000002,0.36825236958853014
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
0,2,38,3400,0.0,0.0,0.0,-0.002549099015997968
2,13,39,3386,0.13333333333333333,0.04878048780487805,0.07142857142857142,0.07404191577332221
2,0,15,3423,1.0,0.11764705882352941,0.21052631578947367,0.3422481037209185
2,0,18,3420,1.0,0.1,0.18181818181818182,0.3153988582581997
1,5,49,3385,0.16666666666666666,0.02,0.03571428571428571,0.05313357360027928
0,2,22,3416,0.0,0.0,0.0,-0.0019350285311087812
2,5,21,3412,0.2857142857142857,0.08695652173913043,0.13333333333333333,0.15460812451617112
2,2,19,3417,0.5,0.09523809523809523,0.16,0.2163403854702902
1,2,13,3424,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15279716061624993
2,2,12,3424,0.5,0.14285714285714285,0.22222222222222224,0.26578149977116633
3,2,33,3402,0.6,0.08333333333333333,0.14634146341463414,0.2210260976605022
1,1,22,3416,0.5,0.043478260869565216,0.08,0.14600156013431534
0,1,17,3422,0.0,0.0,0.0,-0.001201724521652381
1,1,18,3420,0.5,0.05263157894736842,0.09523809523809525,0.16092111671351933
1,4,21,3414,0.2,0.045454545454545456,0.07407407407407407,0.09266132179561046
1,2,16,3421,0.3333333333333333,0.058823529411764705,0.1,0.13835449233950303
3,2,54,3381,0.6,0.05263157894736842,0.09677419354838708,0.1743735371366033
1,2,12,3425,0.3333333333333333,0.07692307692307693,0.125,0.1586819431938741
2,6,64,3368,0.25,0.030303030303030304,0.054054054054054064,0.08123577900005602
4,0,23,3413,1.0,0.14814814814814814,0.25806451612903225,0.38360978822816244
2,4,13,3421,0.3333333333333333,0.13333333333333333,0.19047619047619044,0.2086979034540989
2,8,58,3372,0.2,0.03333333333333333,0.05714285714285715,0.07529716212538638
0,0,22,3418,0.0,0.0,0.0,0.0
3,4,24,3409,0.42857142857142855,0.1111111111111111,0.17647058823529413,0.2152862868932166
0,0,14,3426,0.0,0.0,0.0,0.0
3,0,14,3423,1.0,0.17647058823529413,0.3,0.4192275838991905
0,4,15,3421,0.0,0.0,0.0,-0.0022579730790775396
1,0,20,3419,1.0,0.047619047619047616,0.0909090909090909,0.21758242618957924
0,0,16,3424,0.0,0.0,0.0,0.0
