tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
1,1,21,3417,0.5,0.045454545454545456,0.08333333333333334,0.14934902026466865
0,0,11,3429,0.0,0.0,0.0,0.0
1,1,47,3391,0.5,0.020833333333333332,0.039999999999999994,0.09994240459626655
0,0,21,3419,0.0,0.0,0.0,0.0
0,2,17,3421,0.0,0.0,0.0,-0.0016997422621255083
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,33,3407,0.0,0.0,0.0,0.0
0,1,15,3424,0.0,0.0,0.0,-0.001128493998307066
0,0,11,3429,0.0,0.0,0.0,0.0
0,1,29,3410,0.0,0.0,0.0,-0.0015723240281599728
0,0,49,3391,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
0,0,25,3415,0.0,0.0,0.0,0.0
0,1,24,3415,0.0,0.0,0.0,-0.001429323723079109
1,3,23,3413,0.25,0.041666666666666664,0.07142857142857142,0.09961968030014552
1,4,31,3404,0.2,0.03125,0.05405405405405406,0.07578804226474131
0,0,30,3410,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,1,29,3410,0.0,0.0,0.0,-0.0015723240281599728
0,1,24,3415,0.0,0.0,0.0,-0.001429323723079109
0,0,23,3417,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,1,21,3418,0.0,0.0,0.0,-0.0013364232085349998
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,18,3422,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
2,3,27,3408,0.4,0.06896551724137931,0.1176470588235294,0.16339899029779764
1,0,50,3389,1.0,0.0196078431372549,0.038461538461538464,0.13900633994523942
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,19,3421,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0
0,2,47,3391,0.0,0.0,0.0,-0.0028386971438641158
0,6,54,3380,0.0,0.0,0.0,-0.005278723118229569
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,1,30,3409,0.0,0.0,0.0,-0.0015994377791420911
0,2,21,3417,0.0,0.0,0.0,-0.0018902626739353515
0,0,21,3419,0.0,0.0,0.0,0.0
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,31,3409,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,3,14,3423,0.0,0.0,0.0,-0.0018886052813073856
1,2,36,3401,0.3333333333333333,0.02702702702702703,0.05,0.09239140364970759
0,0,14,3426,0.0,0.0,0.0,0.0
0,3,15,3422,0.0,0.0,0.0,-0.0019551775546265532
1,0,16,3423,1.0,0.058823529411764705,0.1111111111111111,0.24197076691859412
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,2,54,3384,0.0,0.0,0.0,-0.003045898764075032
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
0,0,9,3431,0.0,0.0,0.0,0.0
0,2,20,3418,0.0,0.0,0.0,-0.001844437767591811
0,0,15,3425,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,3,35,3402,0.0,0.0,0.0,-0.0029953413739100426
0,0,9,3431,0.0,0.0,0.0,0.0
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,24,3416,0.0,0.0,0.0,0.0
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
1,0,15,3424,1.0,0.0625,0.11764705882352941,0.2494541875447854
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
0,0,9,3431,0.0,0.0,0.0,0.0
0,2,10,3428,0.0,0.0,0.0,-0.0013023118779629036
0,1,34,3405,0.0,0.0,0.0,-0.0017037310909233862
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,26,3414,0.0,0.0,0.0,0.0
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
0,0,13,3427,0.0,0.0,0.0,0.0
0,3,46,3391,0.0,0.0,0.0,-0.0034394884716917214
0,0,13,3427,0.0,0.0,0.0,0.0
1,0,57,3382,1.0,0.017241379310344827,0.03389830508474576,0.13021371123078326
1,2,25,3412,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.1111293779300332
1,1,29,3409,0.5,0.03333333333333333,0.0625,0.12744152197864292
0,1,14,3425,0.0,0.0,0.0,-0.001090069656376296
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
1,3,45,3391,0.25,0.021739130434782608,0.04,0.0702899101457569
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
0,0,24,3416,0.0,0.0,0.0,0.0
0,1,17,3422,0.0,0.0,0.0,-0.001201724521652381
0,0,10,3430,0.0,0.0,0.0,0.0
1,0,31,3408,1.0,0.03125,0.06060606060606061,0.17597813710728366
1,1,34,3404,0.5,0.02857142857142857,0.05405405405405405,0.11772518634835002
0,3,12,3425,0.0,0.0,0.0,-0.0017479985888281017
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
