tp,fp,fn,tn,precision,recall,f_measure,mcc
2,1,18,2675,0.6666666666666666,0.1,0.1739130434782609,0.2564208197799666
0,1,49,2646,0.0,0.0,0.0,-0.0026208470977080785
0,1,22,2673,0.0,0.0,0.0,-0.0017472347322182774
1,0,17,2678,1.0,0.05555555555555555,0.10526315789473684,0.23495768203650946
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
0,0,35,2661,0.0,0.0,0.0,0.0
0,3,11,2682,0.0,0.0,0.0,-0.0021363216817691716
0,0,31,2665,0.0,0.0,0.0,0.0
1,2,50,2643,0.3333333333333333,0.0196078431372549,0.037037037037037035,0.07703172616852405
0,0,23,2673,0.0,0.0,0.0,0.0
0,3,23,2670,0.0,0.0,0.0,-0.003096042325946892
4,2,18,2672,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.34569042512977327
0,0,29,2667,0.0,0.0,0.0,0.0
0,0,30,2665,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,1,27,2668,0.0,0.0,0.0,-0.001937439770581101
0,4,25,2667,0.0,0.0,0.0,-0.0037292846038227776
0,2,21,2672,0.0,0.0,0.0,-0.00241504800049186
0,0,12,2684,0.0,0.0,0.0,0.0
0,1,19,2676,0.0,0.0,0.0,-0.0016228307568684898
0,0,13,2683,0.0,0.0,0.0,0.0
0,3,17,2676,0.0,0.0,0.0,-0.0026587686821284815
0,0,21,2675,0.0,0.0,0.0,0.0
2,3,27,2664,0.4,0.06896551724137931,0.1176470588235294,0.16265173728771118
1,4,47,2643,0.2,0.020833333333333332,0.03773584905660377,0.059387188431141755
0,2,20,2674,0.0,0.0,0.0,-0.0023555273187102045
1,1,17,2677,0.5,0.05555555555555555,0.09999999999999999,0.1650540952086705
2,2,47,2645,0.5,0.04081632653061224,0.07547169811320753,0.13903578981358544
3,2,51,2640,0.6,0.05555555555555555,0.10169491525423728,0.17843930723859325
1,0,21,2674,1.0,0.045454545454545456,0.08695652173913045,0.2123684397250761
0,2,31,2663,0.0,0.0,0.0,-0.0029386539157523874
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
2,0,9,2685,1.0,0.18181818181818182,0.3076923076923077,0.42568858501399454
0,3,31,2662,0.0,0.0,0.0,-0.003599769482787962
1,1,24,2670,0.5,0.04,0.07407407407407407,0.13949835874213165
2,0,13,2681,1.0,0.13333333333333333,0.23529411764705882,0.3642662875364467
2,2,37,2655,0.5,0.05128205128205128,0.09302325581395347,0.15674873105305367
0,0,15,2681,0.0,0.0,0.0,0.0
0,4,15,2676,0.0,0.0,0.0,-0.0028843727192338756
1,1,15,2679,0.5,0.0625,0.1111111111111111,0.1752641288898304
0,1,16,2678,0.0,0.0,0.0,-0.0014889319142661606
0,1,24,2671,0.0,0.0,0.0,-0.00182561001349936
0,1,24,2671,0.0,0.0,0.0,-0.00182561001349936
0,2,52,2642,0.0,0.0,0.0,-0.003821088958184024
0,1,13,2682,0.0,0.0,0.0,-0.0013408554299288338
1,0,12,2683,1.0,0.07692307692307693,0.14285714285714288,0.27673193219223546
0,0,16,2680,0.0,0.0,0.0,0.0
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
3,1,35,2657,0.75,0.07894736842105263,0.14285714285714285,0.24063835444754084
0,1,32,2663,0.0,0.0,0.0,-0.002111195707245108
1,0,23,2671,1.0,0.041666666666666664,0.07999999999999999,0.20325092345832457
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
3,1,21,2671,0.75,0.125,0.21428571428571427,0.30413339085222324
0,0,10,2686,0.0,0.0,0.0,0.0
1,1,10,2684,0.5,0.09090909090909091,0.15384615384615385,0.2119723047164658
0,2,10,2684,0.0,0.0,0.0,-0.0016625059105047615
0,3,32,2661,0.0,0.0,0.0,-0.0036580558306929115
0,1,16,2679,0.0,0.0,0.0,-0.0014883778887732093
4,2,23,2667,0.6666666666666666,0.14814814814814814,0.24242424242424243,0.31145719135387057
0,0,13,2683,0.0,0.0,0.0,0.0
1,2,42,2651,0.3333333333333333,0.023255813953488372,0.04347826086956522,0.08455595750591366
2,0,48,2645,1.0,0.04,0.07692307692307693,0.19820958724367083
1,1,23,2671,0.5,0.041666666666666664,0.07692307692307693,0.14245586675706995
1,6,26,2663,0.14285714285714285,0.037037037037037035,0.058823529411764705,0.06806968547063438
1,0,10,2685,1.0,0.09090909090909091,0.16666666666666669,0.3009514344482199
0,0,46,2650,0.0,0.0,0.0,0.0
0,2,32,2662,0.0,0.0,0.0,-0.002986235686008723
1,1,13,2681,0.5,0.07142857142857142,0.125,0.18757658597064114
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
1,0,23,2672,1.0,0.041666666666666664,0.07999999999999999,0.2032512481695954
2,0,16,2678,1.0,0.1111111111111111,0.19999999999999998,0.332342005239714
0,0,11,2685,0.0,0.0,0.0,0.0
1,4,30,2661,0.2,0.03225806451612903,0.05555555555555555,0.07621375514983052
2,2,30,2662,0.5,0.0625,0.1111111111111111,0.17374257658039652
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
0,0,16,2680,0.0,0.0,0.0,0.0
3,4,36,2653,0.42857142857142855,0.07692307692307693,0.13043478260869565,0.17695240944535984
1,4,16,2674,0.2,0.058823529411764705,0.0909090909090909,0.10547502042205188
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
0,4,11,2681,0.0,0.0,0.0,-0.0024672699281018977
2,0,28,2666,1.0,0.06666666666666667,0.125,0.25685359423043275
0,2,18,2675,0.0,0.0,0.0,-0.002234646790585119
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
1,2,15,2678,0.3333333333333333,0.0625,0.10526315789473684,0.14226949448197884
2,2,16,2676,0.5,0.1111111111111111,0.1818181818181818,0.2335084332833488
1,4,13,2678,0.2,0.07142857142857142,0.10526315789473682,0.11683136911622964
4,1,39,2651,0.8,0.09302325581395349,0.16666666666666666,0.2697660988580942
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
0,0,50,2646,0.0,0.0,0.0,0.0
1,1,21,2673,0.5,0.045454545454545456,0.08333333333333334,0.14895932111394933
1,1,11,2683,0.5,0.08333333333333333,0.14285714285714285,0.20283401225298756
1,3,46,2646,0.25,0.02127659574468085,0.0392156862745098,0.06849677126238676
1,1,16,2678,0.5,0.058823529411764705,0.10526315789473684,0.1699352364440007
1,0,21,2673,1.0,0.045454545454545456,0.08695652173913045,0.21236813018235393
0,0,11,2684,0.0,0.0,0.0,0.0
2,2,11,2681,0.5,0.15384615384615385,0.23529411764705882,0.27554448374296964
0,0,12,2684,0.0,0.0,0.0,0.0
1,0,17,2678,1.0,0.05555555555555555,0.10526315789473684,0.23495768203650946
1,0,12,2683,1.0,0.07692307692307693,0.14285714285714288,0.27673193219223546
0,4,14,2678,0.0,0.0,0.0,-0.002785012180690188
2,4,15,2674,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.19511500669019158
0,2,24,2669,0.0,0.0,0.0,-0.0025832444082074585
1,2,11,2682,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.1649001132059811
1,3,33,2659,0.25,0.029411764705882353,0.05263157894736842,0.08200285212961787
2,2,32,2660,0.5,0.058823529411764705,0.10526315789473684,0.16836210577862168
1,2,21,2672,0.3333333333333333,0.045454545454545456,0.08,0.12063821498085969
0,3,10,2683,0.0,0.0,0.0,-0.0020365235965724123
1,0,19,2676,1.0,0.05,0.09523809523809523,0.22281717923396543
0,0,20,2676,0.0,0.0,0.0,0.0
1,2,19,2674,0.3333333333333333,0.05,0.08695652173913045,0.12676768209677267
0,0,20,2676,0.0,0.0,0.0,0.0
1,1,19,2675,0.5,0.05,0.09090909090909091,0.15640701396235757
3,0,26,2667,1.0,0.10344827586206896,0.1875,0.320077362378563
0,0,29,2667,0.0,0.0,0.0,0.0
1,1,28,2666,0.5,0.034482758620689655,0.06451612903225806,0.12922617534909586
4,2,25,2665,0.6666666666666666,0.13793103448275862,0.2285714285714286,0.30029846475160593
1,1,29,2665,0.5,0.03333333333333333,0.0625,0.12698163435698065
1,1,23,2671,0.5,0.041666666666666664,0.07692307692307693,0.14245586675706995
2,1,25,2668,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.22011078789973584
0,0,18,2678,0.0,0.0,0.0,0.0
1,0,19,2676,1.0,0.05,0.09523809523809523,0.22281717923396543
0,0,17,2679,0.0,0.0,0.0,0.0
1,0,42,2653,1.0,0.023255813953488372,0.04545454545454545,0.15130560361098117
0,0,14,2682,0.0,0.0,0.0,0.0
2,2,29,2663,0.5,0.06451612903225806,0.1142857142857143,0.1766236230997131
2,2,13,2679,0.5,0.13333333333333333,0.2105263157894737,0.2562291764891806
1,4,17,2674,0.2,0.05555555555555555,0.08695652173913045,0.10232718370370715
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
0,1,18,2676,0.0,0.0,0.0,-0.0015798406028615728
1,2,28,2665,0.3333333333333333,0.034482758620689655,0.0625,0.10437218328279851
2,4,16,2673,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.1894379269101011
1,3,14,2678,0.25,0.06666666666666667,0.10526315789473685,0.12667293871445612
0,0,16,2680,0.0,0.0,0.0,0.0
3,2,24,2667,0.6,0.1111111111111111,0.18750000000000003,0.2554070979343069
1,0,20,2675,1.0,0.047619047619047616,0.0909090909090909,0.21740666850526333
0,0,18,2678,0.0,0.0,0.0,0.0
0,2,28,2665,0.0,0.0,0.0,-0.002792314483330105
1,4,14,2677,0.2,0.06666666666666667,0.1,0.11267592534489847
0,0,13,2683,0.0,0.0,0.0,0.0
1,1,17,2677,0.5,0.05555555555555555,0.09999999999999999,0.1650540952086705
1,4,29,2661,0.2,0.03333333333333333,0.05714285714285715,0.07760995121861226
1,2,17,2676,0.3333333333333333,0.05555555555555555,0.09523809523809525,0.13387900325476484
1,0,14,2681,1.0,0.06666666666666667,0.125,0.2575273700412178
2,0,12,2682,1.0,0.14285714285714285,0.25,0.3771217418090401
0,2,28,2666,0.0,0.0,0.0,-0.002791272939074025
0,0,24,2672,0.0,0.0,0.0,0.0
1,1,17,2677,0.5,0.05555555555555555,0.09999999999999999,0.1650540952086705
3,3,15,2675,0.5,0.16666666666666666,0.25,0.28609455167343084
0,2,18,2676,0.0,0.0,0.0,-0.0022338148223729846
0,2,15,2679,0.0,0.0,0.0,-0.0020380433842024244
0,0,15,2681,0.0,0.0,0.0,0.0
0,2,15,2679,0.0,0.0,0.0,-0.0020380433842024244
2,1,50,2643,0.6666666666666666,0.038461538461538464,0.07272727272727274,0.15710443189027276
3,0,22,2671,1.0,0.12,0.21428571428571425,0.34499229071610604
1,0,10,2685,1.0,0.09090909090909091,0.16666666666666669,0.3009514344482199
0,0,13,2683,0.0,0.0,0.0,0.0
2,3,30,2661,0.4,0.0625,0.10810810810810811,0.15448409921029146
2,1,22,2671,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.23372705152980608
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
1,2,29,2664,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.10251912891492214
1,2,23,2669,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.1152809563336953
0,0,10,2685,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,1,52,2643,0.0,0.0,0.0,-0.0027014165838671277
0,4,25,2667,0.0,0.0,0.0,-0.0037292846038227776
0,1,25,2670,0.0,0.0,0.0,-0.0018636041786230285
0,6,25,2665,0.0,0.0,0.0,-0.004569119803474725
2,1,43,2649,0.6666666666666666,0.044444444444444446,0.08333333333333334,0.16933446944378075
0,2,25,2669,0.0,0.0,0.0,-0.002636023407825617
1,1,15,2678,0.5,0.0625,0.1111111111111111,0.1752635659797107
0,1,16,2678,0.0,0.0,0.0,-0.0014889319142661606
1,1,13,2681,0.5,0.07142857142857142,0.125,0.18757658597064114
2,1,17,2676,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.26318106112093553
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
0,1,19,2675,0.0,0.0,0.0,-0.0016234351698990908
0,1,49,2646,0.0,0.0,0.0,-0.0026208470977080785
0,0,24,2672,0.0,0.0,0.0,0.0
2,2,22,2670,0.5,0.08333333333333333,0.14285714285714285,0.20153784258675853
1,2,10,2683,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.17239468601670618
0,2,24,2670,0.0,0.0,0.0,-0.002582281572635709
0,0,30,2666,0.0,0.0,0.0,0.0
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
0,5,15,2676,0.0,0.0,0.0,-0.003224225257866228
0,0,13,2682,0.0,0.0,0.0,0.0
1,0,11,2684,1.0,0.08333333333333333,0.15384615384615385,0.2880853992810319
1,5,29,2661,0.16666666666666666,0.03333333333333333,0.05555555555555555,0.07002742735673324
0,2,24,2669,0.0,0.0,0.0,-0.0025832444082074585
2,6,50,2638,0.25,0.038461538461538464,0.06666666666666668,0.09151417075809012
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
1,0,23,2671,1.0,0.041666666666666664,0.07999999999999999,0.20325092345832457
0,2,52,2642,0.0,0.0,0.0,-0.003821088958184024
2,3,19,2671,0.4,0.09523809523809523,0.15384615384615385,0.19230629494432133
0,2,52,2642,0.0,0.0,0.0,-0.003821088958184024
1,1,15,2679,0.5,0.0625,0.1111111111111111,0.1752641288898304
0,0,24,2671,0.0,0.0,0.0,0.0
0,0,24,2671,0.0,0.0,0.0,0.0
1,3,10,2682,0.25,0.09090909090909091,0.13333333333333333,0.1487090874846871
0,2,15,2679,0.0,0.0,0.0,-0.0020380433842024244
2,2,18,2677,0.5,0.1,0.16666666666666669,0.22127767415758506
2,3,46,2648,0.4,0.041666666666666664,0.07547169811320754,0.1245868075233186
0,0,22,2677,0.0,0.0,0.0,0.0
0,0,18,2681,0.0,0.0,0.0,0.0
0,0,10,2689,0.0,0.0,0.0,0.0
0,2,35,2662,0.0,0.0,0.0,-0.003121342577632206
0,0,10,2688,0.0,0.0,0.0,0.0
1,2,27,2669,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.10632494389749321
1,3,47,2648,0.25,0.020833333333333332,0.038461538461538464,0.06768921397406627
0,2,24,2673,0.0,0.0,0.0,-0.002579397367602438
2,0,22,2675,1.0,0.08333333333333333,0.15384615384615385,0.2874953315973551
1,3,21,2673,0.25,0.045454545454545456,0.07692307692307693,0.1036232766782596
1,1,30,2667,0.5,0.03225806451612903,0.06060606060606061,0.1248478015356407
2,7,29,2661,0.2222222222222222,0.06451612903225806,0.09999999999999999,0.11439682610384691
1,4,9,2685,0.2,0.1,0.13333333333333333,0.13918830922497066
1,1,25,2671,0.5,0.038461538461538464,0.07142857142857144,0.13671305783743842
1,2,25,2671,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.1105503943957587
2,1,19,2677,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.2501490850646283
0,1,11,2686,0.0,0.0,0.0,-0.0012320321363905441
0,2,19,2678,0.0,0.0,0.0,-0.0022928937371544432
3,1,10,2685,0.75,0.23076923076923078,0.3529411764705882,0.41465985137485634
0,1,17,2681,0.0,0.0,0.0,-0.0015327597989709273
4,2,16,2676,0.6666666666666666,0.2,0.30769230769230765,0.3628376783727512
0,1,29,2669,0.0,0.0,0.0,-0.0020064225288643073
1,4,48,2646,0.2,0.02040816326530612,0.03703703703703703,0.05867725429386872
0,1,19,2679,0.0,0.0,0.0,-0.0016210202150910597
0,1,17,2680,0.0,0.0,0.0,-0.0015333298150970764
3,2,44,2650,0.6,0.06382978723404255,0.11538461538461536,0.19187286164416414
3,0,49,2646,1.0,0.057692307692307696,0.1090909090909091,0.2379986484065753
0,1,22,2676,0.0,0.0,0.0,-0.0017452843008678004
2,2,28,2666,0.5,0.06666666666666667,0.11764705882352941,0.17964802850762304
1,2,16,2679,0.3333333333333333,0.058823529411764705,0.1,0.1378926320975563
0,3,16,2679,0.0,0.0,0.0,-0.0025769847420752637
