tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,1,16,2679,0.0,0.0,0.0,-0.0014883778887732093
0,0,10,2686,0.0,0.0,0.0,0.0
0,1,37,2658,0.0,0.0,0.0,-0.0022722824206816727
0,0,17,2679,0.0,0.0,0.0,0.0
1,0,13,2682,1.0,0.07142857142857142,0.13333333333333333,0.2666158622865368
0,0,7,2688,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,40,2656,0.0,0.0,0.0,0.0
0,0,11,2684,0.0,0.0,0.0,0.0
0,1,19,2676,0.0,0.0,0.0,-0.0016228307568684898
0,0,19,2677,0.0,0.0,0.0,0.0
1,4,17,2673,0.2,0.05555555555555555,0.08695652173913045,0.10232603528537125
0,1,25,2670,0.0,0.0,0.0,-0.0018636041786230285
0,1,24,2671,0.0,0.0,0.0,-0.00182561001349936
0,1,8,2687,0.0,0.0,0.0,-0.0010508747970294637
0,0,21,2674,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,9,2686,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,1,13,2682,0.0,0.0,0.0,-0.0013408554299288338
0,0,17,2679,0.0,0.0,0.0,0.0
0,3,8,2685,0.0,0.0,0.0,-0.0018208443042062117
0,1,23,2672,0.0,0.0,0.0,-0.001786837481578327
0,0,39,2657,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,3,16,2677,0.0,0.0,0.0,-0.0025789032232382872
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,38,2658,0.0,0.0,0.0,0.0
0,0,42,2654,0.0,0.0,0.0,0.0
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,2,8,2686,0.0,0.0,0.0,-0.0014864371927468217
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
1,2,28,2665,0.3333333333333333,0.034482758620689655,0.0625,0.10437218328279851
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,12,2683,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,42,2654,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,12,2683,0.0,0.0,0.0,0.0
0,2,10,2684,0.0,0.0,0.0,-0.0016625059105047615
0,0,30,2666,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
0,1,18,2677,0.0,0.0,0.0,-0.0015792525304918485
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,7,2689,0.0,0.0,0.0,0.0
1,2,26,2667,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.10837689895646944
0,3,14,2679,0.0,0.0,0.0,-0.0024114434492284583
0,0,10,2685,0.0,0.0,0.0,0.0
0,1,20,2675,0.0,0.0,0.0,-0.0016653002932284413
