tp,fp,fn,tn,precision,recall,f_measure,mcc
0,1,26,3352,0.0,0.0,0.0,-0.001515095731503023
0,3,63,3313,0.0,0.0,0.0,-0.00410887020130896
0,3,27,3350,0.0,0.0,0.0,-0.0026746083887246113
2,1,20,3356,0.6666666666666666,0.09090909090909091,0.16,0.24468484700058143
0,1,15,3364,0.0,0.0,0.0,-0.0011485740484671332
1,3,44,3332,0.25,0.022222222222222223,0.04081632653061225,0.0710828099905009
2,0,13,3364,1.0,0.13333333333333333,0.23529411764705882,0.36444486174183427
0,1,38,3340,0.0,0.0,0.0,-0.001834947900459083
0,2,63,3314,0.0,0.0,0.0,-0.0033543817093891547
0,2,30,3347,0.0,0.0,0.0,-0.0023033106787605983
1,3,29,3347,0.25,0.03333333333333333,0.058823529411764705,0.08849186630963038
3,1,26,3349,0.75,0.10344827586206896,0.18181818181818182,0.27670867540914273
0,0,38,3342,0.0,0.0,0.0,0.0
2,0,35,3342,1.0,0.05405405405405406,0.10256410256410257,0.2312873223520826
0,1,13,3365,0.0,0.0,0.0,-0.0010692636367976023
0,2,35,3343,0.0,0.0,0.0,-0.0024889784494758877
0,5,32,3342,0.0,0.0,0.0,-0.0037640865079419964
3,1,25,3350,0.75,0.10714285714285714,0.1875,0.2816769227024116
1,1,13,3364,0.5,0.07142857142857142,0.125,0.18786131048461052
1,4,24,3350,0.2,0.04,0.06666666666666667,0.08651839889997037
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
3,0,23,3353,1.0,0.11538461538461539,0.20689655172413793,0.3385240368340191
1,2,35,3341,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.09369129873297403
0,1,62,3316,0.0,0.0,0.0,-0.0023523031295594804
0,3,25,3352,0.0,0.0,0.0,-0.0025728759009118665
0,0,22,3357,0.0,0.0,0.0,0.0
3,1,57,3318,0.75,0.05,0.09375000000000001,0.19087868509804806
2,2,66,3309,0.5,0.029411764705882353,0.05555555555555555,0.11764568786547007
2,1,25,3352,0.6666666666666666,0.07407407407407407,0.13333333333333333,0.2205396225715022
1,2,38,3339,0.3333333333333333,0.02564102564102564,0.047619047619047616,0.08980910631614351
4,1,18,3356,0.8,0.18181818181818182,0.2962962962962963,0.3797997396785881
0,1,22,3356,0.0,0.0,0.0,-0.0013928548063871571
0,0,14,3365,0.0,0.0,0.0,0.0
0,2,42,3336,0.0,0.0,0.0,-0.002729396650447315
0,0,29,3350,0.0,0.0,0.0,0.0
2,0,16,3361,1.0,0.1111111111111111,0.19999999999999998,0.3325427402644499
2,5,46,3326,0.2857142857142857,0.041666666666666664,0.07272727272727272,0.10453688702365242
0,1,19,3359,0.0,0.0,0.0,-0.001293830364257544
0,2,19,3358,0.0,0.0,0.0,-0.0018300233423855518
0,3,21,3355,0.0,0.0,0.0,-0.0023573751971964173
0,1,22,3357,0.0,0.0,0.0,-0.001392441308289468
1,0,29,3350,1.0,0.03333333333333333,0.06451612903225806,0.18178903332942772
1,2,29,3348,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.10310665778932299
1,0,66,3312,1.0,0.014925373134328358,0.029411764705882353,0.12097007226551564
0,0,16,3363,0.0,0.0,0.0,0.0
0,3,16,3360,0.0,0.0,0.0,-0.0020561555486884537
0,2,23,3354,0.0,0.0,0.0,-0.0020146629949359205
2,1,15,3361,0.6666666666666666,0.11764705882352941,0.2,0.2787681447355351
3,1,41,3334,0.75,0.06818181818181818,0.125,0.2238008844374655
0,2,38,3339,0.0,0.0,0.0,-0.0025953923966133283
1,1,30,3348,0.5,0.03225806451612903,0.06060606060606061,0.12528328737611236
1,0,14,3364,1.0,0.06666666666666667,0.125,0.2576632861986113
0,4,22,3354,0.0,0.0,0.0,-0.002786119700796274
0,3,30,3347,0.0,0.0,0.0,-0.002820546869616738
3,1,9,3366,0.75,0.25,0.375,0.4319853876132561
0,1,12,3366,0.0,0.0,0.0,-0.0010271627047483381
0,2,13,3364,0.0,0.0,0.0,-0.0015123910124234584
4,0,35,3340,1.0,0.10256410256410256,0.18604651162790695,0.31859139165050926
2,3,20,3354,0.4,0.09090909090909091,0.14814814814814814,0.18834168800412154
2,1,32,3344,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.19611641572773297
0,0,16,3363,0.0,0.0,0.0,0.0
2,4,53,3320,0.3333333333333333,0.03636363636363636,0.06557377049180327,0.10567693774197895
0,3,66,3310,0.0,0.0,0.0,-0.004207466416873394
0,1,31,3347,0.0,0.0,0.0,-0.001655610986339305
2,6,33,3338,0.25,0.05714285714285714,0.09302325581395347,0.11530533910561479
1,3,11,3364,0.25,0.08333333333333333,0.125,0.14262497037761485
1,5,56,3318,0.16666666666666666,0.017543859649122806,0.031746031746031744,0.04906106898224059
0,3,38,3338,0.0,0.0,0.0,-0.003179164270213698
0,1,17,3361,0.0,0.0,0.0,-0.0012234769267712431
1,2,12,3364,0.3333333333333333,0.07692307692307693,0.125,0.15865577633359798
0,5,29,3345,0.0,0.0,0.0,-0.0035816987757486306
1,2,21,3355,0.3333333333333333,0.045454545454545456,0.08,0.12113581860623525
0,0,14,3365,0.0,0.0,0.0,0.0
2,2,36,3340,0.5,0.05263157894736842,0.09523809523809525,0.1595672640205793
3,4,38,3334,0.42857142857142855,0.07317073170731707,0.125,0.17330389875231603
0,0,17,3362,0.0,0.0,0.0,0.0
0,4,20,3355,0.0,0.0,0.0,-0.0026564589121014373
1,2,49,3327,0.3333333333333333,0.02,0.03773584905660377,0.07864376538969525
0,0,22,3357,0.0,0.0,0.0,0.0
0,4,23,3352,0.0,0.0,0.0,-0.0028500078026814993
0,0,21,3359,0.0,0.0,0.0,0.0
2,2,12,3363,0.5,0.14285714285714285,0.22222222222222224,0.265754720292632
2,3,12,3362,0.4,0.14285714285714285,0.21052631578947364,0.2372368620850169
1,2,35,3341,0.3333333333333333,0.027777777777777776,0.05128205128205128,0.09369129873297403
2,3,21,3353,0.4,0.08695652173913043,0.14285714285714285,0.18409068641044218
0,2,17,3360,0.0,0.0,0.0,-0.0017305138267846604
1,1,18,3360,0.5,0.05263157894736842,0.09523809523809525,0.16089797134206876
2,5,20,3352,0.2857142857142857,0.09090909090909091,0.13793103448275862,0.15817114211632805
1,1,16,3361,0.5,0.058823529411764705,0.10526315789473684,0.17025202207631437
0,3,57,3319,0.0,0.0,0.0,-0.0039047840633649493
