tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,20,3420,0.0,0.0,0.0,0.0
0,1,20,3419,0.0,0.0,0.0,-0.0013040248179774848
0,0,22,3418,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,48,3392,0.0,0.0,0.0,0.0
1,0,20,3419,1.0,0.047619047619047616,0.0909090909090909,0.21758242618957924
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,2,33,3405,0.0,0.0,0.0,-0.002373738997810824
0,1,15,3424,0.0,0.0,0.0,-0.001128493998307066
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
0,0,29,3411,0.0,0.0,0.0,0.0
0,0,49,3391,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
1,0,24,3415,1.0,0.04,0.07692307692307693,0.19930090086107505
0,1,24,3415,0.0,0.0,0.0,-0.001429323723079109
3,0,21,3416,1.0,0.125,0.2222222222222222,0.3524716336754276
0,2,32,3406,0.0,0.0,0.0,-0.002337153611756425
1,2,29,3408,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.10314699895167163
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
0,0,29,3411,0.0,0.0,0.0,0.0
0,0,24,3416,0.0,0.0,0.0,0.0
1,1,22,3416,0.5,0.043478260869565216,0.08,0.14600156013431534
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
1,1,20,3418,0.5,0.047619047619047616,0.08695652173913042,0.1529312515721982
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
0,0,18,3422,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
1,1,19,3419,0.5,0.05,0.09090909090909091,0.15677721024530394
0,0,11,3429,0.0,0.0,0.0,0.0
0,1,29,3410,0.0,0.0,0.0,-0.0015723240281599728
0,1,51,3388,0.0,0.0,0.0,-0.0020918628908843935
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,19,3421,0.0,0.0,0.0,0.0
1,0,16,3423,1.0,0.058823529411764705,0.1111111111111111,0.24197076691859412
0,0,47,3393,0.0,0.0,0.0,0.0
1,1,53,3385,0.5,0.018518518518518517,0.03571428571428571,0.09397161742498154
0,0,13,3427,0.0,0.0,0.0,0.0
1,2,20,3417,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.12411419918220985
1,0,29,3410,1.0,0.03333333333333333,0.06451612903225806,0.1818027608958177
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
1,0,30,3409,1.0,0.03225806451612903,0.0625,0.1788201956801884
0,0,21,3419,0.0,0.0,0.0,0.0
0,2,14,3424,0.0,0.0,0.0,-0.0015418154745280178
0,1,37,3402,0.0,0.0,0.0,-0.0017780902460065322
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
1,1,16,3422,0.5,0.058823529411764705,0.10526315789473684,0.1702741807293965
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,2,54,3384,0.0,0.0,0.0,-0.003045898764075032
0,0,12,3428,0.0,0.0,0.0,0.0
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
0,0,9,3431,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,15,3425,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
1,1,34,3404,0.5,0.02857142857142857,0.05405405405405405,0.11772518634835002
0,0,9,3431,0.0,0.0,0.0,0.0
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,24,3416,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,1,15,3424,0.0,0.0,0.0,-0.001128493998307066
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
0,1,21,3418,0.0,0.0,0.0,-0.0013364232085349998
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
0,0,9,3431,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
4,5,30,3401,0.4444444444444444,0.11764705882352941,0.18604651162790695,0.22498731313566522
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,1,26,3413,0.0,0.0,0.0,-0.0014881229952597114
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
3,0,43,3394,1.0,0.06521739130434782,0.12244897959183672,0.253774432020037
0,0,13,3427,0.0,0.0,0.0,0.0
1,2,57,3380,0.3333333333333333,0.017241379310344827,0.03278688524590164,0.07262146212872705
0,0,26,3414,0.0,0.0,0.0,0.0
0,2,30,3408,0.0,0.0,0.0,-0.002262275538082419
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
1,2,45,3392,0.3333333333333333,0.021739130434782608,0.04081632653061224,0.08229848502555119
0,0,27,3413,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
0,2,24,3414,0.0,0.0,0.0,-0.0020216629473746458
0,2,17,3421,0.0,0.0,0.0,-0.0016997422621255083
0,0,10,3430,0.0,0.0,0.0,0.0
2,1,30,3407,0.6666666666666666,0.0625,0.11428571428571428,0.2023068852250508
1,3,34,3402,0.25,0.02857142857142857,0.05128205128205128,0.0815388883643646
0,0,12,3428,0.0,0.0,0.0,0.0
1,1,15,3423,0.5,0.0625,0.1111111111111111,0.17559202315226533
0,0,10,3430,0.0,0.0,0.0,0.0
1,0,38,3401,1.0,0.02564102564102564,0.05,0.15924101039257618
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,10,3430,0.0,0.0,0.0,0.0
1,1,17,3421,0.5,0.05555555555555555,0.09999999999999999,0.1654037540702141
0,1,16,3423,0.0,0.0,0.0,-0.0011656737735737635
1,2,9,3428,0.3333333333333333,0.1,0.15384615384615383,0.18132468244113392
1,0,9,3430,1.0,0.1,0.18181818181818182,0.31581370460492025
0,0,26,3414,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
0,0,19,3421,0.0,0.0,0.0,0.0
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,17,3423,0.0,0.0,0.0,0.0
0,0,18,3422,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,43,3397,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,2,11,3427,0.0,0.0,0.0,-0.0013660753715525457
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
0,0,57,3383,0.0,0.0,0.0,0.0
1,0,20,3419,1.0,0.047619047619047616,0.0909090909090909,0.21758242618957924
0,0,11,3429,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
0,2,47,3391,0.0,0.0,0.0,-0.0028386971438641158
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,11,3429,0.0,0.0,0.0,0.0
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,1,17,3422,0.0,0.0,0.0,-0.001201724521652381
0,0,24,3416,0.0,0.0,0.0,0.0
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
0,0,10,3430,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,34,3406,0.0,0.0,0.0,0.0
0,2,40,3398,0.0,0.0,0.0,-0.0026160895065339743
3,1,19,3417,0.75,0.13636363636363635,0.23076923076923075,0.3182779767331064
0,2,10,3428,0.0,0.0,0.0,-0.0013023118779629036
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
1,1,21,3417,0.5,0.045454545454545456,0.08333333333333334,0.14934902026466865
0,3,22,3415,0.0,0.0,0.0,-0.0023702610096394566
1,2,21,3416,0.3333333333333333,0.045454545454545456,0.08,0.12117061585641707
0,0,22,3418,0.0,0.0,0.0,0.0
0,1,22,3417,0.0,0.0,0.0,-0.0013680728471283398
0,0,32,3408,0.0,0.0,0.0,0.0
0,0,32,3408,0.0,0.0,0.0,0.0
0,0,32,3408,0.0,0.0,0.0,0.0
0,1,32,3407,0.0,0.0,0.0,-0.0016523768742467949
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,28,3412,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
2,1,28,3409,0.6666666666666666,0.06666666666666667,0.1212121212121212,0.20906511130801506
0,0,16,3424,0.0,0.0,0.0,0.0
0,0,14,3426,0.0,0.0,0.0,0.0
1,0,18,3421,1.0,0.05263157894736842,0.1,0.22881455607057088
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,14,3426,0.0,0.0,0.0,0.0
0,0,21,3419,0.0,0.0,0.0,0.0
0,0,18,3422,0.0,0.0,0.0,0.0
3,1,43,3393,0.75,0.06521739130434782,0.12,0.21881404460607862
0,0,10,3430,0.0,0.0,0.0,0.0
0,2,13,3425,0.0,0.0,0.0,-0.001485513782776043
0,0,31,3409,0.0,0.0,0.0,0.0
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,20,3420,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
0,3,17,3420,0.0,0.0,0.0,-0.0020820534403407065
0,0,10,3430,0.0,0.0,0.0,0.0
0,1,18,3421,0.0,0.0,0.0,-0.00123674499656774
0,1,28,3411,0.0,0.0,0.0,-0.0015447507562925907
0,2,17,3421,0.0,0.0,0.0,-0.0016997422621255083
0,0,13,3427,0.0,0.0,0.0,0.0
0,0,12,3428,0.0,0.0,0.0,0.0
