tp,fp,fn,tn,precision,recall,f_measure,mcc
1,1,19,2675,0.5,0.05,0.09090909090909091,0.15640701396235757
5,1,44,2646,0.8333333333333334,0.10204081632653061,0.18181818181818182,0.28819490294250366
1,4,21,2670,0.2,0.045454545454545456,0.07407407407407407,0.0919167431191059
2,0,16,2678,1.0,0.1111111111111111,0.19999999999999998,0.332342005239714
0,0,10,2686,0.0,0.0,0.0,0.0
2,4,33,2657,0.3333333333333333,0.05714285714285714,0.09756097560975609,0.13365622293882082
0,0,11,2685,0.0,0.0,0.0,0.0
0,0,31,2665,0.0,0.0,0.0,0.0
0,4,51,2641,0.0,0.0,0.0,-0.00535259911259295
0,0,23,2673,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
3,3,19,2671,0.5,0.13636363636363635,0.21428571428571427,0.2581968665351555
0,1,29,2666,0.0,0.0,0.0,-0.0020086677476767586
1,5,29,2660,0.16666666666666666,0.03333333333333333,0.05555555555555555,0.07002574356373062
0,0,10,2686,0.0,0.0,0.0,0.0
0,2,27,2667,0.0,0.0,0.0,-0.0027404620815336513
0,0,25,2671,0.0,0.0,0.0,0.0
1,3,20,2671,0.25,0.047619047619047616,0.08,0.10620126222183397
0,3,12,2681,0.0,0.0,0.0,-0.002231730855419293
1,4,18,2673,0.2,0.05263157894736842,0.08333333333333333,0.09942543850629292
1,3,12,2680,0.25,0.07692307692307693,0.11764705882352941,0.13643063951618198
0,0,17,2679,0.0,0.0,0.0,0.0
1,2,20,2673,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.12359488976331023
0,0,29,2667,0.0,0.0,0.0,0.0
1,1,47,2646,0.5,0.020833333333333332,0.039999999999999994,0.099351748711751
0,2,20,2674,0.0,0.0,0.0,-0.0023555273187102045
0,1,18,2677,0.0,0.0,0.0,-0.0015792525304918485
2,4,47,2643,0.3333333333333333,0.04081632653061224,0.07272727272727272,0.11142254020937992
3,4,51,2638,0.42857142857142855,0.05555555555555555,0.09836065573770493,0.14878072490121433
0,0,22,2674,0.0,0.0,0.0,0.0
1,1,30,2664,0.5,0.03225806451612903,0.06060606060606061,0.12484539377567401
1,3,16,2676,0.25,0.058823529411764705,0.09523809523809523,0.11867166069940885
0,1,17,2678,0.0,0.0,0.0,-0.0015344711201972358
0,0,11,2685,0.0,0.0,0.0,0.0
0,1,31,2664,0.0,0.0,0.0,-0.0020775565576029837
0,0,25,2671,0.0,0.0,0.0,0.0
0,2,15,2679,0.0,0.0,0.0,-0.0020380433842024244
2,4,37,2653,0.3333333333333333,0.05128205128205128,0.08888888888888889,0.12612509079653153
0,1,15,2680,0.0,0.0,0.0,-0.0014408469043708568
0,1,15,2679,0.0,0.0,0.0,-0.0014413831368536485
0,2,16,2678,0.0,0.0,0.0,-0.0021052748214994642
0,2,16,2677,0.0,0.0,0.0,-0.002106058622362277
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,3,52,2641,0.0,0.0,0.0,-0.004680727917280854
0,3,13,2680,0.0,0.0,0.0,-0.0023232919651811155
0,0,13,2683,0.0,0.0,0.0,0.0
0,2,16,2678,0.0,0.0,0.0,-0.0021052748214994642
2,2,12,2680,0.5,0.14285714285714285,0.22222222222222224,0.26537187493147935
1,1,37,2657,0.5,0.02631578947368421,0.05,0.11230994412549906
0,0,32,2664,0.0,0.0,0.0,0.0
