tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,1,16,2679,0.0,0.0,0.0,-0.0014883778887732093
0,0,10,2686,0.0,0.0,0.0,0.0
0,0,37,2659,0.0,0.0,0.0,0.0
0,2,17,2677,0.0,0.0,0.0,-0.0021704725916964775
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,7,2688,0.0,0.0,0.0,0.0
0,0,26,2670,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,40,2656,0.0,0.0,0.0,0.0
0,0,11,2684,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,18,2677,0.0,0.0,0.0,0.0
1,0,24,2671,1.0,0.04,0.07692307692307693,0.19910747044408436
0,2,24,2670,0.0,0.0,0.0,-0.002582281572635709
0,0,8,2688,0.0,0.0,0.0,0.0
0,2,21,2672,0.0,0.0,0.0,-0.00241504800049186
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
1,2,15,2678,0.3333333333333333,0.0625,0.10526315789473684,0.14226949448197884
0,0,9,2686,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,0,17,2679,0.0,0.0,0.0,0.0
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
0,0,39,2657,0.0,0.0,0.0,0.0
0,0,9,2687,0.0,0.0,0.0,0.0
0,0,16,2680,0.0,0.0,0.0,0.0
0,0,14,2682,0.0,0.0,0.0,0.0
0,1,38,2657,0.0,0.0,0.0,-0.0023032173597936512
0,0,42,2654,0.0,0.0,0.0,0.0
0,0,10,2686,0.0,0.0,0.0,0.0
0,2,17,2677,0.0,0.0,0.0,-0.0021704725916964775
0,0,24,2672,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,1,12,2683,0.0,0.0,0.0,-0.0012880122173518564
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,1,8,2687,0.0,0.0,0.0,-0.0010508747970294637
0,0,22,2674,0.0,0.0,0.0,0.0
0,0,19,2677,0.0,0.0,0.0,0.0
0,0,11,2685,0.0,0.0,0.0,0.0
5,0,24,2667,1.0,0.1724137931034483,0.29411764705882354,0.4133716250679681
0,0,11,2685,0.0,0.0,0.0,0.0
0,1,12,2683,0.0,0.0,0.0,-0.0012880122173518564
0,1,12,2682,0.0,0.0,0.0,-0.001288491301453335
0,0,12,2684,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,0,17,2678,0.0,0.0,0.0,0.0
0,2,42,2652,0.0,0.0,0.0,-0.003427602003980297
1,1,9,2685,0.5,0.1,0.16666666666666669,0.22244329082553707
1,0,9,2686,1.0,0.1,0.18181818181818182,0.3156993003436606
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,13,2683,0.0,0.0,0.0,0.0
0,1,12,2682,0.0,0.0,0.0,-0.001288491301453335
0,0,10,2686,0.0,0.0,0.0,0.0
1,1,29,2665,0.5,0.03333333333333333,0.0625,0.12698163435698065
0,0,8,2688,0.0,0.0,0.0,0.0
0,0,23,2673,0.0,0.0,0.0,0.0
1,0,17,2678,1.0,0.05555555555555555,0.10526315789473684,0.23495768203650946
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,7,2689,0.0,0.0,0.0,0.0
0,0,15,2681,0.0,0.0,0.0,0.0
0,0,12,2684,0.0,0.0,0.0,0.0
0,1,13,2682,0.0,0.0,0.0,-0.0013408554299288338
0,1,17,2677,0.0,0.0,0.0,-0.001535042410119028
1,1,7,2687,0.5,0.125,0.2,0.24897822978509263
0,0,8,2688,0.0,0.0,0.0,0.0
0,3,7,2686,0.0,0.0,0.0,-0.0017029271499822945
3,0,24,2669,1.0,0.1111111111111111,0.19999999999999998,0.33184467684300223
1,2,13,2680,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15238025986315068
