tp,fp,fn,tn,precision,recall,f_measure,mcc
26,0,0,3353,1.0,1.0,1.0,1.0
58,5,5,3311,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9191270798629062
27,0,0,3353,1.0,1.0,1.0,1.0
21,0,1,3357,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327
15,1,0,3364,0.9375,1.0,0.967741935483871,0.9681019557521072
45,2,0,3333,0.9574468085106383,1.0,0.9782608695652174,0.9781986646464149
15,0,0,3364,1.0,1.0,1.0,1.0
38,0,0,3341,1.0,1.0,1.0,1.0
59,3,4,3313,0.9516129032258065,0.9365079365079365,0.944,0.9429760631101594
30,0,0,3349,1.0,1.0,1.0,1.0
28,0,2,3350,1.0,0.9333333333333333,0.9655172413793104,0.965803526536081
29,0,0,3350,1.0,1.0,1.0,1.0
37,1,1,3341,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9733849885035749
35,1,2,3341,0.9722222222222222,0.9459459459459459,0.9589041095890412,0.9585473446850672
13,0,0,3366,1.0,1.0,1.0,1.0
35,0,0,3345,1.0,1.0,1.0,1.0
32,1,0,3346,0.9696969696969697,1.0,0.9846153846153847,0.9845848101931695
28,1,0,3350,0.9655172413793104,1.0,0.9824561403508771,0.9824607438904581
14,0,0,3365,1.0,1.0,1.0,1.0
25,0,0,3354,1.0,1.0,1.0,1.0
16,0,0,3364,1.0,1.0,1.0,1.0
20,0,1,3358,1.0,0.9523809523809523,0.975609756097561,0.975754795675983
26,0,0,3353,1.0,1.0,1.0,1.0
36,0,0,3343,1.0,1.0,1.0,1.0
61,4,1,3313,0.9384615384615385,0.9838709677419355,0.9606299212598426,0.9601545935592317
25,0,0,3355,1.0,1.0,1.0,1.0
21,0,1,3357,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327
55,6,5,3313,0.9016393442622951,0.9166666666666666,0.9090909090909091,0.907465780377558
61,4,7,3307,0.9384615384615385,0.8970588235294118,0.9172932330827067,0.9158761881389097
27,2,0,3351,0.9310344827586207,1.0,0.9642857142857143,0.9646134659020185
39,0,0,3341,1.0,1.0,1.0,1.0
21,1,1,3356,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542475695290709
21,0,1,3357,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327
14,0,0,3365,1.0,1.0,1.0,1.0
40,0,2,3338,1.0,0.9523809523809523,0.975609756097561,0.975607843544482
29,0,0,3350,1.0,1.0,1.0,1.0
18,0,0,3361,1.0,1.0,1.0,1.0
47,0,1,3331,1.0,0.9791666666666666,0.9894736842105264,0.9893800074388241
19,2,0,3358,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785
19,0,0,3360,1.0,1.0,1.0,1.0
21,0,0,3358,1.0,1.0,1.0,1.0
22,0,0,3358,1.0,1.0,1.0,1.0
30,0,0,3350,1.0,1.0,1.0,1.0
30,0,0,3350,1.0,1.0,1.0,1.0
61,4,6,3308,0.9384615384615385,0.9104477611940298,0.9242424242424243,0.9228437674402623
16,0,0,3363,1.0,1.0,1.0,1.0
16,0,0,3363,1.0,1.0,1.0,1.0
23,1,0,3355,0.9583333333333334,1.0,0.9787234042553191,0.978799149534327
