tp,fp,fn,tn,precision,recall,f_measure,mcc
19,2,0,3358,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785
19,2,0,3358,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785
22,0,0,3358,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
38,3,10,3328,0.926829268292683,0.7916666666666666,0.8539325842696629,0.854714060496799
20,2,0,3357,0.9090909090909091,1.0,0.9523809523809523,0.9531786938725445
15,1,2,3361,0.9375,0.8823529411764706,0.9090909090909091,0.9090668104188755
10,1,1,3367,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087939969768949
31,4,2,3342,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.9112709119494944
13,2,2,3362,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8660721363456203
11,0,0,3369,1.0,1.0,1.0,1.0
28,0,1,3351,1.0,0.9655172413793104,0.9824561403508771,0.9824607876362602
41,5,7,3326,0.8913043478260869,0.8541666666666666,0.8723404255319149,0.8707432422075415
14,0,0,3365,1.0,1.0,1.0,1.0
22,1,2,3354,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9359382368630836
24,0,0,3355,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
31,1,1,3346,0.96875,0.96875,0.96875,0.9684512249775918
26,0,4,3349,1.0,0.8666666666666667,0.9285714285714286,0.9303938771706357
11,0,0,3369,1.0,1.0,1.0,1.0
28,2,1,3349,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9488436866513957
22,1,2,3354,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9359382368630836
22,0,1,3356,1.0,0.9565217391304348,0.9777777777777777,0.9778736143472235
11,0,0,3368,1.0,1.0,1.0,1.0
21,1,0,3357,0.9545454545454546,1.0,0.9767441860465117,0.9768629353363327
11,0,0,3368,1.0,1.0,1.0,1.0
17,3,0,3359,0.85,1.0,0.9189189189189189,0.9215430119658192
15,0,0,3364,1.0,1.0,1.0,1.0
20,1,0,3358,0.9523809523809523,1.0,0.975609756097561,0.975754795675983
11,1,0,3368,0.9166666666666666,1.0,0.9565217391304348,0.957285003546612
28,1,0,3350,0.9655172413793104,1.0,0.9824561403508771,0.9824607438904581
46,3,4,3326,0.9387755102040817,0.92,0.9292929292929293,0.9282906059067382
11,0,0,3368,1.0,1.0,1.0,1.0
19,0,0,3360,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
43,1,4,3332,0.9772727272727273,0.9148936170212766,0.945054945054945,0.9448337071332036
48,6,5,3320,0.8888888888888888,0.9056603773584906,0.897196261682243,0.8955829030360293
13,1,0,3365,0.9285714285714286,1.0,0.962962962962963,0.963480960189926
19,2,1,3357,0.9047619047619048,0.95,0.9268292682926829,0.9266619509084257
28,3,2,3347,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.9174121474257705
20,6,0,3353,0.7692307692307693,1.0,0.8695652173913044,0.8762743485450557
20,4,0,3355,0.8333333333333334,1.0,0.9090909090909091,0.9123272299434989
15,0,1,3363,1.0,0.9375,0.967741935483871,0.9681019129781789
20,1,0,3358,0.9523809523809523,1.0,0.975609756097561,0.975754795675983
16,1,0,3362,0.9411764705882353,1.0,0.9696969696969697,0.969998251761493
11,2,0,3366,0.8461538461538461,1.0,0.9166666666666666,0.9195930510282037
28,3,2,3346,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.9174119252330108
21,0,0,3358,1.0,1.0,1.0,1.0
13,0,1,3365,1.0,0.9285714285714286,0.962962962962963,0.963480960189926
36,2,1,3340,0.9473684210526315,0.972972972972973,0.9599999999999999,0.9596384106432814
14,0,0,3365,1.0,1.0,1.0,1.0
15,0,0,3364,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
16,0,0,3364,1.0,1.0,1.0,1.0
20,1,1,3357,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9520831560736266
20,0,1,3358,1.0,0.9523809523809523,0.975609756097561,0.975754795675983
45,7,9,3318,0.8653846153846154,0.8333333333333334,0.8490566037735849,0.8468077678545416
12,1,0,3366,0.9230769230769231,1.0,0.9600000000000001,0.9606262379076553
12,1,0,3366,0.9230769230769231,1.0,0.9600000000000001,0.9606262379076553
9,1,0,3369,0.9,1.0,0.9473684210526316,0.9485425334087343
19,0,0,3360,1.0,1.0,1.0,1.0
15,1,0,3363,0.9375,1.0,0.967741935483871,0.9681019129781789
11,0,1,3367,1.0,0.9166666666666666,0.9565217391304348,0.9572849613510181
33,5,2,3339,0.868421052631579,0.9428571428571428,0.904109589041096,0.9038445635001713
9,0,0,3370,1.0,1.0,1.0,1.0
22,1,5,3351,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.88198027327629
22,3,1,3353,0.88,0.9565217391304348,0.9166666666666666,0.9168792493180649
10,1,0,3369,0.9090909090909091,1.0,0.9523809523809523,0.9533211154575526
11,0,0,3368,1.0,1.0,1.0,1.0
19,2,1,3358,0.9047619047619048,0.95,0.9268292682926829,0.9266620828054734
15,1,0,3363,0.9375,1.0,0.967741935483871,0.9681019129781789
16,2,0,3361,0.8888888888888888,1.0,0.9411764705882353,0.9425286522698159
20,1,1,3357,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9520831560736266
10,0,0,3369,1.0,1.0,1.0,1.0
9,0,0,3370,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
29,1,4,3345,0.9666666666666667,0.8787878787878788,0.9206349206349207,0.9209542833419188
17,1,0,3361,0.9444444444444444,1.0,0.9714285714285714,0.9716807742263525
13,0,0,3366,1.0,1.0,1.0,1.0
24,1,1,3353,0.96,0.96,0.96,0.9597018485390578
12,0,0,3367,1.0,1.0,1.0,1.0
13,1,0,3365,0.9285714285714286,1.0,0.962962962962963,0.963480960189926
39,3,7,3331,0.9285714285714286,0.8478260869565217,0.8863636363636365,0.8858078092287736
13,0,0,3366,1.0,1.0,1.0,1.0
50,9,8,3313,0.847457627118644,0.8620689655172413,0.8547008547008546,0.852174193032073
26,0,0,3353,1.0,1.0,1.0,1.0
29,0,1,3350,1.0,0.9666666666666667,0.983050847457627,0.9830453680087777
13,3,0,3363,0.8125,1.0,0.896551724137931,0.9009860413470995
9,1,0,3369,0.9,1.0,0.9473684210526316,0.9485425334087343
41,2,4,3332,0.9534883720930233,0.9111111111111111,0.9318181818181819,0.9311660063685918
25,2,2,3350,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9253292672147088
12,1,0,3366,0.9230769230769231,1.0,0.9600000000000001,0.9606262379076553
10,0,0,3369,1.0,1.0,1.0,1.0
21,1,3,3354,0.9545454545454546,0.875,0.9130434782608695,0.9133241903239784
17,1,0,3361,0.9444444444444444,1.0,0.9714285714285714,0.9716807742263525
10,1,0,3368,0.9090909090909091,1.0,0.9523809523809523,0.9533210734616223
32,0,0,3347,1.0,1.0,1.0,1.0
34,3,0,3342,0.918918918918919,1.0,0.9577464788732395,0.9581726234821889
11,0,1,3367,1.0,0.9166666666666666,0.9565217391304348,0.9572849613510181
16,0,0,3364,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
35,7,3,3334,0.8333333333333334,0.9210526315789473,0.875,0.8746266188926857
20,5,0,3354,0.8,1.0,0.888888888888889,0.8937612485421672
15,1,2,3361,0.9375,0.8823529411764706,0.9090909090909091,0.9090668104188755
12,0,0,3368,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
10,1,0,3368,0.9090909090909091,1.0,0.9523809523809523,0.9533210734616223
18,0,0,3361,1.0,1.0,1.0,1.0
16,1,0,3363,0.9411764705882353,1.0,0.9696969696969697,0.9699982946446994
10,1,0,3368,0.9090909090909091,1.0,0.9523809523809523,0.9533210734616223
10,1,0,3368,0.9090909090909091,1.0,0.9523809523809523,0.9533210734616223
