tp,fp,fn,tn,precision,recall,f_measure,mcc
27,0,0,3413,1.0,1.0,1.0,1.0
54,4,9,3373,0.9310344827586207,0.8571428571428571,0.8925619834710743,0.8914308333289352
27,0,0,3413,1.0,1.0,1.0,1.0
21,0,1,3418,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192
15,0,0,3425,1.0,1.0,1.0,1.0
42,2,3,3393,0.9545454545454546,0.9333333333333333,0.9438202247191012,0.9431451572436482
16,0,0,3424,1.0,1.0,1.0,1.0
38,0,0,3402,1.0,1.0,1.0,1.0
62,3,1,3374,0.9538461538461539,0.9841269841269841,0.96875,0.9682804591830889
30,2,0,3408,0.9375,1.0,0.967741935483871,0.9679618518451881
28,1,2,3409,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9488515190755508
29,1,0,3410,0.9666666666666667,1.0,0.983050847457627,0.9830479488882264
36,2,2,3400,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9467805315758532
38,0,0,3402,1.0,1.0,1.0,1.0
13,0,0,3427,1.0,1.0,1.0,1.0
33,2,2,3403,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9422697713446612
32,0,0,3408,1.0,1.0,1.0,1.0
28,1,0,3411,0.9655172413793104,1.0,0.9824561403508771,0.9824633654554971
14,0,0,3426,1.0,1.0,1.0,1.0
25,0,0,3415,1.0,1.0,1.0,1.0
16,0,0,3424,1.0,1.0,1.0,1.0
21,1,0,3418,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192
26,0,0,3414,1.0,1.0,1.0,1.0
36,0,0,3404,1.0,1.0,1.0,1.0
56,4,7,3373,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9092225639715541
25,0,0,3415,1.0,1.0,1.0,1.0
22,1,0,3417,0.9565217391304348,1.0,0.9777777777777777,0.9778762144348188
53,3,8,3376,0.9464285714285714,0.8688524590163934,0.9059829059829059,0.9052152184905209
62,4,7,3367,0.9393939393939394,0.8985507246376812,0.9185185185185185,0.9171241337848406
27,1,0,3412,0.9642857142857143,1.0,0.9818181818181818,0.9818366366734474
38,0,1,3401,1.0,0.9743589743589743,0.9870129870129869,0.9869511470509365
22,0,0,3418,1.0,1.0,1.0,1.0
22,1,0,3417,0.9565217391304348,1.0,0.9777777777777777,0.9778762144348188
14,0,0,3426,1.0,1.0,1.0,1.0
42,1,0,3397,0.9767441860465116,1.0,0.988235294117647,0.9881582561808545
29,0,0,3411,1.0,1.0,1.0,1.0
18,0,0,3422,1.0,1.0,1.0,1.0
47,0,2,3391,1.0,0.9591836734693877,0.9791666666666666,0.9790905390930077
19,0,0,3421,1.0,1.0,1.0,1.0
19,0,0,3421,1.0,1.0,1.0,1.0
21,0,0,3419,1.0,1.0,1.0,1.0
22,0,0,3418,1.0,1.0,1.0,1.0
30,0,0,3410,1.0,1.0,1.0,1.0
30,1,0,3409,0.967741935483871,1.0,0.9836065573770492,0.9835944998803484
66,2,1,3371,0.9705882352941176,0.9850746268656716,0.9777777777777777,0.9773609269301436
16,0,0,3424,1.0,1.0,1.0,1.0
16,0,0,3424,1.0,1.0,1.0,1.0
24,2,0,3414,0.9230769230769231,1.0,0.9600000000000001,0.9604876261116169
17,2,0,3421,0.8947368421052632,1.0,0.9444444444444444,0.9456289244541289
41,2,3,3394,0.9534883720930233,0.9318181818181818,0.942528735632184,0.9418566061817014
