tp,fp,fn,tn,precision,recall,f_measure,mcc
20,3,0,3417,0.8695652173913043,1.0,0.9302325581395349,0.932095725172485
20,3,0,3417,0.8695652173913043,1.0,0.9302325581395349,0.932095725172485
22,1,0,3417,0.9565217391304348,1.0,0.9777777777777777,0.9778762144348188
10,0,1,3429,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109
47,4,1,3388,0.9215686274509803,0.9791666666666666,0.9494949494949494,0.9492070104029895
20,0,1,3419,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547
17,0,0,3423,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
25,2,8,3405,0.9259259259259259,0.7575757575757576,0.8333333333333334,0.8361465935628586
15,0,0,3425,1.0,1.0,1.0,1.0
11,0,0,3429,1.0,1.0,1.0,1.0
29,1,0,3410,0.9666666666666667,1.0,0.983050847457627,0.9830479488882264
44,7,5,3384,0.8627450980392157,0.8979591836734694,0.8799999999999999,0.8784117263280293
10,1,5,3424,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.7777039945158153
25,1,0,3414,0.9615384615384616,1.0,0.9803921568627451,0.9804370955341082
23,2,1,3414,0.92,0.9583333333333334,0.9387755102040817,0.9385348004891291
24,4,0,3412,0.8571428571428571,1.0,0.923076923076923,0.9252778917613175
32,4,0,3404,0.8888888888888888,1.0,0.9411764705882353,0.9422555874447995
30,1,0,3409,0.967741935483871,1.0,0.9836065573770492,0.9835944998803484
11,0,0,3429,1.0,1.0,1.0,1.0
27,2,2,3409,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9304481444414117
24,2,0,3414,0.9230769230769231,1.0,0.9600000000000001,0.9604876261116169
23,1,0,3416,0.9583333333333334,1.0,0.9787234042553191,0.9788017536204406
11,0,0,3429,1.0,1.0,1.0,1.0
21,2,0,3417,0.9130434782608695,1.0,0.9545454545454545,0.9552535676650579
11,0,0,3429,1.0,1.0,1.0,1.0
18,1,0,3421,0.9473684210526315,1.0,0.972972972972973,0.973186300068424
16,1,0,3423,0.9411764705882353,1.0,0.9696969696969697,0.9700008217947925
18,0,2,3420,1.0,0.9,0.9473684210526316,0.9484060268775449
11,1,0,3428,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936
29,2,0,3409,0.9354838709677419,1.0,0.9666666666666666,0.9669205556451174
44,7,7,3382,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8606795919902337
12,2,0,3426,0.8571428571428571,1.0,0.923076923076923,0.9255499844933457
19,0,0,3421,1.0,1.0,1.0,1.0
17,0,0,3423,1.0,1.0,1.0,1.0
42,3,5,3390,0.9333333333333333,0.8936170212765957,0.9130434782608695,0.912086919576506
48,10,6,3376,0.8275862068965517,0.8888888888888888,0.8571428571428572,0.8553457231319739
13,0,0,3427,1.0,1.0,1.0,1.0
20,2,1,3417,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9300487150851133
28,2,2,3408,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9327468230694037
21,1,0,3418,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192
20,1,1,3418,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9520884691987354
16,0,0,3424,1.0,1.0,1.0,1.0
21,2,0,3417,0.9130434782608695,1.0,0.9545454545454545,0.9552535676650579
16,0,0,3424,1.0,1.0,1.0,1.0
11,1,0,3428,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936
