tp,fp,fn,tn,precision,recall,f_measure,mcc
20,1,0,2675,0.9523809523809523,1.0,0.975609756097561,0.9757177128473525
41,1,8,2646,0.9761904761904762,0.8367346938775511,0.9010989010989012,0.9021765915313545
21,2,1,2672,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9330068438932853
17,0,1,2678,1.0,0.9444444444444444,0.9714285714285714,0.9716439205067058
10,1,0,2685,0.9090909090909091,1.0,0.9523809523809523,0.953285085271375
32,1,3,2660,0.9696969696969697,0.9142857142857143,0.9411764705882354,0.9408432980776004
10,0,1,2685,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375
28,0,3,2665,1.0,0.9032258064516129,0.9491525423728813,0.9498474536629371
45,3,6,2642,0.9375,0.8823529411764706,0.9090909090909091,0.9078247827383138
22,0,1,2673,1.0,0.9565217391304348,0.9777777777777777,0.9778364010334795
22,0,1,2673,1.0,0.9565217391304348,0.9777777777777777,0.9778364010334795
21,1,1,2673,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9541714829672945
28,2,1,2665,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9487294843927832
30,0,0,2665,1.0,1.0,1.0,1.0
10,0,0,2686,1.0,1.0,1.0,1.0
27,0,0,2669,1.0,1.0,1.0,1.0
24,0,1,2671,1.0,0.96,0.9795918367346939,0.979612534915144
21,0,0,2674,1.0,1.0,1.0,1.0
12,0,0,2684,1.0,1.0,1.0,1.0
19,1,0,2676,0.95,1.0,0.9743589743589743,0.974497370514709
13,0,0,2683,1.0,1.0,1.0,1.0
17,0,0,2679,1.0,1.0,1.0,1.0
21,1,0,2674,0.9545454545454546,1.0,0.9767441860465117,0.9768257854516303
29,0,0,2667,1.0,1.0,1.0,1.0
43,3,5,2644,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9135979564515596
20,1,0,2675,0.9523809523809523,1.0,0.975609756097561,0.9757177128473525
18,0,0,2678,1.0,1.0,1.0,1.0
41,5,8,2642,0.8913043478260869,0.8367346938775511,0.8631578947368421,0.8611511883759269
47,2,7,2640,0.9591836734693877,0.8703703703703703,0.912621359223301,0.9120412543121108
22,1,0,2673,0.9565217391304348,1.0,0.9777777777777777,0.9778364010334795
30,1,1,2664,0.967741935483871,0.967741935483871,0.967741935483871,0.9673667009622949
16,0,1,2679,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557
16,0,1,2679,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557
10,0,1,2685,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375
29,0,2,2665,1.0,0.9354838709677419,0.9666666666666666,0.966841427409463
23,0,2,2671,1.0,0.92,0.9583333333333334,0.9588074023844364
14,0,1,2681,1.0,0.9333333333333333,0.9655172413793104,0.9659116596913074
37,0,2,2657,1.0,0.9487179487179487,0.9736842105263158,0.9736551538840976
15,1,0,2680,0.9375,1.0,0.967741935483871,0.9680652442092311
15,0,0,2680,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
16,0,0,2679,1.0,1.0,1.0,1.0
24,0,0,2672,1.0,1.0,1.0,1.0
23,0,1,2672,1.0,0.9583333333333334,0.9787234042553191,0.9787618759568957
50,0,2,2644,1.0,0.9615384615384616,0.9803921568627451,0.9802100158116063
13,1,0,2682,0.9285714285714286,1.0,0.962962962962963,0.9634445153273044
13,0,0,2683,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
11,2,3,2680,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8144485643537248
38,5,0,2653,0.8837209302325582,1.0,0.9382716049382717,0.9391797222869913
31,1,1,2663,0.96875,0.96875,0.96875,0.9683746246246246
23,1,1,2670,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9579589417197055
10,0,0,2686,1.0,1.0,1.0,1.0
16,0,1,2679,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557
24,0,0,2672,1.0,1.0,1.0,1.0
10,0,0,2686,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
10,0,0,2686,1.0,1.0,1.0,1.0
29,0,3,2664,1.0,0.90625,0.9508196721311475,0.9514360704616354
16,1,0,2679,0.9411764705882353,1.0,0.9696969696969697,0.9699614865230557
24,2,3,2667,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.9048885060931672
13,0,0,2683,1.0,1.0,1.0,1.0
41,2,2,2651,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9527345085423259
46,0,4,2645,1.0,0.92,0.9583333333333334,0.9584418587097453
23,0,1,2672,1.0,0.9583333333333334,0.9787234042553191,0.9787618759568957
27,1,0,2668,0.9642857142857143,1.0,0.9818181818181818,0.981796528447974
11,0,0,2685,1.0,1.0,1.0,1.0
42,0,4,2650,1.0,0.9130434782608695,0.9545454545454545,0.9548127442385764
28,0,4,2664,1.0,0.875,0.9333333333333333,0.9347128735189427
13,0,1,2682,1.0,0.9285714285714286,0.962962962962963,0.9634445153273044
8,0,2,2686,1.0,0.8,0.888888888888889,0.8940943808708126
22,0,2,2672,1.0,0.9166666666666666,0.9565217391304348,0.9570689902544678
18,0,0,2678,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
30,1,1,2664,0.967741935483871,0.967741935483871,0.967741935483871,0.9673667009622949
31,2,1,2662,0.9393939393939394,0.96875,0.9538461538461539,0.9533987248535134
14,0,0,2682,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
34,2,5,2655,0.9444444444444444,0.8717948717948718,0.9066666666666667,0.9060980166167362
16,0,1,2678,1.0,0.9411764705882353,0.9696969696969697,0.9699614189491405
16,0,1,2679,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557
16,0,0,2680,1.0,1.0,1.0,1.0
10,0,1,2685,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375
11,0,0,2685,1.0,1.0,1.0,1.0
28,0,2,2666,1.0,0.9333333333333333,0.9655172413793104,0.9657296118264267
17,1,1,2676,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9440708919603205
14,0,0,2682,1.0,1.0,1.0,1.0
15,1,1,2679,0.9375,0.9375,0.9375,0.9371268656716418
16,0,2,2678,1.0,0.8888888888888888,0.9411764705882353,0.9424571815057742
14,0,0,2682,1.0,1.0,1.0,1.0
43,0,0,2652,1.0,1.0,1.0,1.0
10,0,0,2686,1.0,1.0,1.0,1.0
49,2,1,2644,0.9607843137254902,0.98,0.9702970297029702,0.9697794524581843
21,2,1,2672,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9330068438932853
10,0,2,2684,1.0,0.8333333333333334,0.9090909090909091,0.9125310032915211
44,3,3,2646,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9350377099347004
17,1,0,2678,0.9444444444444444,1.0,0.9714285714285714,0.9716439205067058
22,1,0,2672,0.9565217391304348,1.0,0.9777777777777777,0.9778363326047775
11,0,0,2684,1.0,1.0,1.0,1.0
11,0,2,2683,1.0,0.8461538461538461,0.9166666666666666,0.9195235526941755
12,0,0,2684,1.0,1.0,1.0,1.0
17,1,1,2677,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9440710314496722
13,0,0,2683,1.0,1.0,1.0,1.0
14,0,0,2682,1.0,1.0,1.0,1.0
17,0,0,2678,1.0,1.0,1.0,1.0
23,0,1,2671,1.0,0.9583333333333334,0.9787234042553191,0.978761807412152
12,0,0,2684,1.0,1.0,1.0,1.0
29,1,5,2661,0.9666666666666667,0.8529411764705882,0.90625,0.9069441594421277
32,0,2,2662,1.0,0.9411764705882353,0.9696969696969697,0.9697782641647277
21,0,1,2674,1.0,0.9545454545454546,0.9767441860465117,0.9768257854516303
10,1,0,2685,0.9090909090909091,1.0,0.9523809523809523,0.953285085271375
20,0,0,2676,1.0,1.0,1.0,1.0
20,2,0,2674,0.9090909090909091,1.0,0.9523809523809523,0.9531062212311834
20,0,0,2676,1.0,1.0,1.0,1.0
20,0,0,2676,1.0,1.0,1.0,1.0
20,0,0,2676,1.0,1.0,1.0,1.0
29,0,0,2667,1.0,1.0,1.0,1.0
29,0,0,2667,1.0,1.0,1.0,1.0
28,0,1,2667,1.0,0.9655172413793104,0.9824561403508771,0.9824232048144038
28,2,1,2665,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9487294843927832
28,1,2,2665,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9487294843927832
23,0,1,2672,1.0,0.9583333333333334,0.9787234042553191,0.9787618759568957
27,1,0,2668,0.9642857142857143,1.0,0.9818181818181818,0.981796528447974
17,0,1,2678,1.0,0.9444444444444444,0.9714285714285714,0.9716439205067058
20,1,0,2675,0.9523809523809523,1.0,0.975609756097561,0.9757177128473525
17,1,0,2678,0.9444444444444444,1.0,0.9714285714285714,0.9716439205067058
40,3,3,2650,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9291017628134889
14,0,0,2682,1.0,1.0,1.0,1.0
30,0,1,2665,1.0,0.967741935483871,0.9836065573770492,0.9835542392311524
14,0,1,2681,1.0,0.9333333333333333,0.9655172413793104,0.9659116596913074
18,0,0,2678,1.0,1.0,1.0,1.0
9,0,2,2685,1.0,0.8181818181818182,0.9,0.9041973376361119
17,2,1,2675,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9186991483649777
26,1,3,2666,0.9629629629629629,0.896551724137931,0.9285714285714286,0.9284275530610612
16,0,2,2677,1.0,0.8888888888888888,0.9411764705882353,0.9424570501411667
15,1,0,2680,0.9375,1.0,0.967741935483871,0.9680652442092311
16,0,0,2680,1.0,1.0,1.0,1.0
26,1,1,2668,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9625882908011046
21,0,0,2675,1.0,1.0,1.0,1.0
17,0,1,2678,1.0,0.9444444444444444,0.9714285714285714,0.9716439205067058
26,0,2,2667,1.0,0.9285714285714286,0.962962962962963,0.963263000868539
14,0,1,2681,1.0,0.9333333333333333,0.9655172413793104,0.9659116596913074
13,0,0,2683,1.0,1.0,1.0,1.0
18,0,0,2678,1.0,1.0,1.0,1.0
29,1,1,2664,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9662914321450907
18,0,0,2678,1.0,1.0,1.0,1.0
15,0,0,2681,1.0,1.0,1.0,1.0
14,0,0,2682,1.0,1.0,1.0,1.0
27,0,1,2668,1.0,0.9642857142857143,0.9818181818181818,0.981796528447974
20,0,4,2672,1.0,0.8333333333333334,0.9090909090909091,0.9121884087589801
18,0,0,2678,1.0,1.0,1.0,1.0
18,0,0,2678,1.0,1.0,1.0,1.0
18,1,0,2677,0.9473684210526315,1.0,0.972972972972973,0.9731467830565816
15,0,0,2681,1.0,1.0,1.0,1.0
14,1,1,2680,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9329603381822703
15,3,0,2678,0.8333333333333334,1.0,0.9090909090909091,0.912360041571131
49,2,3,2642,0.9607843137254902,0.9423076923076923,0.9514563106796117,0.950557605666768
25,2,0,2669,0.9259259259259259,1.0,0.9615384615384615,0.9618901226870517
9,0,2,2685,1.0,0.8181818181818182,0.9,0.9041973376361119
13,0,0,2683,1.0,1.0,1.0,1.0
30,0,2,2664,1.0,0.9375,0.967741935483871,0.9678825854280021
24,1,0,2671,0.96,1.0,0.9795918367346939,0.979612534915144
8,0,2,2686,1.0,0.8,0.888888888888889,0.8940943808708126
27,0,3,2666,1.0,0.9,0.9473684210526316,0.9481499803105954
23,0,1,2671,1.0,0.9583333333333334,0.9787234042553191,0.978761807412152
10,0,0,2685,1.0,1.0,1.0,1.0
24,0,0,2672,1.0,1.0,1.0,1.0
50,1,2,2643,0.9803921568627451,0.9615384615384616,0.970873786407767,0.9703541580945219
24,0,1,2671,1.0,0.96,0.9795918367346939,0.979612534915144
23,1,2,2670,0.9583333333333334,0.92,0.9387755102040817,0.9384133056294329
25,1,0,2670,0.9615384615384616,1.0,0.9803921568627451,0.9803970979160846
36,6,9,2644,0.8571428571428571,0.8,0.8275862068965518,0.8252680516032732
25,0,0,2671,1.0,1.0,1.0,1.0
16,0,0,2679,1.0,1.0,1.0,1.0
16,0,0,2679,1.0,1.0,1.0,1.0
12,3,2,2679,0.8,0.8571428571428571,0.8275862068965518,0.8271522503809348
17,0,2,2677,1.0,0.8947368421052632,0.9444444444444444,0.9455521555175859
11,1,0,2684,0.9166666666666666,1.0,0.9565217391304348,0.9572487993261195
17,0,0,2679,1.0,1.0,1.0,1.0
18,0,1,2676,1.0,0.9473684210526315,0.972972972972973,0.9731467151594186
