tp,fp,fn,tn,precision,recall,f_measure,mcc
12,0,3,2681,1.0,0.8,0.888888888888889,0.8939271850774906
12,1,3,2680,0.9230769230769231,0.8,0.8571428571428571,0.858616987516365
15,0,1,2680,1.0,0.9375,0.967741935483871,0.9680652442092311
8,0,2,2686,1.0,0.8,0.888888888888889,0.8940943808708126
23,1,14,2658,0.9583333333333334,0.6216216216216216,0.7540983606557377,0.7694837753387608
14,0,3,2679,1.0,0.8235294117647058,0.9032258064516129,0.9069775288980665
12,3,2,2679,0.8,0.8571428571428571,0.8275862068965518,0.8271522503809348
7,0,0,2688,1.0,1.0,1.0,1.0
21,0,5,2670,1.0,0.8076923076923077,0.8936170212765957,0.8978767189566086
7,1,5,2683,0.875,0.5833333333333334,0.7000000000000001,0.713446763466521
6,0,2,2688,1.0,0.75,0.8571428571428571,0.865703401392276
17,0,7,2672,1.0,0.7083333333333334,0.8292682926829268,0.8405251443904692
27,2,13,2654,0.9310344827586207,0.675,0.7826086956521738,0.7902282280651013
5,0,6,2684,1.0,0.45454545454545453,0.625,0.6734475469648777
16,1,3,2676,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.8895366726180405
14,0,5,2677,1.0,0.7368421052631579,0.8484848484848484,0.8575945574555801
17,2,1,2675,0.8947368421052632,0.9444444444444444,0.918918918918919,0.9186991483649777
22,5,3,2666,0.8148148148148148,0.88,0.8461538461538461,0.8452956331809763
20,1,4,2671,0.9523809523809523,0.8333333333333334,0.888888888888889,0.8899712452450633
7,0,1,2688,1.0,0.875,0.9333333333333333,0.9352403970226753
16,0,5,2674,1.0,0.7619047619047619,0.8648648648648648,0.8720566307308787
16,0,3,2677,1.0,0.8421052631578947,0.9142857142857143,0.9171491743509169
9,0,8,2678,1.0,0.5294117647058824,0.6923076923076924,0.7265225125465244
9,1,1,2685,0.9,0.9,0.9,0.8996276991809382
16,1,0,2679,0.9411764705882353,1.0,0.9696969696969697,0.9699614865230557
7,0,2,2686,1.0,0.7777777777777778,0.8750000000000001,0.8815889484754639
12,1,2,2681,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8889465398405145
11,0,2,2683,1.0,0.8461538461538461,0.9166666666666666,0.9195235526941755
11,0,6,2679,1.0,0.6470588235294118,0.7857142857142858,0.803500393294439
7,0,1,2688,1.0,0.875,0.9333333333333333,0.9352403970226753
19,0,4,2673,1.0,0.8260869565217391,0.9047619047619047,0.9082139666306033
30,0,9,2657,1.0,0.7692307692307693,0.8695652173913044,0.8755763622802146
7,0,2,2687,1.0,0.7777777777777778,0.8750000000000001,0.8815890705343203
13,0,3,2680,1.0,0.8125,0.896551724137931,0.9008837339246081
10,0,4,2682,1.0,0.7142857142857143,0.8333333333333333,0.8445247170212506
25,0,13,2658,1.0,0.6578947368421053,0.7936507936507937,0.8091308320070979
26,1,16,2653,0.9629629629629629,0.6190476190476191,0.7536231884057971,0.7694467590967293
