tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,9.0,23.0,3347.0,0.0,0.0,0.0,-0.0042781819022362135,0.0,0.0,0.0,0.008100349523754038
0.0,9.0,24.0,3346.0,0.0,0.0,0.0,-0.004370847588365395,0.0,0.0,0.0,0.006374538765447241
8.0,2302.0,12.0,1058.0,0.003463203463203463,0.4,0.0068669527896995704,-0.047012461354284336,0.0,0.0,0.0,0.006669203966827162
2.0,130.0,9.0,3238.0,0.015151515151515152,0.18181818181818182,0.027972027972027975,0.04210723767801946,0.0,0.0,0.0,0.003524460246262343
2.0,35.0,40.0,3302.0,0.05405405405405406,0.047619047619047616,0.05063291139240506,0.039530331337452325,0.13333333333333333,0.1,0.047619047619047616,0.018173404665267928
0.0,48.0,24.0,3307.0,0.0,0.0,0.0,-0.010152959667198659,0.0,0.0,0.0,0.006185903186032792
0.0,21.0,14.0,3344.0,0.0,0.0,0.0,-0.005100829241029954,0.0,0.0,0.0,0.005606594857013437
1.0,41.0,9.0,3328.0,0.023809523809523808,0.1,0.038461538461538464,0.04306175355639202,0.0,0.0,0.0,0.003733457174042451
1.0,168.0,39.0,3171.0,0.005917159763313609,0.025,0.009569377990430622,-0.012560620581036689,0.0,0.0,0.0,0.00965404669352473
0.0,12.0,14.0,3353.0,0.0,0.0,0.0,-0.003850707655619809,0.0,0.05,0.0,0.0052596584739635415
1.0,30.0,9.0,3340.0,0.03225806451612903,0.1,0.04878048780487805,0.05190210887383106,0.06666666666666667,0.05,0.1,0.0037101747681619725
21.0,1856.0,12.0,1491.0,0.011188066062866276,0.6363636363636364,0.021989528795811522,0.01619287389233101,0.0,0.0,0.0,0.008448215926924236
2.0,116.0,43.0,3218.0,0.01694915254237288,0.044444444444444446,0.024539877300613494,0.006026471459850334,0.0,0.0,0.022222222222222223,0.01476944380787351
0.0,20.0,15.0,3344.0,0.0,0.0,0.0,-0.00515261426916227,0.0,0.0,0.0,0.005033377381227313
20.0,2044.0,9.0,1306.0,0.009689922480620155,0.6896551724137931,0.019111323459149548,0.015041915330578385,0.0,0.0,0.0,0.007116980553214385
