tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,124.0,19.0,2553.0,0.0,0.0,0.0,-0.01849813630850683,0.0,0.0,0.0,0.005768411264715533
0.0,109.0,15.0,2572.0,0.0,0.0,0.0,-0.01535367195041827,0.0,0.0,0.0,0.006379186503394193
11.0,2081.0,4.0,600.0,0.005258126195028681,0.7333333333333333,0.01044138585666825,-0.007647930198764564,0.0,0.0,0.0,0.006138377562603777
0.0,10.0,9.0,2677.0,0.0,0.0,0.0,-0.0035312983974735584,0.0,0.0,0.0,0.004148656920933943
0.0,19.0,39.0,2638.0,0.0,0.0,0.0,-0.010206789100742943,0.0,0.0,0.0,0.019902956601647277
0.0,44.0,16.0,2636.0,0.0,0.0,0.0,-0.009952499689118691,0.0,0.0,0.0,0.00653204616759707
1.0,22.0,10.0,2663.0,0.043478260869565216,0.09090909090909091,0.0588235294117647,0.05733127259191938,0.06666666666666667,0.05,0.09090909090909091,0.007131911700159162
8.0,2365.0,0.0,322.0,0.00337126000842815,1.0,0.006719865602687947,0.0200997301593837,0.06666666666666667,0.05,0.125,0.0028764336434698393
0.0,48.0,23.0,2625.0,0.0,0.0,0.0,-0.01248895402709898,0.0,0.0,0.0,0.01601744484619019
0.0,47.0,15.0,2634.0,0.0,0.0,0.0,-0.00996334508017522,0.0,0.0,0.0,0.004680629350618437
0.0,19.0,8.0,2669.0,0.0,0.0,0.0,-0.004596031284329645,0.0,0.0,0.0,0.004553262116091201
16.0,2027.0,4.0,649.0,0.00783162016642193,0.8,0.015511391177896268,0.008517721408708625,0.0,0.0,0.0,0.00932268754625061
15.0,1213.0,22.0,1446.0,0.012214983713355049,0.40540540540540543,0.023715415019762844,-0.011863154536324456,0.06666666666666667,0.05,0.02702702702702703,0.015725802734763806
0.0,23.0,12.0,2660.0,0.0,0.0,0.0,-0.0062047741461006885,0.0,0.0,0.0,0.004650725640139204
15.0,1943.0,9.0,729.0,0.007660878447395302,0.625,0.01513622603430878,-0.021523629931151884,0.0,0.0,0.0,0.00694571714244051
13.0,1926.0,5.0,752.0,0.006704486848891181,0.7222222222222222,0.013285641287685234,0.0005488762922602178,0.0,0.0,0.0,0.007355558979663239
0.0,5.0,16.0,2674.0,0.0,0.0,0.0,-0.0033318274100162283,0.0,0.0,0.0,0.013690914775243333
14.0,1748.0,10.0,924.0,0.007945516458569807,0.5833333333333334,0.015677491601343786,-0.013987435110464495,0.0,0.0,0.0,0.009706475177966014
17.0,1696.0,9.0,974.0,0.0099241097489784,0.6538461538461539,0.019551466359977,0.0037847441926446936,0.06666666666666667,0.1,0.07692307692307693,0.008922620510376799
0.0,7.0,13.0,2676.0,0.0,0.0,0.0,-0.0035515256754404105,0.0,0.0,0.0,0.006759215807398395
0.0,18.0,22.0,2655.0,0.0,0.0,0.0,-0.007439160487522365,0.0,0.0,0.0,0.010226545076562309
1.0,79.0,19.0,2597.0,0.0125,0.05,0.020000000000000004,0.010355918846293078,0.0,0.0,0.0,0.008964959642632884
0.0,24.0,16.0,2655.0,0.0,0.0,0.0,-0.007325584990867003,0.0,0.0,0.0,0.007587147933698878
0.0,5.0,13.0,2678.0,0.0,0.0,0.0,-0.0030004714110909328,0.0,0.0,0.0,0.0038487036416666354
12.0,2327.0,1.0,356.0,0.005130397605814451,0.9230769230769231,0.01020408163265306,0.011396942947166491,0.0,0.0,0.0,0.006309799278517477
0.0,39.0,11.0,2645.0,0.0,0.0,0.0,-0.007757528057080393,0.0,0.0,0.0,0.00410316548319676
12.0,1875.0,10.0,799.0,0.006359300476947536,0.5454545454545454,0.012572027239392353,-0.03057299847717527,0.0,0.0,0.0,0.004689484740115976
0.0,7.0,13.0,2676.0,0.0,0.0,0.0,-0.0035515256754404105,0.0,0.0,0.0,0.005364050339049157
1.0,82.0,13.0,2600.0,0.012048192771084338,0.07142857142857142,0.02061855670103093,0.016998993348728786,0.0,0.0,0.0,0.006858244111188999
7.0,2279.0,1.0,409.0,0.0030621172353455816,0.875,0.006102877070619006,0.004113610615540582,0.0,0.0,0.0,0.003157662526721093
18.0,1703.0,8.0,967.0,0.010459035444509006,0.6923076923076923,0.0206067544361763,0.01108119192384815,0.06666666666666667,0.05,0.038461538461538464,0.008384222405412855
4.0,130.0,38.0,2524.0,0.029850746268656716,0.09523809523809523,0.045454545454545456,0.02635699185287543,0.13333333333333333,0.1,0.047619047619047616,0.014885405454562493
10.0,2307.0,3.0,376.0,0.0043159257660768235,0.7692307692307693,0.008583690987124462,-0.018061751444534646,0.0,0.0,0.0,0.0030895670556349538
19.0,2540.0,2.0,135.0,0.007424775302852677,0.9047619047619048,0.014728682170542635,-0.017921362409904166,0.0,0.0,0.0,0.005494530437604993
0.0,30.0,12.0,2654.0,0.0,0.0,0.0,-0.0070929993834208,0.0,0.0,0.0,0.007964093262409554
1.0,55.0,35.0,2605.0,0.017857142857142856,0.027777777777777776,0.021739130434782608,0.005715060958525825,0.0,0.0,0.027777777777777776,0.017076658232062985
4.0,430.0,32.0,2230.0,0.009216589861751152,0.1111111111111111,0.01702127659574468,-0.0157856375876321,0.0,0.0,0.0,0.016765936200878906
4.0,2604.0,0.0,88.0,0.0015337423312883436,1.0,0.0030627871362940273,0.007080762218389928,0.0,0.0,0.0,0.004198398597255018
12.0,2002.0,3.0,679.0,0.005958291956305859,0.8,0.011828486939379004,0.00911388427041607,0.0,0.0,0.0,0.0065149567138252686
0.0,17.0,24.0,2655.0,0.0,0.0,0.0,-0.007549627045423376,0.0,0.0,0.0,0.00947507276527911
0.0,40.0,15.0,2640.0,0.0,0.0,0.0,-0.009182817759372944,0.0,0.0,0.0,0.008204000955327343
0.0,47.0,16.0,2632.0,0.0,0.0,0.0,-0.010295882393195762,0.0,0.0,0.0,0.00819966483066189
0.0,25.0,9.0,2662.0,0.0,0.0,0.0,-0.005599129108016924,0.0,0.0,0.0,0.00995213454998629
0.0,44.0,21.0,2630.0,0.0,0.0,0.0,-0.011416958443717882,0.0,0.0,0.0,0.007725921576205692
0.0,90.0,10.0,2596.0,0.0,0.0,0.0,-0.011339164215655473,0.0,0.0,0.0,0.005301168105417971
0.0,4.0,6.0,2686.0,0.0,0.0,0.0,-0.001820505322863066,0.0,0.0,0.0,0.01337242738877603
1.0,14.0,22.0,2659.0,0.06666666666666667,0.043478260869565216,0.052631578947368425,0.0472819299485292,0.06666666666666667,0.05,0.043478260869565216,0.014780093623403339
0.0,24.0,23.0,2649.0,0.0,0.0,0.0,-0.008791274334942176,0.0,0.0,0.0,0.006860604257107048
13.0,2319.0,1.0,363.0,0.005574614065180103,0.9285714285714286,0.011082693947144074,0.013443206574307762,0.0,0.0,0.0,0.004010230271717902
0.0,53.0,33.0,2610.0,0.0,0.0,0.0,-0.015763793602504215,0.0,0.0,0.0,0.01144238538768272
4.0,1488.0,7.0,1197.0,0.002680965147453083,0.36363636363636365,0.0053226879574184965,-0.024433627361071703,0.0,0.0,0.0,0.004137133644033892
0.0,9.0,15.0,2672.0,0.0,0.0,0.0,-0.004328970676820338,0.0,0.0,0.0,0.005667815409462302
0.0,6.0,11.0,2678.0,0.0,0.0,0.0,-0.0030240245383410407,0.0,0.0,0.0,0.005104633125522776
0.0,3.0,14.0,2679.0,0.0,0.0,0.0,-0.0024114434492284583,0.0,0.0,0.0,0.0062755098345552455
0.0,42.0,14.0,2639.0,0.0,0.0,0.0,-0.009092255495647928,0.0,0.0,0.0,0.008415211795053015
1.0,58.0,21.0,2615.0,0.01694915254237288,0.045454545454545456,0.02469135802469136,0.014607869403220395,0.06666666666666667,0.05,0.045454545454545456,0.006498590968217042
1.0,159.0,47.0,2489.0,0.00625,0.020833333333333332,0.009615384615384614,-0.02194642618454992,0.0,0.0,0.020833333333333332,0.0168113820951667
9.0,2326.0,2.0,359.0,0.003854389721627409,0.8181818181818182,0.007672634271099744,-0.009005929583363213,0.0,0.0,0.0,0.003672292718586981
4.0,2343.0,0.0,349.0,0.0017043033659991478,1.0,0.003402807316035729,0.014864442883401862,0.0,0.0,0.0,0.004344918857911108
7.0,2437.0,1.0,251.0,0.0028641571194762683,0.875,0.005709624796084828,-0.00590878810248503,0.0,0.0,0.0,0.0025786070914679176
14.0,2039.0,5.0,638.0,0.006819288845591817,0.7368421052631579,0.013513513513513513,-0.004874189427586751,0.0,0.0,0.0,0.0044333443805044895
0.0,35.0,13.0,2647.0,0.0,0.0,0.0,-0.007986113777415569,0.0,0.0,0.0,0.005990199731315351
0.0,45.0,8.0,2643.0,0.0,0.0,0.0,-0.007107743622253651,0.0,0.0,0.0,0.0050683866262089105
27.0,2206.0,8.0,455.0,0.012091356918943126,0.7714285714285715,0.02380952380952381,-0.017282894562786963,0.0,0.0,0.0,0.010681461135754895
0.0,67.0,9.0,2620.0,0.0,0.0,0.0,-0.009239097065300081,0.0,0.0,0.0,0.003075631072252924
1.0,43.0,19.0,2633.0,0.022727272727272728,0.05,0.03125000000000001,0.022979717938540048,0.0,0.0,0.0,0.009607032167346393
0.0,52.0,18.0,2626.0,0.0,0.0,0.0,-0.011497460140279053,0.0,0.0,0.0,0.007067156844869058
5.0,2326.0,1.0,364.0,0.002145002145002145,0.8333333333333334,0.004278990158322635,-0.0043179855302157896,0.0,0.0,0.0,0.0027928573363359944
0.0,6.0,10.0,2680.0,0.0,0.0,0.0,-0.0028816848350170653,0.06666666666666667,0.05,0.1,0.002679936794905397
2.0,150.0,12.0,2532.0,0.013157894736842105,0.14285714285714285,0.024096385542168676,0.027087966147978777,0.0,0.0,0.0,0.0059070976279527385
0.0,24.0,16.0,2656.0,0.0,0.0,0.0,-0.007322847471673523,0.0,0.0,0.0,0.005094003740284923
0.0,0.0,19.0,2677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04496205257382841
0.0,17.0,15.0,2663.0,0.0,0.0,0.0,-0.005960701954146218,0.0,0.0,0.0,0.01044157514463128
3.0,1512.0,3.0,1178.0,0.0019801980198019802,0.5,0.0039447731755424065,-0.0058963695006761414,0.0,0.0,0.0,0.003290414719088697
0.0,2.0,6.0,2688.0,0.0,0.0,0.0,-0.0012868137337169096,0.0,0.0,0.0,0.004616829475349618
