tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,24.0,24.0,3331.0,0.0,0.0,0.0,-0.007153502235469449,0.0,0.0,0.0,0.007217045376446869
0.0,28.0,15.0,3336.0,0.0,0.0,0.0,-0.006103928499527709,0.0,0.0,0.0,0.008569362526811786
0.0,53.0,28.0,3299.0,0.0,0.0,0.0,-0.011535556351194123,0.0,0.0,0.0,0.008271141061470116
0.0,337.0,12.0,3030.0,0.0,0.0,0.0,-0.01987029937357918,0.0,0.0,0.0,0.0036872747475378935
5.0,343.0,33.0,2998.0,0.014367816091954023,0.13157894736842105,0.025906735751295335,0.010031635836288919,0.0,0.0,0.0,0.017980627464737973
0.0,62.0,23.0,3294.0,0.0,0.0,0.0,-0.011318165781413727,0.0,0.0,0.0,0.006857298625757178
0.0,12.0,9.0,3358.0,0.0,0.0,0.0,-0.0030851434988211036,0.0,0.0,0.0,0.008231164528617076
0.0,113.0,7.0,3259.0,0.0,0.0,0.0,-0.008474934855242202,0.0,0.0,0.0,0.00408800769173748
3.0,215.0,29.0,3132.0,0.013761467889908258,0.09375,0.024,0.011635395654152994,0.0,0.0,0.0,0.011486568212157199
0.0,127.0,13.0,3239.0,0.0,0.0,0.0,-0.01228121154947369,0.0,0.0,0.0,0.005584529586369463
0.0,0.0,14.0,3366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037523104833648378
1.0,357.0,25.0,2997.0,0.002793296089385475,0.038461538461538464,0.005208333333333334,-0.01929973067478363,0.0,0.0,0.0,0.01033922670279162
0.0,75.0,48.0,3256.0,0.0,0.0,0.0,-0.018086057811424854,0.0,0.0,0.0,0.016818246957460387
0.0,51.0,13.0,3315.0,0.0,0.0,0.0,-0.007693218186208296,0.0,0.0,0.0,0.005877452388225416
1.0,133.0,26.0,3219.0,0.007462686567164179,0.037037037037037035,0.012422360248447204,-0.0012047703315658574,0.0,0.0,0.0,0.009336577554501258
1.0,81.0,17.0,3280.0,0.012195121951219513,0.05555555555555555,0.02,0.014879963973996949,0.0,0.0,0.0,0.009999630491212616
1.0,109.0,29.0,3240.0,0.00909090909090909,0.03333333333333333,0.014285714285714287,0.000415628277438275,0.0,0.0,0.0,0.009138324907944312
5.0,685.0,23.0,2666.0,0.007246376811594203,0.17857142857142858,0.013927576601671309,-0.0058119994813333195,0.0,0.0,0.0,0.010060125733527785
4.0,365.0,18.0,2992.0,0.01084010840108401,0.18181818181818182,0.020460358056265983,0.018847312796165788,0.0,0.0,0.0,0.010494477068558048
0.0,3.0,10.0,3367.0,0.0,0.0,0.0,-0.0016236041271390053,0.0,0.05,0.0,0.005883606924888266
2.0,211.0,28.0,3139.0,0.009389671361502348,0.06666666666666667,0.01646090534979424,0.001421035278383956,0.0,0.0,0.0,0.009839580019037156
1.0,294.0,29.0,3055.0,0.003389830508474576,0.03333333333333333,0.006153846153846154,-0.018095905556000946,0.0,0.0,0.0,0.008038382483900606
0.0,77.0,23.0,3279.0,0.0,0.0,0.0,-0.012641824881572325,0.0,0.0,0.0,0.00794417906338767
