tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
3.0,17.0,24.0,3396.0,0.15,0.1111111111111111,0.12765957446808512,0.12318583671355181,0.13333333333333333,0.15,0.14814814814814814,0.09429876923109679
4.0,56.0,59.0,3321.0,0.06666666666666667,0.06349206349206349,0.06504065040650407,0.04804638985722816,0.13333333333333333,0.15,0.06349206349206349,0.03923554662735945
4.0,24.0,23.0,3389.0,0.14285714285714285,0.14814814814814814,0.14545454545454545,0.13859367399702044,0.26666666666666666,0.2,0.14814814814814814,0.03380250663765183
3.0,22.0,19.0,3396.0,0.12,0.13636363636363635,0.1276595744680851,0.12193596953328606,0.2,0.15,0.13636363636363635,0.04779328176015178
4.0,13.0,11.0,3412.0,0.23529411764705882,0.26666666666666666,0.25,0.24699647814804498,0.2,0.2,0.2,0.056562399739054255
10.0,98.0,35.0,3297.0,0.09259259259259259,0.2222222222222222,0.13071895424836602,0.12598532790596711,0.4,0.3,0.13333333333333333,0.03519485073333129
3.0,7.0,13.0,3417.0,0.3,0.1875,0.23076923076923075,0.23437958373127796,0.2,0.15,0.1875,0.04668725496052945
5.0,23.0,33.0,3379.0,0.17857142857142858,0.13157894736842105,0.15151515151515152,0.14519558315447353,0.13333333333333333,0.1,0.21052631578947367,0.04510636279655302
6.0,41.0,57.0,3336.0,0.1276595744680851,0.09523809523809523,0.10909090909090909,0.09598006329137956,0.3333333333333333,0.25,0.09523809523809523,0.04751559737190029
4.0,48.0,26.0,3362.0,0.07692307692307693,0.13333333333333333,0.0975609756097561,0.0908758824644431,0.2,0.2,0.13333333333333333,0.03623752903674094
2.0,6.0,28.0,3404.0,0.25,0.06666666666666667,0.10526315789473685,0.1252886210760533,0.2,0.15,0.1,0.07150125756782465
4.0,7.0,25.0,3404.0,0.36363636363636365,0.13793103448275862,0.2,0.2200450671862934,0.26666666666666666,0.25,0.2413793103448276,0.17219819650311777
4.0,18.0,34.0,3384.0,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.131081265876855,0.13333333333333333,0.15,0.15789473684210525,0.10993066899743195
7.0,33.0,31.0,3369.0,0.175,0.18421052631578946,0.1794871794871795,0.17014166880020706,0.13333333333333333,0.1,0.18421052631578946,0.061888257123985935
3.0,14.0,10.0,3413.0,0.17647058823529413,0.23076923076923078,0.20000000000000004,0.1983452176580761,0.13333333333333333,0.15,0.15384615384615385,0.05913030124292867
5.0,33.0,30.0,3372.0,0.13157894736842105,0.14285714285714285,0.136986301369863,0.12785726009010645,0.13333333333333333,0.2,0.14285714285714285,0.07059345389383108
1.0,26.0,31.0,3382.0,0.037037037037037035,0.03125,0.03389830508474576,0.025696326999407753,0.06666666666666667,0.05,0.03125,0.06551551680381225
3.0,25.0,25.0,3387.0,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0998157762518841,0.13333333333333333,0.1,0.10714285714285714,0.08872666343264135
4.0,21.0,10.0,3405.0,0.16,0.2857142857142857,0.20512820512820512,0.20955871289306208,0.2,0.15,0.21428571428571427,0.07629103323877699
7.0,28.0,18.0,3387.0,0.2,0.28,0.23333333333333334,0.23005073974603016,0.26666666666666666,0.25,0.2,0.07021892033420281
2.0,28.0,14.0,3396.0,0.06666666666666667,0.125,0.08695652173913045,0.0854899942355114,0.13333333333333333,0.1,0.125,0.03673938083925194
2.0,7.0,19.0,3412.0,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.1421020091495066,0.2,0.15,0.14285714285714285,0.04249274475727157
2.0,49.0,24.0,3365.0,0.0392156862745098,0.07692307692307693,0.05194805194805195,0.04484009980459297,0.06666666666666667,0.05,0.038461538461538464,0.03701204723937844
5.0,34.0,31.0,3370.0,0.1282051282051282,0.1388888888888889,0.13333333333333333,0.12389833765853923,0.2,0.15,0.1388888888888889,0.057889720203248715
5.0,58.0,58.0,3319.0,0.07936507936507936,0.07936507936507936,0.07936507936507936,0.06219007196205893,0.13333333333333333,0.1,0.07936507936507936,0.05627955817302897
2.0,11.0,23.0,3404.0,0.15384615384615385,0.08,0.10526315789473685,0.1062866231703675,0.13333333333333333,0.1,0.12,0.08097402029562248
0.0,5.0,22.0,3413.0,0.0,0.0,0.0,-0.003060884503758904,0.06666666666666667,0.05,0.045454545454545456,0.15866586726500645
10.0,69.0,51.0,3310.0,0.12658227848101267,0.16393442622950818,0.14285714285714288,0.1264462739079553,0.26666666666666666,0.25,0.16393442622950818,0.04078626015832922
4.0,43.0,65.0,3328.0,0.0851063829787234,0.057971014492753624,0.06896551724137931,0.05460684604549356,0.2,0.2,0.07246376811594203,0.05126770539731879
2.0,34.0,25.0,3379.0,0.05555555555555555,0.07407407407407407,0.06349206349206349,0.055596113687303106,0.13333333333333333,0.1,0.07407407407407407,0.037628324494650756
3.0,24.0,36.0,3377.0,0.1111111111111111,0.07692307692307693,0.09090909090909093,0.08382113116255287,0.2,0.15,0.07692307692307693,0.04806673000540061
6.0,35.0,16.0,3383.0,0.14634146341463414,0.2727272727272727,0.19047619047619044,0.19281386683284463,0.26666666666666666,0.3,0.2727272727272727,0.047498154222987095
1.0,3.0,21.0,3415.0,0.25,0.045454545454545456,0.07692307692307693,0.10426776563813259,0.06666666666666667,0.05,0.045454545454545456,0.09107293400313184
1.0,12.0,13.0,3414.0,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.07047979861062781,0.13333333333333333,0.1,0.07142857142857142,0.05008674944491851
6.0,40.0,36.0,3358.0,0.13043478260869565,0.14285714285714285,0.13636363636363635,0.12533033310317174,0.2,0.2,0.14285714285714285,0.035682204077705976
2.0,35.0,27.0,3376.0,0.05405405405405406,0.06896551724137931,0.06060606060606061,0.05203315151491602,0.13333333333333333,0.1,0.06896551724137931,0.029324229619541148
1.0,8.0,17.0,3414.0,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.07516247637257703,0.06666666666666667,0.05,0.05555555555555555,0.08115274042184935
5.0,51.0,44.0,3340.0,0.08928571428571429,0.10204081632653061,0.09523809523809523,0.08146611650588452,0.13333333333333333,0.1,0.08163265306122448,0.035510834873183184
2.0,18.0,17.0,3403.0,0.1,0.10526315789473684,0.10256410256410256,0.09748369185503719,0.13333333333333333,0.1,0.10526315789473684,0.041220855112370086
2.0,10.0,17.0,3411.0,0.16666666666666666,0.10526315789473684,0.12903225806451615,0.12864350767977553,0.13333333333333333,0.2,0.15789473684210525,0.06729892262698121
2.0,7.0,19.0,3412.0,0.2222222222222222,0.09523809523809523,0.13333333333333333,0.1421020091495066,0.13333333333333333,0.1,0.09523809523809523,0.11489827294279246
0.0,28.0,22.0,3390.0,0.0,0.0,0.0,-0.007267747252945857,0.0,0.0,0.0,0.039659786915482595
3.0,51.0,27.0,3359.0,0.05555555555555555,0.1,0.07142857142857142,0.06361229714714257,0.13333333333333333,0.1,0.1,0.03043679309392086
1.0,36.0,29.0,3374.0,0.02702702702702703,0.03333333333333333,0.029850746268656716,0.020529873226997123,0.0,0.0,0.03333333333333333,0.03712875824626687
8.0,52.0,59.0,3321.0,0.13333333333333333,0.11940298507462686,0.12598425196850394,0.10977117551558102,0.2,0.15,0.14925373134328357,0.046895081084904575
2.0,20.0,14.0,3404.0,0.09090909090909091,0.125,0.10526315789473685,0.10170818558311102,0.06666666666666667,0.05,0.0625,0.052743230596133374
3.0,53.0,13.0,3371.0,0.05357142857142857,0.1875,0.08333333333333333,0.09249094514404566,0.06666666666666667,0.1,0.0625,0.04682004884960302
3.0,12.0,21.0,3404.0,0.2,0.125,0.15384615384615385,0.15346836599002145,0.2,0.2,0.16666666666666666,0.062349220031774746
7.0,28.0,10.0,3395.0,0.2,0.4117647058823529,0.2692307692307692,0.28201361392806895,0.4666666666666667,0.35,0.4117647058823529,0.020289993738283288
6.0,41.0,38.0,3355.0,0.1276595744680851,0.13636363636363635,0.13186813186813187,0.12031163732853392,0.13333333333333333,0.15,0.13636363636363635,0.0428804113886834
0.0,12.0,38.0,3390.0,0.0,0.0,0.0,-0.006253092600221041,0.0,0.05,0.02631578947368421,0.05878170090265212
1.0,23.0,30.0,3386.0,0.041666666666666664,0.03225806451612903,0.03636363636363637,0.028964163373293977,0.06666666666666667,0.05,0.03225806451612903,0.04936882243637634
1.0,0.0,14.0,3425.0,1.0,0.06666666666666667,0.125,0.2576727962801134,0.13333333333333333,0.1,0.13333333333333333,0.12294538557058324
0.0,10.0,22.0,3408.0,0.0,0.0,0.0,-0.00433189829060707,0.13333333333333333,0.15,0.13636363636363635,0.05075021309205705
4.0,58.0,26.0,3352.0,0.06451612903225806,0.13333333333333333,0.08695652173913043,0.08129867680056246,0.06666666666666667,0.1,0.06666666666666667,0.030019850324336374
1.0,3.0,11.0,3425.0,0.25,0.08333333333333333,0.125,0.1426554081593836,0.13333333333333333,0.1,0.16666666666666666,0.10802514881968606
0.0,1.0,13.0,3426.0,0.0,0.0,0.0,-0.0010502641369769875,0.06666666666666667,0.05,0.07692307692307693,0.1405129240200245
0.0,3.0,13.0,3424.0,0.0,0.0,0.0,-0.0018196400425054661,0.06666666666666667,0.05,0.07692307692307693,0.0865604785948044
12.0,100.0,27.0,3301.0,0.10714285714285714,0.3076923076923077,0.15894039735099338,0.16600886776638427,0.2,0.2,0.15384615384615385,0.05225597636593231
