tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
5.0,11.0,21.0,3342.0,0.3125,0.19230769230769232,0.2380952380952381,0.24060462875987337,0.3333333333333333,0.25,0.23076923076923078,0.03530008485037873
15.0,38.0,48.0,3278.0,0.2830188679245283,0.23809523809523808,0.25862068965517243,0.24672133189200876,0.4666666666666667,0.35,0.2698412698412698,0.059397718288057746
4.0,40.0,23.0,3313.0,0.09090909090909091,0.14814814814814814,0.11267605633802817,0.10697825216983309,0.26666666666666666,0.2,0.14814814814814814,0.013039425109243863
4.0,17.0,18.0,3340.0,0.19047619047619047,0.18181818181818182,0.18604651162790697,0.18088668677930247,0.26666666666666666,0.2,0.18181818181818182,0.015390446249959592
1.0,10.0,14.0,3355.0,0.09090909090909091,0.06666666666666667,0.07692307692307691,0.07433544838230889,0.13333333333333333,0.1,0.13333333333333333,0.07153635781177449
7.0,29.0,38.0,3306.0,0.19444444444444445,0.15555555555555556,0.17283950617283952,0.16397325936194754,0.26666666666666666,0.2,0.15555555555555556,0.02310715321284964
2.0,6.0,13.0,3358.0,0.25,0.13333333333333333,0.1739130434782609,0.17994478101868183,0.13333333333333333,0.15,0.13333333333333333,0.03386688009465122
3.0,5.0,35.0,3336.0,0.375,0.07894736842105263,0.13043478260869565,0.16804733644418,0.2,0.15,0.07894736842105263,0.4789571192671162
9.0,27.0,54.0,3289.0,0.25,0.14285714285714285,0.18181818181818182,0.1774898066628182,0.2,0.25,0.1746031746031746,0.05135238012783485
5.0,22.0,25.0,3327.0,0.18518518518518517,0.16666666666666666,0.17543859649122806,0.16868209143336885,0.2,0.2,0.16666666666666666,0.0373708925259609
1.0,18.0,29.0,3332.0,0.05263157894736842,0.03333333333333333,0.04081632653061225,0.035076175335064345,0.06666666666666667,0.05,0.03333333333333333,0.0396961847519457
7.0,15.0,22.0,3335.0,0.3181818181818182,0.2413793103448276,0.27450980392156865,0.27170808760484405,0.4,0.35,0.2413793103448276,0.20011332032544396
8.0,13.0,30.0,3329.0,0.38095238095238093,0.21052631578947367,0.2711864406779661,0.27726002673586364,0.4,0.4,0.3157894736842105,0.04896268011058081
8.0,48.0,29.0,3294.0,0.14285714285714285,0.21621621621621623,0.17204301075268819,0.16454372017299668,0.26666666666666666,0.2,0.1891891891891892,0.018015978814143324
3.0,9.0,10.0,3357.0,0.25,0.23076923076923078,0.24000000000000002,0.23737399684482838,0.2,0.2,0.23076923076923078,0.017726024031282827
11.0,50.0,24.0,3295.0,0.18032786885245902,0.3142857142857143,0.22916666666666669,0.22762787148387653,0.13333333333333333,0.1,0.11428571428571428,0.015701556289435016
4.0,21.0,28.0,3326.0,0.16,0.125,0.14035087719298245,0.13418258074188488,0.2,0.2,0.125,0.0694962207036042
13.0,32.0,15.0,3319.0,0.28888888888888886,0.4642857142857143,0.3561643835616438,0.3596141928258045,0.4,0.45,0.32142857142857145,0.01919952636191947
3.0,11.0,11.0,3354.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21101676926342602,0.2,0.15,0.21428571428571427,0.01684039936707139
4.0,15.0,21.0,3339.0,0.21052631578947367,0.16,0.1818181818181818,0.17824318022434432,0.2,0.2,0.16,0.06498594524370184
5.0,39.0,11.0,3325.0,0.11363636363636363,0.3125,0.16666666666666666,0.18221344702811432,0.2,0.15,0.1875,0.02330283646217264
0.0,3.0,21.0,3355.0,0.0,0.0,0.0,-0.0023573751971964173,0.13333333333333333,0.1,0.09523809523809523,0.10625046376674367
3.0,18.0,23.0,3335.0,0.14285714285714285,0.11538461538461539,0.12765957446808512,0.12232365438476672,0.2,0.15,0.11538461538461539,0.03400050705310878
5.0,15.0,31.0,3328.0,0.25,0.1388888888888889,0.17857142857142858,0.17988910079606985,0.26666666666666666,0.25,0.1388888888888889,0.04099072465628279
6.0,35.0,56.0,3282.0,0.14634146341463414,0.0967741935483871,0.11650485436893203,0.1056949037457546,0.26666666666666666,0.3,0.11290322580645161,0.4619575999174724
3.0,4.0,22.0,3351.0,0.42857142857142855,0.12,0.1875,0.2239256511910366,0.26666666666666666,0.2,0.16,0.1258106966452136
3.0,22.0,19.0,3335.0,0.12,0.13636363636363635,0.1276595744680851,0.12182717758465275,0.2,0.15,0.13636363636363635,0.01986295688252017
15.0,79.0,45.0,3240.0,0.1595744680851064,0.25,0.19480519480519481,0.18165013548099126,0.4,0.3,0.23333333333333334,0.024773184053072744
14.0,34.0,54.0,3277.0,0.2916666666666667,0.20588235294117646,0.2413793103448276,0.23212667512750487,0.6,0.45,0.25,0.03641080192977117
10.0,56.0,17.0,3297.0,0.15151515151515152,0.37037037037037035,0.21505376344086025,0.22753453438802576,0.4,0.3,0.2222222222222222,0.033529844026753755
4.0,13.0,35.0,3328.0,0.23529411764705882,0.10256410256410256,0.14285714285714282,0.14896395976636548,0.26666666666666666,0.2,0.1282051282051282,0.05799115897942913
2.0,15.0,20.0,3342.0,0.11764705882352941,0.09090909090909091,0.10256410256410256,0.09826131052100077,0.13333333333333333,0.15,0.13636363636363635,0.023028749900166425
4.0,30.0,18.0,3327.0,0.11764705882352941,0.18181818181818182,0.14285714285714285,0.1393151488806282,0.26666666666666666,0.2,0.18181818181818182,0.014174088597273057
1.0,4.0,13.0,3361.0,0.2,0.07142857142857142,0.10526315789473682,0.11737691038267359,0.13333333333333333,0.15,0.14285714285714285,0.12187727193731265
6.0,22.0,36.0,3316.0,0.21428571428571427,0.14285714285714285,0.17142857142857143,0.16654265254128006,0.4,0.3,0.16666666666666666,0.03385826762817041
1.0,7.0,28.0,3343.0,0.125,0.034482758620689655,0.05405405405405405,0.06148242245295258,0.06666666666666667,0.05,0.06896551724137931,0.5198311849179694
2.0,1.0,16.0,3360.0,0.6666666666666666,0.1111111111111111,0.1904761904761905,0.27083304370585426,0.2,0.2,0.2222222222222222,0.44639260249656365
13.0,48.0,35.0,3283.0,0.21311475409836064,0.2708333333333333,0.23853211009174313,0.2279093910096492,0.4666666666666667,0.35,0.25,0.02466164709581985
1.0,26.0,18.0,3334.0,0.037037037037037035,0.05263157894736842,0.043478260869565216,0.03770473213900012,0.0,0.05,0.05263157894736842,0.3496131826844642
1.0,3.0,18.0,3357.0,0.25,0.05263157894736842,0.08695652173913043,0.11251106879549123,0.06666666666666667,0.05,0.05263157894736842,0.11323386055305806
4.0,6.0,17.0,3352.0,0.4,0.19047619047619047,0.25806451612903225,0.2729901771503068,0.4,0.3,0.3333333333333333,0.06626510261890363
10.0,31.0,12.0,3327.0,0.24390243902439024,0.45454545454545453,0.31746031746031744,0.32712796505548014,0.4,0.35,0.36363636363636365,0.03447984260998014
8.0,51.0,22.0,3299.0,0.13559322033898305,0.26666666666666666,0.1797752808988764,0.18007845976146364,0.26666666666666666,0.25,0.2,0.012544046715298808
10.0,50.0,20.0,3300.0,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.22616337706255216,0.4666666666666667,0.35,0.23333333333333334,0.012411271690622692
9.0,52.0,58.0,3260.0,0.14754098360655737,0.13432835820895522,0.140625,0.12421275899460557,0.26666666666666666,0.2,0.13432835820895522,0.034818845397808676
1.0,16.0,15.0,3347.0,0.058823529411764705,0.0625,0.06060606060606061,0.05602663162222931,0.06666666666666667,0.05,0.0625,0.028246519451506896
3.0,39.0,13.0,3324.0,0.07142857142857142,0.1875,0.10344827586206898,0.10899195553976797,0.2,0.15,0.1875,0.006833524130233092
