tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2.0,5.0,25.0,3408.0,0.2857142857142857,0.07407407407407407,0.11764705882352941,0.14218542548637966,0.2,0.25,0.18518518518518517,0.03722150009320776
15.0,29.0,48.0,3348.0,0.3409090909090909,0.23809523809523808,0.2803738317757009,0.2738564359555956,0.5333333333333333,0.5,0.2698412698412698,0.06091797114298926
6.0,25.0,21.0,3388.0,0.1935483870967742,0.2222222222222222,0.20689655172413793,0.2006719235863975,0.26666666666666666,0.3,0.2222222222222222,0.017713796106774825
3.0,4.0,19.0,3414.0,0.42857142857142855,0.13636363636363635,0.20689655172413793,0.2391480334989794,0.26666666666666666,0.25,0.22727272727272727,0.02389297813749479
2.0,6.0,13.0,3419.0,0.25,0.13333333333333333,0.1739130434782609,0.1799915618132406,0.13333333333333333,0.2,0.13333333333333333,0.3802349471537596
11.0,54.0,34.0,3341.0,0.16923076923076924,0.24444444444444444,0.20000000000000004,0.190718285225612,0.4666666666666667,0.35,0.17777777777777778,0.022535785393450317
3.0,13.0,13.0,3411.0,0.1875,0.1875,0.1875,0.18370327102803738,0.2,0.15,0.1875,0.018720801309626275
7.0,35.0,31.0,3367.0,0.16666666666666666,0.18421052631578946,0.175,0.1655306007480798,0.26666666666666666,0.3,0.18421052631578946,0.01871018584674759
4.0,28.0,59.0,3349.0,0.125,0.06349206349206349,0.08421052631578947,0.07710019124710588,0.2,0.15,0.14285714285714285,0.0521609006299492
4.0,16.0,26.0,3394.0,0.2,0.13333333333333333,0.16,0.15732220383622056,0.26666666666666666,0.2,0.16666666666666666,0.027436314029588238
3.0,19.0,27.0,3391.0,0.13636363636363635,0.1,0.11538461538461538,0.11013920565859976,0.13333333333333333,0.1,0.13333333333333333,0.027465091037654984
5.0,25.0,24.0,3386.0,0.16666666666666666,0.1724137931034483,0.16949152542372883,0.16233363338400988,0.13333333333333333,0.25,0.1724137931034483,0.03029480162983928
5.0,19.0,33.0,3383.0,0.20833333333333334,0.13157894736842105,0.16129032258064516,0.15821376147197763,0.2,0.2,0.15789473684210525,0.03352638832417236
7.0,39.0,31.0,3363.0,0.15217391304347827,0.18421052631578946,0.16666666666666666,0.15719322764519617,0.2,0.2,0.15789473684210525,0.017537456932994144
2.0,4.0,11.0,3423.0,0.3333333333333333,0.15384615384615385,0.21052631578947367,0.22450815900721538,0.13333333333333333,0.1,0.15384615384615385,0.0370736549928863
8.0,37.0,27.0,3368.0,0.17777777777777778,0.22857142857142856,0.2,0.19228036972405868,0.3333333333333333,0.3,0.2,0.01735482980575768
7.0,12.0,25.0,3396.0,0.3684210526315789,0.21875,0.2745098039215686,0.27878665222086146,0.4,0.35,0.21875,0.028634738347726594
4.0,10.0,24.0,3402.0,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.19748095229502363,0.26666666666666666,0.25,0.32142857142857145,0.04178679728558371
0.0,7.0,14.0,3419.0,0.0,0.0,0.0,-0.002886572413459137,0.0,0.0,0.0,0.10575844056975829
6.0,20.0,19.0,3395.0,0.23076923076923078,0.24,0.23529411764705882,0.22963019964530546,0.3333333333333333,0.3,0.24,0.06603589518966883
3.0,15.0,13.0,3409.0,0.16666666666666666,0.1875,0.17647058823529413,0.17269684320709983,0.2,0.15,0.1875,0.02046667548660747
5.0,14.0,16.0,3405.0,0.2631578947368421,0.23809523809523808,0.25,0.2459362781969544,0.3333333333333333,0.25,0.2857142857142857,0.028001260484780355
4.0,28.0,22.0,3386.0,0.125,0.15384615384615385,0.13793103448275862,0.13139781058283603,0.26666666666666666,0.2,0.15384615384615385,0.013947063048594359
5.0,26.0,31.0,3378.0,0.16129032258064516,0.1388888888888889,0.14925373134328357,0.14133629119524385,0.3333333333333333,0.25,0.1388888888888889,0.029748353136014608
8.0,45.0,55.0,3332.0,0.1509433962264151,0.12698412698412698,0.13793103448275862,0.12373510149174909,0.3333333333333333,0.3,0.12698412698412698,0.03738835402936499
3.0,2.0,22.0,3413.0,0.6,0.12,0.19999999999999998,0.26624011910942036,0.26666666666666666,0.25,0.28,0.33293448590658115
2.0,10.0,20.0,3408.0,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.11895620407836958,0.2,0.15,0.18181818181818182,0.06693432875486574
13.0,34.0,48.0,3345.0,0.2765957446808511,0.21311475409836064,0.24074074074074073,0.2308483215590997,0.6666666666666666,0.5,0.22950819672131148,0.0366207363370669
13.0,33.0,56.0,3338.0,0.2826086956521739,0.18840579710144928,0.22608695652173913,0.21801705071499386,0.4666666666666667,0.4,0.2318840579710145,0.04938823629404591
5.0,21.0,22.0,3392.0,0.19230769230769232,0.18518518518518517,0.18867924528301885,0.18241596318261727,0.13333333333333333,0.2,0.18518518518518517,0.026241206339994043
4.0,18.0,35.0,3383.0,0.18181818181818182,0.10256410256410256,0.13114754098360654,0.1291885573454912,0.26666666666666666,0.2,0.15384615384615385,0.03073973187647675
3.0,17.0,19.0,3401.0,0.15,0.13636363636363635,0.14285714285714282,0.13776266137290255,0.2,0.15,0.13636363636363635,0.02153622534074673
6.0,28.0,16.0,3390.0,0.17647058823529413,0.2727272727272727,0.21428571428571427,0.21316666987048816,0.26666666666666666,0.2,0.22727272727272727,0.010366133462773465
0.0,3.0,14.0,3423.0,0.0,0.0,0.0,-0.0018886052813073856,0.06666666666666667,0.05,0.07142857142857142,0.11296997433492029
5.0,8.0,37.0,3390.0,0.38461538461538464,0.11904761904761904,0.18181818181818182,0.20885914676703865,0.4,0.35,0.2857142857142857,0.06327916657100176
7.0,21.0,22.0,3390.0,0.25,0.2413793103448276,0.24561403508771928,0.2393512332727992,0.2,0.25,0.2413793103448276,0.020346674124708062
1.0,5.0,17.0,3417.0,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.09353043774999978,0.06666666666666667,0.05,0.05555555555555555,0.09718901268197125
15.0,62.0,34.0,3329.0,0.19480519480519481,0.30612244897959184,0.23809523809523808,0.23056979264038008,0.5333333333333333,0.4,0.2653061224489796,0.05851947374872231
3.0,11.0,16.0,3410.0,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.18006439500000646,0.2,0.15,0.15789473684210525,0.025371430239879856
2.0,16.0,17.0,3405.0,0.1111111111111111,0.10526315789473684,0.10810810810810811,0.10332735765772445,0.06666666666666667,0.1,0.10526315789473684,0.024141901262049445
2.0,3.0,19.0,3416.0,0.4,0.09523809523809523,0.15384615384615385,0.19293087275720022,0.26666666666666666,0.2,0.19047619047619047,0.3190193718437026
4.0,29.0,18.0,3389.0,0.12121212121212122,0.18181818181818182,0.14545454545454545,0.14175464879383728,0.13333333333333333,0.1,0.13636363636363635,0.011630207863164087
7.0,31.0,23.0,3379.0,0.18421052631578946,0.23333333333333334,0.20588235294117646,0.1994787525909527,0.3333333333333333,0.25,0.16666666666666666,0.018897050340527227
7.0,31.0,23.0,3379.0,0.18421052631578946,0.23333333333333334,0.20588235294117646,0.1994787525909527,0.26666666666666666,0.25,0.2,0.01888990155186891
13.0,103.0,54.0,3270.0,0.11206896551724138,0.19402985074626866,0.14207650273224046,0.1251658522588062,0.3333333333333333,0.35,0.1791044776119403,0.2716911655837
6.0,27.0,10.0,3397.0,0.18181818181818182,0.375,0.24489795918367344,0.2562626744499982,0.2,0.15,0.1875,0.026079196171757045
5.0,36.0,11.0,3388.0,0.12195121951219512,0.3125,0.17543859649122806,0.18934164303122675,0.2,0.15,0.1875,0.008011896142681338
2.0,15.0,22.0,3401.0,0.11764705882352941,0.08333333333333333,0.09756097560975609,0.09370139281912573,0.13333333333333333,0.1,0.08333333333333333,0.02193362411414027
0.0,0.0,17.0,3423.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.46414977244835964
11.0,23.0,33.0,3373.0,0.3235294117647059,0.25,0.2820512820512821,0.2762871995655969,0.3333333333333333,0.35,0.29545454545454547,0.02848957400972918
0.0,9.0,38.0,3393.0,0.0,0.0,0.0,-0.0054129689932960355,0.06666666666666667,0.05,0.10526315789473684,0.1585088190952026
4.0,10.0,27.0,3399.0,0.2857142857142857,0.12903225806451613,0.17777777777777778,0.18717496657554258,0.26666666666666666,0.25,0.22580645161290322,0.0445298150135432
3.0,4.0,12.0,3421.0,0.42857142857142855,0.2,0.27272727272727276,0.290721085675583,0.2,0.2,0.2,0.10180303064879638
4.0,19.0,18.0,3399.0,0.17391304347826086,0.18181818181818182,0.17777777777777776,0.17241029273577416,0.2,0.2,0.18181818181818182,0.029945449371684096
7.0,31.0,23.0,3379.0,0.18421052631578946,0.23333333333333334,0.20588235294117646,0.1994787525909527,0.2,0.2,0.16666666666666666,0.0190625590346843
