tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
4.0,30.0,23.0,3383.0,0.11764705882352941,0.14814814814814814,0.13114754098360654,0.12431423421461087,0.13333333333333333,0.15,0.1111111111111111,0.07565530073052307
23.0,143.0,40.0,3234.0,0.13855421686746988,0.36507936507936506,0.20087336244541484,0.20192368481637987,0.3333333333333333,0.35,0.2698412698412698,0.051354532538808395
8.0,42.0,19.0,3371.0,0.16,0.2962962962962963,0.20779220779220778,0.20939622365436528,0.13333333333333333,0.15,0.14814814814814814,0.062164359349134335
7.0,35.0,15.0,3383.0,0.16666666666666666,0.3181818181818182,0.21874999999999997,0.22352692249875733,0.26666666666666666,0.25,0.22727272727272727,0.05353053715185642
5.0,19.0,10.0,3406.0,0.20833333333333334,0.3333333333333333,0.25641025641025644,0.2594786428987913,0.26666666666666666,0.25,0.26666666666666666,0.04939505766833252
10.0,42.0,35.0,3353.0,0.19230769230769232,0.2222222222222222,0.2061855670103093,0.19541774575951348,0.3333333333333333,0.25,0.2,0.07630535541095824
4.0,28.0,12.0,3396.0,0.125,0.25,0.16666666666666666,0.17139520503523245,0.2,0.2,0.1875,0.05772464537363357
2.0,64.0,36.0,3338.0,0.030303030303030304,0.05263157894736842,0.038461538461538464,0.025767761578622046,0.0,0.0,0.0,0.05012438224242215
29.0,369.0,34.0,3008.0,0.0728643216080402,0.4603174603174603,0.12581344902386116,0.14715745025868351,0.26666666666666666,0.25,0.09523809523809523,0.027713111584974037
0.0,16.0,30.0,3394.0,0.0,0.0,0.0,-0.006411749567663355,0.0,0.0,0.03333333333333333,0.08938526097620496
2.0,7.0,28.0,3403.0,0.2222222222222222,0.06666666666666667,0.10256410256410256,0.11760669048913727,0.13333333333333333,0.1,0.06666666666666667,0.17420638287113738
5.0,13.0,24.0,3398.0,0.2777777777777778,0.1724137931034483,0.21276595744680854,0.2136622786393483,0.3333333333333333,0.25,0.20689655172413793,0.08624243090442583
5.0,29.0,33.0,3373.0,0.14705882352941177,0.13157894736842105,0.13888888888888887,0.13001541574112072,0.2,0.2,0.15789473684210525,0.07565117267367188
7.0,43.0,31.0,3359.0,0.14,0.18421052631578946,0.1590909090909091,0.14983654061016985,0.26666666666666666,0.25,0.13157894736842105,0.05562506265713322
5.0,53.0,8.0,3374.0,0.08620689655172414,0.38461538461538464,0.14084507042253522,0.17592629604245805,0.2,0.2,0.23076923076923078,0.019042777782988924
5.0,35.0,30.0,3370.0,0.125,0.14285714285714285,0.13333333333333333,0.1241066498769862,0.26666666666666666,0.2,0.14285714285714285,0.07626395812820194
9.0,22.0,23.0,3386.0,0.2903225806451613,0.28125,0.28571428571428575,0.2791506415498681,0.3333333333333333,0.3,0.28125,0.06285100270837844
8.0,21.0,20.0,3391.0,0.27586206896551724,0.2857142857142857,0.28070175438596495,0.2747375252814991,0.3333333333333333,0.25,0.25,0.09604185603323176
2.0,7.0,12.0,3419.0,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.17549782779285875,0.2,0.2,0.21428571428571427,0.34610543884706296
4.0,10.0,21.0,3405.0,0.2857142857142857,0.16,0.20512820512820512,0.20955871289306208,0.26666666666666666,0.2,0.16,0.0861850072501568
4.0,19.0,12.0,3405.0,0.17391304347826086,0.25,0.20512820512820512,0.20409490534442265,0.2,0.2,0.1875,0.09531829943705646
5.0,31.0,16.0,3388.0,0.1388888888888889,0.23809523809523808,0.17543859649122806,0.17530820551464943,0.2,0.15,0.14285714285714285,0.06796915078810956
1.0,13.0,25.0,3401.0,0.07142857142857142,0.038461538461538464,0.05,0.04714223859797286,0.06666666666666667,0.05,0.038461538461538464,0.11184675606246708
8.0,34.0,28.0,3370.0,0.19047619047619047,0.2222222222222222,0.20512820512820512,0.1966638776388193,0.3333333333333333,0.25,0.2222222222222222,0.054657226249778944
18.0,149.0,45.0,3228.0,0.10778443113772455,0.2857142857142857,0.15652173913043477,0.15072580996218726,0.13333333333333333,0.1,0.14285714285714285,0.036974738008608975
2.0,21.0,23.0,3394.0,0.08695652173913043,0.08,0.08333333333333333,0.07697209818278083,0.13333333333333333,0.1,0.08,0.053245207640357894
1.0,10.0,21.0,3408.0,0.09090909090909091,0.045454545454545456,0.060606060606060615,0.06004833980273357,0.06666666666666667,0.05,0.045454545454545456,0.15019933593677245
13.0,118.0,48.0,3261.0,0.09923664122137404,0.21311475409836064,0.13541666666666669,0.12287571541125403,0.13333333333333333,0.1,0.18032786885245902,0.04908524153499199
28.0,149.0,41.0,3222.0,0.15819209039548024,0.4057971014492754,0.22764227642276424,0.22947377004482306,0.3333333333333333,0.3,0.21739130434782608,0.045303526535889864
7.0,45.0,20.0,3368.0,0.1346153846153846,0.25925925925925924,0.17721518987341772,0.1779684628854845,0.2,0.15,0.14814814814814814,0.06485209764994897
8.0,57.0,31.0,3344.0,0.12307692307692308,0.20512820512820512,0.15384615384615385,0.14647050111290785,0.3333333333333333,0.3,0.15384615384615385,0.05485980846771929
