tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,12.0,15.0,2669.0,0.0,0.0,0.0,-0.00500145758156,0.06666666666666667,0.05,0.06666666666666667,0.04032938210229524
3.0,54.0,12.0,2627.0,0.05263157894736842,0.2,0.08333333333333333,0.09299665027846046,0.06666666666666667,0.05,0.06666666666666667,0.0165445836031269
2.0,17.0,14.0,2663.0,0.10526315789473684,0.125,0.11428571428571428,0.10894786606036294,0.13333333333333333,0.15,0.125,0.07017780825540754
0.0,2.0,10.0,2684.0,0.0,0.0,0.0,-0.0016625059105047615,0.0,0.0,0.0,0.06763374776622987
3.0,27.0,34.0,2632.0,0.1,0.08108108108108109,0.08955223880597014,0.07866476226626826,0.2,0.15,0.08108108108108109,0.05471557393721634
1.0,24.0,16.0,2655.0,0.04,0.058823529411764705,0.04761904761904763,0.04118123515903006,0.06666666666666667,0.05,0.058823529411764705,0.046674036085709886
1.0,28.0,13.0,2654.0,0.034482758620689655,0.07142857142857142,0.046511627906976744,0.04249438721662318,0.06666666666666667,0.05,0.07142857142857142,0.030534989104659294
0.0,23.0,7.0,2665.0,0.0,0.0,0.0,-0.004734564952497871,0.0,0.0,0.0,0.018200593003814842
0.0,6.0,26.0,2664.0,0.0,0.0,0.0,-0.004660478711316841,0.13333333333333333,0.1,0.07692307692307693,0.047431020303909506
0.0,85.0,12.0,2599.0,0.0,0.0,0.0,-0.012064390728648917,0.0,0.0,0.0,0.011486666075448832
0.0,5.0,8.0,2683.0,0.0,0.0,0.0,-0.0023515732678878326,0.0,0.0,0.0,0.056258091265201836
3.0,80.0,21.0,2592.0,0.03614457831325301,0.125,0.05607476635514018,0.051690693580030374,0.0,0.0,0.0,0.021090505272353243
2.0,55.0,38.0,2601.0,0.03508771929824561,0.05,0.041237113402061855,0.02461718754723286,0.0,0.0,0.025,0.03304459987399888
1.0,20.0,10.0,2664.0,0.047619047619047616,0.09090909090909091,0.0625,0.06051496080489216,0.06666666666666667,0.05,0.09090909090909091,0.012977563157701618
5.0,32.0,14.0,2645.0,0.13513513513513514,0.2631578947368421,0.17857142857142858,0.18062084845790233,0.2,0.15,0.15789473684210525,0.03278405929889043
2.0,14.0,17.0,2663.0,0.125,0.10526315789473684,0.11428571428571428,0.10894786606036294,0.13333333333333333,0.15,0.15789473684210525,0.049166768977408355
3.0,14.0,15.0,2663.0,0.17647058823529413,0.16666666666666666,0.17142857142857143,0.16608621438966087,0.13333333333333333,0.15,0.16666666666666666,0.09674408376760123
4.0,19.0,21.0,2652.0,0.17391304347826086,0.16,0.16666666666666666,0.15933561393620221,0.2,0.2,0.16,0.08430485481665194
1.0,27.0,23.0,2645.0,0.03571428571428571,0.041666666666666664,0.03846153846153846,0.02924251572484185,0.0,0.05,0.041666666666666664,0.08084615364833818
0.0,4.0,8.0,2684.0,0.0,0.0,0.0,-0.002102920376580732,0.0,0.0,0.0,0.0458440650092917
