tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
25.0,0.0,1.0,3353.0,1.0,0.9615384615384616,0.9803921568627451,0.9804344840127778,1.0,1.0,1.0,0.9054126420227712
59.0,5.0,4.0,3311.0,0.921875,0.9365079365079365,0.9291338582677166,0.9278065574314667,1.0,1.0,0.9206349206349206,0.3470831213628353
27.0,0.0,0.0,3353.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5705442489592844
21.0,0.0,1.0,3357.0,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327,1.0,1.0,1.0,0.6842757944762857
15.0,1.0,0.0,3364.0,0.9375,1.0,0.967741935483871,0.9681019557521072,1.0,0.75,1.0,0.9030371430654635
45.0,2.0,0.0,3333.0,0.9574468085106383,1.0,0.9782608695652174,0.9781986646464149,1.0,1.0,0.9777777777777777,0.6347561956588609
15.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.887660841985756
38.0,0.0,0.0,3341.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7724624842074885
59.0,3.0,4.0,3313.0,0.9516129032258065,0.9365079365079365,0.944,0.9429760631101594,1.0,1.0,0.9523809523809523,0.5090682892487921
30.0,1.0,0.0,3348.0,0.967741935483871,1.0,0.9836065573770492,0.983591872188933,1.0,1.0,1.0,0.21782506440542249
28.0,0.0,2.0,3350.0,1.0,0.9333333333333333,0.9655172413793104,0.965803526536081,1.0,1.0,1.0,0.45505347187259104
29.0,0.0,0.0,3350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4883523062696524
35.0,0.0,3.0,3342.0,1.0,0.9210526315789473,0.958904109589041,0.9592844079870826,1.0,1.0,0.9736842105263158,0.7266565327244934
35.0,1.0,2.0,3341.0,0.9722222222222222,0.9459459459459459,0.9589041095890412,0.9585473446850672,0.9333333333333333,0.95,0.972972972972973,0.7290935446780459
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9887496566547056
35.0,0.0,0.0,3345.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5099662414814111
32.0,1.0,0.0,3346.0,0.9696969696969697,1.0,0.9846153846153847,0.9845848101931695,1.0,1.0,1.0,0.7092768498223763
28.0,1.0,0.0,3350.0,0.9655172413793104,1.0,0.9824561403508771,0.9824607438904581,1.0,1.0,1.0,0.5227954783032777
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9928375807190345
25.0,0.0,0.0,3354.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6188144428752892
16.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9846115280929133
19.0,0.0,2.0,3358.0,1.0,0.9047619047619048,0.9500000000000001,0.9509065968900785,1.0,1.0,1.0,0.6553520262294391
25.0,0.0,1.0,3353.0,1.0,0.9615384615384616,0.9803921568627451,0.9804344840127778,1.0,1.0,1.0,0.9412856187174036
36.0,0.0,0.0,3343.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4842290938952031
61.0,4.0,1.0,3313.0,0.9384615384615385,0.9838709677419355,0.9606299212598426,0.9601545935592317,1.0,1.0,0.9354838709677419,0.6439895121071391
25.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7657562624788694
21.0,0.0,1.0,3357.0,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327,1.0,1.0,1.0,0.7427190647720318
55.0,9.0,5.0,3310.0,0.859375,0.9166666666666666,0.8870967741935484,0.88546686521654,1.0,1.0,0.9166666666666666,0.33450434228667786
61.0,4.0,7.0,3307.0,0.9384615384615385,0.8970588235294118,0.9172932330827067,0.9158761881389097,1.0,0.95,0.9117647058823529,0.513418895672919
26.0,0.0,1.0,3353.0,1.0,0.9629629629629629,0.9811320754716981,0.9811604629971198,1.0,1.0,0.9629629629629629,0.79145815879327
39.0,0.0,0.0,3341.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39196420907415275
21.0,1.0,1.0,3356.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542475695290709,1.0,1.0,0.9545454545454546,0.7208293221200289
20.0,0.0,2.0,3357.0,1.0,0.9090909090909091,0.9523809523809523,0.9531786938725445,1.0,1.0,1.0,0.7900653923731716
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.8789287964686137
40.0,0.0,2.0,3338.0,1.0,0.9523809523809523,0.975609756097561,0.975607843544482,1.0,1.0,1.0,0.6739313050498242
27.0,0.0,2.0,3350.0,1.0,0.9310344827586207,0.9642857142857143,0.9646133800254064,1.0,1.0,1.0,0.9595973472637237
18.0,0.0,0.0,3361.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9220593262520632
47.0,0.0,1.0,3331.0,1.0,0.9791666666666666,0.9894736842105264,0.9893800074388241,1.0,1.0,0.9791666666666666,0.32054523846212407
18.0,1.0,1.0,3359.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9470708020050125,0.9333333333333333,0.95,0.9473684210526315,0.9897120911442748
18.0,0.0,1.0,3360.0,1.0,0.9473684210526315,0.972972972972973,0.9731837185524588,1.0,0.95,1.0,0.9839374392974021
21.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642119056809807
22.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9306567786823707
29.0,0.0,1.0,3350.0,1.0,0.9666666666666667,0.983050847457627,0.9830453680087777,1.0,1.0,1.0,0.8512103711155492
30.0,0.0,0.0,3350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8961354011685415
61.0,4.0,6.0,3308.0,0.9384615384615385,0.9104477611940298,0.9242424242424243,0.9228437674402623,1.0,1.0,0.9253731343283582,0.28838531943098344
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8054757694461041
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7866708967208167
23.0,0.0,0.0,3356.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9411981304712759
16.0,0.0,1.0,3362.0,1.0,0.9411764705882353,0.9696969696969697,0.969998251761493,1.0,0.85,1.0,0.7464294876761112
43.0,2.0,1.0,3333.0,0.9555555555555556,0.9772727272727273,0.9662921348314608,0.9659049610127192,1.0,1.0,0.9545454545454546,0.5182063947661615
37.0,1.0,1.0,3340.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9733848989429575,1.0,1.0,0.9736842105263158,0.5775079234462732
30.0,0.0,1.0,3349.0,1.0,0.967741935483871,0.9836065573770492,0.9835919160374257,1.0,1.0,1.0,0.6545519945387616
14.0,0.0,1.0,3364.0,1.0,0.9333333333333333,0.9655172413793104,0.9659482223707123,1.0,0.75,1.0,0.7935743252618659
22.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.530720682869196
30.0,1.0,0.0,3349.0,0.967741935483871,1.0,0.9836065573770492,0.9835919160374257,1.0,1.0,1.0,0.8801327376918918
8.0,0.0,4.0,3367.0,1.0,0.6666666666666666,0.8,0.8160120131812314,0.8,0.6,1.0,0.996970197352769
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.9826921569321306
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9961408694902746
39.0,1.0,0.0,3339.0,0.975,1.0,0.9873417721518987,0.9872730543432933,1.0,1.0,0.9743589743589743,0.3496189926106358
22.0,0.0,0.0,3357.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8589626224660949
34.0,0.0,0.0,3345.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5524191147908315
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7992002709277433
54.0,2.0,1.0,3322.0,0.9642857142857143,0.9818181818181818,0.972972972972973,0.9725624763776477,1.0,1.0,0.9636363636363636,0.6246237740288586
61.0,1.0,5.0,3312.0,0.9838709677419355,0.9242424242424242,0.9531249999999999,0.9527043509219524,1.0,1.0,0.9545454545454546,0.6312687477647467
29.0,0.0,2.0,3348.0,1.0,0.9354838709677419,0.9666666666666666,0.966915390887087,1.0,1.0,0.967741935483871,0.9443854755349356
35.0,1.0,0.0,3343.0,0.9722222222222222,1.0,0.9859154929577464,0.9858658559417448,0.9333333333333333,0.95,0.9714285714285714,0.6880141043087491
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.9869417874582739
55.0,1.0,2.0,3322.0,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.9730394407547446,1.0,1.0,0.9824561403508771,0.4634644130888348
38.0,0.0,0.0,3341.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4879544148519315
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9894430247443491
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9831624373232566
29.0,0.0,0.0,3350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8983844581914472
21.0,0.0,1.0,3357.0,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327,1.0,1.0,1.0,0.9827464928869152
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9425286756575023
37.0,1.0,1.0,3341.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9733849885035749,1.0,1.0,0.9736842105263158,0.8226643274250787
39.0,0.0,2.0,3338.0,1.0,0.9512195121951219,0.975,0.9750127792356619,1.0,1.0,1.0,0.7863881359322266
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9838752995901079
20.0,0.0,0.0,3359.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9891571036781244
49.0,1.0,1.0,3328.0,0.98,0.98,0.98,0.97969960949234,1.0,1.0,0.98,0.6363802360697292
21.0,0.0,1.0,3357.0,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327,1.0,1.0,1.0,0.9805724182406106
23.0,1.0,0.0,3355.0,0.9583333333333334,1.0,0.9787234042553191,0.978799149534327,1.0,1.0,0.9565217391304348,0.9510234240153408
