tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
19.0,2.0,0.0,3358.0,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785,0.9333333333333333,0.95,0.9473684210526315,0.5108062128140435
19.0,2.0,0.0,3358.0,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785,1.0,0.9,0.8947368421052632,0.3555171736304585
22.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8300689187920572
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.966021352962333
44.0,5.0,4.0,3326.0,0.8979591836734694,0.9166666666666666,0.9072164948453607,0.9059150464422203,0.8666666666666667,0.9,0.8958333333333334,0.19141590237399503
19.0,2.0,1.0,3357.0,0.9047619047619048,0.95,0.9268292682926829,0.9266619509084257,0.9333333333333333,0.95,0.95,0.7163964966365033
15.0,1.0,2.0,3361.0,0.9375,0.8823529411764706,0.9090909090909091,0.9090668104188755,0.9333333333333333,0.85,0.9411764705882353,0.5943759148499054
10.0,1.0,1.0,3367.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087939969768949,0.7333333333333333,0.55,0.9090909090909091,0.8231211144410837
32.0,5.0,1.0,3341.0,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.9149178896886981,0.9333333333333333,0.9,0.8787878787878788,0.29440547247493964
15.0,2.0,0.0,3362.0,0.8823529411764706,1.0,0.9375,0.9390571631157907,0.8666666666666667,0.75,0.8666666666666667,0.3818264641117272
11.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9175559045374602
28.0,0.0,1.0,3351.0,1.0,0.9655172413793104,0.9824561403508771,0.9824607876362602,1.0,1.0,0.9655172413793104,0.3437737806749844
44.0,6.0,4.0,3325.0,0.88,0.9166666666666666,0.8979591836734694,0.8966505950230709,0.9333333333333333,0.95,0.8958333333333334,0.23010648368790027
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.8941464326490246
22.0,1.0,2.0,3354.0,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9359382368630836,0.9333333333333333,0.95,0.9583333333333334,0.5439092109917576
24.0,1.0,0.0,3354.0,0.96,1.0,0.9795918367346939,0.9796498659779325,1.0,1.0,1.0,0.4004616937553907
23.0,0.0,1.0,3355.0,1.0,0.9583333333333334,0.9787234042553191,0.978799149534327,1.0,1.0,1.0,0.561621165711011
29.0,1.0,3.0,3346.0,0.9666666666666667,0.90625,0.9354838709677419,0.9353829744847372,0.9333333333333333,0.95,0.96875,0.8793375957836072
28.0,0.0,2.0,3349.0,1.0,0.9333333333333333,0.9655172413793104,0.9658034405021888,1.0,1.0,1.0,0.34698263789944306
11.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9887542068922942
28.0,2.0,1.0,3349.0,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9488436866513957,1.0,0.95,0.9310344827586207,0.6487332291414164
22.0,1.0,2.0,3354.0,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9359382368630836,1.0,1.0,0.9583333333333334,0.6016346422022691
22.0,0.0,1.0,3356.0,1.0,0.9565217391304348,0.9777777777777777,0.9778736143472235,1.0,1.0,1.0,0.5221860549015997
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.993506013914625
21.0,1.0,0.0,3357.0,0.9545454545454546,1.0,0.9767441860465117,0.9768629353363327,1.0,0.95,0.9523809523809523,0.6173082385508977
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9957834720377468
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9685995768209363
15.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.7127253332593884
20.0,1.0,0.0,3358.0,0.9523809523809523,1.0,0.975609756097561,0.975754795675983,1.0,0.95,0.95,0.6124509067360469
11.0,1.0,0.0,3368.0,0.9166666666666666,1.0,0.9565217391304348,0.957285003546612,0.7333333333333333,0.55,1.0,0.8874191940229584
28.0,1.0,0.0,3350.0,0.9655172413793104,1.0,0.9824561403508771,0.9824607438904581,1.0,1.0,0.9642857142857143,0.6226973650962494
