tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
27.0,0.0,0.0,3413.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9449145863058241
59.0,4.0,4.0,3373.0,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9353234532387626,1.0,1.0,0.9365079365079365,0.3216470982424564
27.0,0.0,0.0,3413.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63890843091543
21.0,0.0,1.0,3418.0,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192,1.0,1.0,0.9545454545454546,0.553576256602406
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9649308204598528
44.0,4.0,1.0,3391.0,0.9166666666666666,0.9777777777777777,0.946236559139785,0.9460065348871316,0.9333333333333333,0.95,0.9333333333333333,0.20802053454959518
15.0,0.0,1.0,3424.0,1.0,0.9375,0.967741935483871,0.9681044764756864,1.0,0.8,1.0,0.9095859433283616
38.0,0.0,0.0,3402.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6050809568396827
62.0,3.0,1.0,3374.0,0.9538461538461539,0.9841269841269841,0.96875,0.9682804591830889,1.0,1.0,0.9682539682539683,0.5076808592818173
30.0,2.0,0.0,3408.0,0.9375,1.0,0.967741935483871,0.9679618518451881,1.0,0.95,0.9333333333333333,0.686868257678401
28.0,1.0,2.0,3409.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9488515190755508,0.9333333333333333,0.95,0.9333333333333333,0.5684099528548932
29.0,1.0,0.0,3410.0,0.9666666666666667,1.0,0.983050847457627,0.9830479488882264,1.0,1.0,0.9655172413793104,0.6161586337654921
36.0,2.0,2.0,3400.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9467805315758532,1.0,1.0,0.9473684210526315,0.38245913240561463
38.0,0.0,0.0,3402.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7783419858653877
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9853014882524525
33.0,4.0,2.0,3401.0,0.8918918918918919,0.9428571428571428,0.9166666666666667,0.9161470704290874,1.0,1.0,0.9428571428571428,0.19309163947936284
31.0,0.0,1.0,3408.0,1.0,0.96875,0.9841269841269841,0.9841066130025514,1.0,1.0,1.0,0.805929301890679
28.0,1.0,0.0,3411.0,0.9655172413793104,1.0,0.9824561403508771,0.9824633654554971,1.0,1.0,0.9642857142857143,0.7317360551809571
14.0,0.0,0.0,3426.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9852540958179412
25.0,0.0,0.0,3415.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5955402408115573
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9878895827757782
21.0,1.0,0.0,3418.0,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192,1.0,1.0,0.9523809523809523,0.9745924402366899
26.0,0.0,0.0,3414.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9268117650911339
36.0,0.0,0.0,3404.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9066906558686775
56.0,5.0,7.0,3372.0,0.9180327868852459,0.8888888888888888,0.9032258064516128,0.9015716993653397,0.8666666666666667,0.9,0.9206349206349206,0.4903335258317623
25.0,0.0,0.0,3415.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8581174993703272
21.0,0.0,1.0,3418.0,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192,1.0,1.0,0.9545454545454546,0.8418149078120555
54.0,3.0,7.0,3376.0,0.9473684210526315,0.8852459016393442,0.9152542372881356,0.914321068913787,0.9333333333333333,0.95,0.9344262295081968,0.33101063744790454
62.0,4.0,7.0,3367.0,0.9393939393939394,0.8985507246376812,0.9185185185185185,0.9171241337848406,1.0,1.0,0.927536231884058,0.4810131821031107
27.0,1.0,0.0,3412.0,0.9642857142857143,1.0,0.9818181818181818,0.9818366366734474,1.0,1.0,1.0,0.6693778036186566
38.0,0.0,1.0,3401.0,1.0,0.9743589743589743,0.9870129870129869,0.9869511470509365,1.0,1.0,1.0,0.29016527195077624
22.0,0.0,0.0,3418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8265717312418971
22.0,0.0,0.0,3418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9567080658222101
14.0,0.0,0.0,3426.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9573192532224207
42.0,1.0,0.0,3397.0,0.9767441860465116,1.0,0.988235294117647,0.9881582561808545,1.0,1.0,0.9761904761904762,0.739565220095578
28.0,0.0,1.0,3411.0,1.0,0.9655172413793104,0.9824561403508771,0.9824633654554971,1.0,1.0,1.0,0.9738233116181079
18.0,0.0,0.0,3422.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9082369601343464
48.0,0.0,1.0,3391.0,1.0,0.9795918367346939,0.9896907216494846,0.9895974140889342,1.0,1.0,1.0,0.2946674133158918
19.0,0.0,0.0,3421.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.7397195158575748
19.0,0.0,0.0,3421.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9803559948699959
20.0,0.0,1.0,3419.0,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547,1.0,1.0,1.0,0.9765769233481986
22.0,0.0,0.0,3418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941662804442877
30.0,0.0,0.0,3410.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5803199753437879
28.0,1.0,2.0,3409.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9488515190755508,1.0,1.0,0.9666666666666667,0.5769692314047523
66.0,2.0,1.0,3371.0,0.9705882352941176,0.9850746268656716,0.9777777777777777,0.9773609269301436,1.0,1.0,0.9850746268656716,0.5010953065201562
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8485609556755409
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8447573164044551
24.0,2.0,0.0,3414.0,0.9230769230769231,1.0,0.9600000000000001,0.9604876261116169,0.9333333333333333,0.95,0.9166666666666666,0.7658687261282819
17.0,1.0,0.0,3422.0,0.9444444444444444,1.0,0.9714285714285714,0.9716833502358617,1.0,0.85,1.0,0.5879646255528441
41.0,2.0,3.0,3394.0,0.9534883720930233,0.9318181818181818,0.942528735632184,0.9418566061817014,0.9333333333333333,0.95,0.9545454545454546,0.4736570388507748
37.0,0.0,1.0,3402.0,1.0,0.9736842105263158,0.9866666666666666,0.9866093884008956,1.0,1.0,1.0,0.4735140781927257
31.0,1.0,0.0,3408.0,0.96875,1.0,0.9841269841269841,0.9841066130025514,1.0,1.0,0.967741935483871,0.6100107525107814
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9910960715515972
21.0,0.0,1.0,3418.0,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192,1.0,1.0,1.0,0.8435373944217299
30.0,1.0,0.0,3409.0,0.967741935483871,1.0,0.9836065573770492,0.9835944998803484,1.0,1.0,0.9666666666666667,0.5487989584990006
12.0,0.0,0.0,3428.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.991057919058379
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9260949719316501
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9941837669956137
38.0,2.0,1.0,3399.0,0.95,0.9743589743589743,0.9620253164556962,0.9616631235592481,1.0,1.0,0.9487179487179487,0.4343339972675699
22.0,0.0,0.0,3418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9808999183235166
34.0,0.0,1.0,3405.0,1.0,0.9714285714285714,0.9855072463768115,0.9854660625594052,1.0,1.0,0.9714285714285714,0.4588225108214743
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8439999416636916
51.0,4.0,5.0,3380.0,0.9272727272727272,0.9107142857142857,0.918918918918919,0.917627908197652,0.9333333333333333,0.95,0.9285714285714286,0.4331714075921024
64.0,3.0,3.0,3370.0,0.9552238805970149,0.9552238805970149,0.9552238805970149,0.9543344646468223,1.0,1.0,0.9552238805970149,0.31719711491538616
31.0,0.0,0.0,3409.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7150972520615443
33.0,2.0,3.0,3402.0,0.9428571428571428,0.9166666666666666,0.9295774647887323,0.9289373638716629,1.0,1.0,0.9166666666666666,0.39198797546852265
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9929695965205608
55.0,4.0,2.0,3379.0,0.9322033898305084,0.9649122807017544,0.9482758620689654,0.9475347973930962,1.0,1.0,0.9473684210526315,0.4765331420152503
36.0,0.0,2.0,3402.0,1.0,0.9473684210526315,0.972972972972973,0.973042548072134,1.0,1.0,0.9736842105263158,0.6393649748412014
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9869626949233208
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9829993682637266
30.0,0.0,0.0,3410.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952481133223989
21.0,0.0,1.0,3418.0,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192,1.0,1.0,1.0,0.765206827169788
14.0,0.0,0.0,3426.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9880013224385912
38.0,4.0,0.0,3398.0,0.9047619047619048,1.0,0.9500000000000001,0.9506303723089777,1.0,1.0,0.9473684210526315,0.3934514131908593
40.0,2.0,1.0,3397.0,0.9523809523809523,0.975609756097561,0.963855421686747,0.9634857653238623,1.0,1.0,0.9512195121951219,0.2524211873642186
16.0,0.0,1.0,3423.0,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,1.0,0.9769314652088575
20.0,0.0,0.0,3420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9040865195394662
45.0,5.0,5.0,3385.0,0.9,0.9,0.9,0.8985250737463126,0.9333333333333333,0.95,0.9,0.2469980296390634
22.0,0.0,0.0,3418.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6546427273671185
23.0,0.0,0.0,3417.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9675509282664507
21.0,1.0,0.0,3418.0,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192,1.0,0.95,0.9523809523809523,0.929831675360497
