tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
20.0,3.0,0.0,3417.0,0.8695652173913043,1.0,0.9302325581395349,0.932095725172485,1.0,0.95,0.95,0.2613502310494838
19.0,3.0,1.0,3417.0,0.8636363636363636,0.95,0.9047619047619048,0.9052178113693152,0.9333333333333333,0.9,0.9,0.5996042059901184
21.0,1.0,1.0,3417.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542528857917975,0.9333333333333333,0.95,0.9545454545454546,0.9016323605614923
10.0,0.0,1.0,3429.0,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.7333333333333333,0.55,0.9090909090909091,0.9563545039021077
46.0,4.0,2.0,3388.0,0.92,0.9583333333333334,0.9387755102040817,0.9380922493704835,0.9333333333333333,0.95,0.9166666666666666,0.718130867612808
20.0,0.0,1.0,3419.0,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547,1.0,1.0,1.0,0.4694145113039542
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.931883278355809
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9707693430189724
29.0,3.0,4.0,3404.0,0.90625,0.8787878787878788,0.8923076923076922,0.8913883093486463,0.9333333333333333,0.95,0.9090909090909091,0.11045984983706975
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.7166203660341284
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9428121513668494
29.0,2.0,0.0,3409.0,0.9354838709677419,1.0,0.9666666666666666,0.9669205556451174,1.0,1.0,0.9655172413793104,0.40176888218647827
47.0,10.0,2.0,3381.0,0.8245614035087719,0.9591836734693877,0.8867924528301887,0.8876423272938662,0.9333333333333333,0.95,0.8571428571428571,0.3202630164741178
