tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
20.0,0.0,0.0,2676.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8246603575756395
41.0,1.0,8.0,2646.0,0.9761904761904762,0.8367346938775511,0.9010989010989012,0.9021765915313545,1.0,1.0,0.9387755102040817,0.4510296895080202
21.0,1.0,1.0,2673.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9541714829672945,1.0,0.95,0.9545454545454546,0.6885844756391037
17.0,0.0,1.0,2678.0,1.0,0.9444444444444444,0.9714285714285714,0.9716439205067058,1.0,0.85,0.9444444444444444,0.7929232789774435
10.0,0.0,0.0,2686.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.6267308778307282
32.0,1.0,3.0,2660.0,0.9696969696969697,0.9142857142857143,0.9411764705882354,0.9408432980776004,1.0,1.0,0.9428571428571428,0.5149986728334225
10.0,0.0,1.0,2685.0,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375,0.6666666666666666,0.5,0.9090909090909091,0.7799322402628159
28.0,0.0,3.0,2665.0,1.0,0.9032258064516129,0.9491525423728813,0.9498474536629371,1.0,1.0,0.9032258064516129,0.6621445593062554
45.0,3.0,6.0,2642.0,0.9375,0.8823529411764706,0.9090909090909091,0.9078247827383138,1.0,1.0,0.9215686274509803,0.5840104386062408
21.0,0.0,2.0,2673.0,1.0,0.9130434782608695,0.9545454545454545,0.955175810482724,1.0,1.0,1.0,0.7885473223927458
20.0,0.0,3.0,2673.0,1.0,0.8695652173913043,0.9302325581395349,0.9319819571713197,1.0,1.0,1.0,0.7977335241550185
19.0,1.0,3.0,2673.0,0.95,0.8636363636363636,0.9047619047619048,0.9050588320681454,1.0,0.95,0.9545454545454546,0.9733115965563284
28.0,2.0,1.0,2665.0,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9487294843927832,0.9333333333333333,0.95,0.9310344827586207,0.7062543722873751
30.0,0.0,0.0,2665.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.521831184482202
10.0,0.0,0.0,2686.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.9740057069441043
27.0,0.0,0.0,2669.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8427517381486306
24.0,0.0,1.0,2671.0,1.0,0.96,0.9795918367346939,0.979612534915144,1.0,1.0,0.96,0.6519161835869104
21.0,1.0,0.0,2673.0,0.9545454545454546,1.0,0.9767441860465117,0.9768257171447692,1.0,1.0,1.0,0.36843332962393993
12.0,0.0,0.0,2684.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.994430146699206
19.0,1.0,0.0,2676.0,0.95,1.0,0.9743589743589743,0.974497370514709,1.0,0.95,0.9473684210526315,0.8899895257045097
13.0,0.0,0.0,2683.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0,0.9841411264999886
16.0,0.0,1.0,2679.0,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557,1.0,0.85,1.0,0.9365546644856805
19.0,0.0,2.0,2675.0,1.0,0.9047619047619048,0.9500000000000001,0.950834345534371,1.0,1.0,0.9523809523809523,0.9070124327133215
29.0,0.0,0.0,2667.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4093532478083049
43.0,3.0,5.0,2644.0,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9135979564515596,1.0,1.0,0.9166666666666666,0.39093153089306126
20.0,0.0,0.0,2676.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.861856141486997
18.0,0.0,0.0,2678.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.6884775825602919
43.0,6.0,6.0,2641.0,0.8775510204081632,0.8775510204081632,0.8775510204081631,0.8752843033700068,1.0,1.0,0.8775510204081632,0.27992744849090956
48.0,2.0,6.0,2640.0,0.96,0.8888888888888888,0.923076923076923,0.9222758300250335,1.0,1.0,0.9074074074074074,0.24552459186276337
22.0,1.0,0.0,2673.0,0.9565217391304348,1.0,0.9777777777777777,0.9778364010334795,1.0,0.95,0.9545454545454546,0.6442770333648559
30.0,3.0,1.0,2662.0,0.9090909090909091,0.967741935483871,0.9374999999999999,0.9372187838667548,1.0,1.0,0.967741935483871,0.2391525976292173
16.0,0.0,1.0,2679.0,1.0,0.9411764705882353,0.9696969696969697,0.9699614865230557,1.0,0.85,1.0,0.3304362647996846
15.0,0.0,2.0,2679.0,1.0,0.8823529411764706,0.9375,0.9389860033244907,1.0,0.8,0.9411764705882353,0.9462952323856201
7.0,0.0,4.0,2685.0,1.0,0.6363636363636364,0.7777777777777778,0.7971304904662267,0.6666666666666666,0.5,0.9090909090909091,0.9813096068038938
