tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
12.0,0.0,3.0,2681.0,1.0,0.8,0.888888888888889,0.8939271850774906,0.8,0.6,0.8,0.6922862318965629
12.0,0.0,3.0,2681.0,1.0,0.8,0.888888888888889,0.8939271850774906,0.8,0.6,0.8,0.7659076453288639
12.0,0.0,4.0,2680.0,1.0,0.75,0.8571428571428571,0.8653798387273117,1.0,0.75,0.9375,0.9452647491502292
6.0,0.0,4.0,2686.0,1.0,0.6,0.7499999999999999,0.7740205466855837,0.5333333333333333,0.4,0.8,0.9621746425758821
23.0,1.0,14.0,2658.0,0.9583333333333334,0.6216216216216216,0.7540983606557377,0.7694837753387608,0.9333333333333333,0.95,0.7027027027027027,0.5338041433183921
14.0,0.0,3.0,2679.0,1.0,0.8235294117647058,0.9032258064516129,0.9069775288980665,0.9333333333333333,0.7,0.8235294117647058,0.7526389836663877
9.0,0.0,5.0,2682.0,1.0,0.6428571428571429,0.782608695652174,0.8010373942660857,0.8,0.6,0.8571428571428571,0.7608661716690499
7.0,0.0,0.0,2688.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.35,1.0,0.9740523695322817
20.0,0.0,6.0,2670.0,1.0,0.7692307692307693,0.8695652173913044,0.8760742186392272,1.0,1.0,0.8461538461538461,0.5965530086435383
7.0,1.0,5.0,2683.0,0.875,0.5833333333333334,0.7000000000000001,0.713446763466521,0.4666666666666667,0.35,0.5833333333333334,0.8990981307078374
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.4,0.3,0.75,0.9355030712297772
17.0,0.0,7.0,2672.0,1.0,0.7083333333333334,0.8292682926829268,0.8405251443904692,1.0,0.9,0.75,0.8779700832834931
29.0,4.0,11.0,2652.0,0.8787878787878788,0.725,0.7945205479452054,0.7954930637862123,1.0,1.0,0.725,0.23481001007068447
4.0,0.0,7.0,2684.0,1.0,0.36363636363636365,0.5333333333333333,0.6022378679948409,0.5333333333333333,0.4,0.6363636363636364,0.8580959771289753
14.0,1.0,5.0,2676.0,0.9333333333333333,0.7368421052631579,0.8235294117647058,0.8282494511105616,0.9333333333333333,0.8,0.8421052631578947,0.9013951405572165
12.0,0.0,7.0,2677.0,1.0,0.631578947368421,0.7741935483870968,0.7936824045886836,0.9333333333333333,0.75,0.7894736842105263,0.7262498935983381
17.0,1.0,1.0,2676.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9440708919603205,0.9333333333333333,0.85,0.9444444444444444,0.7922092126033946
22.0,4.0,3.0,2667.0,0.8461538461538461,0.88,0.8627450980392156,0.8616038136022975,0.8666666666666667,0.9,0.84,0.5304948198084318
20.0,1.0,4.0,2671.0,0.9523809523809523,0.8333333333333334,0.888888888888889,0.8899712452450633,1.0,1.0,0.8333333333333334,0.6492993888325569
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.4666666666666667,0.35,0.875,0.9892124245866636
14.0,0.0,7.0,2674.0,1.0,0.6666666666666666,0.8,0.8154299618166925,1.0,0.85,0.8095238095238095,0.835911175414747
16.0,0.0,3.0,2677.0,1.0,0.8421052631578947,0.9142857142857143,0.9171491743509169,1.0,0.8,0.8421052631578947,0.9263557891809572
9.0,0.0,8.0,2678.0,1.0,0.5294117647058824,0.6923076923076924,0.7265225125465244,0.6,0.45,0.5294117647058824,0.9137437453645281
9.0,0.0,1.0,2686.0,1.0,0.9,0.9473684210526316,0.9485067495613978,0.6,0.5,0.9,0.9275581332675846
14.0,1.0,2.0,2679.0,0.9333333333333333,0.875,0.9032258064516129,0.9031422616622639,0.9333333333333333,0.8,0.9375,0.8386913387544699
6.0,0.0,3.0,2686.0,1.0,0.6666666666666666,0.8,0.8160409890122613,0.4666666666666667,0.35,0.7777777777777778,0.6115781302337662
12.0,0.0,2.0,2682.0,1.0,0.8571428571428571,0.923076923076923,0.9254750950652961,0.8,0.6,0.8571428571428571,0.8646409042460387
11.0,0.0,2.0,2683.0,1.0,0.8461538461538461,0.9166666666666666,0.9195235526941755,0.7333333333333333,0.55,0.8461538461538461,0.6017778663334663
11.0,0.0,6.0,2679.0,1.0,0.6470588235294118,0.7857142857142858,0.803500393294439,0.7333333333333333,0.55,0.6470588235294118,0.9553753513604293
7.0,0.0,1.0,2688.0,1.0,0.875,0.9333333333333333,0.9352403970226753,0.4666666666666667,0.35,0.875,0.6363432808862073
19.0,0.0,4.0,2673.0,1.0,0.8260869565217391,0.9047619047619047,0.9082139666306033,1.0,0.95,0.8260869565217391,0.6588769385512974
30.0,0.0,9.0,2657.0,1.0,0.7692307692307693,0.8695652173913044,0.8755763622802146,1.0,1.0,0.7948717948717948,0.38977041349650454
6.0,0.0,3.0,2687.0,1.0,0.6666666666666666,0.8,0.8160411584245459,0.4666666666666667,0.35,0.7777777777777778,0.9246899646607312
13.0,0.0,3.0,2680.0,1.0,0.8125,0.896551724137931,0.9008837339246081,0.8666666666666667,0.65,0.8125,0.8752006027744592
9.0,0.0,5.0,2682.0,1.0,0.6428571428571429,0.782608695652174,0.8010373942660857,0.6666666666666666,0.5,0.7142857142857143,0.7182093782088572
25.0,1.0,13.0,2657.0,0.9615384615384616,0.6578947368421053,0.78125,0.7931128163718261,1.0,1.0,0.6842105263157895,0.38201438110141367
26.0,1.0,16.0,2653.0,0.9629629629629629,0.6190476190476191,0.7536231884057971,0.7694467590967293,0.9333333333333333,0.95,0.7142857142857143,0.5838139978867969
9.0,0.0,1.0,2686.0,1.0,0.9,0.9473684210526316,0.9485067495613978,0.6,0.45,0.9,0.9595246567623624
12.0,1.0,5.0,2678.0,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8061788719848025,0.8666666666666667,0.65,0.7647058823529411,0.8432605590541806
21.0,0.0,3.0,2672.0,1.0,0.875,0.9333333333333333,0.9348896681367193,1.0,1.0,0.9166666666666666,0.4759422262547075
13.0,0.0,4.0,2678.0,1.0,0.7647058823529411,0.8666666666666666,0.873822282509341,0.8666666666666667,0.65,0.7647058823529411,0.9259417597190167
15.0,0.0,2.0,2678.0,1.0,0.8823529411764706,0.9375,0.9389858725413865,1.0,0.75,0.8823529411764706,0.9165848779000597
12.0,1.0,0.0,2683.0,0.9230769230769231,1.0,0.9600000000000001,0.9605899253584841,0.8,0.6,0.9166666666666666,0.8833235535884468
9.0,0.0,8.0,2678.0,1.0,0.5294117647058824,0.6923076923076924,0.7265225125465244,0.6,0.45,0.5294117647058824,0.9283851374634682
10.0,0.0,3.0,2683.0,1.0,0.7692307692307693,0.8695652173913044,0.8765680883391048,0.6666666666666666,0.5,0.7692307692307693,0.9361976624155441
4.0,0.0,4.0,2688.0,1.0,0.5,0.6666666666666666,0.706581246531126,0.4,0.3,0.75,0.9070425667000003
17.0,1.0,5.0,2673.0,0.9444444444444444,0.7727272727272727,0.85,0.8532307721962359,0.9333333333333333,0.85,0.7727272727272727,0.8306801620365445
