tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,11.0,15.0,2670.0,0.0,0.0,0.0,-0.004787639264828827,0.0,0.0,0.0,0.016070375164821817
0.0,11.0,15.0,2670.0,0.0,0.0,0.0,-0.004787639264828827,0.0,0.0,0.0,0.014236642624655724
2.0,46.0,14.0,2634.0,0.041666666666666664,0.125,0.0625,0.06263409807398472,0.13333333333333333,0.1,0.125,0.009070918317408173
10.0,2666.0,0.0,20.0,0.0037369207772795215,1.0,0.007446016381236038,0.005274957186840916,0.0,0.0,0.0,1.8046650413723908e-06
0.0,18.0,37.0,2641.0,0.0,0.0,0.0,-0.009671028420890654,0.0,0.0,0.05405405405405406,0.0323248286838015
1.0,37.0,16.0,2642.0,0.02631578947368421,0.058823529411764705,0.03636363636363636,0.030225518312220638,0.0,0.0,0.0,0.00888051021485112
2.0,84.0,12.0,2598.0,0.023255813953488372,0.14285714285714285,0.04,0.04561879286983876,0.06666666666666667,0.05,0.07142857142857142,0.008075653937522251
0.0,4.0,7.0,2684.0,0.0,0.0,0.0,-0.001967467352707857,0.0,0.0,0.0,0.036184944627024915
0.0,94.0,26.0,2576.0,0.0,0.0,0.0,-0.018756047502765542,0.0,0.0,0.0,0.010795637235439312
0.0,11.0,12.0,2673.0,0.0,0.0,0.0,-0.004279800891174901,0.0,0.0,0.0,0.012869420583657596
8.0,2688.0,0.0,0.0,0.002967359050445104,1.0,0.005917159763313609,0.0,0.0,0.0,0.0,3.981514026072161e-07
0.0,0.0,24.0,2672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1387782551810671
2.0,82.0,38.0,2574.0,0.023809523809523808,0.05,0.03225806451612903,0.013309245721026923,0.0,0.05,0.025,0.01765479824449842
1.0,1087.0,10.0,1597.0,0.0009191176470588235,0.09090909090909091,0.0018198362147406732,-0.04081410480860086,0.0,0.0,0.0,0.0313711163907436
0.0,2.0,19.0,2675.0,0.0,0.0,0.0,-0.002295455178258657,0.0,0.0,0.0,0.08956082619416063
0.0,6.0,19.0,2671.0,0.0,0.0,0.0,-0.003978799915749485,0.0,0.05,0.05263157894736842,0.03175951593813394
2.0,32.0,16.0,2645.0,0.058823529411764705,0.1111111111111111,0.07692307692307691,0.07236420769971813,0.13333333333333333,0.1,0.1111111111111111,0.01641111855652125
