tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
102,10,0,17092,0.9107142857142857,1.0,0.9532710280373832,0.9540344682156906,"['APP', 'CUL3', 'GPR152', 'HMGA1', 'HNRNPC', 'HSCB', 'HSPA5', 'JUP', 'PRPF40A', 'TMEM67']"
95,7,7,17095,0.9313725490196079,0.9313725490196079,0.9313725490196079,0.9309632401668421,"['APP', 'GPR152', 'HMGA1', 'HNRNPC', 'JUP', 'PRPF40A', 'TMEM67']"
98,1,13,17092,0.98989898989899,0.8828828828828829,0.9333333333333333,0.9344709757811691,['ADRB2']
59,0,0,17145,1.0,1.0,1.0,1.0,[]
231,17,12,16944,0.9314516129032258,0.9506172839506173,0.9409368635437881,0.940132093434235,"['ALDH3B1', 'CTNNA3', 'CYP2A7', 'H2BC9', 'LGALS8', 'LILRA3', 'MATR3', 'MEOX2', 'MYOG', 'NLGN3', 'PICK1', 'RPL35', 'SLC22A9', 'SSR3', 'TAC3', 'TAGLN2', 'UBQLN1']"
105,6,0,17093,0.9459459459459459,1.0,0.9722222222222222,0.9724268690634748,"['BOD1', 'HTT', 'NR3C2', 'RBPJ', 'SRC', 'TEX101']"
89,0,0,17115,1.0,1.0,1.0,1.0,[]
47,0,9,17148,1.0,0.8392857142857143,0.9126213592233009,0.9158850651155341,[]
168,38,1,16997,0.8155339805825242,0.9940828402366864,0.896,0.899350194166567,"['APP', 'ATXN1', 'BMP2', 'BMPR1A', 'CAND1', 'CDC5L', 'CFTR', 'COPS5', 'CUL3', 'CYSRT1', 'EGFR', 'FN1', 'FYN', 'GRB2', 'HDAC1', 'HNRNPC', 'HSCB', 'HSF2BP', 'HSP90AB1', 'HTT', 'LHFPL5', 'LMNA', 'LNX1', 'MDFI', 'MEOX2', 'MLH1', 'MYC', 'NEK4', 'NUMA1', 'PIK3R1', 'QSOX1', 'SNW1', 'TMEM17', 'TNFAIP6', 'TP53', 'VCAM1', 'VHL', 'YWHAG']"
78,4,0,17122,0.9512195121951219,1.0,0.975,0.9751909261825356,"['APP', 'ASPH', 'MARCO', 'PTPRN']"
57,0,0,17147,1.0,1.0,1.0,1.0,[]
140,8,5,17051,0.9459459459459459,0.9655172413793104,0.9556313993174061,0.9553013152813695,"['CUL3', 'GRB2', 'GSC2', 'H1-2', 'LNX1', 'MFF', 'PI4KB', 'YWHAG']"
227,26,18,16933,0.8972332015810277,0.926530612244898,0.9116465863453814,0.9104703349206194,"['APP', 'BUD31', 'COPS5', 'CUL1', 'CUL3', 'FOXA1', 'FPR2', 'GOPC', 'GRB2', 'HSCB', 'HSPA5', 'IL13RA1', 'IL2RG', 'IL4R', 'MEOX2', 'MUC7', 'MYC', 'NEK4', 'NPM1', 'PAXIP1', 'TCTN3', 'TMEM17', 'TMEM30A', 'TP53', 'UBQLN1', 'ZDHHC17']"
77,1,0,17126,0.9871794871794872,1.0,0.9935483870967742,0.9935400587764566,['TNC']
122,9,3,17070,0.9312977099236641,0.976,0.953125,0.9530395580704432,"['APP', 'CUL3', 'H1-4', 'HSCB', 'HTT', 'ICAM1', 'PKLR', 'PSMB8', 'TNC']"
