tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
132,0,3,17069,1.0,0.9777777777777777,0.9887640449438202,0.9887395797033391,[]
300,24,19,16861,0.9259259259259259,0.9404388714733543,0.9331259720062207,0.9318818000993564,"['AGR2', 'ALDH3B1', 'CTNNB1', 'CUL3', 'CYP2A6', 'CYP2A7', 'CYSRT1', 'FN1', 'FSHR', 'GPHA2', 'HSP90AB1', 'HSPB1', 'KAT5', 'KEAP1', 'KRTAP10-3', 'LGALS8', 'LILRA3', 'PCNA', 'POT1', 'TERF1', 'VCAM1', 'WFS1', 'YWHAH', 'YWHAZ']"
137,2,0,17065,0.9856115107913669,1.0,0.9927536231884058,0.9927215176968249,"['CUL3', 'MDFI']"
112,2,2,17088,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9823391128494143,"['COPS5', 'HTT']"
75,0,0,17129,1.0,1.0,1.0,1.0,[]
222,14,6,16962,0.940677966101695,0.9736842105263158,0.956896551724138,0.9564536067549926,"['BMPR1A', 'COPS5', 'CUL3', 'FYN', 'HDAC1', 'HSP90AB1', 'HTT', 'MDFI', 'MEOX2', 'MYC', 'NEK4', 'SNW1', 'TRAF2', 'VHL']"
80,0,0,17124,1.0,1.0,1.0,1.0,[]
192,0,1,17011,1.0,0.9948186528497409,0.9974025974025974,0.9973766467005667,[]
304,6,14,16880,0.9806451612903225,0.9559748427672956,0.9681528662420381,0.9676423608698435,"['BRCA1', 'CLPP', 'CSF2RB', 'CUL1', 'IL13RA1', 'TCTN3']"
148,5,4,17047,0.9673202614379085,0.9736842105263158,0.9704918032786886,0.9702332083551056,"['CUL3', 'H1-4', 'HTT', 'PKLR', 'TNC']"
148,5,3,17048,0.9673202614379085,0.9801324503311258,0.9736842105263158,0.9734710888104924,"['CUL3', 'H1-4', 'HTT', 'PKLR', 'TNC']"
146,1,0,17057,0.9931972789115646,1.0,0.9965870307167235,0.9965636227513338,['UGDH']
185,4,5,17010,0.9788359788359788,0.9736842105263158,0.9762532981530344,0.9759922931534826,"['COPS5', 'CUL3', 'HSP90AB1', 'VCAM1']"
190,0,0,17014,1.0,1.0,1.0,1.0,[]
67,0,1,17136,1.0,0.9852941176470589,0.9925925925925926,0.9925908636052883,[]
174,11,1,17018,0.9405405405405406,0.9942857142857143,0.9666666666666667,0.9666954486146464,"['APP', 'BRCA1', 'COPS5', 'CUL3', 'GRB2', 'HNRNPU', 'HSCB', 'HSP90AB1', 'HTT', 'NHLRC1', 'VCAM1']"
163,0,1,17040,1.0,0.9939024390243902,0.9969418960244648,0.9969173059182227,[]
135,3,7,17059,0.9782608695652174,0.9507042253521126,0.9642857142857143,0.9640927625744945,"['APP', 'CUL3', 'GLIS1']"
71,0,1,17132,1.0,0.9861111111111112,0.993006993006993,0.9930022934858324,[]
127,4,0,17073,0.9694656488549618,1.0,0.9844961240310077,0.9844991456745777,"['AGR2', 'ATF6', 'CUL3', 'CYP2A7']"
80,0,0,17124,1.0,1.0,1.0,1.0,[]
99,0,10,17095,1.0,0.908256880733945,0.9519230769230769,0.9527464991377411,[]
