tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3365,0.0,0.0,0.0,0.0
7,0,4,3368,1.0,0.6363636363636364,0.7777777777777778,0.7972507488897066
5,4,6,3364,0.5555555555555556,0.45454545454545453,0.5,0.5010571649962202
7,1,3,3368,0.875,0.7,0.7777777777777777,0.7820598331491827
1,0,9,3369,1.0,0.1,0.18181818181818182,0.3158062224843866
4,1,8,3366,0.8,0.3333333333333333,0.47058823529411764,0.5154021856779367
3,1,16,3359,0.75,0.15789473684210525,0.2608695652173913,0.34271082747545784
0,4,19,3356,0.0,0.0,0.0,-0.0025888105444920777
1,2,18,3358,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.13064456362745624
0,4,19,3356,0.0,0.0,0.0,-0.0025888105444920777
9,1,9,3361,0.9,0.5,0.6428571428571429,0.6696251077908122
7,1,11,3361,0.875,0.3888888888888889,0.5384615384615385,0.5820222237681986
10,2,8,3360,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.6790795460980864
7,0,4,3369,1.0,0.6363636363636364,0.7777777777777778,0.7972508892474797
6,3,25,3346,0.6666666666666666,0.1935483870967742,0.30000000000000004,0.35637945404201826
9,3,2,3365,0.75,0.8181818181818182,0.7826086956521738,0.7826128289210108
4,1,7,3367,0.8,0.36363636363636365,0.5000000000000001,0.5384401033805097
1,1,9,3368,0.5,0.1,0.16666666666666669,0.2226788502184074
11,5,6,3357,0.6875,0.6470588235294118,0.6666666666666667,0.6653410450484052
6,0,11,3362,1.0,0.35294117647058826,0.5217391304347826,0.5931190163819302
12,3,5,3359,0.8,0.7058823529411765,0.7500000000000001,0.7502960593580121
9,0,8,3362,1.0,0.5294117647058824,0.6923076923076924,0.7267427336222583
6,4,5,3364,0.6,0.5454545454545454,0.5714285714285713,0.5707472127458477
0,0,24,3355,0.0,0.0,0.0,0.0
0,1,24,3354,0.0,0.0,0.0,-0.0014552229523922332
8,6,4,3361,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6157464908367295
5,1,9,3364,0.8333333333333334,0.35714285714285715,0.5,0.544443980175523
6,0,7,3366,1.0,0.46153846153846156,0.631578947368421,0.67866090868468
6,0,5,3369,1.0,0.5454545454545454,0.7058823529411764,0.7380015075486976
11,6,3,3359,0.6470588235294118,0.7857142857142857,0.7096774193548386,0.7117233267437966
1,0,8,3370,1.0,0.1111111111111111,0.19999999999999998,0.33293838848690116
10,1,11,3357,0.9090909090909091,0.47619047619047616,0.6249999999999999,0.6565633462711531
14,4,6,3355,0.7777777777777778,0.7,0.7368421052631577,0.7363903452836243
11,1,8,3360,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7273613633703302
8,2,10,3359,0.8,0.4444444444444444,0.5714285714285714,0.5947789970572244
10,2,7,3360,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.69891246671693
7,1,3,3368,0.875,0.7,0.7777777777777777,0.7820598331491827
6,1,4,3368,0.8571428571428571,0.6,0.7058823529411764,0.7164634687551492
0,2,9,3368,0.0,0.0,0.0,-0.0012576383490485992
8,1,3,3367,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034634808789711
6,1,7,3365,0.8571428571428571,0.46153846153846156,0.6,0.6280065671681101
10,3,7,3359,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.6712531811077961
8,3,9,3359,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.5833882920451966
0,4,10,3365,0.0,0.0,0.0,-0.0018756102679050616
6,2,4,3367,0.75,0.6,0.6666666666666665,0.6699578445940099
7,5,3,3365,0.5833333333333334,0.7,0.6363636363636365,0.6378445419834915
3,1,9,3366,0.75,0.25,0.375,0.4319853876132561
1,3,11,3364,0.25,0.08333333333333333,0.125,0.14262497037761485
2,3,10,3364,0.4,0.16666666666666666,0.23529411764705882,0.2565520094880217
3,1,9,3366,0.75,0.25,0.375,0.4319853876132561
5,1,8,3365,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.565113908761649
1,0,10,3369,1.0,0.09090909090909091,0.16666666666666669,0.30106485929715976
0,0,14,3365,0.0,0.0,0.0,0.0
0,1,11,3367,0.0,0.0,0.0,-0.00098328741011622
5,4,7,3364,0.5555555555555556,0.4166666666666667,0.4761904761904762,0.479540321555047
1,1,11,3367,0.5,0.08333333333333333,0.14285714285714285,0.20309557783890764
2,1,10,3367,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.33229582336354735
2,1,10,3367,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.33229582336354735
3,1,9,3366,0.75,0.25,0.375,0.4319853876132561
