tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
6,2,5,3427,0.75,0.5454545454545454,0.631578947368421,0.6386389070706447
8,3,3,3426,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
6,0,6,3428,1.0,0.5,0.6666666666666666,0.7064887707717356
5,1,14,3420,0.8333333333333334,0.2631578947368421,0.39999999999999997,0.46688647564460567
2,4,17,3417,0.3333333333333333,0.10526315789473684,0.16,0.1848855141174881
1,0,18,3421,1.0,0.05263157894736842,0.1,0.22881455607057088
1,7,18,3414,0.125,0.05263157894736842,0.07407407407407407,0.07783229531612172
6,2,12,3420,0.75,0.3333333333333333,0.46153846153846156,0.4983956282175566
10,2,8,3420,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.6791029155586256
8,3,10,3419,0.7272727272727273,0.4444444444444444,0.5517241379310345,0.5668343320070455
9,1,2,3428,0.9,0.8181818181818182,0.8571428571428572,0.857685411600515
11,7,20,3402,0.6111111111111112,0.3548387096774194,0.4489795918367347,0.46209215917656354
9,5,2,3424,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.724265050532562
5,1,6,3428,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.6146146484503897
5,3,5,3427,0.625,0.5,0.5555555555555556,0.5578764995742419
10,6,7,3417,0.625,0.5882352941176471,0.6060606060606061,0.6044439827310232
10,5,7,3418,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112
10,3,7,3420,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.671278462653271
13,1,4,3422,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.8419740340797036
6,1,5,3428,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829996303917248
3,4,21,3412,0.42857142857142855,0.125,0.19354838709677416,0.22871841645743818
7,8,17,3408,0.4666666666666667,0.2916666666666667,0.35897435897435903,0.36548891980756115
5,1,7,3427,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883284551623048
7,0,7,3426,1.0,0.5,0.6666666666666666,0.7063855063222145
9,2,4,3425,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.751764034973566
