tp,fp,fn,tn,precision,recall,f_measure,mcc
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
6,7,2,2680,0.46153846153846156,0.75,0.5714285714285714,0.5868510324874968
5,3,3,2684,0.625,0.625,0.625,0.6238835132117603
4,0,4,2688,1.0,0.5,0.6666666666666666,0.706581246531126
1,2,8,2685,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.190947810006899
6,1,4,2685,0.8571428571428571,0.6,0.7058823529411764,0.7162922783394519
1,0,12,2683,1.0,0.07692307692307693,0.14285714285714288,0.27673193219223546
3,1,10,2682,0.75,0.23076923076923078,0.3529411764705882,0.4146583279697573
1,0,12,2683,1.0,0.07692307692307693,0.14285714285714288,0.27673193219223546
1,2,12,2681,0.3333333333333333,0.07692307692307693,0.125,0.15828171157656984
8,2,5,2681,0.8,0.6153846153846154,0.6956521739130435,0.7004050196725207
8,2,5,2681,0.8,0.6153846153846154,0.6956521739130435,0.7004050196725207
9,1,4,2682,0.9,0.6923076923076923,0.7826086956521738,0.7884865540058128
5,0,4,2687,1.0,0.5555555555555556,0.7142857142857143,0.7448018243991541
4,3,20,2669,0.5714285714285714,0.16666666666666666,0.25806451612903225,0.30555728393711
2,1,7,2686,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.383827276390788
8,3,1,2684,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8033193727171399
5,0,2,2689,1.0,0.7142857142857143,0.8333333333333333,0.8448401293674601
7,0,5,2683,1.0,0.5833333333333334,0.7368421052631579,0.7630519404921849
7,2,5,2681,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.6723387775341099
9,1,4,2682,0.9,0.6923076923076923,0.7826086956521738,0.7884865540058128
7,0,5,2683,1.0,0.5833333333333334,0.7368421052631579,0.7630519404921849
4,2,5,2685,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5431163397776565
1,2,15,2678,0.3333333333333333,0.0625,0.10526315789473684,0.14226949448197884
0,0,16,2680,0.0,0.0,0.0,0.0
5,1,5,2685,0.8333333333333334,0.5,0.625,0.6445368414321503
6,1,5,2684,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.682788175898685
6,1,4,2684,0.8571428571428571,0.6,0.7058823529411764,0.7162919638872718
7,0,1,2687,1.0,0.875,0.9333333333333333,0.9352403323032357
6,4,6,2680,0.6,0.5,0.5454545454545454,0.5458866538319175
1,0,7,2687,1.0,0.125,0.2222222222222222,0.353093761141976
7,3,9,2677,0.7,0.4375,0.5384615384615384,0.5513657898593508
8,1,7,2679,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.6872797454350122
8,2,6,2680,0.8,0.5714285714285714,0.6666666666666666,0.6747380923315197
6,2,7,2680,0.75,0.46153846153846156,0.5714285714285714,0.5868510324874968
8,0,4,2683,1.0,0.6666666666666666,0.8,0.8158886161517448
7,3,1,2685,0.7,0.875,0.7777777777777777,0.7819164931740651
6,4,3,2683,0.6,0.6666666666666666,0.631578947368421,0.6311607335751074
0,0,8,2687,0.0,0.0,0.0,0.0
4,0,5,2687,1.0,0.4444444444444444,0.6153846153846153,0.666047260543274
5,1,5,2684,0.8333333333333334,0.5,0.625,0.644536484080187
7,1,5,2682,0.875,0.5833333333333334,0.7000000000000001,0.7134463956649318
7,3,6,2680,0.7,0.5384615384615384,0.608695652173913,0.6123234853392286
2,0,6,2688,1.0,0.25,0.4,0.4994428967629321
6,0,2,2688,1.0,0.75,0.8571428571428571,0.865703401392276
6,1,2,2687,0.8571428571428571,0.75,0.7999999999999999,0.8012369897962119
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
3,1,7,2685,0.75,0.3,0.4285714285714285,0.47322473870818116
2,1,8,2685,0.6666666666666666,0.2,0.30769230769230765,0.36399465082737587
3,2,7,2684,0.6,0.3,0.4,0.4228176875213699
4,1,7,2684,0.8,0.36363636363636365,0.5000000000000001,0.5382064605242505
2,1,7,2686,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.383827276390788
0,0,12,2684,0.0,0.0,0.0,0.0
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
5,4,5,2682,0.5555555555555556,0.5,0.5263157894736842,0.5253787282463439
1,1,9,2685,0.5,0.1,0.16666666666666669,0.22244329082553707
4,2,6,2684,0.6666666666666666,0.4,0.5,0.5150531361787167
1,1,9,2685,0.5,0.1,0.16666666666666669,0.22244329082553707
1,3,9,2683,0.25,0.1,0.14285714285714288,0.15617357182019498
5,4,4,2683,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5540669065045694
2,0,10,2684,1.0,0.16666666666666666,0.2857142857142857,0.407489886891481
