tp,fp,fn,tn,precision,recall,f_measure,mcc
0,1,14,3364,0.0,0.0,0.0,-0.0011097921816605738
3,3,8,3365,0.5,0.2727272727272727,0.3529411764705882,0.36779550412667983
2,1,9,3367,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471746915679438
7,1,3,3368,0.875,0.7,0.7777777777777777,0.7820598331491827
0,0,10,3369,0.0,0.0,0.0,0.0
1,0,11,3367,1.0,0.08333333333333333,0.15384615384615385,0.28820473557397125
2,8,17,3352,0.2,0.10526315789473684,0.13793103448275862,0.14162378578384627
2,7,17,3353,0.2222222222222222,0.10526315789473684,0.14285714285714285,0.1496942156729296
1,1,18,3359,0.5,0.05263157894736842,0.09523809523809525,0.16089757860289813
4,3,15,3357,0.5714285714285714,0.21052631578947367,0.3076923076923077,0.34475790726107153
7,6,11,3356,0.5384615384615384,0.3888888888888889,0.45161290322580644,0.4551659830626677
7,3,11,3359,0.7,0.3888888888888889,0.5,0.519933780784665
8,5,10,3357,0.6153846153846154,0.4444444444444444,0.5161290322580646,0.5208392103636076
5,5,6,3364,0.5,0.45454545454545453,0.47619047619047616,0.47510423058867046
3,4,28,3345,0.42857142857142855,0.0967741935483871,0.15789473684210525,0.20042291764902317
5,5,6,3363,0.5,0.45454545454545453,0.47619047619047616,0.47510374756690416
2,2,9,3366,0.5,0.18181818181818182,0.26666666666666666,0.30021477951876874
1,4,9,3365,0.2,0.1,0.13333333333333333,0.1396386843669946
9,2,8,3360,0.8181818181818182,0.5294117647058824,0.6428571428571428,0.6568198077397661
5,2,12,3360,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.45674341974371957
7,3,10,3359,0.7,0.4117647058823529,0.5185185185185185,0.535155209407111
5,4,12,3358,0.5555555555555556,0.29411764705882354,0.3846153846153846,0.4021127254380279
5,5,6,3363,0.5,0.45454545454545453,0.47619047619047616,0.47510374756690416
4,1,20,3354,0.8,0.16666666666666666,0.27586206896551724,0.36346760933146427
1,10,23,3345,0.09090909090909091,0.041666666666666664,0.05714285714285715,0.057032680534476715
8,4,4,3363,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6654786654786655
9,6,5,3359,0.6,0.6428571428571429,0.6206896551724138,0.6194284496309216
7,2,6,3364,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6460523614512305
10,1,1,3368,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9087940851075312
8,6,6,3359,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5696455105073233
0,0,9,3370,0.0,0.0,0.0,0.0
8,7,13,3351,0.5333333333333333,0.38095238095238093,0.4444444444444444,0.4478824797886661
8,3,12,3356,0.7272727272727273,0.4,0.5161290322580645,0.5374360901019811
4,6,15,3355,0.4,0.21052631578947367,0.27586206896551724,0.2873453293318499
9,10,9,3351,0.47368421052631576,0.5,0.4864864864864865,0.4838402981672269
4,4,13,3358,0.5,0.23529411764705882,0.31999999999999995,0.34080693884038193
4,0,6,3369,1.0,0.4,0.5714285714285715,0.6318930992572153
4,3,6,3366,0.5714285714285714,0.4,0.47058823529411764,0.47681487828557395
0,0,9,3370,0.0,0.0,0.0,0.0
8,3,3,3365,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263819909306846
9,3,4,3363,0.75,0.6923076923076923,0.7199999999999999,0.7195421575533797
6,5,11,3357,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.4365252606560575
10,5,7,3357,0.6666666666666666,0.5882352941176471,0.625,0.6244553235194932
0,3,10,3366,0.0,0.0,0.0,-0.0016240855521577062
5,2,5,3367,0.7142857142857143,0.5,0.588235294117647,0.5966391735203616
5,4,5,3366,0.5555555555555556,0.5,0.5263157894736842,0.5257171344740196
0,1,12,3366,0.0,0.0,0.0,-0.0010271627047483381
1,1,11,3366,0.5,0.08333333333333333,0.14285714285714285,0.20309527287291806
0,3,12,3364,0.0,0.0,0.0,-0.001779624898240971
0,1,12,3366,0.0,0.0,0.0,-0.0010271627047483381
8,0,5,3366,1.0,0.6153846153846154,0.761904761904762,0.7838825503097384
0,1,11,3368,0.0,0.0,0.0,-0.0009829959787084467
0,1,14,3364,0.0,0.0,0.0,-0.0011097921816605738
1,2,10,3366,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.17273554170800592
0,1,12,3367,0.0,0.0,0.0,-0.0010268582241094127
0,2,12,3366,0.0,0.0,0.0,-0.001452411760468946
1,1,11,3367,0.5,0.08333333333333333,0.14285714285714285,0.20309557783890764
