tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,14,3426,0.0,0.0,0.0,0.0
6,3,5,3426,0.6666666666666666,0.5454545454545454,0.6,0.6018799603677997
4,6,7,3423,0.4,0.36363636363636365,0.380952380952381,0.37949451761254555
4,3,6,3427,0.5714285714285714,0.4,0.47058823529411764,0.4768375703067432
0,1,11,3428,0.0,0.0,0.0,-0.000965820706468298
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602
2,3,17,3418,0.4,0.10526315789473684,0.16666666666666666,0.20307110946484405
0,7,19,3414,0.0,0.0,0.0,-0.0033652116341250874
0,2,19,3419,0.0,0.0,0.0,-0.0017974727910387226
0,4,19,3417,0.0,0.0,0.0,-0.0025427501082216255
6,4,12,3418,0.6,0.3333333333333333,0.42857142857142855,0.4451253356860911
10,4,8,3418,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.628248297611179
4,3,14,3419,0.5714285714285714,0.2222222222222222,0.32,0.3543733978714813
3,2,8,3427,0.6,0.2727272727272727,0.37499999999999994,0.40330211143425204
1,2,30,3407,0.3333333333333333,0.03225806451612903,0.0588235294117647,0.10139370000745838
3,4,8,3425,0.42857142857142855,0.2727272727272727,0.33333333333333326,0.3402210384721314
5,3,6,3426,0.625,0.45454545454545453,0.5263157894736842,0.5317433329015605
2,5,8,3425,0.2857142857142857,0.2,0.23529411764705882,0.23719969713578679
9,1,8,3422,0.9,0.5294117647058824,0.6666666666666667,0.689183257727374
4,5,13,3418,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.3209983948924477
4,5,13,3418,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.3209983948924477
3,2,14,3421,0.6,0.17647058823529413,0.2727272727272727,0.3237513319831821
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761
0,2,24,3414,0.0,0.0,0.0,-0.0020216629473746458
1,1,23,3415,0.5,0.041666666666666664,0.07692307692307693,0.14286418161447495
3,2,9,3426,0.6,0.25,0.35294117647058826,0.38600058090880424
5,5,9,3421,0.5,0.35714285714285715,0.41666666666666663,0.42060484362911155
3,5,10,3422,0.375,0.23076923076923078,0.2857142857142857,0.2921013221904001
1,4,10,3425,0.2,0.09090909090909091,0.12500000000000003,0.13299343859765642
3,4,11,3422,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.3010871756161153
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
6,5,15,3414,0.5454545454545454,0.2857142857142857,0.37499999999999994,0.39217729146207947
5,7,15,3413,0.4166666666666667,0.25,0.3125,0.31973248819122135
2,2,17,3419,0.5,0.10526315789473684,0.17391304347826086,0.22764304916236766
4,3,14,3419,0.5714285714285714,0.2222222222222222,0.32,0.3543733978714813
5,2,12,3421,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.45677198610469805
7,4,3,3426,0.6363636363636364,0.7,0.6666666666666666,0.6664090540053272
1,4,9,3426,0.2,0.1,0.13333333333333333,0.13967036410852482
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
3,1,8,3428,0.75,0.2727272727272727,0.39999999999999997,0.4513229697851845
6,3,7,3424,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.5533252679851721
10,3,7,3420,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.671278462653271
10,5,7,3418,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112
0,1,10,3429,0.0,0.0,0.0,-0.000920739663571196
7,4,3,3426,0.6363636363636364,0.7,0.6666666666666666,0.6664090540053272
