tp,fp,fn,tn,precision,recall,f_measure,mcc
1,5,10,2680,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.12045795770904859
1,0,7,2687,1.0,0.125,0.2222222222222222,0.353093761141976
3,1,5,2686,0.75,0.375,0.5,0.5294098627681411
4,4,4,2684,0.5,0.5,0.5,0.49851190476190477
0,3,9,2684,0.0,0.0,0.0,-0.0019316563769899862
4,1,6,2685,0.8,0.4,0.5333333333333333,0.5646336225248052
2,6,11,2677,0.25,0.15384615384615385,0.1904761904761905,0.19308556544059366
2,8,11,2675,0.2,0.15384615384615385,0.17391304347826086,0.17191581367276815
2,6,11,2677,0.25,0.15384615384615385,0.1904761904761905,0.19308556544059366
2,3,11,2680,0.4,0.15384615384615385,0.2222222222222222,0.24590017241355996
6,4,7,2679,0.6,0.46153846153846156,0.5217391304347826,0.5242419510059365
4,1,9,2682,0.8,0.3076923076923077,0.4444444444444444,0.49480081623821087
5,4,8,2679,0.5555555555555556,0.38461538461538464,0.4545454545454546,0.46011550456487676
4,3,5,2684,0.5714285714285714,0.4444444444444444,0.5,0.5024996770268727
7,11,17,2661,0.3888888888888889,0.2916666666666667,0.3333333333333333,0.33166185853859337
3,2,6,2685,0.6,0.3333333333333333,0.42857142857142855,0.4458832209633343
4,2,5,2685,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5431163397776565
3,9,4,2680,0.25,0.42857142857142855,0.3157894736842105,0.3250729107973127
2,5,10,2678,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.21557710432093782
5,5,7,2678,0.5,0.4166666666666667,0.45454545454545453,0.4542247431187456
4,10,9,2673,0.2857142857142857,0.3076923076923077,0.29629629629629634,0.2929627359461963
6,3,6,2680,0.6666666666666666,0.5,0.5714285714285715,0.575737348443401
4,4,5,2683,0.5,0.4444444444444444,0.47058823529411764,0.46973816875410973
3,4,13,2676,0.42857142857142855,0.1875,0.26086956521739124,0.2807458439399472
2,4,14,2676,0.3333333333333333,0.125,0.18181818181818182,0.20131161034631548
5,5,5,2681,0.5,0.5,0.5,0.498138495904691
5,1,6,2684,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.6143813858209801
5,3,5,2682,0.625,0.5,0.5555555555555556,0.5575601756219445
4,1,4,2686,0.8,0.5,0.6153846153846154,0.631632273690274
3,3,9,2681,0.5,0.25,0.3333333333333333,0.3515799212753691
0,0,8,2687,0.0,0.0,0.0,0.0
10,7,6,2673,0.5882352941176471,0.625,0.6060606060606061,0.6039177900412306
7,4,8,2676,0.6363636363636364,0.4666666666666667,0.5384615384615385,0.542801428171412
8,7,6,2675,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5496334317601893
6,5,7,2677,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.4995323006077096
3,4,9,2679,0.42857142857142855,0.25,0.3157894736842105,0.32507207155518725
3,1,5,2687,0.75,0.375,0.5,0.5294102048041993
5,3,4,2684,0.625,0.5555555555555556,0.5882352941176471,0.5879620394562269
0,2,8,2685,0.0,0.0,0.0,-0.0014869897723160345
5,1,4,2686,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.6795787491011013
5,3,5,2682,0.625,0.5,0.5555555555555556,0.5575601756219445
4,5,8,2678,0.4444444444444444,0.3333333333333333,0.380952380952381,0.3825344902619833
3,4,10,2679,0.42857142857142855,0.23076923076923078,0.3,0.31210495413732925
0,5,8,2683,0.0,0.0,0.0,-0.0023515732678878326
5,4,3,2684,0.5555555555555556,0.625,0.5882352941176471,0.5879620394562269
5,2,3,2686,0.7142857142857143,0.625,0.6666666666666666,0.6672335825697487
0,3,10,2683,0.0,0.0,0.0,-0.0020365235965724123
0,0,10,2686,0.0,0.0,0.0,0.0
1,0,9,2686,1.0,0.1,0.18181818181818182,0.3156993003436606
0,0,10,2686,0.0,0.0,0.0,0.0
2,1,9,2684,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.34692569371518156
1,2,8,2685,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.190947810006899
0,1,12,2683,0.0,0.0,0.0,-0.0012880122173518564
0,0,9,2687,0.0,0.0,0.0,0.0
0,3,10,2683,0.0,0.0,0.0,-0.0020365235965724123
0,0,10,2686,0.0,0.0,0.0,0.0
0,2,10,2684,0.0,0.0,0.0,-0.0016625059105047615
0,1,10,2685,0.0,0.0,0.0,-0.0011753510809518264
1,4,9,2682,0.2,0.1,0.13333333333333333,0.1391858175144992
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
2,1,10,2683,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3320319572673815
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
6,5,7,2678,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.49953312507524533
1,4,15,2675,0.2,0.0625,0.09523809523809523,0.10890910846490545
3,6,13,2674,0.3333333333333333,0.1875,0.24000000000000005,0.2466929618292402
0,5,17,2674,0.0,0.0,0.0,-0.0034337309038162678
2,3,14,2677,0.4,0.125,0.19047619047619047,0.22115095899057594
1,1,10,2684,0.5,0.09090909090909091,0.15384615384615385,0.2119723047164658
2,2,9,2683,0.5,0.18181818181818182,0.26666666666666666,0.2998854448974761
6,3,2,2685,0.6666666666666666,0.75,0.7058823529411765,0.7061859101583442
2,1,9,2684,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.34692569371518156
2,7,9,2678,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.1980515832033081
0,4,9,2683,0.0,0.0,0.0,-0.002230898900219377
0,1,10,2684,0.0,0.0,0.0,-0.0011757880968918733
2,4,8,2682,0.3333333333333333,0.2,0.25,0.25608572567184984
1,3,10,2682,0.25,0.09090909090909091,0.13333333333333333,0.1487090874846871
0,0,9,2686,0.0,0.0,0.0,0.0
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
0,0,9,2687,0.0,0.0,0.0,0.0
4,3,5,2684,0.5714285714285714,0.4444444444444444,0.5,0.5024996770268727
0,0,9,2687,0.0,0.0,0.0,0.0
0,3,15,2677,0.0,0.0,0.0,-0.0024974760495692725
0,1,8,2687,0.0,0.0,0.0,-0.0010508747970294637
1,2,12,2681,0.3333333333333333,0.07692307692307693,0.125,0.15828171157656984
0,0,10,2686,0.0,0.0,0.0,0.0
1,2,8,2685,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.190947810006899
0,0,9,2687,0.0,0.0,0.0,0.0
0,1,8,2686,0.0,0.0,0.0,-0.0010512653848663222
0,1,9,2686,0.0,0.0,0.0,-0.001114828433387092
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
1,1,13,2681,0.5,0.07142857142857142,0.125,0.18757658597064114
0,3,18,2675,0.0,0.0,0.0,-0.0027363611566076085
1,2,25,2668,0.3333333333333333,0.038461538461538464,0.06896551724137931,0.11054740019314202
2,11,8,2675,0.15384615384615385,0.2,0.17391304347826086,0.17191581367276815
3,2,9,2682,0.6,0.25,0.35294117647058826,0.3856413850601299
1,3,9,2683,0.25,0.1,0.14285714285714288,0.15617357182019498
1,6,9,2680,0.14285714285714285,0.1,0.11764705882352941,0.11678775132990193
2,1,8,2684,0.6666666666666666,0.2,0.30769230769230765,0.36399422180989877
2,5,12,2677,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.19913431810282292
2,1,8,2684,0.6666666666666666,0.2,0.30769230769230765,0.36399422180989877
1,5,11,2679,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.11508803810211682
3,2,5,2686,0.6,0.375,0.4615384615384615,0.47313654149903195
0,2,8,2686,0.0,0.0,0.0,-0.0014864371927468217
1,1,10,2684,0.5,0.09090909090909091,0.15384615384615385,0.2119723047164658
0,0,9,2687,0.0,0.0,0.0,0.0
0,1,8,2686,0.0,0.0,0.0,-0.0010512653848663222
0,3,9,2684,0.0,0.0,0.0,-0.0019316563769899862
0,1,9,2686,0.0,0.0,0.0,-0.001114828433387092
0,1,9,2686,0.0,0.0,0.0,-0.001114828433387092
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
5,6,3,2682,0.45454545454545453,0.625,0.5263157894736842,0.5313948331451087
4,3,4,2685,0.5714285714285714,0.5,0.5333333333333333,0.5332301753432855
0,6,9,2680,0.0,0.0,0.0,-0.00273431455737541
0,3,11,2682,0.0,0.0,0.0,-0.0021363216817691716
0,1,13,2682,0.0,0.0,0.0,-0.0013408554299288338
2,6,11,2677,0.25,0.15384615384615385,0.1904761904761905,0.19308556544059366
0,4,9,2683,0.0,0.0,0.0,-0.002230898900219377
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
0,2,9,2685,0.0,0.0,0.0,-0.0015768980772994832
0,0,9,2687,0.0,0.0,0.0,0.0
1,3,8,2684,0.25,0.1111111111111111,0.15384615384615383,0.16483864096065398
0,0,9,2687,0.0,0.0,0.0,0.0
4,0,4,2688,1.0,0.5,0.6666666666666666,0.706581246531126
3,0,5,2688,1.0,0.375,0.5454545454545454,0.6118036862132872
4,0,9,2683,1.0,0.3076923076923077,0.47058823529411764,0.553772172196545
2,1,11,2682,0.6666666666666666,0.15384615384615385,0.25,0.3188867151183208
1,1,12,2682,0.5,0.07692307692307693,0.13333333333333336,0.19476703609564744
2,4,10,2679,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.23333309802951016
4,1,9,2682,0.8,0.3076923076923077,0.4444444444444444,0.49480081623821087
4,4,9,2679,0.5,0.3076923076923077,0.380952380952381,0.3899685777052837
3,2,10,2681,0.6,0.23076923076923078,0.33333333333333337,0.3703504943258854
5,3,8,2680,0.625,0.38461538461538464,0.4761904761904762,0.48841008383762874
4,1,9,2682,0.8,0.3076923076923077,0.4444444444444444,0.49480081623821087
3,3,10,2680,0.5,0.23076923076923078,0.3157894736842105,0.3375971241555722
4,4,9,2679,0.5,0.3076923076923077,0.380952380952381,0.3899685777052837
0,1,11,2684,0.0,0.0,0.0,-0.0012329481485774372
1,4,7,2684,0.2,0.125,0.15384615384615385,0.15614446498775209
1,4,7,2684,0.2,0.125,0.15384615384615385,0.15614446498775209
7,1,1,2687,0.875,0.875,0.875,0.8746279761904762
0,0,14,2682,0.0,0.0,0.0,0.0
0,1,11,2683,0.0,0.0,0.0,-0.001233406665650952
0,1,14,2681,0.0,0.0,0.0,-0.001391730824761937
1,2,13,2680,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15238025986315068
0,2,10,2683,0.0,0.0,0.0,-0.0016631241736466693
0,3,13,2680,0.0,0.0,0.0,-0.0023232919651811155
1,1,12,2682,0.5,0.07692307692307693,0.13333333333333336,0.19476703609564744
1,1,11,2683,0.5,0.08333333333333333,0.14285714285714285,0.20283401225298756
0,0,13,2683,0.0,0.0,0.0,0.0
0,3,12,2681,0.0,0.0,0.0,-0.002231730855419293
0,0,13,2683,0.0,0.0,0.0,0.0
0,1,10,2684,0.0,0.0,0.0,-0.0011757880968918733
1,2,10,2682,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.1723940599821098
1,2,12,2681,0.3333333333333333,0.07692307692307693,0.125,0.15828171157656984
1,2,12,2681,0.3333333333333333,0.07692307692307693,0.125,0.15828171157656984
0,0,13,2683,0.0,0.0,0.0,0.0
0,2,14,2680,0.0,0.0,0.0,-0.001968569867757853
2,3,12,2679,0.4,0.14285714285714285,0.21052631578947364,0.23677705500250348
0,1,12,2682,0.0,0.0,0.0,-0.001288491301453335
0,0,12,2684,0.0,0.0,0.0,0.0
2,1,11,2682,0.6666666666666666,0.15384615384615385,0.25,0.3188867151183208
0,2,13,2681,0.0,0.0,0.0,-0.0018966078421299003
1,0,10,2685,1.0,0.09090909090909091,0.16666666666666669,0.3009514344482199
2,0,11,2683,1.0,0.15384615384615385,0.2666666666666667,0.3914306800334248
0,5,14,2676,0.0,0.0,0.0,-0.003115476451858759
