tp,fp,fn,tn,precision,recall,f_measure,mcc
2,1,12,3425,0.6666666666666666,0.14285714285714285,0.23529411764705882,0.3074829265138072
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381
6,3,5,3426,0.6666666666666666,0.5454545454545454,0.6,0.6018799603677997
8,4,2,3426,0.6666666666666666,0.8,0.7272727272727272,0.7294448679802689
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
6,2,6,3426,0.75,0.5,0.6,0.6113013341884423
6,2,13,3419,0.75,0.3157894736842105,0.44444444444444436,0.48498420512065143
8,0,11,3421,1.0,0.42105263157894735,0.5925925925925926,0.6478449690424634
6,3,13,3418,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.45689002311583565
8,2,11,3419,0.8,0.42105263157894735,0.5517241379310345,0.5788142759874294
7,4,11,3418,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.4954665660270939
9,3,9,3419,0.75,0.5,0.6,0.610763516145986
12,1,6,3421,0.9230769230769231,0.6666666666666666,0.7741935483870968,0.7835484526154426
10,2,1,3427,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823
13,7,18,3402,0.65,0.41935483870967744,0.5098039215686274,0.5186999320206733
8,2,3,3427,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212
6,0,5,3429,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664
5,7,5,3423,0.4166666666666667,0.5,0.45454545454545453,0.4547050490913501
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908
11,4,6,3419,0.7333333333333333,0.6470588235294118,0.6875,0.6874018979040556
8,1,9,3422,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.6456061639613152
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761
4,1,20,3415,0.8,0.16666666666666666,0.27586206896551724,0.36349751448002526
4,8,20,3408,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.23198317745865876
9,0,3,3428,1.0,0.75,0.8571428571428571,0.8656467030577306
7,1,7,3425,0.875,0.5,0.6363636363636364,0.6604736042679252
7,4,6,3423,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5839301588461644
7,0,4,3429,1.0,0.6363636363636364,0.7777777777777778,0.7972591610315893
11,5,3,3421,0.6875,0.7857142857142857,0.7333333333333334,0.7338174674660084
1,0,9,3430,1.0,0.1,0.18181818181818182,0.31581370460492025
12,2,9,3417,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.6984231736356145
11,3,9,3417,0.7857142857142857,0.55,0.6470588235294117,0.6557523197212823
13,5,6,3416,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.7013553805650804
11,5,7,3417,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557
9,0,8,3423,1.0,0.5294117647058824,0.6923076923076924,0.7267581062285321
8,3,2,3427,0.7272727272727273,0.8,0.761904761904762,0.7620472328029212
7,1,3,3429,0.875,0.7,0.7777777777777777,0.7820698592162271
0,0,10,3430,0.0,0.0,0.0,0.0
4,0,7,3429,1.0,0.36363636363636365,0.5333333333333333,0.6024081212119103
8,3,5,3424,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.6678470969098652
14,3,3,3420,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8226529875753983
11,0,6,3423,1.0,0.6470588235294118,0.7857142857142858,0.803695596674924
11,0,6,3423,1.0,0.6470588235294118,0.7857142857142858,0.803695596674924
