tp,fp,fn,tn,precision,recall,f_measure,mcc
2,0,12,3426,1.0,0.14285714285714285,0.25,0.3773042725523563
9,2,2,3427,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8175985577560381
6,3,5,3426,0.6666666666666666,0.5454545454545454,0.6,0.6018799603677997
8,4,2,3426,0.6666666666666666,0.8,0.7272727272727272,0.7294448679802689
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
6,2,6,3426,0.75,0.5,0.6,0.6113013341884423
6,2,13,3419,0.75,0.3157894736842105,0.44444444444444436,0.48498420512065143
8,0,11,3421,1.0,0.42105263157894735,0.5925925925925926,0.6478449690424634
6,3,13,3418,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.45689002311583565
7,3,12,3418,0.7,0.3684210526315789,0.48275862068965514,0.5059594970120632
7,3,11,3419,0.7,0.3888888888888889,0.5,0.5199655680790605
9,3,9,3419,0.75,0.5,0.6,0.610763516145986
11,1,7,3421,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7474423149712651
10,1,1,3428,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.908799278878019
11,6,20,3403,0.6470588235294118,0.3548387096774194,0.4583333333333333,0.47581476044360826
8,1,3,3428,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465
7,1,4,3428,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289
4,1,6,3429,0.8,0.4,0.5333333333333333,0.5648615610406712
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908
10,2,7,3421,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.6989343235416411
11,4,6,3419,0.7333333333333333,0.6470588235294118,0.6875,0.6874018979040556
9,0,8,3423,1.0,0.5294117647058824,0.6923076923076924,0.7267581062285321
7,4,4,3425,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761
4,0,20,3416,1.0,0.16666666666666666,0.2857142857142857,0.40705840658528364
5,8,19,3408,0.38461538461538464,0.20833333333333334,0.2702702702702703,0.27943766269409787
8,1,4,3427,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691270395507103
7,2,7,3424,0.7777777777777778,0.5,0.6086956521739131,0.6224274455063871
7,5,6,3422,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.5588484306921966
8,0,3,3429,1.0,0.7272727272727273,0.8421052631578948,0.852430055408813
11,5,3,3421,0.6875,0.7857142857142857,0.7333333333333334,0.7338174674660084
1,0,9,3430,1.0,0.1,0.18181818181818182,0.31581370460492025
12,2,9,3417,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.6984231736356145
13,1,7,3419,0.9285714285714286,0.65,0.7647058823529412,0.7758688255701222
12,6,7,3415,0.6666666666666666,0.631578947368421,0.6486486486486486,0.6469891966644117
11,5,7,3417,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557
9,0,8,3423,1.0,0.5294117647058824,0.6923076923076924,0.7267581062285321
8,2,2,3428,0.8,0.8,0.8000000000000002,0.7994169096209912
6,2,4,3428,0.75,0.6,0.6666666666666665,0.6699731793952345
0,0,10,3430,0.0,0.0,0.0,0.0
3,0,8,3429,1.0,0.2727272727272727,0.42857142857142855,0.5216248361116232
8,3,5,3424,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.6678470969098652
15,2,2,3421,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8817686583835989
11,2,6,3421,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.7388403547954416
0,0,10,3430,0.0,0.0,0.0,0.0
9,0,1,3430,1.0,0.9,0.9473684210526316,0.9485450362559954
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
0,1,13,3426,0.0,0.0,0.0,-0.0010502641369769875
2,2,11,3425,0.5,0.15384615384615385,0.23529411764705882,0.27593590241427496
5,3,7,3425,0.625,0.4166666666666667,0.5,0.508941687108602
6,0,7,3427,1.0,0.46153846153846156,0.631578947368421,0.6786734439144902
1,1,10,3428,0.5,0.09090909090909091,0.15384615384615385,0.21223843727120914
1,5,13,3421,0.16666666666666666,0.07142857142857142,0.1,0.1067550637922689
1,1,11,3427,0.5,0.08333333333333333,0.14285714285714285,0.20311355073567003
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828
0,1,12,3427,0.0,0.0,0.0,-0.0010089139535557476
1,0,11,3428,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585
1,2,11,3426,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16528297767696828
1,8,11,3420,0.1111111111111111,0.08333333333333333,0.09523809523809525,0.09348939500156743
0,3,11,3426,0.0,0.0,0.0,-0.0016733371820437026
2,3,14,3421,0.4,0.125,0.19047619047619047,0.22168365360372327
1,5,14,3420,0.16666666666666666,0.06666666666666667,0.09523809523809522,0.1029658286555569
11,1,6,3422,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7692447128556908
6,2,18,3414,0.75,0.25,0.375,0.4309904544399395
9,7,15,3409,0.5625,0.375,0.45,0.4562356822722864
5,2,19,3414,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.3837206529849377
8,5,16,3411,0.6153846153846154,0.3333333333333333,0.43243243243243246,0.45019776921962423
2,3,12,3423,0.4,0.14285714285714285,0.21052631578947364,0.23726902295531058
3,4,11,3422,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.3010871756161153
8,0,2,3430,1.0,0.8,0.888888888888889,0.8941665390372195
3,7,11,3419,0.3,0.21428571428571427,0.25,0.25098225721830925
4,2,10,3424,0.6666666666666666,0.2857142857142857,0.4,0.43503642801640924
2,1,9,3428,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.3471921116804009
3,1,10,3426,0.75,0.23076923076923078,0.3529411764705882,0.41495457615550313
0,0,13,3427,0.0,0.0,0.0,0.0
1,2,13,3424,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.15279716061624993
3,0,9,3428,1.0,0.25,0.4,0.4993449302085611
0,0,14,3426,0.0,0.0,0.0,0.0
