tp,fp,fn,tn,precision,recall,f_measure,mcc
14,0,0,3365,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
2,1,8,3368,0.6666666666666666,0.2,0.30769230769230765,0.36422825316390156
12,0,0,3367,1.0,1.0,1.0,1.0
19,0,0,3360,1.0,1.0,1.0,1.0
19,0,0,3360,1.0,1.0,1.0,1.0
19,0,0,3360,1.0,1.0,1.0,1.0
19,0,0,3360,1.0,1.0,1.0,1.0
18,0,0,3362,1.0,1.0,1.0,1.0
18,0,0,3362,1.0,1.0,1.0,1.0
18,0,0,3362,1.0,1.0,1.0,1.0
11,0,0,3369,1.0,1.0,1.0,1.0
30,0,1,3349,1.0,0.967741935483871,0.9836065573770492,0.9835919160374257
11,0,0,3368,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
11,0,0,3368,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
12,0,0,3367,1.0,1.0,1.0,1.0
13,0,1,3365,1.0,0.9285714285714286,0.962962962962963,0.963480960189926
12,1,1,3365,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227798345445404
11,0,0,3369,1.0,1.0,1.0,1.0
14,0,0,3365,1.0,1.0,1.0,1.0
5,0,4,3370,1.0,0.5555555555555556,0.7142857142857143,0.744914038122205
21,0,0,3358,1.0,1.0,1.0,1.0
20,0,0,3359,1.0,1.0,1.0,1.0
19,0,0,3361,1.0,1.0,1.0,1.0
18,0,0,3361,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
9,0,1,3369,1.0,0.9,0.9473684210526316,0.9485425334087343
5,0,4,3370,1.0,0.5555555555555556,0.7142857142857143,0.744914038122205
11,0,0,3368,1.0,1.0,1.0,1.0
11,0,2,3366,1.0,0.8461538461538461,0.9166666666666666,0.9195930510282037
17,0,0,3362,1.0,1.0,1.0,1.0
17,0,0,3362,1.0,1.0,1.0,1.0
10,0,0,3369,1.0,1.0,1.0,1.0
10,1,0,3368,0.9090909090909091,1.0,0.9523809523809523,0.9533210734616223
10,0,0,3370,1.0,1.0,1.0,1.0
8,2,4,3365,0.8,0.6666666666666666,0.7272727272727272,0.7294294396926146
7,1,5,3366,0.875,0.5833333333333334,0.7000000000000001,0.7136469778181715
5,0,7,3367,1.0,0.4166666666666667,0.5882352941176471,0.6448272737728943
5,1,7,3366,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883116762303937
12,1,1,3365,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227798345445404
2,0,9,3369,1.0,0.18181818181818182,0.3076923076923077,0.425833023528019
14,2,0,3363,0.875,1.0,0.9333333333333333,0.935136321914958
8,1,3,3367,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034634808789711
7,0,5,3368,1.0,0.5833333333333334,0.7368421052631579,0.7631963203408132
2,0,10,3368,1.0,0.16666666666666666,0.2857142857142857,0.4076435674382842
10,2,2,3366,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8327395091053048
7,1,5,3367,0.875,0.5833333333333334,0.7000000000000001,0.7136472114694827
3,0,9,3367,1.0,0.25,0.4,0.49933308603144577
6,0,5,3368,1.0,0.5454545454545454,0.7058823529411764,0.7380013451883572
16,0,0,3363,1.0,1.0,1.0,1.0
14,0,0,3365,1.0,1.0,1.0,1.0
17,1,0,3361,0.9444444444444444,1.0,0.9714285714285714,0.9716807742263525
24,0,0,3355,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
24,0,0,3355,1.0,1.0,1.0,1.0
14,1,0,3364,0.9333333333333333,1.0,0.9655172413793104,0.9659482223707123
14,0,0,3365,1.0,1.0,1.0,1.0
