tp,fp,fn,tn,precision,recall,f_measure,mcc
11,0,0,2685,1.0,1.0,1.0,1.0
8,0,0,2687,1.0,1.0,1.0,1.0
8,0,0,2687,1.0,1.0,1.0,1.0
8,0,0,2688,1.0,1.0,1.0,1.0
3,1,6,2686,0.75,0.3333333333333333,0.46153846153846156,0.49897772068240065
10,0,0,2686,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
13,0,0,2683,1.0,1.0,1.0,1.0
8,0,1,2687,1.0,0.8888888888888888,0.9411764705882353,0.9426336515625786
23,0,1,2672,1.0,0.9583333333333334,0.9787234042553191,0.9787618759568957
9,0,0,2687,1.0,1.0,1.0,1.0
9,0,0,2687,1.0,1.0,1.0,1.0
7,0,0,2689,1.0,1.0,1.0,1.0
12,0,0,2683,1.0,1.0,1.0,1.0
12,0,0,2683,1.0,1.0,1.0,1.0
12,1,1,2682,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227042059692079
12,0,0,2683,1.0,1.0,1.0,1.0
9,0,0,2687,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
10,0,0,2686,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
10,1,0,2684,0.9090909090909091,1.0,0.9523809523809523,0.9532850191557303
8,0,0,2687,1.0,1.0,1.0,1.0
12,0,0,2684,1.0,1.0,1.0,1.0
7,1,1,2686,0.875,0.875,0.875,0.8746278377372534
15,0,1,2680,1.0,0.9375,0.967741935483871,0.9680652442092311
14,0,1,2680,1.0,0.9333333333333333,0.9655172413793104,0.9659115924998906
14,0,0,2682,1.0,1.0,1.0,1.0
13,0,0,2682,1.0,1.0,1.0,1.0
11,0,1,2683,1.0,0.9166666666666666,0.9565217391304348,0.9572487328860885
7,0,1,2688,1.0,0.875,0.9333333333333333,0.9352403970226753
9,0,0,2687,1.0,1.0,1.0,1.0
8,1,0,2686,0.8888888888888888,1.0,0.9411764705882353,0.9426335862829573
9,0,0,2687,1.0,1.0,1.0,1.0
9,0,1,2685,1.0,0.9,0.9473684210526316,0.9485066838261311
11,0,1,2683,1.0,0.9166666666666666,0.9565217391304348,0.9572487328860885
13,0,0,2683,1.0,1.0,1.0,1.0
8,0,0,2688,1.0,1.0,1.0,1.0
8,0,0,2688,1.0,1.0,1.0,1.0
6,0,2,2688,1.0,0.75,0.8571428571428571,0.865703401392276
8,1,2,2685,0.8888888888888888,0.8,0.8421052631578948,0.8427247442326343
8,0,2,2686,1.0,0.8,0.888888888888889,0.8940943808708126
3,0,7,2686,1.0,0.3,0.4615384615384615,0.54701023803935
6,0,4,2686,1.0,0.6,0.7499999999999999,0.7740205466855837
11,0,0,2685,1.0,1.0,1.0,1.0
1,1,8,2686,0.5,0.1111111111111111,0.1818181818181818,0.23460739172266756
11,0,1,2684,1.0,0.9166666666666666,0.9565217391304348,0.9572487993261195
7,2,2,2685,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7770334532522847
9,2,1,2684,0.8181818181818182,0.9,0.8571428571428572,0.8575660316441264
7,1,3,2685,0.875,0.7,0.7777777777777777,0.7819164931740651
10,2,0,2684,0.8333333333333334,1.0,0.9090909090909091,0.9125310032915211
6,1,4,2685,0.8571428571428571,0.6,0.7058823529411764,0.7162922783394519
6,2,4,2684,0.75,0.6,0.6666666666666665,0.6697386054773176
6,2,3,2685,0.75,0.6666666666666666,0.7058823529411765,0.7061859101583442
11,0,1,2684,1.0,0.9166666666666666,0.9565217391304348,0.9572487993261195
10,0,1,2685,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375
13,1,0,2682,0.9285714285714286,1.0,0.962962962962963,0.9634445153273044
15,0,1,2679,1.0,0.9375,0.967741935483871,0.9680651768177411
16,0,0,2680,1.0,1.0,1.0,1.0
17,0,0,2679,1.0,1.0,1.0,1.0
16,0,0,2680,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
10,0,1,2685,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375
8,0,0,2688,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
11,0,0,2685,1.0,1.0,1.0,1.0
9,1,0,2686,0.9,1.0,0.9473684210526316,0.9485067495613978
7,1,3,2684,0.875,0.7,0.7777777777777777,0.7819162298662357
