tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,5.0,14.0,3360.0,0.0,0.0,0.0,-0.0024830413196697343,0.0,0.0,0.0,0.15576254718525004
7.0,0.0,4.0,3368.0,1.0,0.6363636363636364,0.7777777777777778,0.7972507488897066,0.6,0.45,0.8181818181818182,0.5557038987693763
4.0,3.0,7.0,3365.0,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.454455921883643,0.4666666666666667,0.35,0.45454545454545453,0.5835741207003019
7.0,1.0,3.0,3368.0,0.875,0.7,0.7777777777777777,0.7820598331491827,0.5333333333333333,0.45,0.7,0.487773286690644
4.0,1.0,6.0,3368.0,0.8,0.4,0.5333333333333333,0.5648466577608738,0.3333333333333333,0.25,0.5,0.22270983909586287
4.0,1.0,8.0,3366.0,0.8,0.3333333333333333,0.47058823529411764,0.5154021856779367,0.4,0.35,0.5,0.4139254660740221
7.0,16.0,12.0,3344.0,0.30434782608695654,0.3684210526315789,0.3333333333333333,0.33072426643215735,0.4666666666666667,0.35,0.3684210526315789,0.10813873540390868
4.0,15.0,15.0,3345.0,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.20606203007518797,0.26666666666666666,0.2,0.21052631578947367,0.1470650447249961
5.0,12.0,14.0,3348.0,0.29411764705882354,0.2631578947368421,0.27777777777777773,0.2743501299322488,0.3333333333333333,0.3,0.3157894736842105,0.14471117152471405
9.0,35.0,10.0,3325.0,0.20454545454545456,0.47368421052631576,0.28571428571428575,0.30556531586125424,0.26666666666666666,0.25,0.2631578947368421,0.05810599511025044
14.0,2.0,4.0,3360.0,0.875,0.7777777777777778,0.823529411764706,0.8240818615082702,0.9333333333333333,0.75,0.8333333333333334,0.1287971998822605
7.0,1.0,11.0,3361.0,0.875,0.3888888888888889,0.5384615384615385,0.5820222237681986,0.6,0.45,0.5,0.3668566481336012
10.0,5.0,8.0,3357.0,0.6666666666666666,0.5555555555555556,0.606060606060606,0.6066808443391862,0.6666666666666666,0.5,0.5555555555555556,0.26601104934414294
7.0,0.0,4.0,3369.0,1.0,0.6363636363636364,0.7777777777777778,0.7972508892474797,0.6666666666666666,0.5,0.7272727272727273,0.6733678793624951
13.0,22.0,18.0,3327.0,0.37142857142857144,0.41935483870967744,0.393939393939394,0.38871472765222037,0.5333333333333333,0.4,0.3548387096774194,0.18089540527509507
9.0,6.0,2.0,3362.0,0.6,0.8181818181818182,0.6923076923076923,0.699539014308086,0.6,0.45,0.8181818181818182,0.11280368670768633
6.0,5.0,5.0,3363.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5439699848844742,0.5333333333333333,0.4,0.5454545454545454,0.16413055553154338
1.0,1.0,9.0,3368.0,0.5,0.1,0.16666666666666669,0.2226788502184074,0.3333333333333333,0.3,0.5,0.5287531253462728
11.0,6.0,6.0,3356.0,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6452741715365504,0.6666666666666666,0.6,0.6470588235294118,0.44535935123312687
11.0,0.0,6.0,3362.0,1.0,0.6470588235294118,0.7857142857142858,0.8036828391289051,0.8,0.65,0.7058823529411765,0.21450143056960266
12.0,3.0,5.0,3359.0,0.8,0.7058823529411765,0.7500000000000001,0.7502960593580121,0.8,0.6,0.7058823529411765,0.39763118543342835
12.0,1.0,5.0,3361.0,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.8063876503480619,0.8,0.65,0.7058823529411765,0.34761905054110537
6.0,5.0,5.0,3363.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5439699848844742,0.4666666666666667,0.45,0.5454545454545454,0.43145177675463575
4.0,23.0,20.0,3332.0,0.14814814814814814,0.16666666666666666,0.15686274509803924,0.15073887928930518,0.13333333333333333,0.15,0.125,0.10056399113267614
3.0,38.0,21.0,3317.0,0.07317073170731707,0.125,0.0923076923076923,0.08719196891082584,0.13333333333333333,0.1,0.08333333333333333,0.08299072011140912
8.0,7.0,4.0,3360.0,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5946902718319621,0.5333333333333333,0.45,0.6666666666666666,0.36383525958647583
5.0,1.0,9.0,3364.0,0.8333333333333334,0.35714285714285715,0.5,0.544443980175523,0.4666666666666667,0.4,0.5,0.4874397292444266
6.0,0.0,7.0,3366.0,1.0,0.46153846153846156,0.631578947368421,0.67866090868468,0.4666666666666667,0.4,0.5384615384615384,0.2811476345531799
6.0,4.0,5.0,3365.0,0.6,0.5454545454545454,0.5714285714285713,0.5707476075624469,0.5333333333333333,0.45,0.5454545454545454,0.15945583383891596
11.0,7.0,3.0,3358.0,0.6111111111111112,0.7857142857142857,0.6875000000000001,0.6915113944673558,0.6,0.6,0.6428571428571429,0.3162578316423674
