tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2.0,4.0,12.0,3422.0,0.3333333333333333,0.14285714285714285,0.2,0.21618218520031568,0.2,0.15,0.21428571428571427,0.16349912124826047
5.0,1.0,6.0,3428.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.6146146484503897,0.4666666666666667,0.4,0.5454545454545454,0.5949579945358908
8.0,3.0,3.0,3426.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571,0.6,0.45,0.7272727272727273,0.6109243149876726
7.0,1.0,3.0,3429.0,0.875,0.7,0.7777777777777777,0.7820698592162271,0.4666666666666667,0.35,0.7,0.602958053956005
2.0,50.0,9.0,3379.0,0.038461538461538464,0.18181818181818182,0.0634920634920635,0.07738169293702671,0.0,0.0,0.0,0.02629424280537903
6.0,0.0,6.0,3428.0,1.0,0.5,0.6666666666666666,0.7064887707717356,0.5333333333333333,0.45,0.5833333333333334,0.3089294455525128
5.0,15.0,14.0,3406.0,0.25,0.2631578947368421,0.25641025641025644,0.252257799538727,0.3333333333333333,0.25,0.2631578947368421,0.16451014218606586
3.0,10.0,16.0,3411.0,0.23076923076923078,0.15789473684210525,0.18749999999999997,0.1871874672187834,0.2,0.2,0.15789473684210525,0.3084128983720611
3.0,5.0,16.0,3416.0,0.375,0.15789473684210525,0.22222222222222218,0.2406930592379336,0.2,0.2,0.21052631578947367,0.22225311715656637
1.0,8.0,18.0,3413.0,0.1111111111111111,0.05263157894736842,0.07142857142857142,0.07296758442355106,0.26666666666666666,0.3,0.2631578947368421,0.3334023694014982
11.0,5.0,7.0,3417.0,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557,0.6666666666666666,0.6,0.6666666666666666,0.1087480711701894
12.0,2.0,6.0,3420.0,0.8571428571428571,0.6666666666666666,0.75,0.7548252065828585,0.8666666666666667,0.75,0.8333333333333334,0.3072223980799114
13.0,7.0,5.0,3415.0,0.65,0.7222222222222222,0.6842105263157895,0.6834192877239749,0.8,0.65,0.6666666666666666,0.07639279254377782
8.0,1.0,3.0,3428.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.8034735598678465,0.6666666666666666,0.5,0.9090909090909091,0.5801531844849738
13.0,14.0,18.0,3395.0,0.48148148148148145,0.41935483870967744,0.4482758620689655,0.44468444289965564,0.6666666666666666,0.55,0.5161290322580645,0.32426099329157015
9.0,5.0,2.0,3424.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.724265050532562,0.6,0.5,0.7272727272727273,0.47736653638319004
5.0,1.0,6.0,3428.0,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.6146146484503897,0.6,0.45,0.7272727272727273,0.5324971348545146
5.0,4.0,5.0,3426.0,0.5555555555555556,0.5,0.5263157894736842,0.5257403812873366,0.3333333333333333,0.3,0.5,0.41624875363730307
11.0,11.0,6.0,3412.0,0.5,0.6470588235294118,0.5641025641025642,0.5663853988569725,0.6666666666666666,0.55,0.5882352941176471,0.15174175487797636
14.0,9.0,3.0,3414.0,0.6086956521739131,0.8235294117647058,0.7,0.7063693265891925,0.6666666666666666,0.65,0.6470588235294118,0.1251535493129323
12.0,5.0,5.0,3418.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7044216459589971,0.8,0.65,0.7058823529411765,0.12498534898152361
13.0,1.0,4.0,3422.0,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.8419740340797036,0.8666666666666667,0.65,0.7647058823529411,0.4165506092893413
6.0,1.0,5.0,3428.0,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829996303917248,0.6,0.45,0.7272727272727273,0.4075530710234831
9.0,12.0,15.0,3404.0,0.42857142857142855,0.375,0.39999999999999997,0.3969621637520569,0.4666666666666667,0.45,0.4166666666666667,0.21608931432509246
8.0,14.0,16.0,3402.0,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.34377409209615045,0.4666666666666667,0.4,0.3333333333333333,0.24970455499875346
5.0,1.0,7.0,3427.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883284551623048,0.5333333333333333,0.4,0.5833333333333334,0.4197760200163857
