tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2.0,9.0,9.0,2676.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.17846622651091926,0.2,0.15,0.18181818181818182,0.13825952200833505
7.0,12.0,1.0,2675.0,0.3684210526315789,0.875,0.5185185185185185,0.5660368896305259,0.4,0.35,0.75,0.28725047204259013
5.0,3.0,3.0,2684.0,0.625,0.625,0.625,0.6238835132117603,0.4,0.35,0.625,0.4740368763508768
5.0,3.0,3.0,2685.0,0.625,0.625,0.625,0.6238839285714286,0.3333333333333333,0.25,0.625,0.17451505438301798
5.0,8.0,4.0,2679.0,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.46011550456487676,0.3333333333333333,0.25,0.4444444444444444,0.20440572262566953
6.0,1.0,4.0,2685.0,0.8571428571428571,0.6,0.7058823529411764,0.7162922783394519,0.4,0.35,0.6,0.20509187709214738
2.0,6.0,11.0,2677.0,0.25,0.15384615384615385,0.1904761904761905,0.19308556544059366,0.13333333333333333,0.1,0.15384615384615385,0.19547547936476126
6.0,12.0,7.0,2671.0,0.3333333333333333,0.46153846153846156,0.3870967741935484,0.38879373079303964,0.4,0.3,0.38461538461538464,0.12476693294581932
4.0,16.0,9.0,2667.0,0.2,0.3076923076923077,0.24242424242424246,0.2435795223738778,0.2,0.2,0.23076923076923078,0.09875969907999631
1.0,5.0,12.0,2678.0,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.11034073296370638,0.13333333333333333,0.1,0.15384615384615385,0.20122701204251098
8.0,2.0,5.0,2681.0,0.8,0.6153846153846154,0.6956521739130435,0.7004050196725207,0.6,0.45,0.6153846153846154,0.1997038535263563
8.0,2.0,5.0,2681.0,0.8,0.6153846153846154,0.6956521739130435,0.7004050196725207,0.6666666666666666,0.55,0.6923076923076923,0.4824714641777991
9.0,1.0,4.0,2682.0,0.9,0.6923076923076923,0.7826086956521738,0.7884865540058128,0.6666666666666666,0.5,0.7692307692307693,0.25221936353928
5.0,0.0,4.0,2687.0,1.0,0.5555555555555556,0.7142857142857143,0.7448018243991541,0.5333333333333333,0.4,0.7777777777777778,0.4031912661325997
11.0,16.0,13.0,2656.0,0.4074074074074074,0.4583333333333333,0.4313725490196078,0.42671486289238963,0.5333333333333333,0.45,0.4583333333333333,0.15687335938964903
4.0,1.0,5.0,2686.0,0.8,0.4444444444444444,0.5714285714285714,0.5953425226812442,0.3333333333333333,0.25,0.5555555555555556,0.3495238566303041
8.0,3.0,1.0,2684.0,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8033193727171399,0.5333333333333333,0.45,0.7777777777777778,0.5185634665434268
5.0,0.0,2.0,2689.0,1.0,0.7142857142857143,0.8333333333333333,0.8448401293674601,0.3333333333333333,0.25,0.7142857142857143,0.4761457541555261
7.0,1.0,5.0,2682.0,0.875,0.5833333333333334,0.7000000000000001,0.7134463956649318,0.5333333333333333,0.45,0.5833333333333334,0.3806937672596559
7.0,2.0,5.0,2681.0,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.6723387775341099,0.6,0.45,0.75,0.5037464813708123
10.0,3.0,3.0,2680.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7681126179076235,0.6666666666666666,0.5,0.7692307692307693,0.25430120142151025
9.0,0.0,3.0,2683.0,1.0,0.75,0.8571428571428571,0.8655416357155276,0.7333333333333333,0.55,0.9166666666666666,0.2560475597414568
6.0,2.0,3.0,2685.0,0.75,0.6666666666666666,0.7058823529411765,0.7061859101583442,0.4666666666666667,0.35,0.7777777777777778,0.35162281337855245
5.0,33.0,11.0,2647.0,0.13157894736842105,0.3125,0.18518518518518517,0.19559122023755468,0.2,0.15,0.1875,0.0654457073104151
4.0,34.0,12.0,2646.0,0.10526315789473684,0.25,0.14814814814814814,0.15462525304050315,0.13333333333333333,0.15,0.1875,0.051021081365055454
5.0,1.0,5.0,2685.0,0.8333333333333334,0.5,0.625,0.6445368414321503,0.4666666666666667,0.4,0.6,0.5762646282809998
6.0,1.0,5.0,2684.0,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.682788175898685,0.4666666666666667,0.35,0.6363636363636364,0.507415258526502
7.0,1.0,3.0,2684.0,0.875,0.7,0.7777777777777777,0.7819162298662357,0.5333333333333333,0.4,0.8,0.33788817878821076
7.0,1.0,1.0,2686.0,0.875,0.875,0.875,0.8746278377372534,0.4666666666666667,0.35,0.875,0.14952587349590965
6.0,4.0,6.0,2680.0,0.6,0.5,0.5454545454545454,0.5458866538319175,0.6,0.5,0.6666666666666666,0.37813153986503556
4.0,6.0,4.0,2681.0,0.4,0.5,0.4444444444444445,0.44538214849979885,0.26666666666666666,0.2,0.5,0.049506734613556744
8.0,6.0,8.0,2674.0,0.5714285714285714,0.5,0.5333333333333333,0.5319306549975672,0.6,0.5,0.625,0.1123682909026027
8.0,1.0,7.0,2679.0,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.6872797454350122,0.6666666666666666,0.5,0.6666666666666666,0.3565587946242684
10.0,2.0,4.0,2680.0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7704240848555001,0.7333333333333333,0.6,0.7142857142857143,0.1853562383434407
7.0,4.0,6.0,2678.0,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.5835305254868371,0.6,0.5,0.6153846153846154,0.32608097887597964
8.0,0.0,4.0,2683.0,1.0,0.6666666666666666,0.8,0.8158886161517448,0.6,0.55,0.75,0.3265403343475755
7.0,3.0,1.0,2685.0,0.7,0.875,0.7777777777777777,0.7819164931740651,0.4666666666666667,0.4,0.875,0.1892543441402348
6.0,1.0,3.0,2686.0,0.8571428571428571,0.6666666666666666,0.75,0.7552259393651711,0.4666666666666667,0.35,0.6666666666666666,0.7607855726956745
2.0,2.0,6.0,2685.0,0.5,0.25,0.3333333333333333,0.3522386743712529,0.2,0.2,0.25,0.05664092190292132
4.0,0.0,5.0,2687.0,1.0,0.4444444444444444,0.6153846153846153,0.666047260543274,0.5333333333333333,0.4,0.7777777777777778,0.537909098682683
5.0,1.0,5.0,2684.0,0.8333333333333334,0.5,0.625,0.644536484080187,0.4666666666666667,0.35,0.7,0.5916049555795189
6.0,1.0,6.0,2682.0,0.8571428571428571,0.5,0.631578947368421,0.6535569732579355,0.5333333333333333,0.4,0.6666666666666666,0.6118882081380114
8.0,5.0,5.0,2678.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6135210298460392,0.6,0.45,0.6153846153846154,0.16350756986619255
4.0,2.0,4.0,2686.0,0.6666666666666666,0.5,0.5714285714285715,0.5762767681887075,0.26666666666666666,0.2,0.5,0.20455654428199652
