tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,0.0,14.0,3426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4011176484963855
6.0,5.0,5.0,3424.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5439963943900952,0.4,0.35,0.5454545454545454,0.09271569209674599
4.0,10.0,7.0,3419.0,0.2857142857142857,0.36363636363636365,0.32,0.31988412249386605,0.3333333333333333,0.25,0.36363636363636365,0.29187601403987096
4.0,3.0,6.0,3427.0,0.5714285714285714,0.4,0.47058823529411764,0.4768375703067432,0.3333333333333333,0.25,0.5,0.4064126575337838
2.0,7.0,9.0,3422.0,0.2222222222222222,0.18181818181818182,0.19999999999999998,0.19869276136770606,0.2,0.15,0.2727272727272727,0.0054660543696176435
5.0,5.0,7.0,3423.0,0.5,0.4166666666666667,0.45454545454545453,0.4547050490913501,0.3333333333333333,0.25,0.4166666666666667,0.03049030064185985
4.0,11.0,15.0,3410.0,0.26666666666666666,0.21052631578947367,0.23529411764705882,0.23318441397196296,0.26666666666666666,0.3,0.2631578947368421,0.07862363148849257
3.0,30.0,16.0,3391.0,0.09090909090909091,0.15789473684210525,0.11538461538461539,0.11338662758835849,0.06666666666666667,0.1,0.10526315789473684,0.03033552220005969
3.0,17.0,16.0,3404.0,0.15,0.15789473684210525,0.15384615384615385,0.14907506108293378,0.13333333333333333,0.15,0.10526315789473684,0.018821779957806168
1.0,6.0,18.0,3415.0,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.08367484867708018,0.13333333333333333,0.15,0.15789473684210525,0.09850202046391891
8.0,8.0,10.0,3414.0,0.5,0.4444444444444444,0.47058823529411764,0.4687879220709472,0.4666666666666667,0.4,0.4444444444444444,0.041330936206735946
11.0,5.0,7.0,3417.0,0.6875,0.6111111111111112,0.6470588235294118,0.6464425693892557,0.6666666666666666,0.65,0.6666666666666666,0.3507820123853103
9.0,8.0,9.0,3414.0,0.5294117647058824,0.5,0.5142857142857143,0.5120153576878005,0.6,0.5,0.5,0.019228562191716227
5.0,6.0,6.0,3423.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4527956732681142,0.4,0.35,0.45454545454545453,0.03866963490823841
10.0,73.0,21.0,3336.0,0.12048192771084337,0.3225806451612903,0.17543859649122806,0.18547553812572054,0.13333333333333333,0.1,0.0967741935483871,0.010520780891128933
3.0,4.0,8.0,3425.0,0.42857142857142855,0.2727272727272727,0.33333333333333326,0.3402210384721314,0.3333333333333333,0.35,0.2727272727272727,0.299361871076976
5.0,3.0,6.0,3426.0,0.625,0.45454545454545453,0.5263157894736842,0.5317433329015605,0.4666666666666667,0.35,0.5454545454545454,0.35126178466765495
2.0,7.0,8.0,3423.0,0.2222222222222222,0.2,0.2105263157894737,0.20863689006084252,0.26666666666666666,0.2,0.2,0.2299903174888447
13.0,8.0,4.0,3415.0,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.6863312903414155,0.7333333333333333,0.65,0.7058823529411765,0.039669876298744064
7.0,6.0,10.0,3417.0,0.5384615384615384,0.4117647058823529,0.4666666666666667,0.4685927862267589,0.4666666666666667,0.45,0.5294117647058824,0.12461743901160663
4.0,5.0,13.0,3418.0,0.4444444444444444,0.23529411764705882,0.30769230769230765,0.3209983948924477,0.4666666666666667,0.4,0.47058823529411764,0.45501364066215855
3.0,2.0,14.0,3421.0,0.6,0.17647058823529413,0.2727272727272727,0.3237513319831821,0.6,0.5,0.5294117647058824,0.5243024122643001
7.0,8.0,4.0,3421.0,0.4666666666666667,0.6363636363636364,0.5384615384615385,0.5432683227353797,0.4666666666666667,0.4,0.6363636363636364,0.027926734252171237
6.0,27.0,18.0,3389.0,0.18181818181818182,0.25,0.2105263157894737,0.2067326933217474,0.2,0.2,0.20833333333333334,0.014706958988484254
5.0,35.0,19.0,3381.0,0.125,0.20833333333333334,0.15625,0.15379847133386979,0.13333333333333333,0.1,0.125,0.01810739545117597
4.0,3.0,8.0,3425.0,0.5714285714285714,0.3333333333333333,0.4210526315789474,0.43497284059772795,0.3333333333333333,0.25,0.4166666666666667,0.49057222275605783
5.0,5.0,9.0,3421.0,0.5,0.35714285714285715,0.41666666666666663,0.42060484362911155,0.4,0.35,0.42857142857142855,0.3712587704663673
3.0,5.0,10.0,3422.0,0.375,0.23076923076923078,0.2857142857142857,0.2921013221904001,0.4666666666666667,0.35,0.38461538461538464,0.26267480698291346
1.0,4.0,10.0,3425.0,0.2,0.09090909090909091,0.12500000000000003,0.13299343859765642,0.2,0.15,0.2727272727272727,0.544178603015132
3.0,4.0,11.0,3422.0,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.3010871756161153,0.26666666666666666,0.2,0.2857142857142857,0.4986790130047061
2.0,6.0,8.0,3424.0,0.25,0.2,0.22222222222222224,0.22158646011126432,0.13333333333333333,0.1,0.2,0.01003654475983908
8.0,11.0,13.0,3408.0,0.42105263157894735,0.38095238095238093,0.4,0.3970024284851854,0.5333333333333333,0.4,0.38095238095238093,0.07031723195825366
5.0,12.0,15.0,3408.0,0.29411764705882354,0.25,0.27027027027027023,0.2672400898947903,0.3333333333333333,0.3,0.3,0.15446329851950366
3.0,2.0,16.0,3419.0,0.6,0.15789473684210525,0.25,0.3060283116106161,0.5333333333333333,0.4,0.42105263157894735,0.1761859297075059
12.0,11.0,6.0,3411.0,0.5217391304347826,0.6666666666666666,0.5853658536585366,0.5873533743267751,0.6666666666666666,0.55,0.6111111111111112,0.01607834025775311
5.0,2.0,12.0,3421.0,0.7142857142857143,0.29411764705882354,0.4166666666666667,0.45677198610469805,0.6,0.5,0.5294117647058824,0.4021635648195343
7.0,6.0,3.0,3424.0,0.5384615384615384,0.7,0.608695652173913,0.6126743932560357,0.4666666666666667,0.35,0.6,0.2306633009274707
1.0,4.0,9.0,3426.0,0.2,0.1,0.13333333333333333,0.13967036410852482,0.3333333333333333,0.25,0.4,0.5283705306482418
2.0,8.0,8.0,3422.0,0.2,0.2,0.20000000000000004,0.197667638483965,0.13333333333333333,0.1,0.2,0.0056046041789015915
3.0,1.0,8.0,3428.0,0.75,0.2727272727272727,0.39999999999999997,0.4513229697851845,0.4,0.3,0.5454545454545454,0.4798999287120213
8.0,7.0,5.0,3420.0,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.5711570276325167,0.5333333333333333,0.5,0.5384615384615384,0.05964255883016376
10.0,3.0,7.0,3420.0,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.671278462653271,0.6666666666666666,0.5,0.5882352941176471,0.22207143260977305
10.0,5.0,7.0,3418.0,0.6666666666666666,0.5882352941176471,0.625,0.6244868379389112,0.6666666666666666,0.5,0.5882352941176471,0.34360158006804586
0.0,1.0,10.0,3429.0,0.0,0.0,0.0,-0.000920739663571196,0.0,0.0,0.0,0.38857192492638054
8.0,7.0,2.0,3423.0,0.5333333333333333,0.8,0.64,0.6520063417831213,0.5333333333333333,0.45,0.6,0.07864168032302067
5.0,5.0,5.0,3425.0,0.5,0.5,0.5,0.49854227405247814,0.4,0.3,0.5,0.30027873041644276
