tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
2.0,3.0,12.0,3423.0,0.4,0.14285714285714285,0.21052631578947364,0.23726902295531058,0.26666666666666666,0.2,0.2857142857142857,0.23110509134598994
10.0,5.0,1.0,3424.0,0.6666666666666666,0.9090909090909091,0.7692307692307692,0.7777039945158153,0.6666666666666666,0.5,0.8181818181818182,0.1295367031576567
6.0,6.0,5.0,3423.0,0.5,0.5454545454545454,0.5217391304347826,0.5206336016192372,0.4,0.35,0.5454545454545454,0.2185986890714169
8.0,4.0,2.0,3426.0,0.6666666666666666,0.8,0.7272727272727272,0.7294448679802689,0.5333333333333333,0.4,0.8,0.4178028321738168
2.0,3.0,9.0,3426.0,0.4,0.18181818181818182,0.25000000000000006,0.2681477750159542,0.13333333333333333,0.2,0.18181818181818182,0.16949025889728075
6.0,2.0,6.0,3426.0,0.75,0.5,0.6,0.6113013341884423,0.4,0.3,0.5,0.5281853573164021
8.0,10.0,11.0,3411.0,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.4295244610617368,0.4666666666666667,0.45,0.47368421052631576,0.13236766214275097
11.0,1.0,8.0,3420.0,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7273811802242509,0.7333333333333333,0.6,0.631578947368421,0.1232123259121939
12.0,7.0,7.0,3414.0,0.631578947368421,0.631578947368421,0.631578947368421,0.629532762042493,0.6666666666666666,0.6,0.631578947368421,0.12375761507571993
8.0,8.0,11.0,3413.0,0.5,0.42105263157894735,0.45714285714285713,0.45608321495196313,0.5333333333333333,0.4,0.42105263157894735,0.214005689109338
11.0,3.0,7.0,3419.0,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6915367520970187,0.7333333333333333,0.6,0.6666666666666666,0.3493498552096617
13.0,5.0,5.0,3417.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7207610883823625,0.7333333333333333,0.7,0.7222222222222222,0.11230045651653636
13.0,1.0,5.0,3421.0,0.9285714285714286,0.7222222222222222,0.8125000000000001,0.8181136610686982,0.9333333333333333,0.7,0.7777777777777778,0.18802117269687257
10.0,2.0,1.0,3427.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823,0.6666666666666666,0.5,0.9090909090909091,0.4052957495919783
18.0,17.0,13.0,3392.0,0.5142857142857142,0.5806451612903226,0.5454545454545455,0.5420839945111754,0.7333333333333333,0.65,0.5483870967741935,0.10014169392634183
7.0,1.0,4.0,3428.0,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.7333333333333333,0.55,0.9090909090909091,0.5469407143020208
