tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
0.0,33.0,11.0,2652.0,0.0,0.0,0.0,-0.007125175801436289,0.0,0.0,0.0,0.009536960953962356
2.0,145.0,6.0,2542.0,0.013605442176870748,0.25,0.025806451612903222,0.04696316149791705,0.0,0.0,0.0,0.005852395190758743
2.0,145.0,6.0,2542.0,0.013605442176870748,0.25,0.025806451612903222,0.04696316149791705,0.0,0.0,0.0,0.005942604470106341
8.0,2560.0,0.0,128.0,0.003115264797507788,1.0,0.006211180124223603,0.012179734920697828,0.0,0.0,0.0,0.000635753963785321
5.0,397.0,4.0,2290.0,0.012437810945273632,0.5555555555555556,0.024330900243309004,0.06603895265248955,0.0,0.0,0.0,0.004873653146299151
0.0,81.0,10.0,2605.0,0.0,0.0,0.0,-0.010738748185732875,0.0,0.0,0.0,0.010303461847675775
0.0,13.0,13.0,2670.0,0.0,0.0,0.0,-0.004845322400298174,0.0,0.0,0.0,0.017312196527158936
0.0,9.0,13.0,2674.0,0.0,0.0,0.0,-0.004028550028742841,0.0,0.0,0.0,0.020396958232302167
3.0,138.0,10.0,2545.0,0.02127659574468085,0.23076923076923078,0.03896103896103896,0.05580078299356634,0.0,0.0,0.0,0.0070656861249672985
0.0,7.0,13.0,2676.0,0.0,0.0,0.0,-0.0035515256754404105,0.0,0.0,0.0,0.015342955305704519
9.0,581.0,4.0,2102.0,0.015254237288135594,0.6923076923076923,0.02985074626865672,0.07971019728457555,0.0,0.0,0.0,0.004940586306354572
9.0,561.0,4.0,2122.0,0.015789473684210527,0.6923076923076923,0.03087478559176672,0.08197886839109393,0.0,0.0,0.0,0.004990171031576147
9.0,614.0,4.0,2069.0,0.014446227929373997,0.6923076923076923,0.02830188679245283,0.076164048704924,0.0,0.0,0.0,0.00493478627546773
0.0,20.0,9.0,2667.0,0.0,0.0,0.0,-0.005003332495366011,0.0,0.0,0.0,0.01586354021590112
11.0,475.0,13.0,2197.0,0.02263374485596708,0.4583333333333333,0.04313725490196079,0.0685553453881092,0.0,0.0,0.0,0.009064120250427625
3.0,417.0,6.0,2270.0,0.007142857142857143,0.3333333333333333,0.013986013986013986,0.02833412676840117,0.0,0.0,0.0,0.0034816185654025084
4.0,424.0,5.0,2263.0,0.009345794392523364,0.4444444444444444,0.018306636155606407,0.04524390236164967,0.0,0.0,0.0,0.003417179346387626
5.0,614.0,2.0,2075.0,0.008077544426494346,0.7142857142857143,0.01597444089456869,0.05879910088381316,0.0,0.0,0.0,0.0028047140568416102
6.0,572.0,6.0,2111.0,0.010380622837370242,0.5,0.020338983050847456,0.04652266261993384,0.0,0.0,0.0,0.0049205495361803134
9.0,553.0,3.0,2130.0,0.01601423487544484,0.75,0.0313588850174216,0.08913461709120248,0.0,0.0,0.0,0.004823058269558082
9.0,591.0,4.0,2092.0,0.015,0.6923076923076923,0.02936378466557912,0.07861077548976003,0.0,0.0,0.0,0.004841649138921342
