tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.8811935904968716
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9969810470796836
9.0,0.0,2.0,3368.0,1.0,0.8181818181818182,0.9,0.9042655861732215,0.7333333333333333,0.55,1.0,0.9985348796766411
10.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8929434534428785
8.0,1.0,2.0,3368.0,0.8888888888888888,0.8,0.8421052631578948,0.8428360850597975,0.6666666666666666,0.5,0.9,0.19467654622336927
11.0,0.0,1.0,3367.0,1.0,0.9166666666666666,0.9565217391304348,0.9572849613510181,0.8,0.6,1.0,0.9957482442953757
17.0,0.0,2.0,3360.0,1.0,0.8947368421052632,0.9444444444444444,0.9456239091075338,1.0,0.95,1.0,0.9946844913406417
19.0,0.0,0.0,3360.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.9955817153289371
16.0,0.0,3.0,3360.0,1.0,0.8421052631578947,0.9142857142857143,0.9172535386581768,1.0,0.95,1.0,0.9971561594080378
16.0,0.0,3.0,3360.0,1.0,0.8421052631578947,0.9142857142857143,0.9172535386581768,1.0,0.95,1.0,0.9953935802096854
17.0,0.0,1.0,3362.0,1.0,0.9444444444444444,0.9714285714285714,0.9716808172095011,1.0,0.9,1.0,0.9525790206287138
18.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9633944485004164
15.0,0.0,3.0,3362.0,1.0,0.8333333333333334,0.9090909090909091,0.9124639123180781,1.0,0.9,1.0,0.9956584562450254
9.0,0.0,2.0,3369.0,1.0,0.8181818181818182,0.9,0.9042656658194377,0.7333333333333333,0.55,1.0,0.98249485865158
30.0,0.0,1.0,3349.0,1.0,0.967741935483871,0.9836065573770492,0.9835919160374257,1.0,1.0,0.967741935483871,0.8725438816628324
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.994156243562222
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9667363286614634
10.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.998279915351569
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9888406059137875
15.0,0.0,2.0,3362.0,1.0,0.8823529411764706,0.9375,0.9390571631157907,1.0,0.85,1.0,0.982018237053737
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9926785267716458
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,0.9933267546195284
10.0,0.0,1.0,3368.0,1.0,0.9090909090909091,0.9523809523809523,0.9533210734616223,0.7333333333333333,0.55,1.0,0.9942430826710225
24.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9943942073034968
24.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994334089366679
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.9945377836904207
13.0,0.0,1.0,3365.0,1.0,0.9285714285714286,0.962962962962963,0.963480960189926,0.9333333333333333,0.7,1.0,0.9404643942252261
12.0,1.0,1.0,3365.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227798345445404,0.8666666666666667,0.65,0.9230769230769231,0.9305933601099388
11.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.9289971534315714
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0,0.9943543665850196
9.0,0.0,0.0,3370.0,1.0,1.0,1.0,1.0,0.6,0.45,1.0,0.2930427335974184
20.0,0.0,1.0,3358.0,1.0,0.9523809523809523,0.975609756097561,0.975754795675983,1.0,1.0,1.0,0.9944394902457008
19.0,0.0,1.0,3359.0,1.0,0.95,0.9743589743589743,0.9745343821049938,1.0,1.0,1.0,0.98812491039401
18.0,0.0,1.0,3361.0,1.0,0.9473684210526315,0.972972972972973,0.9731837616277124,1.0,0.95,1.0,0.9908279256484699
15.0,0.0,3.0,3361.0,1.0,0.8333333333333334,0.9090909090909091,0.9124637912991537,1.0,0.9,1.0,0.9973604361032683
