tp,fp,fn,tn,precision,recall,f_measure,mcc,new_proteins
72,0,1,17131,1.0,0.9863013698630136,0.993103448275862,0.9930980813368787,[]
55,0,1,17148,1.0,0.9821428571428571,0.9909909909909909,0.9910023138208864,[]
56,0,0,17148,1.0,1.0,1.0,1.0,[]
51,0,0,17153,1.0,1.0,1.0,1.0,[]
56,6,1,17141,0.9032258064516129,0.9824561403508771,0.9411764705882352,0.9418101691022914,"['AP2M1', 'ASF1A', 'DAXX', 'DNAJC9', 'NASP', 'NEK4']"
62,0,0,17142,1.0,1.0,1.0,1.0,[]
96,0,0,17108,1.0,1.0,1.0,1.0,[]
96,0,0,17108,1.0,1.0,1.0,1.0,[]
96,0,0,17108,1.0,1.0,1.0,1.0,[]
96,0,0,17108,1.0,1.0,1.0,1.0,[]
90,0,0,17114,1.0,1.0,1.0,1.0,[]
80,0,10,17114,1.0,0.8888888888888888,0.9411764705882353,0.9425337125917045,[]
90,0,0,17114,1.0,1.0,1.0,1.0,[]
52,0,3,17149,1.0,0.9454545454545454,0.9719626168224299,0.9722598310659952,[]
155,1,0,17048,0.9935897435897436,1.0,0.9967845659163987,0.9967604853290364,['ZC3H18']
58,0,0,17146,1.0,1.0,1.0,1.0,[]
59,0,0,17145,1.0,1.0,1.0,1.0,[]
53,0,0,17151,1.0,1.0,1.0,1.0,[]
80,0,8,17116,1.0,0.9090909090909091,0.9523809523809523,0.953239843631235,[]
86,0,1,17117,1.0,0.9885057471264368,0.9942196531791908,0.9942072221416742,[]
78,0,11,17115,1.0,0.8764044943820225,0.9341317365269461,0.9358640827065988,[]
88,0,0,17116,1.0,1.0,1.0,1.0,[]
56,0,1,17147,1.0,0.9824561403508771,0.9911504424778761,0.9911603541290294,[]
120,0,1,17083,1.0,0.9917355371900827,0.995850622406639,0.9958300490764158,[]
120,0,1,17083,1.0,0.9917355371900827,0.995850622406639,0.9958300490764158,[]
64,0,0,17140,1.0,1.0,1.0,1.0,[]
72,0,0,17132,1.0,1.0,1.0,1.0,[]
66,0,2,17136,1.0,0.9705882352941176,0.9850746268656716,0.985126879091,[]
54,0,1,17149,1.0,0.9818181818181818,0.9908256880733944,0.9908384999305418,[]
73,0,0,17131,1.0,1.0,1.0,1.0,[]
50,3,0,17151,0.9433962264150944,1.0,0.970873786407767,0.9712009263366079,"['AP2M1', 'ASF1A', 'NEK4']"
106,0,1,17097,1.0,0.9906542056074766,0.9953051643192489,0.9952870268602999,[]
