tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
2.0,9.0,27.0,3402.0,0.18181818181818182,0.06896551724137931,0.1,0.10741132994637832,0.13333333333333333,0.15,0.1724137931034483,0.10008504417597165,"['EP300', 'ESR2']","['HSP90AB1', 'PIK3R1', 'BAG6', 'HDAC1', 'AR', 'CSNK2A1', 'PPP1CC', 'CDC37', 'PKM']","['CDKN2A', 'MKI67', 'PHB', 'NFKB1', 'ENO1', 'KRAS', 'DNMT1', 'RASSF1', 'BCL2', 'DAPK1', 'MPP1', 'IRS1', 'PGR', 'DDX31', 'RAD9A', 'CLNK', 'RUNX3', 'KCNQ1', 'MMP14', 'GAST', 'MEIS1', 'ALOX12B', 'IL1B', 'GHRL', 'GAGE1', 'VTI1A', 'CYP7B1']"
10.0,119.0,60.0,3251.0,0.07751937984496124,0.14285714285714285,0.10050251256281406,0.07992489074077876,0.06666666666666667,0.1,0.07142857142857142,0.039665063160608256,"['YWHAG', 'EP300', 'CAND1', 'HTR2C', 'KLF11', 'DYNLL1', 'OPRM1', 'NFKB1', 'DLG4', 'TNIP1']","['FN1', 'BAG6', 'FLNA', 'LMNA', 'SNW1', 'ATXN1', 'UBE2I', 'AKT1', 'YWHAQ', 'PCNA', 'PIN1', 'BRCA1', 'ERBB2', 'HDAC6', 'PRPF40A', 'H4-16', 'CDKN1A', 'TARDBP', 'NEDD4', 'CUL1', 'RAN', 'OPTN', 'TLE5', 'VDAC1', 'KIF1B', 'NR3C1', 'HRAS', 'P2RY6', 'TSC1', 'CANX', 'HNRNPD', 'NTAQ1', 'SYNCRIP', 'CYSRT1', 'HNRNPC', 'UBE2D1', 'GNB2', 'NPM1', 'ATP5F1A', 'REL', 'FUS', 'ENO1', 'HOXA1', 'PRKAB2', 'PARK7', 'ATP5F1B', 'PPP2R1A', 'KLHL20', 'IQGAP1', 'FXR1', 'BTRC', 'SOCS6', 'TK1', 'EXOC5', 'USP7', 'SPP1', 'PSMC5', 'MAP3K5', 'RELA', 'HMOX2', 'SIAH1', 'DNM2', 'KRTAP10-7', 'COX15', 'MAP1LC3B', 'EZH2', 'APBB2', 'TP53BP1', 'DBN1', 'LZTS2', 'FXR2', 'PPARG', 'PSMD4', 'RUVBL2', 'EEF1D', 'YY1', 'HSF2BP', 'IGF1R', 'CDH1', 'PRPF31', 'DDX5', 'GNB1', 'C1QBP', 'UBE2D3', 'EEF2', 'SPAG8', 'YIPF3', 'WWOX', 'PHB', 'NRAS', 'NXF1', 'MAPK9', 'TSC22D1', 'POLR2A', 'TRIP6', 'TNFRSF1A', 'DCTN1', 'PTEN', 'TCEA2', 'TCF4', 'DLG1', 'CRMP1', 'SERPINH1', 'KRTAP5-9', 'WDR5', 'MAPK14', 'PDIA3', 'PCMT1', 'AMOT', 'RTN1', 'FKBP8', 'UBE2M', 'TMEM30A', 'BCL2L1', 'STX1A', 'KLK6', 'ATP5F1C', 'PRPF19', 'SPTBN1']","['LAT', 'SIGMAR1', 'ACTN1', 'PTN', 'LITAF', 'TINF2', 'HTR2A', 'IPO11', 'AK2', 'MAOB', 'FBXL17', 'SLC22A9', 'MOG', 'PKNOX2', 'SLC6A4', 'GGH', 'NRDC', 'DBH', 'CHRNA3', 'ALK', 'CTNNA2', 'CNR2', 'MOBP', 'CNR1', 'OSBPL5', 'FIBP', 'TH', 'POMC', 'EPHA8', 'PTP4A1', 'LAMTOR4', 'THEMIS', 'TAC1', 'OPRK1', 'GABRA6', 'GABRG2', 'SLC6A2', 'GRIK1', 'CNTNAP2', 'NRXN3', 'CYP2E1', 'IL6', 'IL10', 'CDH15', 'ADCY7', 'CHRM2', 'LHB', 'BHMT', 'ASTN1', 'NTSR1', 'CHRNB3', 'COL12A1', 'HTR7', 'SRD5A1', 'ADH4', 'ADH1A', 'FSHB', 'SLC46A1', 'GRIK3', 'ALDH3B2']"
2.0,27.0,28.0,3383.0,0.06896551724137931,0.06666666666666667,0.06779661016949153,0.05974434394598282,0.13333333333333333,0.1,0.06666666666666667,0.040946028204830336,"['BAG6', 'YWHAQ']","['HSPA5', 'STUB1', 'ACTB', 'SNCA', 'CAND1', 'UBQLN1', 'CUL5', 'CUL1', 'ARRB2', 'ARRB1', 'CDC37', 'H4-16', 'PPP1CA', 'IKBKG', 'HSPA1A', 'ENO1', 'HGS', 'DNM2', 'DLST', 'OPTN', 'WFS1', 'RB1', 'FOS', 'CDK4', 'MKI67', 'NPM1', 'SDCBP']","['PDGFRB', 'TGFB1', 'NCF1', 'SREBF1', 'TNF', 'FOXO3', 'ITGB2', 'PCK2', 'TEAD1', 'AOC3', 'COL8A1', 'BDKRB1', 'LEPR', 'IL17RC', 'SOD2', 'VEGFA', 'GPX1', 'ADRA1A', 'PTPRZ1', 'CPT1B', 'MMP9', 'PCK1', 'S1PR5', 'CX3CL1', 'GPD2', 'HSD11B1', 'KCNJ11', 'CHP2']"
1.0,8.0,24.0,3407.0,0.1111111111111111,0.04,0.058823529411764705,0.06261581031246892,0.06666666666666667,0.05,0.08,0.15961964847146698,['PSEN1'],"['HSPA5', 'VCAM1', 'PHB', 'MME', 'TMEM216', 'ITGB5', 'HBA2', 'CCHCR1']","['RADIL', 'NOS3', 'NCSTN', 'CLU', 'SPRED1', 'ESR1', 'NPY', 'ENO1', 'EPHA1', 'CDK11A', 'VSNL1', 'BAX', 'SORL1', 'SOD2', 'EIF2S1', 'NCOA3', 'HLA-DRB5', 'VEGFA', 'C9', 'PCDH11X', 'MPO', 'PYY', 'MTHFR', 'IQCK']"
2.0,13.0,14.0,3411.0,0.13333333333333333,0.125,0.12903225806451615,0.12515992452878813,0.13333333333333333,0.1,0.125,0.04679538335334251,"['TP53BP1', 'EWSR1']","['PRKN', 'LMNA', 'CDC5L', 'FLNA', 'CAND1', 'UBE2I', 'CSNK2A1', 'NPM1', 'SMARCB1', 'HSP90B1', 'ARRB2', 'SPRED1', 'HNRNPK']","['SOD1', 'UBQLN2', 'RB1', 'ERBB4', 'EPB41L3', 'S100A10', 'GLE1', 'TRIM73', 'SIGMAR1', 'LSM14B', 'C9orf72', 'TNFRSF21', 'TFR2', 'SLC6A1']"
2.0,39.0,48.0,3351.0,0.04878048780487805,0.04,0.043956043956043966,0.031426409758720575,0.0,0.0,0.04,0.057486679392200625,"['IKZF3', 'OPTN']","['MEOX2', 'TGFB1', 'TMEM17', 'SRC', 'ITGB1', 'MAL', 'DAG1', 'SHANK3', 'NTRK1', 'PROM1', 'HOXB5', 'IKBKB', 'LAT', 'FTH1', 'SMAD4', 'INSR', 'FYN', 'CCL11', 'ABI2', 'IMPDH2', 'JPH1', 'IRS1', 'GOLGA2', 'EPS8', 'AKT1', 'SP1', 'CCL5', 'BAG4', 'PSMB1', 'CDC42', 'TRAF2', 'TSC2', 'TNFRSF1A', 'ZNF688', 'CANX', 'MAPK9', 'RNF10', 'HSPA1A', 'SOS1']","['IRF5', 'IL6ST', 'YWHAG', 'ADAMTS2', 'CDC5L', 'PRKCQ', 'TNFSF14', 'PPM1B', 'TBC1D22B', 'HLA-DPB1', 'PRDM1', 'CTLA4', 'CCN2', 'TNFRSF11A', 'ITGA6', 'ANKRD55', 'IGFBP3', 'RUNX2', 'SH2D1B', 'MGARP', 'CD244', 'CLEC12A', 'F2', 'HSPB2', 'BMP4', 'BAIAP2L1', 'SPINK2', 'FOXP3', 'GART', 'HSD11B1', 'LY96', 'HOXD10', 'ACAN', 'BMP2', 'BCL2A1', 'ABCC5', 'PTGS1', 'IL6', 'CP', 'MTHFR', 'FPGS', 'ABCC4', 'TNFRSF11B', 'RCAN1', 'RASGRP1', 'DNASE1L3', 'IL18', 'ARID4A']"
0.0,5.0,17.0,3418.0,0.0,0.0,0.0,-0.0026887018288784055,0.06666666666666667,0.05,0.058823529411764705,0.046315571674985616,[],"['APP', 'CTNNB1', 'CUL3', 'CDC42', 'DBN1']","['CAV1', 'APOH', 'NCF1', 'PRDX4', 'ARPC3', 'PPARG', 'HP', 'SIRT1', 'ADIPOQ', 'FERMT3', 'GSTM3', 'PLA2G2A', 'SOD2', 'NOS2', 'HSPA1B', 'ABCG5', 'IFNG']"
4.0,46.0,38.0,3352.0,0.08,0.09523809523809523,0.08695652173913043,0.0749682488871377,0.13333333333333333,0.1,0.09523809523809523,0.045332415484447434,"['CSNK2A1', 'CDKN1A', 'H2BC9', 'RAN']","['HSP90AB1', 'HSPA8', 'HSPA5', 'KAT5', 'UBE2I', 'SRC', 'CAND1', 'VIM', 'ARRB1', 'TLE5', 'MYH9', 'JUN', 'METTL14', 'SDCBP', 'SMARCD1', 'KDM1A', 'AR', 'CUL5', 'XRCC6', 'TRIM28', 'PRKDC', 'PPP1CC', 'EWSR1', 'APC', 'TMEM17', 'PPP2R1A', 'SSX2IP', 'GSN', 'CALM1', 'CDK1', 'TARDBP', 'CYSRT1', 'MTNR1A', 'HSPA4', 'CRK', 'WDR5', 'COPS6', 'TUBA4A', 'NOTCH1', 'PHB', 'TUBA1C', 'STAU1', 'TRAF1', 'MAD2L2', 'EZH2', 'MAPK8']","['PLEC', 'RPS2', 'CDC25A', 'CAMK2D', 'GTSE1', 'GEMIN4', 'PTPN12', 'AP1B1', 'PSMB4', 'CAPN1', 'HSF2', 'SUGT1', 'SORL1', 'SOX5', 'EPB41', 'HIP1R', 'THRB', 'MYOT', 'COG5', 'REEP1', 'PSMD5', 'WIPF1', 'AOPEP', 'EPHA3', 'SGCA', 'RABIF', 'ARHGAP10', 'CASZ1', 'KCNN3', 'NPPB', 'NAV2', 'RPL3L', 'SLC35F1', 'MYO18B', 'NEURL1', 'LRMDA', 'BEST3', 'KCNE2']"
6.0,38.0,63.0,3333.0,0.13636363636363635,0.08695652173913043,0.10619469026548672,0.09442723201848637,0.13333333333333333,0.15,0.11594202898550725,0.05157602521550082,"['TP53', 'UBQLN1', 'TSC1', 'CRK', 'IKBKB', 'SHC1']","['MDM2', 'BRCA1', 'JUN', 'SNW1', 'CDC5L', 'SRC', 'VCAM1', 'CAND1', 'SMAD3', 'LAMP2', 'EP300', 'HSPD1', 'DLD', 'YWHAQ', 'NOTCH1', 'HNRNPU', 'CUL5', 'GRN', 'H3C12', 'PRKACA', 'TRIM23', 'RACK1', 'SF3B2', 'SIAH1', 'C1QBP', 'NEDD8', 'HMGB1', 'FOS', 'SMAD4', 'YWHAE', 'FXR2', 'STUB1', 'NF2', 'TK1', 'IKBKG', 'STAU1', 'CDKN1A', 'TRIM63']","['JUP', 'BCL2', 'ADRB2', 'C8orf33', 'BDNF', 'HLA-A', 'RPL10', 'HDLBP', 'ZNF24', 'ZDHHC17', 'PLOD1', 'FPR2', 'AP1M1', 'PAX6', 'STX1A', 'COP1', 'PASK', 'LZTR1', 'NLGN3', 'RNF8', 'RBFOX1', 'CUL7', 'MIF', 'CHRNA4', 'LAMB1', 'GRIA1', 'STK39', 'IGFBP3', 'PLAUR', 'MBD4', 'RORA', 'GLO1', 'JAKMIP1', 'PLA2G4A', 'IL4R', 'ADNP', 'EIF4E', 'RELN', 'SERPINE1', 'KDM5C', 'GABRB3', 'NOS2', 'FBXO40', 'ADSL', 'SLIT2', 'GABRB1', 'SRGN', 'PRLR', 'JMJD1C', 'SLC9A9', 'STXBP6', 'GABRA2', 'SMAP1', 'ALG1', 'GABRA1', 'IMMP2L', 'ASIC2', 'CP', 'CSMD3', 'KCNMA1', 'WDFY4', 'PON1', 'IFNG']"
2.0,47.0,31.0,3360.0,0.04081632653061224,0.06060606060606061,0.04878048780487805,0.03850599928174437,0.13333333333333333,0.1,0.06060606060606061,0.0458450734102775,"['APP', 'EP300']","['BRCA1', 'CTNNB1', 'HSP90AB1', 'UBE2I', 'SNW1', 'FN1', 'KAT5', 'CAND1', 'KDM1A', 'MEOX2', 'HSPD1', 'CDK2', 'CSNK2B', 'BECN1', 'STAT3', 'RACK1', 'SMARCA4', 'POLR2A', 'YWHAE', 'PIN1', 'BTRC', 'RUVBL2', 'MAPK1', 'CCT6A', 'TUBA1C', 'FHL2', 'RANBP9', 'MKI67', 'LRRK2', 'PIAS1', 'SMN2', 'REL', 'SNCA', 'PICK1', 'PPP1CB', 'CFTR', 'PSMD2', 'NR3C1', 'HNRNPC', 'EGLN3', 'LAMP2', 'MDC1', 'COPS6', 'CUL4B', 'YWHAH', 'SMAD4', 'STK11']","['MTOR', 'TFAP2A', 'ERBB3', 'GSTP1', 'KLF5', 'PSMB8', 'FBXW8', 'BIRC3', 'STAG2', 'KMT2D', 'KMT2C', 'LOXL4', 'MT2A', 'SOD2', 'NQO1', 'ESPL1', 'GGH', 'HOXA9', 'IGF1', 'APOBEC3B', 'ACHE', 'SLC12A7', 'CYP3A4', 'MEIS1', 'MTHFR', 'TMEM106C', 'MMP9', 'TIMP2', 'IFNA2', 'IFNB1', 'NAT1']"
