tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
8.0,54.0,21.0,3357.0,0.12903225806451613,0.27586206896551724,0.17582417582417584,0.17870603037502922,0.3333333333333333,0.25,0.20689655172413793,0.040003968269457686,"['EP300', 'HSPA5', 'ERBB2', 'EGFR', 'RUNX3', 'CLU', 'CCN2', 'DNMT1']","['NCOA1', 'ARNT', 'EPHA2', 'CALM1', 'MSH2', 'HSPA1A', 'AURKA', 'STUB1', 'DDX5', 'CREBBP', 'TDG', 'SQSTM1', 'CDKN2B', 'PSMC3IP', 'EEF1A1', 'SIRT1', 'CDK2', 'IRS4', 'SMARCA2', 'RASA1', 'CDK1', 'IGF1R', 'RCHY1', 'RB1', 'BRAF', 'RRP1B', 'POM121C', 'PRSS50', 'HP', 'KAT2A', 'PELP1', 'ATAD2', 'ZBTB17', 'HSPA1L', 'FKBP5', 'UMPS', 'HDAC2', 'FOXO3', 'NONO', 'LEF1', 'PRKN', 'MCM7', 'ANP32B', 'DNTTIP2', 'BCAR3', 'PGK1', 'CSNK2A1', 'AKAP13', 'BAG1', 'ATP2A2', 'GUSBP1', 'MAPKAPK2', 'TSC1', 'RGS5']","['APOA1', 'EIF2A', 'SMARCC1', 'ARID1A', 'GRB7', 'PGR', 'CLNK', 'CASP8', 'GAGE4', 'GAGE1', 'GHITM', 'AZGP1', 'PYCARD', 'PRL', 'HOXA10', 'ALOX12B', 'SELENBP1', 'ALOX5', 'CXCL8', 'GKN1', 'MEIS1']"
20.0,127.0,50.0,3243.0,0.1360544217687075,0.2857142857142857,0.18433179723502302,0.17314565392730621,0.26666666666666666,0.25,0.18571428571428572,0.05738440245653869,"['FYN', 'RACK1', 'GABRA1', 'CHRNB2', 'LAT', 'PDE4D', 'CHRNA4', 'DRD1', 'FGFR1', 'FER', 'GABRG2', 'SIGMAR1', 'HSPA9', 'GABRB2', 'COPS5', 'LITAF', 'MPDZ', 'TINF2', 'DRD4', 'AGT']","['CTNNB1', 'PRKACA', 'ZNF302', 'GRB2', 'CRMP1', 'CRK', 'AKT1', 'MRTFA', 'PRKCD', 'MT2A', 'ZHX1', 'HSPA8', 'PDGFRA', 'ARL1', 'SET', 'KAT5', 'FBXL5', 'CGB8', 'RHEB', 'BAG6', 'PLCG1', 'PAX6', 'HSPA4', 'MICAL2', 'H3C13', 'EVA1A', 'GRIK2', 'PRDX1', 'CANX', 'GTPBP1', 'PTPRB', 'BRK1', 'CD44', 'TOP2B', 'NLRP1', 'JAK3', 'PER2', 'SGSM1', 'ELAVL1', 'APH1A', 'PIK3R2', 'KLF12', 'AP2A1', 'CCDC90B', 'GNAO1', 'FAM86C1P', 'TBR1', 'FOXD4L6', 'FGF1', 'ZAP70', 'PTPN11', 'NONO', 'MTOR', 'LAMC3', 'EXTL3', 'ACE2', 'AP2A2', 'USP26', 'GNB2', 'KCNA4', 'ERRFI1', 'BTC', 'BCAP31', 'UTP6', 'ST13', 'SSR4', 'NCOA1', 'SYNJ2', 'RPN1', 'MAN2C1', 'CD36', 'DNAJC4', 'SERAC1', 'SP3', 'KIAA0825', 'TTR', 'EEF1G', 'GNAS', 'BRD4', 'RPS6KA1', 'HSPA7', 'HRH3', 'MOV10', 'TMPPE', 'DUSP15', 'LIN7C', 'SNX12', 'ATF7IP', 'MAPK1', 'ATP5F1A', 'TMEM67', 'PCNA', 'JAKMIP1', 'MAT1A', 'MLF2', 'CARM1', 'PLD1', 'RPL13', 'UAP1', 'LDHB', 'BCL2L11', 'NLRP12', 'NCBP1', 'MSH5', 'PSMD1', 'FANCA', 'SERPINB9', 'RPL31', 'C10orf120', 'FXR1', 'IFIT3', 'ABT1', 'TSPAN7', 'BDKRB1', 'SIRT1', 'UPF3A', 'GSN', 'MED28', 'ID2', 'TNIP3', 'LCAT', 'ZMIZ1', 'TEAD1', 'MKRN2', 'TENM1', 'RANBP1', 'HMGA2']","['SLC6A3', 'GAL', 'GLUL', 'KIF1A', 'EGF', 'GABRA3', 'GFAP', 'NLGN4X', 'ADH7', 'CDH12', 'TACR3', 'ST18', 'CKAP4', 'SLC29A1', 'CLOCK', 'HERPUD1', 'SHBG', 'CDK4', 'GATA4', 'CDH5', 'H2BC9', 'ACTG1', 'NPY5R', 'SGTB', 'FABP2', 'CHRNB3', 'NRDC', 'CEACAM1', 'CDH13', 'GRM3', 'SMURF1', 'SLC6A4', 'MMP9', 'KANK1', 'PHLDA2', 'OPRD1', 'C1orf109', 'CHRM2', 'SPG21', 'BHMT', 'CRHBP', 'POMC', 'STON2', 'PKNOX2', 'THSD7B', 'PANK2', 'PLEKHA1', 'ZCCHC14', 'ANKK1', 'TF']"
10.0,61.0,20.0,3349.0,0.14084507042253522,0.3333333333333333,0.19801980198019803,0.20629156410278165,0.4,0.3,0.23333333333333334,0.04602791834687773,"['CAV1', 'SIRT1', 'PPARG', 'DAXX', 'NCF1', 'BAG6', 'MAP3K5', 'ITGB2', 'HTT', 'FOXO3']","['STAT1', 'SOCS1', 'CREBBP', 'CTNNB1', 'CDCA7', 'GAP43', 'MDM2', 'MTOR', 'DENND4C', 'WDFY3', 'NHS', 'YWHAE', 'VCP', 'COPB1', 'ATAT1', 'RASA1', 'NMT2', 'FYN', 'MRTFA', 'HSP90AA1', 'NR3C1', 'SERAC1', 'EDRF1', 'PF4', 'MBOAT7', 'RITA1', 'OXSR1', 'PTPN6', 'CSK', 'SLC44A2', 'PFKFB4', 'CRYAB', 'PTOV1', 'CYB5R1', 'ESRRG', 'CXCL12', 'ING1', 'SEPTIN4', 'DAB2IP', 'MIF', 'FOSL1', 'ARNT', 'SFN', 'ZXDC', 'PPIF', 'PCSK9', 'TNP1', 'MAPKAP1', 'CALM2', 'PNPLA8', 'NCOA3', 'ASIC4', 'PPP1CA', 'ZNF622', 'CARM1', 'SMARCA5', 'NRIP1', 'OGT', 'TM9SF3', 'H3-5', 'ZBTB7C']","['FGF21', 'IL17RC', 'ACSL1', 'ADRB3', 'SOD1', 'PRKCA', 'ACOX1', 'SLC2A2', 'EDN1', 'SLC2A4', 'SOD2', 'TRAPPC10', 'REN', 'MPO', 'IL6', 'COL8A1', 'MAGEB6', 'FANCL', 'NQO1', 'GIMAP5']"
4.0,30.0,21.0,3385.0,0.11764705882352941,0.16,0.13559322033898305,0.1298371887685835,0.13333333333333333,0.15,0.12,0.060512146594672814,"['PSEN1', 'PSEN2', 'BCL2', 'CST3']","['MGARP', 'WDR61', 'SNX27', 'CDK5', 'STUB1', 'RHEB', 'RNF112', 'HERPUD1', 'ERLIN2', 'TSLP', 'SNCA', 'MID1IP1', 'APBA2', 'FADS2', 'KLF5', 'DNAJB11', 'SPATA2L', 'RANBP9', 'HSPD1', 'PIAS1', 'GCG', 'IAPP', 'NBL1', 'STOML2', 'LAPTM4A', 'LOXL1', 'EPOR', 'YAP1', 'PRIM2', 'H2AX']","['NPY', 'PRNP', 'MICAL1', 'PIP4P2', 'IQCK', 'INPP5D', 'KRT31', 'PYY', 'HMOX1', 'SLC2A4', 'BCHE', 'TOMM40', 'ARC', 'GAPDHS', 'CDK11A', 'NECTIN2', 'SMG7', 'TRPC1', 'UBE2Q2', 'EIF2S1', 'DPYSL2']"
5.0,34.0,11.0,3390.0,0.1282051282051282,0.3125,0.1818181818181818,0.19445416479812483,0.2,0.2,0.1875,0.03910864590735215,"['RNF128', 'HNRNPA1', 'TARDBP', 'DLST', 'HSP90AB1']","['CDK9', 'DDX17', 'EEF2', 'HNRNPDL', 'MGARP', 'SMARCD1', 'CUL4A', 'MAP4K1', 'PPIA', 'KBTBD4', 'AKT1', 'CAND1', 'INA', 'UBE2M', 'IQSEC1', 'HNRNPUL1', 'ABL1', 'S100A11', 'DARS1', 'HNRNPR', 'CUL1', 'HNRNPU', 'CUL5', 'SRPK1', 'HMGA2', 'METTL3', 'CTNND1', 'GAPDH', 'RBMX', 'NR3C1', 'PCBP1', 'NTRK2', 'GCDH', 'SGSM1']","['SOD1', 'UNC13A', 'PON3', 'RB1', 'GSR', 'PTGS2', 'EPB41L3', 'C9orf72', 'CFAP410', 'PPARGC1A', 'ATXN2']"
10.0,34.0,40.0,3356.0,0.22727272727272727,0.2,0.21276595744680854,0.2023302608333743,0.13333333333333333,0.15,0.24,0.08283310097893888,"['LCK', 'EP300', 'HSPB2', 'HDAC2', 'TNFRSF11A', 'MMP2', 'SLC9A3R1', 'PTGIS', 'PRTFDC1', 'IKZF3']","['PTPN11', 'STAT3', 'ADRB2', 'ATP5F1A', 'CCL11', 'NEO1', 'PSAP', 'ACTB', 'KDR', 'TP53BP2', 'VPS33A', 'DAB2', 'HSP90AA1', 'APCS', 'CCL7', 'KIT', 'VCP', 'MAPK1', 'NONO', 'ARSF', 'LRRC40', 'NF1', 'TTLL7', 'NHSL2', 'AMBP', 'PLCB4', 'SLC7A5', 'A1CF', 'GAB1', 'PELI1', 'TXNDC16', 'IDE', 'NFATC1', 'WDR1']","['PTPN22', 'MAPK8IP2', 'MGARP', 'CCL21', 'CFTR', 'TBC1D22B', 'SERPINA3', 'TRAF6', 'TNF', 'CCR6', 'TAGAP', 'ABCC3', 'BCL2A1', 'IL2RA', 'MIF', 'NCSTN', 'IL1B', 'BMP6', 'BDKRB2', 'TNFRSF11B', 'ST6GALNAC5', 'ALOX5', 'TM9SF4', 'CP', 'IL1RN', 'ANKRD55', 'VEGFA', 'IL23A', 'CD40', 'HSCB', 'BMP4', 'TNFAIP1', 'PRKCQ', 'CALD1', 'GART', 'HOXD13', 'RAB8A', 'IFNAR2', 'DNAL1', 'ARID4A']"
2.0,7.0,15.0,3416.0,0.2222222222222222,0.11764705882352941,0.15384615384615383,0.15869451035801393,0.2,0.15,0.17647058823529413,0.11578794839915742,"['APOE', 'NR1H4']","['PPARGC1A', 'CTNNB1', 'SETD7', 'RARA', 'JAK2', 'C9', 'TIRAP']","['MAPKAPK2', 'HP', 'CETP', 'BAG6', 'CALM1', 'UGP2', 'CNR2', 'ALOX5', 'LPA', 'VCAM1', 'TIMM29', 'HRH1', 'LTA4H', 'NPC1', 'CYSRT1']"
5.0,104.0,37.0,3294.0,0.045871559633027525,0.11904761904761904,0.06622516556291391,0.05544868844894875,0.06666666666666667,0.1,0.047619047619047616,0.04212049273226572,"['YWHAG', 'GRB2', 'H2BC9', 'PSMB4', 'HCN2']","['ACTN2', 'SKP1', 'SSTR3', 'ECHS1', 'PDAP1', 'PAK4', 'VCP', 'AP2B1', 'PIAS3', 'HDAC4', 'JMJD1C', 'CTNNB1', 'PPARGC1A', 'SMARCD1', 'CDC25C', 'ATAT1', 'HSP90B1', 'HYAL2', 'EIF5B', 'MARK3', 'HSP90AA1', 'KRT76', 'MAP3K3', 'BCR', 'MICAL2', 'EML3', 'RBM33', 'HSPA5', 'C7orf26', 'ZNF335', 'ASH1L', 'KLC4', 'TBX22', 'SLC14A2', 'C7orf50', 'UNG', 'MAP7D1', 'RNF4', 'FGF14', 'PLEKHM3', 'AKT1', 'PML', 'ZBTB21', 'SCARA3', 'OBSCN', 'HSPE1', 'TRAF2', 'IRS4', 'NEO1', 'RAC1', 'TFDP3', 'OPTN', 'HSP90AB1', 'SULF2', 'C2CD6', 'OTUB1', 'PEAK1', 'VASH2', 'PCBD1', 'TFEB', 'SRSF5', 'CAST', 'CRYAB', 'AKAP13', 'CIC', 'TIGD6', 'FGFBP1', 'HCK', 'TAF5L', 'NF1', 'MGARP', 'CRTC2', 'SMAD3', 'INPP5E', 'SHROOM2', 'FRMD4A', 'RBPJ', 'TTC23', 'BAG6', 'MAPK9', 'RECQL', 'JOSD1', 'BAP1', 'SHCBP1', 'BAZ1B', 'CBARP', 'STYX', 'PDLIM3', 'NARS1', 'ZC3H13', 'USP7', 'OSGIN1', 'NEDD4L', 'PLEKHA2', 'PACS2', 'TRIM55', 'TGFBR2', 'WNT10B', 'WDR61', 'STK11', 'KIF5C', 'PSMB8', 'LMO7', 'MCM3AP']","['TNFSF12', 'FSTL1', 'MYOT', 'GTSE1', 'GJA5', 'AP1B1', 'ARMH3', 'KCNH2', 'CDC37', 'FZD7', 'IGF1R', 'SCN5A', 'AGT', 'KRT31', 'KCND3', 'KCNN3', 'RPL3L', 'SGCA', 'NEURL1', 'XXYLT1', 'MYOCD', 'PHLDA1', 'CKAP4', 'PPFIA4', 'AKAP6', 'USP3', 'ZRANB3', 'KIF3C', 'MFF', 'AOPEP', 'MKI67', 'SUN1', 'USP34', 'HERC1', 'LRIG1', 'KCNE5', 'PSMD5']"
17.0,225.0,52.0,3146.0,0.07024793388429752,0.2463768115942029,0.10932475884244373,0.09847781191432205,0.0,0.1,0.10144927536231885,0.042281516228227956,"['UBQLN1', 'BUD31', 'SHANK3', 'GABBR1', 'JUP', 'GABRB3', 'GTF2E2', 'RELN', 'AGT', 'SLC9A9', 'TDO2', 'RASSF7', 'GABRA1', 'GSTP1', 'USP7', 'KAT8', 'DNAJC5']","['RIMS3', 'DLG3', 'MAPK1', 'SQSTM1', 'ABL2', 'CRELD2', 'SHC4', 'SMARCA2', 'SOS1', 'CASK', 'INPP5D', 'BRD4', 'SP1', 'AP2B1', 'IL2RG', 'SLC29A1', 'SCRIB', 'IGF2BP1', 'HID1', 'TUBB', 'SOCS1', 'HBA2', 'TSPOAP1', 'NBL1', 'RAF1', 'TCF19', 'TRIO', 'MAP3K1', 'NTN4', 'PSMD4', 'HSP90AA1', 'EPB41L1', 'TUBB4B', 'RAB11B', 'PELO', 'NUCB1', 'SMARCA4', 'HSPA1L', 'JUN', 'HECW1', 'SNRNP200', 'HSPA8', 'HLA-DRB5', 'NOL7', 'BCR', 'ZBTB49', 'CSF2RB', 'MRPL49', 'JUND', 'SNX17', 'DSE', 'DSP', 'ACAN', 'GCDH', 'RER1', 'SPTAN1', 'SYK', 'KCNH7', 'SHARPIN', 'MAPK9', 'RACK1', 'TGOLN2', 'HIBCH', 'PARP1', 'EFNB1', 'H2AC20', 'GAPDH', 'SEZ6L', 'BAG2', 'LBR', 'JAG2', 'ITGA6', 'GAREM1', 'GRIP2', 'APCS', 'KLHL18', 'BLM', 'SF3B2', 'CFL1', 'MAPK14', 'AGER', 'SLC12A2', 'SH3GL3', 'ANGEL1', 'SORCS2', 'OAT', 'CSNK2A1', 'LNX1', 'DDX17', 'ANG', 'SLC35F2', 'ATP11A', 'ELMO2', 'CDK5', 'PRPF40A', 'CD99', 'CSE1L', 'KRT83', 'GTF2B', 'RNF2', 'MAK', 'UBASH3B', 'SPEG', 'DOCK3', 'AFF2', 'STAM2', 'CDKN2C', 'MTNR1A', 'PRAP1', 'PLCB4', 'ARX', 'VIPR1', 'NR1D1', 'RNF38', 'VRK1', 'MAP2K2', 'TBP', 'DRD5', 'TMEM61', 'SNCA', 'HLA-C', 'SOS2', 'FUCA2', 'S100A9', 'CTCF', 'HNRNPR', 'ANP32E', 'RNF183', 'PNO1', 'SLC6A1', 'GAL', 'UBE2K', 'AQP12B', 'SSUH2', 'IL6R', 'PPP2CA', 'RPL27', 'KLHL21', 'HCK', 'VRK2', 'SORL1', 'SLC37A1', 'TANGO6', 'DNAJC14', 'STXBP1', 'GNL3L', 'AKAP5', 'HDAC2', 'SLC3A2', 'TSTD2', 'GPR37', 'TDG', 'ZFP2', 'PPP1CC', 'SLC39A1', 'TIAF1', 'PPP1R9B', 'RBFOX2', 'PTPRB', 'GRK6', 'CKMT2', 'DAG1', 'GMPR2', 'IMPDH2', 'BAG5', 'FOXP1', 'PA2G4', 'CBLC', 'MT-ND1', 'SH2B3', 'BAG1', 'MYOZ1', 'BCL11B', 'NR3C1', 'GP9', 'SET', 'NCKAP5', 'CCNA1', 'DHPS', 'PDE4D', 'TOP1', 'CYP21A2', 'UBB', 'PRPF6', 'TEX10', 'PLEKHG2', 'AGR2', 'MYL12A', 'CFTR', 'MYOZ2', 'GNPTAB', 'UBE3C', 'EEF1G', 'C6orf47', 'CCDC8', 'FOXO3', 'CSF3R', 'ASH2L', 'UBTF', 'NAP1L1', 'PSMA6', 'KLK8', 'ETV3', 'PDIA3', 'ASCL1', 'SYNC', 'DNAJA1', 'TUFM', 'RALA', 'ARHGAP32', 'ABCE1', 'RGS5', 'STK32C', 'ALDH1L2', 'DAXX', 'TXNDC12', 'MCM3', 'PARP11', 'ERCC6', 'DHX9', 'MICU2', 'SPAG5', 'AGRP', 'MAGEC2', 'ALPP']","['ZNF292', 'MET', 'CBX3', 'DIXDC1', 'RBM4', 'ZNF556', 'SIGLEC6', 'DISC1', 'FOXP2', 'TCN2', 'ACE', 'RBFOX1', 'ADRB2', 'PRKCB', 'PASK', 'KCNMA1', 'PGRMC2', 'ADA', 'TMLHE', 'BPIFA1', 'SYNGAP1', 'GABRB1', 'DIPK2A', 'IL13', 'VWA8', 'WNT2', 'DLST', 'SLC40A1', 'AKAP11', 'NRXN2', 'NCS1', 'GAD1', 'FMR1', 'REEP3', 'PDE4A', 'GNA11', 'ADNP', 'TSPYL1', 'HTR3C', 'CADPS2', 'KDM5B', 'FPR2', 'EIF4E', 'LAMB1', 'FARP2', 'TMEM97', 'AGAP1', 'ADSL', 'COP1', 'AHI1', 'ZMYND11', 'BIRC6']"
6.0,52.0,27.0,3355.0,0.10344827586206896,0.18181818181818182,0.13186813186813187,0.12609596334433718,0.26666666666666666,0.25,0.18181818181818182,0.04156998614393419,"['TP53', 'RASSF1', 'NOTCH1', 'EGFR', 'CREBBP', 'SRC']","['FBXW7', 'BRCA1', 'RELA', 'LATS2', 'CDK6', 'CDK4', 'PSMC2', 'TEAD2', 'FZR1', 'IL24', 'MAPK8', 'GPX2', 'SP1', 'NUMB', 'PDS5A', 'SKP2', 'HDAC1', 'JUN', 'PAGR1', 'AR', 'TUBB2A', 'KDM1A', 'MAP3K5', 'WDR5', 'CALM1', 'FGFR4', 'CDYL', 'STUB1', 'PPARG', 'AGTR2', 'KAT5', 'ANXA2', 'RPN1', 'SHOC2', 'ABL2', 'OTUD7B', 'CNOT1', 'AP1M2', 'SHC3', 'CBLL1', 'MIDEAS', 'TUBB4A', 'NFATC1', 'PDS5B', 'SNAI1', 'DDX18', 'CDC20', 'NFYB', 'PAK4', 'AZIN1', 'S100B', 'MTA3']","['NCOR1', 'KMT2C', 'PABPC1', 'CYP3A4', 'KMT2A', 'IGFBP3', 'STAG2', 'UNC93B1', 'MT1A', 'SLC12A7', 'SMC1B', 'GSTZ1', 'ZMYND12', 'TNKS1BP1', 'MAPK15', 'FANCA', 'LAMA2', 'NRSN1', 'CHD6', 'NCAPG2', 'AQP3', 'ASXL2', 'ESPL1', 'POR', 'ICAM1', 'INPP4B', 'BCL2L14']"
