tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
4.0,33.0,18.0,3385.0,0.10810810810810811,0.18181818181818182,0.13559322033898308,0.13304740136920193,0.13333333333333333,0.15,0.13636363636363635,0.02996168725875488,"['TIMP3', 'COL1A1', 'TGFBR1', 'TFRC']","['TGM2', 'APP', 'MMRN1', 'EGFR', 'LGALS1', 'TNFRSF1A', 'AKT1', 'MAPT', 'A2M', 'NPVF', 'OTUB1', 'ANXA2', 'ATF2', 'BAG6', 'CARTPT', 'BMPR2', 'MT2A', 'IL1R1', 'NLRP12', 'GAL', 'CCL8', 'HSP90AA1', 'DIP2A', 'ERAL1', 'SRGN', 'BARD1', 'HSPA4', 'USP15', 'EFEMP1', 'STAT5A', 'IER3', 'MTOR', 'FGF21']","['JAK2', 'ARNT', 'IL11', 'ECM1', 'PRLR', 'FST', 'IL24', 'GLS', 'MAPRE3', 'FETUB', 'LIF', 'RBP4', 'CD164', 'IFNA10', 'CD163', 'CRISP3', 'SST', 'MMP11']"
2.0,12.0,20.0,3406.0,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.1094315342130468,0.13333333333333333,0.1,0.13636363636363635,0.05391781221154625,"['TIMP3', 'COL1A1']","['MMP2', 'APP', 'FKBP9', 'EGFR', 'CEACAM7', 'NCOA7', 'UBQLN2', 'NPTN', 'PTPN11', 'STUB1', 'NPPA', 'EP300']","['LGALS3', 'PTGIS', 'TFRC', 'TGFB1', 'TNR', 'HSD17B1', 'IL20RA', 'MMP15', 'COL4A6', 'IL6', 'KLK10', 'ALPG', 'CHIA', 'DHFR', 'LIF', 'ITGB6', 'HABP2', 'CSF3', 'IFI6', 'PAEP']"
2.0,19.0,22.0,3397.0,0.09523809523809523,0.08333333333333333,0.08888888888888889,0.08310450341749129,0.06666666666666667,0.1,0.125,0.09778111492021788,"['TP53', 'KRAS']","['SRC', 'ATF2', 'BRCA1', 'SOX4', 'AURKA', 'FGFR4', 'FBXW7', 'ARAF', 'ANXA2', 'JAK2', 'RET', 'BRAF', 'YES1', 'GAPDH', 'GLIS2', 'VCAM1', 'NSD3', 'JUN', 'IKBKB']","['ABL1', 'ENO1', 'PTPN11', 'STAT3', 'EEF2', 'ARID1A', 'NFKB1', 'SPP1', 'MPP1', 'NPPA', 'MMP14', 'TNF', 'HLA-DPA1', 'HK2', 'MUC2', 'VEGFA', 'GKN1', 'PAWR', 'CYP19A1', 'CYP7B1', 'KCNQ1', 'PLCE1']"
0.0,26.0,12.0,3402.0,0.0,0.0,0.0,-0.00516327351951043,0.0,0.0,0.0,0.01575865590144674,[],"['ATF2', 'PRKN', 'CFTR', 'VCAM1', 'EP300', 'IQGAP1', 'MYC', 'CUL1', 'RELA', 'LYN', 'SHC1', 'LIG4', 'MDM2', 'DBN1', 'DLC1', 'NCOR2', 'SCGB3A1', 'MAPK1', 'ATP5F1A', 'DLST', 'ACTA1', 'MMP9', 'IGF1R', 'EEF1A1', 'NR2C2', 'FANCC']","['PARK7', 'GSN', 'FGB', 'ERRFI1', 'COL1A2', 'RBM5', 'GORAB', 'RSU1', 'GPD2', 'PGLS', 'IDH2', 'OXCT1']"
4.0,53.0,49.0,3334.0,0.07017543859649122,0.07547169811320754,0.07272727272727272,0.05772047315829778,0.2,0.15,0.07547169811320754,0.05424133641440507,"['GABBR1', 'SLC6A1', 'GRIN2B', 'GABRA1']","['PRUNE2', 'NTRK2', 'EXOC5', 'GNAI1', 'ADRB2', 'RNF112', 'TRAM1', 'UBQLN1', 'SLC4A3', 'AP2B1', 'SRA1', 'RARA', 'GNB1', 'GLRB', 'SIRT1', 'AGER', 'SRGAP3', 'XPO6', 'YIPF3', 'CCND1', 'DELEC1', 'CSNK2B', 'ANKS1B', 'ZHX1', 'MPND', 'MAPK1', 'MT-CO1', 'BRK1', 'KLF15', 'PRKCZ', 'UTP6', 'CRELD1', 'NTF3', 'CRY2', 'CCKBR', 'ALB', 'SLC9A9', 'GCN1', 'NR0B2', 'STIP1', 'BAD', 'NOS1AP', 'DOK5', 'DDX5', 'HSPA4', 'SIGLEC9', 'GRIK2', 'ADRA1B', 'LPIN1', 'B4GALT5', 'ZNF366', 'MZT2B', 'RORC']","['CAMK2A', 'GABRB3', 'IPO11', 'EGF', 'LCK', 'GRIN1', 'GAP43', 'CREB1', 'PDE4B', 'XRCC5', 'BRCA1', 'HDAC2', 'ADH1B', 'GRM1', 'KCNJ6', 'FHL3', 'CCK', 'GRM2', 'PHF3', 'TKT', 'OSBPL10', 'BAG3', 'TESK2', 'SPG21', 'GRM3', 'NRXN3', 'CDK20', 'CHRNA5', 'NMUR2', 'IL6', 'MOG', 'GATA4', 'THEMIS', 'CHRNB3', 'ZNF699', 'CAT', 'CHRM2', 'CYP2E1', 'ALK', 'SLCO3A1', 'LEP', 'ADCY7', 'CDH15', 'FABP2', 'DSCAML1', 'NPY5R', 'LILRA1', 'AKR1C3', 'OPRK1']"
4.0,16.0,19.0,3401.0,0.2,0.17391304347826086,0.18604651162790697,0.18139995822057434,0.2,0.2,0.17391304347826086,0.06444260914586812,"['SIRT1', 'BCL2', 'FOXO3', 'IRS2']","['CCDC107', 'DAXX', 'BCL2L12', 'CTNNB1', 'CEBPB', 'SP1', 'SIGLEC6', 'ACTB', 'PTPRZ1', 'MDH1', 'TP73', 'SPOCK1', 'YWHAE', 'EGFR', 'SAE1', 'PAK4']","['OTUB1', 'AOC3', 'VEGFA', 'LEP', 'SOD2', 'TIMP2', 'CPT1A', 'S100A6', 'ID1', 'AIFM1', 'CASP3', 'ATP2A3', 'GCK', 'KCNJ11', 'LDB2', 'CYP1A1', 'CHRM2', 'SLC2A4', 'PCSK2']"
2.0,42.0,17.0,3379.0,0.045454545454545456,0.10526315789473684,0.06349206349206349,0.06132830179520477,0.13333333333333333,0.1,0.10526315789473684,0.033149892877033564,"['NOS3', 'DHCR24']","['PSENEN', 'MGARP', 'IQSEC1', 'FARSA', 'MAST1', 'WDR61', 'MICAL2', 'PIK3R1', 'HSP90AA1', 'MCL1', 'PMAIP1', 'BAD', 'PRDM2', 'MBP', 'PIAS1', 'CRELD2', 'PRKACA', 'FLOT2', 'IFIT5', 'MPND', 'PARK7', 'TXN', 'AP1M2', 'GAP43', 'CSNK1D', 'UMPS', 'HSPA8', 'SOCS5', 'LYN', 'RAB3A', 'TEAD1', 'DIAPH3', 'GCG', 'IQCG', 'PPP2CA', 'PPIA', 'FHL1', 'PAXIP1', 'SORCS2', 'LYNX1', 'RNF183', 'RPL41']","['CASP3', 'PTAFR', 'SLC30A4', 'PPARG', 'WWOX', 'VEGFA', 'SOD2', 'EIF2S1', 'BIN1', 'NECTIN2', 'APOC1', 'TFAM', 'MS4A4A', 'SLC30A6', 'ABCA7', 'NPY', 'IQCK']"
3.0,21.0,9.0,3407.0,0.125,0.25,0.16666666666666666,0.1727475680125642,0.2,0.15,0.25,0.02607375515588306,"['HNRNPA1', 'SQSTM1', 'TP53']","['PRKN', 'OTUB1', 'TP53BP1', 'ESR1', 'AGR2', 'APP', 'RNF183', 'EGFR', 'CAV1', 'SAFB2', 'DDX5', 'ILF2', 'HNRNPH2', 'HSP90B1', 'VHL', 'HNF4A', 'NEDD8', 'HNRNPH1', 'HNRNPU', 'PHB', 'KHDRBS1']","['UBQLN2', 'ERBB4', 'TBK1', 'PON1', 'NEK1', 'CFAP410', 'GFAP', 'DAO', 'TREM2']"
2.0,10.0,35.0,3393.0,0.16666666666666666,0.05405405405405406,0.0816326530612245,0.08942792814650866,0.13333333333333333,0.15,0.08108108108108109,0.02342314423351321,"['CXCL6', 'IL1B']","['CXCL11', 'CCL28', 'ST13', 'CSF2RB', 'CARD17', 'PYCARD', 'SLC39A1', 'DSEL', 'SDR42E2', 'STK11']","['TNFAIP3', 'PLEK', 'SOD2', 'CP', 'HOXD10', 'FASLG', 'HLA-DRB1', 'PRKCQ', 'AGER', 'IKZF3', 'RBPJ', 'KRT18', 'NCF1', 'TLE3', 'IGFBP3', 'TNFRSF14', 'CD244', 'GART', 'MIF', 'CAT', 'HOXD13', 'MTHFR', 'ARID5B', 'PTPN22', 'BCL2A1', 'MPO', 'IL2RB', 'PXK', 'FPGS', 'ABCG2', 'IL23A', 'CSF2', 'BMP6', 'B3GNT9', 'MMEL1']"
0.0,12.0,17.0,3411.0,0.0,0.0,0.0,-0.004169569598856439,0.0,0.0,0.0,0.032026424391210284,[],"['PF4', 'CXCL11', 'CCL13', 'DPP4', 'IL1A', 'PPARGC1A', 'CD81', 'PAUF', 'CXCL1', 'SMAD3', 'SGTA', 'NCOA7']","['IL1RL1', 'MMP10', 'ALDH2', 'VEGFA', 'CHTF18', 'GSTP1', 'PDE4B', 'PTEN', 'IL6R', 'ORMDL3', 'NOS2', 'NPSR1', 'NPY', 'CDHR3', 'IFNL3', 'ALOX5', 'HLA-DQA1']"
