tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
25.0,0.0,4.0,3411.0,1.0,0.8620689655172413,0.9259259259259259,0.9279327677624889,1.0,1.0,0.8620689655172413,0.7274176040881968,"['PCNA', 'NCOA3', 'CLU', 'NFKB1', 'PGR', 'PRL', 'MMP14', 'PRKD1', 'CYP7B1', 'CYP19A1', 'STK11', 'MUC2', 'HSPA8', 'GRB7', 'GPX3', 'OGG1', 'ID3', 'DDR1', 'TPM3', 'ALOX5', 'SOD2', 'ACE', 'RUNX3', 'RARB', 'GAST']",[],"['ATP2B2', 'CDC16', 'ANAPC5', 'CLNK']"
63.0,10.0,7.0,3360.0,0.863013698630137,0.9,0.881118881118881,0.8787983412207651,0.9333333333333333,0.95,0.8857142857142857,0.2516682586184125,"['EGFR', 'GABRG2', 'SLC22A9', 'ICAM1', 'COPS5', 'HSPA9', 'TERF2IP', 'SNCA', 'CSNK2A2', 'RACK1', 'GHSR', 'CFTR', 'TACR1', 'IL17A', 'HGS', 'GABRA1', 'GABRB2', 'A2M', 'PSMD2', 'PDZD3', 'GGT1', 'OPRL1', 'CHRNA3', 'SPG21', 'EPS15', 'NTSR1', 'GABRB3', 'HLA-DRA', 'REN', 'GRIN1', 'GEMIN4', 'AKR1C4', 'GAPDH', 'SLCO3A1', 'DRD4', 'CYP2B6', 'TKT', 'PHLDA2', 'RIOK3', 'KPNA3', 'RGS4', 'ITM2A', 'TAGLN3', 'NRDC', 'CARTPT', 'GGH', 'PPIC', 'CHRM2', 'TFAP2B', 'EPHA8', 'PHF3', 'SLC46A1', 'ADH5', 'CDH11', 'HNMT', 'CHRNB3', 'FTO', 'CDH13', 'CRHBP', 'TPH1', 'NRXN3', 'CDH10', 'ANKK1']","['SLC9A3R2', 'STX1A', 'WDR5', 'CEP152', 'HSP90AB1', 'GPHA2', 'FN1', 'KAT5', 'KRTAP10-8', 'CEACAM6']","['IL6R', 'NR4A2', 'MTHFR', 'PPP1CC', 'MRPL9', 'PLEKHA1', 'RABEPK']"
26.0,0.0,4.0,3410.0,1.0,0.8666666666666667,0.9285714285714286,0.9304038048031559,1.0,1.0,0.9,0.6322111674680816,"['NR3C2', 'SLC9A1', 'PCK2', 'PDK2', 'CCL5', 'IL6R', 'PRKCA', 'PDK4', 'PFKM', 'CCL20', 'MAP3K5', 'SGTB', 'S1PR4', 'NQO1', 'CD68', 'ADRB3', 'ATF3', 'MYOC', 'SLC2A2', 'REN', 'UCP2', 'ACE', 'BCL2', 'NOS3', 'SOD2', 'NOS2']",[],"['LEP', 'FANCL', 'CYB5B', 'HEY1']"
21.0,0.0,4.0,3415.0,1.0,0.84,0.9130434782608696,0.9159788515614052,1.0,1.0,0.88,0.593900725143869,"['RPL10A', 'VLDLR', 'PYY', 'C5AR2', 'ATP5F1A', 'AMFR', 'GSK3B', 'MS4A4A', 'CASS4', 'RADIL', 'CHRNB2', 'INPP5D', 'CRH', 'ACHE', 'ABCA7', 'IQCK', 'TF', 'C9', 'SLC2A4', 'BACE1', 'SOD2']",[],"['TNF', 'PRDM2', 'CDK11A', 'BEX2']"
15.0,0.0,1.0,3424.0,1.0,0.9375,0.967741935483871,0.9681044764756864,1.0,0.75,0.9375,0.4418584069020425,"['OPTN', 'PRPH', 'DBR1', 'ANG', 'SETX', 'ATXN2', 'CCNF', 'NEFH', 'GSR', 'MOBP', 'CAMK1G', 'ARHGEF28', 'TAF15', 'HTR3A', 'PTGS2']",[],['NOTCH2NLA']
46.0,5.0,4.0,3385.0,0.9019607843137255,0.92,0.9108910891089109,0.9096095155232011,1.0,0.95,0.9,0.2701182465180518,"['APP', 'CDC5L', 'QSOX1', 'HSCB', 'PPM1B', 'REL', 'OPTN', 'TRAF1', 'TRAF6', 'CCL21', 'IL2RA', 'CXCL6', 'HSPB2', 'CDK6', 'NR4A3', 'EP300', 'NCF1', 'GDF5', 'IL6R', 'CCL8', 'CRP', 'ADAMTS2', 'PLB1', 'FOXP3', 'IRAK1', 'LCN2', 'PXK', 'CD28', 'RAP2A', 'STEEP1', 'PRDM1', 'CITED2', 'ANKRD55', 'HOXD10', 'CAT', 'MPO', 'STS', 'PTGS2', 'IL18', 'BMP4', 'CTLA4', 'HLA-DRB1', 'ABCG2', 'GGH', 'ABCC3', 'CXCL8']","['RBCK1', 'S100A4', 'C1orf43', 'FOXN2', 'HSP90AB1']","['MTHFR', 'PRTFDC1', 'AKAP8', 'ATP1B1']"
14.0,0.0,3.0,3423.0,1.0,0.8235294117647058,0.9032258064516129,0.9070878031825806,0.9333333333333333,0.7,0.8235294117647058,0.7738588438693818,"['UBQLN1', 'CALM1', 'ALOX5', 'GSTM3', 'VCAM1', 'SLC16A2', 'SOCS3', 'IL6ST', 'APOA4', 'NPC1', 'NCF1', 'CRP', 'ADIPOQ', 'PPARG']",[],"['BCAS2', 'TUBGCP4', 'SH2B1']"
38.0,3.0,4.0,3395.0,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9147009578831569,1.0,1.0,0.9047619047619048,0.44121181319781366,"['PLEC', 'FZD7', 'SOX10', 'MTUS2', 'UBQLN4', 'CKAP4', 'CAPN1', 'NEBL', 'HSPB2', 'GJA5', 'TTN', 'CASQ2', 'CALM2', 'UST', 'GOSR2', 'ASAH1', 'GYPC', 'SCMH1', 'FBXO32', 'KCNE2', 'ZNF462', 'ZFHX3', 'RBM20', 'DPF3', 'COG5', 'IRF2BPL', 'NKX2-5', 'PHLDB2', 'WIPF1', 'SPATS2L', 'SOX15', 'MEX3C', 'FGF5', 'SSPN', 'RPL3L', 'AKAP6', 'HERC1', 'NOS3']","['H1-5', 'PCGF6', 'CUL3']","['CDC37', 'AP1B1', 'CAPN10', 'COL1A2']"
57.0,7.0,12.0,3364.0,0.890625,0.8260869565217391,0.8571428571428571,0.8549592589921157,1.0,1.0,0.8405797101449275,0.4832039446269529,"['HSPA5', 'MUC7', 'AP1M1', 'IL5RA', 'CRK', 'SEC22C', 'MYO1D', 'VLDLR', 'ACTN2', 'AVP', 'PAX6', 'GDPD1', 'IL5', 'H2AX', 'GOLPH3L', 'STATH', 'GNG2', 'IL4', 'PRL', 'LZTR1', 'GJA1', 'DLGAP2', 'SHANK2', 'HTR3C', 'STK39', 'CUL7', 'GABRA1', 'ROBO4', 'JAKMIP1', 'BTD', 'TBR1', 'GABBR1', 'ADNP', 'SHANK1', 'MEF2C', 'DNAJC5', 'GABRA4', 'CSDE1', 'FBXO40', 'JMJD1C', 'SNTG2', 'ASIC2', 'FARP2', 'IL1RN', 'ROBO2', 'DMD', 'NTF4', 'PRKCB', 'RELN', 'GRIA1', 'POMC', 'GPX1', 'CNTN4', 'CDH9', 'IL2', 'TPH2', 'SCAMP5']","['PTPRO', 'KRTAP7-1', 'ATRIP', 'ABLIM1', 'DCAF12', 'KDM1B', 'GTPBP1']","['NOS2', 'BDNF', 'CHRNA4', 'PLAUR', 'DRD3', 'HTR2A', 'IL6', 'PGRMC2', 'C8orf33', 'DUSP16', 'HTR2B', 'ALG1']"
29.0,1.0,4.0,3406.0,0.9666666666666667,0.8787878787878788,0.9206349206349207,0.9209672784601663,1.0,1.0,0.8787878787878788,0.4297807230501214,"['APP', 'CYP3A4', 'TP53', 'MMP2', 'USP7', 'MMP9', 'TNF', 'PABPC1', 'MYC', 'FANCC', 'IGF1', 'MT2A', 'ENO2', 'GSTM1', 'ANKFY1', 'PRDM2', 'IFNA2', 'MT3', 'MTHFR', 'KLF5', 'SOD2', 'ERBB3', 'ERCC2', 'GPX1', 'MT1A', 'KMT2C', 'TRPV1', 'NQO1', 'NOTCH1']",['PYCARD'],"['ADRA1A', 'CLDN7', 'TCAP', 'EIF2S1']"
