tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
21.0,3.0,1.0,3415.0,0.875,0.9545454545454546,0.9130434782608695,0.9133346062684922,1.0,1.0,0.9545454545454546,0.27107489624868397,"['SERPINB4', 'IL11', 'JAK2', 'TGFBI', 'EMP1', 'MAPRE3', 'CYP1A1', 'AGTR1', 'CYP24A1', 'PTGIS', 'FST', 'CD7', 'NCAM1', 'TNR', 'FETUB', 'CSRNP3', 'IFNA10', 'INHA', 'HABP2', 'APOE', 'IGFBP1']","['JUP', 'HSCB', 'UBQLN2']",['PPID']
21.0,1.0,1.0,3417.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542528857917975,1.0,0.95,0.9545454545454546,0.42744165830796754,"['CEACAM5', 'IGFBP3', 'ACE2', 'KLK10', 'IL20RA', 'EMP1', 'SPAG5', 'CYP1A1', 'LGALS3', 'CHIA', 'PTGIS', 'FST', 'IFNA10', 'NCAM1', 'GLS', 'COL4A6', 'IFI35', 'COL13A1', 'CXCL10', 'COL5A2', 'IGF1']",['HNRNPC'],['BAALC']
22.0,0.0,2.0,3416.0,1.0,0.9166666666666666,0.9565217391304348,0.9571469535125184,1.0,1.0,0.9166666666666666,0.7587755562918662,"['VEGFA', 'PGR', 'TCF7L2', 'NFKB1', 'PRKD1', 'KDR', 'CYP7B1', 'GHRL', 'FGF9', 'RASSF1', 'PPARG', 'TPM3', 'CXCL8', 'MSLN', 'PHB', 'CA1', 'SOD2', 'PLAU', 'APOA1', 'PIK3CA', 'RUNX3', 'GAST']",[],"['HLA-DPA1', 'RUNDC3A']"
11.0,1.0,1.0,3427.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9163749513807857,0.7333333333333333,0.55,0.9166666666666666,0.837691569374042,"['GSN', 'CCT2', 'VCL', 'COL1A2', 'CLEC11A', 'OXCT1', 'GPC6', 'REN', 'CYP19A1', 'CALCR', 'PTH']",['HTT'],['BUB1B']
47.0,16.0,6.0,3371.0,0.746031746031746,0.8867924528301887,0.8103448275862069,0.8102369507177141,0.9333333333333333,0.95,0.8301886792452831,0.13729133606928656,"['CYP2A13', 'SNCA', 'NFKB1', 'RACK1', 'TAC1', 'NTSR1', 'GGT1', 'CRHR1', 'CHRNA5', 'CDK20', 'TACR3', 'CNR2', 'LHB', 'GAPDH', 'AKR1A1', 'SLC18A2', 'CTNNA2', 'CDH8', 'GRM2', 'GPHN', 'DPYSL2', 'EPHX1', 'CDH13', 'THSD7B', 'NAP1L4', 'GGH', 'RFC1', 'TFAP2B', 'GRIN1', 'TAGLN3', 'ZNF699', 'NQO2', 'SGIP1', 'THEMIS', 'ADH5', 'ANKRD7', 'AR', 'COMT', 'TF', 'PDE4B', 'KPNA3', 'SLC6A1', 'CHRNA4', 'HTR1B', 'NRXN3', 'CDH10', 'LRP8']","['HTT', 'PRAME', 'SLC22A9', 'TAC3', 'ARSK', 'HNF4A', 'ICAM1', 'TAGLN2', 'CTNNB1', 'POT1', 'SLC39A9', 'HSCB', 'MDFI', 'FN1', 'UBQLN2', 'LMNA']","['NR4A2', 'RPGRIP1L', 'THAP3', 'UTP14A', 'FDXR', 'ATP5ME']"
18.0,0.0,5.0,3417.0,1.0,0.782608695652174,0.878048780487805,0.8840052033803806,1.0,0.9,0.782608695652174,0.5913203195724914,"['TP53', 'CAV1', 'PKLR', 'CHRM2', 'BDKRB1', 'S1PR4', 'S1PR2', 'ACOT1', 'NQO1', 'TIMP2', 'PRKCE', 'INSR', 'SIRT1', 'VEGFA', 'S100A6', 'PCSK2', 'IAPP', 'NKX6-1']",[],"['SLC35C2', 'SRSF2', 'TMEM67', 'PIP5K1A', 'KIAA1109']"
15.0,0.0,4.0,3421.0,1.0,0.7894736842105263,0.8823529411764706,0.888004319329965,1.0,0.9,0.9473684210526315,0.819633749375947,"['ENO1', 'GSK3B', 'ADAM10', 'PRNP', 'APOE', 'WWOX', 'CLU', 'EPHA1', 'PLCG2', 'TREM2', 'ABI3', 'SLC30A6', 'PCDH11X', 'F2', 'PPARG']",[],"['HMOX1', 'TNF', 'SOD2', 'BLOC1S1']"
12.0,2.0,0.0,3426.0,0.8571428571428571,1.0,0.923076923076923,0.9255499844933457,0.8,0.6,0.9166666666666666,0.7615301038882192,"['MATR3', 'UBQLN2', 'PON3', 'EWSR1', 'DAO', 'GFAP', 'NEK1', 'CFAP410', 'TREM2', 'CD40LG', 'CCNF', 'MOBP']","['MYBPC2', 'GOLGA8G']",[]
34.0,11.0,3.0,3392.0,0.7555555555555555,0.918918918918919,0.8292682926829269,0.8312898749718042,0.6,0.65,0.7297297297297297,0.34289194866805356,"['FKBP5', 'DDX6', 'FOXP3', 'MAB21L2', 'GDF5', 'CXCR4', 'ACKR3', 'TXNDC5', 'NCF1', 'CD28', 'CTSD', 'GRK6', 'NFKBIL1', 'NDUFA4L2', 'MTHFR', 'NR4A3', 'KIF5A', 'LHX2', 'IRF8', 'CD5', 'PRKCQ', 'GSDME', 'FPGS', 'MMP10', 'IRF5', 'LY96', 'GIN1', 'ABCC3', 'PTPN22', 'RASGRP1', 'CXCL8', 'TLR2', 'STS', 'VEGFA']","['APP', 'KIF1B', 'HSCB', 'CD2BP2', 'CFTR', 'LMNA', 'MICAL1', 'HSP90AB1', 'PKIG', 'LHFPL5', 'NUMA1']","['IL6', 'KRT18', 'LYZL1']"
16.0,3.0,1.0,3420.0,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.8896947548765681,0.8666666666666667,0.85,0.8823529411764706,0.5854019762780498,"['SCGB3A2', 'ADRB2', 'ARG1', 'PPP2CA', 'IL5', 'TNIP1', 'IL4', 'KIF3A', 'ALDH2', 'MMP1', 'ORMDL3', 'IL33', 'RNASE3', 'ADCY2', 'PLA2G7', 'ADCYAP1R1']","['PFDN5', 'S100B', 'PTPRN']",['TSLP']
12.0,0.0,0.0,3428.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,0.8858753699291263,"['NOS3', 'ADIPOQ', 'PLA2G2A', 'CYP27A1', 'CETP', 'SOD2', 'CCL4', 'CRP', 'VEGFA', 'NR1H4', 'IFNG', 'NOS2']",[],[]
