tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
3.0,16.0,13.0,3408.0,0.15789473684210525,0.1875,0.17142857142857143,0.16784720315104582,0.2,0.15,0.1875,0.06471142772362087,"['HLA-C', 'IRF3', 'HLA-DQA1']","['UBE2I', 'HBA2', 'INS', 'CHD3', 'CSNK2B', 'CALR', 'TMEM17', 'FAM3C', 'ERG28', 'H2BC11', 'STAT3', 'SUMO1', 'SPRY1', 'RIMS3', 'MACROH2A1', 'DOLPP1']","['OASL', 'FCGR1A', 'TRIM5', 'HLA-DPB1', 'PML', 'TRIM38', 'ICAM1', 'TRIM34', 'IRF2', 'TRIM45', 'USP21', 'TRIM48', 'HLA-DQB2']"
8.0,0.0,4.0,3428.0,1.0,0.6666666666666666,0.8,0.8160206283481232,0.6,0.45,0.6666666666666666,0.5062005953409772,"['SUPT5H', 'AFF4', 'POLR2G', 'CTDP1', 'POLR2L', 'SUPT6H', 'GTF2F1', 'MLLT3']",[],"['GTF2H5', 'NELFB', 'ATM', 'IPO8']"
5.0,1.0,7.0,3427.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5883284551623048,0.5333333333333333,0.4,0.6666666666666666,0.6219906399681043,"['GTF2H1', 'ENG', 'POLR2J', 'POLR2B', 'POLR2F']",['PRMT5'],"['CCNT1', 'GTF2H4', 'MNAT1', 'ERCC2', 'CCNT2', 'SSRP1', 'ELOA2']"
6.0,0.0,5.0,3429.0,1.0,0.5454545454545454,0.7058823529411764,0.7380110760603664,0.5333333333333333,0.45,0.7272727272727273,0.619265499654893,"['PSMC2', 'PSMB4', 'PSMB9', 'PSMD4', 'PSMC1', 'PSMB5']",[],"['SEM1', 'PSMB8', 'PSMB10', 'RELA', 'CEPT1']"
1.0,0.0,11.0,3428.0,1.0,0.08333333333333333,0.15384615384615385,0.2882130860657585,0.13333333333333333,0.1,0.16666666666666666,0.12295387010164495,['H4-16'],[],"['H2BC14', 'PBRM1', 'H2AC20', 'H2AZ1', 'H2BC12', 'H3C10', 'H3C11', 'H3C15', 'H4C4', 'H4C12', 'H2BC3']"
8.0,2.0,5.0,3425.0,0.8,0.6153846153846154,0.6956521739130435,0.7006743896151489,0.6,0.5,0.6153846153846154,0.21057640092732713,"['PSMB3', 'PSMB4', 'PSMC1', 'PSMA4', 'PSMB1', 'PSMA5', 'PSMD13', 'PSMB8']","['ADRM1', 'MYC']","['PSME4', 'PSMB10', 'UBB', 'ELOC', 'EGLN1']"
7.0,18.0,14.0,3401.0,0.28,0.3333333333333333,0.30434782608695654,0.3008559136656055,0.3333333333333333,0.3,0.2857142857142857,0.23773051393079886,"['BUB1', 'NDC80', 'CENPT', 'AHCTF1', 'ZWINT', 'PPP2R5C', 'SEC13']","['DYNLT1', 'MGA', 'H3C12', 'RAE1', 'INPP1', 'ZNF189', 'BRCA2', 'MTCL1', 'CANX', 'TTK', 'CCDC68', 'YLPM1', 'PPP3R2', 'CDKN2A', 'ARHGEF2', 'LTBR', 'RCN2', 'DELEC1']","['PPP2R5A', 'KIF2C', 'CENPI', 'CLASP2', 'RANGAP1', 'CENPE', 'BUB3', 'ERCC6L', 'MAPRE1', 'NUDC', 'DYNLL2', 'PCDHGB1', 'GATD3', 'PMF1-BGLAP']"
8.0,19.0,13.0,3400.0,0.2962962962962963,0.38095238095238093,0.3333333333333333,0.33135832583897534,0.26666666666666666,0.35,0.38095238095238093,0.16208864935156939,"['BUB1', 'AURKB', 'NDE1', 'NUP85', 'NUP160', 'DYNC1LI2', 'KIF2A', 'NUP43']","['STK3', 'DYNLT1', 'TFIP11', 'MOB4', 'SVIL', 'PDE4DIP', 'PPP1CA', 'SKP1', 'MARK2', 'TRAF3IP3', 'PRR14', 'NUP58', 'C14orf119', 'SIPA1L1', 'MESD', 'SUOX', 'CDKN2A', 'LRRC1', 'CCDC68']","['INCENP', 'CENPN', 'BUB3', 'DYNLL1', 'CENPM', 'ZW10', 'SKA2', 'TAOK1', 'PPP2R1B', 'RALY', 'CENPS', 'CLIP1', 'MCUB']"
11.0,14.0,10.0,3405.0,0.44,0.5238095238095238,0.4782608695652174,0.4766053244929769,0.4666666666666667,0.5,0.47619047619047616,0.13491336906932522,"['NDC80', 'SPC24', 'PLK1', 'SEH1L', 'KIF2C', 'NSL1', 'CENPP', 'RANBP2', 'NDEL1', 'NUP85', 'MAD2L1']","['RAB11A', 'PPP1CA', 'PDHA1', 'OFD1', 'DCTN1', 'KPNB1', 'NUP62', 'EPS15L1', 'PDGFD', 'PPP6R3', 'TPTE2', 'PPP1CB', 'IKBKG', 'OIP5']","['DYNC1I2', 'AHCTF1', 'NUP98', 'CENPE', 'PPP2R5E', 'CENPK', 'ZBTB5', 'NUDC', 'CENPS-CORT', 'DYNLL2']"
8.0,25.0,13.0,3394.0,0.24242424242424243,0.38095238095238093,0.2962962962962963,0.29858629835689543,0.4666666666666667,0.35,0.3333333333333333,0.13614577024998095,"['PMF1', 'NUF2', 'SPC24', 'SPC25', 'CENPC', 'BUB1B', 'CENPH', 'PPP2R5E']","['EGLN3', 'DYNLT1', 'SUGT1', 'INPP1', 'CAGE1', 'EMILIN1', 'SNAP29', 'TRAF3IP3', 'KPNB1', 'MTCL1', 'CSNK1E', 'CNBP', 'GIT1', 'LMNB1', 'BECN1', 'RAB11A', 'EPS15L1', 'FYN', 'LMNA', 'SOGA1', 'SYCE3', 'CBX5', 'C6orf141', 'PCM1', 'SUMO1']","['INCENP', 'CLASP2', 'ZW10', 'DYNC1H1', 'CENPS', 'PAFAH1B1', 'DYNC1I1', 'MAPRE1', 'NUDC', 'CLIP1', 'ADIPOQ', 'XPO1', 'PMF1-BGLAP']"
