tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
4.0,3.0,12.0,3421.0,0.5714285714285714,0.25,0.34782608695652173,0.3761458050858056,0.4,0.4,0.4375,0.31049931709858325,"['GBP4', 'GBP3', 'HLA-DRB5', 'HLA-C']","['UBA1', 'CBL', 'OTUB2']","['IRF1', 'MID1', 'HLA-DMA', 'IRF6', 'TRIM3', 'SELENON', 'HLA-DQB2', 'STYXL1', 'OAS3', 'KPNB1', 'TRIM29', 'PML']"
11.0,2.0,1.0,3426.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8802727078333362,0.8,0.6,0.8333333333333334,0.16388653201897982,"['CTR9', 'SUPT5H', 'LEO1', 'ERCC2', 'POLR2B', 'GTF2H5', 'CCNH', 'GTF2F1', 'CTDP1', 'NELFE', 'ELL']","['NCBP2', 'GTF2E1']",['SSRP1']
6.0,5.0,6.0,3423.0,0.5454545454545454,0.5,0.5217391304347826,0.5206336016192372,0.5333333333333333,0.4,0.5,0.6033760856336062,"['CDK9', 'POLR2F', 'POLR2E', 'POLR2H', 'GTF2H4', 'CCNT1']","['RPRD1B', 'MED26', 'RNGTT', 'POLR1A', 'ELL2']","['MLLT1', 'NELFB', 'NELFCD', 'CCNT2', 'H3-4', 'ELOA2']"
7.0,1.0,4.0,3428.0,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.5333333333333333,0.45,0.7272727272727273,0.4519892486964039,"['PSMB9', 'PSMB7', 'PSMC2', 'PSMD1', 'PSMB6', 'PSMC6', 'PSMD11']",['USP14'],"['SEM1', 'NFKB1', 'CARM1', 'C22orf23']"
3.0,6.0,9.0,3422.0,0.3333333333333333,0.25,0.28571428571428575,0.28652872201560825,0.26666666666666666,0.2,0.3333333333333333,0.05183807033067163,"['H3C12', 'H2BC14', 'H2AZ1']","['MACROH2A1', 'BMI1', 'EED', 'USF3', 'RNF2', 'PHF8']","['H2BC3', 'H2AC19', 'PRC1', 'H2AC6', 'H2BC4', 'H2BC6', 'H4C13', 'H4C2', 'H4C9']"
12.0,1.0,1.0,3426.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9227851226684025,0.8,0.6,0.9230769230769231,0.2890720315810527,"['PSMB3', 'PSMA6', 'PSMB6', 'PSMB5', 'PSMD12', 'PSMC1', 'PSMC4', 'PSMC6', 'PSMD1', 'PSMD7', 'PSMA1', 'PSMA8']",['USP14'],['PSME1']
9.0,8.0,12.0,3411.0,0.5294117647058824,0.42857142857142855,0.4736842105263158,0.4734530234275937,0.4666666666666667,0.55,0.5238095238095238,0.3780776161899824,"['CENPU', 'NUP85', 'AHCTF1', 'CENPT', 'PPP2R5A', 'SGO2', 'MAPRE1', 'B9D2', 'KIF2C']","['PRR14', 'KPNB1', 'SPAST', 'TBCCD1', 'DZIP1', 'RORC', 'PKN3', 'PPME1']","['DYNC1LI2', 'DYNC1H1', 'ITGB3BP', 'DYNLL2', 'PPP1CC', 'NDEL1', 'LEMD3', 'PCDHGB1', 'SPDL1', 'SDHA', 'CENPL', 'GATD3']"
7.0,8.0,14.0,3411.0,0.4666666666666667,0.3333333333333333,0.3888888888888889,0.3912935628679188,0.4666666666666667,0.45,0.47619047619047616,0.21474404556626006,"['CENPT', 'CENPH', 'AHCTF1', 'DYNLL1', 'NUP107', 'PPP2R5B', 'BUB3']","['FAM43A', 'KIFBP', 'DYNLT3', 'MLF1', 'SCFD2', 'SPAST', 'SUGT1', 'EVI5']","['ITGB3BP', 'MAD2L1', 'RANBP2', 'CENPP', 'CLASP2', 'DYNLL2', 'DYNC1H1', 'BIRC5', 'VIM', 'TAOK1', 'KIF18A', 'RAD54B', 'CENPL', 'NUDC']"
6.0,5.0,15.0,3414.0,0.5454545454545454,0.2857142857142857,0.37499999999999994,0.39217729146207947,0.4666666666666667,0.5,0.47619047619047616,0.4627867145058396,"['CENPQ', 'PAFAH1B1', 'CENPA', 'CENPK', 'CENPN', 'SGO2']","['CDC5L', 'DCTN1', 'SNW1', 'CBX5', 'DELEC1']","['PPP2R5C', 'MAD2L1', 'PPP2R5E', 'CDC20', 'BUB3', 'DYNC1LI2', 'PPP1CC', 'MAD1L1', 'CLASP2', 'CCDC68', 'NDE1', 'TMF1', 'DDX18', 'CENPL', 'RCC2']"
6.0,4.0,15.0,3415.0,0.6,0.2857142857142857,0.3870967741935483,0.41168221813863615,0.6666666666666666,0.55,0.5238095238095238,0.3749644729274228,"['PPP2R5A', 'BUB1', 'CENPH', 'NUP43', 'CENPA', 'NUP37']","['MLF1', 'SPAST', 'WNT3A', 'STK4']","['AURKB', 'BUB3', 'KIF2B', 'NUP107', 'NUP98', 'CENPE', 'SGO1', 'B9D2', 'BIRC5', 'DYNLL2', 'RANBP2', 'CKAP5', 'SNCA', 'XPO1', 'C11orf49']"
13.0,3.0,6.0,3418.0,0.8125,0.6842105263157895,0.742857142857143,0.7443192267528804,0.8,0.65,0.6842105263157895,0.35155742821801267,"['RPS13', 'RPS12', 'RPL7', 'RPS2', 'RPS20', 'RPS15A', 'RPS25', 'RPL10A', 'RPL23A', 'RPS6', 'RPL24', 'RPL32', 'RPL36']","['HMGB1', 'RRS1', 'NPM1']","['RPS27A', 'TSPO', 'RPL22L1', 'GSPT1', 'GSPT2', 'RPL35A']"
13.0,2.0,6.0,3419.0,0.8666666666666667,0.6842105263157895,0.7647058823529413,0.7689461547194193,0.8666666666666667,0.7,0.7368421052631579,0.6406394170632378,"['RPS13', 'RPL23A', 'RPS11', 'RPS20', 'RPL6', 'RPS23', 'RPL21', 'RPS15A', 'RPL3', 'RPL27A', 'RPLP0', 'RPS7', 'RPL17']","['UPF1', 'DDX56']","['RPS28', 'RPL36AL', 'MRPL55', 'RPL9', 'RPL22L1', 'CSN2']"
12.0,3.0,7.0,3418.0,0.8,0.631578947368421,0.7058823529411765,0.7094170724141463,0.8,0.6,0.631578947368421,0.3330287737187462,"['RPL19', 'RPS3', 'RPS12', 'RPS25', 'RPL15', 'RPL31', 'RPL10A', 'RPL35', 'RPL30', 'RPS14', 'RPS21', 'RPL18A']","['RPL9P9', 'RRS1', 'FAU']","['RPS27', 'RPL39L', 'RPL39', 'ETF1', 'RPL41', 'SERBP1', 'ARRB1']"
8.0,1.0,4.0,3427.0,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691270395507103,0.6,0.5,0.75,0.3300519086540284,"['PSMA2', 'PSMD12', 'PSMC6', 'PSMD4', 'PSMD6', 'PSMC3', 'PSMD5', 'PSMB8']",['UCHL5'],"['PSME1', 'PSME3', 'DVL1', 'NAPA']"
18.0,15.0,16.0,3391.0,0.5454545454545454,0.5294117647058824,0.5373134328358209,0.5328248556726921,0.6666666666666666,0.6,0.5294117647058824,0.21647230795363323,"['EFTUD2', 'SNRPE', 'HNRNPA1', 'PPIE', 'NCBP2', 'HNRNPK', 'AQR', 'SNRPN', 'POLR2A', 'ISY1', 'CD2BP2', 'SRSF6', 'U2AF1', 'POLR2H', 'HNRNPA0', 'CPSF4', 'BCAS2', 'GTF2F2']","['ZC3H18', 'NELFA', 'SART1', 'NCBP3', 'USB1', 'RBM7', 'PRMT1', 'MEPCE', 'SRPK1', 'PRMT5', 'HDAC11', 'CPSF6', 'KHDRBS1', 'PHAX', 'NELFCD']","['HNRNPA3', 'CTNNBL1', 'TRA2B', 'SRSF2', 'DHX38', 'NUDT21', 'POLR2E', 'ALYREF', 'PQBP1', 'DHX16', 'PPIL3', 'ACTR3C', 'PCNT', 'AP1M1', 'PPIL6', 'DHX9']"
6.0,3.0,6.0,3425.0,0.6666666666666666,0.5,0.5714285714285715,0.5760877125366695,0.5333333333333333,0.4,0.6666666666666666,0.38717653023520493,"['EIF3B', 'RPS28', 'RPS16', 'RPS5', 'RPS15', 'EIF3L']","['RPLP1', 'EIF1B', 'RPLP2']","['RPS20', 'EIF4E', 'EIF4G1', 'RPS4Y1', 'EIF2S1', 'RORB']"
6.0,5.0,6.0,3423.0,0.5454545454545454,0.5,0.5217391304347826,0.5206336016192372,0.5333333333333333,0.4,0.5,0.34952049495431997,"['EIF3A', 'EIF3M', 'RPS12', 'EIF3F', 'EIF3C', 'RPS20']","['DDX3X', 'RPL10', 'DDX60', 'RPL10A', 'FAU']","['RPS8', 'PABPC1', 'RPS4Y1', 'CSN3', 'PICK1', 'RPL13A']"
6.0,4.0,5.0,3425.0,0.6,0.5454545454545454,0.5714285714285713,0.5707708752077334,0.4,0.35,0.5454545454545454,0.0730898758996025,"['RPL8', 'RPL37A', 'RPL5', 'RPL15', 'RPL24', 'RPL13A']","['RPS8', 'RPS5', 'RPS11', 'COPS5']","['RPL26', 'RPL36AL', 'RPL34', 'RPLP2', 'RPL36A']"
11.0,1.0,8.0,3420.0,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7273811802242509,0.7333333333333333,0.6,0.631578947368421,0.5235334937271009,"['RPL7', 'RPSA', 'RPS3', 'RPS18', 'RPL24', 'RPL10', 'RPL13', 'RPL26', 'RPL36', 'RPS27L', 'RPS15']",['FAU'],"['RPL38', 'RPL36AL', 'RPL29', 'M6PR', 'TTF1', 'UBA52', 'GEMIN7', 'POP1']"
12.0,4.0,7.0,3417.0,0.75,0.631578947368421,0.6857142857142857,0.6866720243926969,0.7333333333333333,0.75,0.7894736842105263,0.5029212284316283,"['RPS5', 'RPL19', 'RPS11', 'RPL23', 'RPL15', 'RPLP0', 'RPL27A', 'RPL7', 'RPS28', 'RPL22', 'RPL18A', 'RPL26L1']","['NPM1', 'RPL9P9', 'HSP90AB1', 'ASF1A']","['RPS21', 'RPS27', 'RPS24', 'RPL10L', 'RPS27L', 'RPL22L1', 'RPL39L']"
