tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold,tp_proteins,fp_proteins,fn_proteins
15.0,3.0,1.0,3421.0,0.8333333333333334,0.9375,0.8823529411764706,0.8833154324803336,0.8666666666666667,0.75,0.875,0.05255916544701379,"['GBP5', 'TRIM5', 'HLA-E', 'TRIM21', 'GBP3', 'HLA-F', 'MID1', 'TRIM2', 'SP100', 'TRIM26', 'TRIM62', 'TRIM17', 'OAS1', 'HLA-DPB1', 'OAS3']","['ATP2B2', 'RBM39', 'SLPI']",['SELENON']
11.0,0.0,1.0,3428.0,1.0,0.9166666666666666,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.6,0.9166666666666666,0.9491019292271579,"['CDK9', 'POLR2C', 'SUPT16H', 'CDK7', 'POLR2B', 'NELFE', 'AFF4', 'POLR2D', 'TCEA1', 'CCNT2', 'RTF1']",[],['ATM']
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.6666666666666666,0.5,0.8333333333333334,0.948640681108143,"['POLR2A', 'GTF2H1', 'POLR2E', 'ERCC2', 'SSRP1', 'SUPT16H', 'CCNT1', 'TCEA1', 'WDR61', 'IWS1']",[],"['CUL1', 'SIAH1']"
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,0.4679587053770188,"['PSMB4', 'PSMD2', 'PSMC1', 'PSMB2', 'PSMB7', 'PSMD1', 'PSMD13', 'PSMD5', 'PSME1', 'PSMF1', 'PSMD9']",[],[]
9.0,1.0,3.0,3427.0,0.9,0.75,0.8181818181818182,0.8210248076099085,0.6666666666666666,0.5,0.8333333333333334,0.23858457272492642,"['H2BC15', 'H3C7', 'H3C4', 'H2BC5', 'H4C4', 'H2BC14', 'H2BC11', 'H2BC3', 'H2AC6']",['AP2M1'],"['H2AJ', 'PRC1', 'PRDM9']"
10.0,0.0,3.0,3427.0,1.0,0.7692307692307693,0.8695652173913044,0.8766743823333754,0.8,0.6,0.9230769230769231,0.666258990346015,"['PSMA1', 'PSMC5', 'PSMD4', 'PSMD12', 'HIF1A', 'PSME1', 'UBB', 'RPS27A', 'RBX1', 'EPAS1']",[],"['EGLN1', 'PSMB11', 'ATF4']"
19.0,0.0,2.0,3419.0,1.0,0.9047619047619048,0.9500000000000001,0.9509116462086992,1.0,0.95,0.9047619047619048,0.851604839503387,"['PPP2R1A', 'DSN1', 'ZW10', 'KNTC1', 'MAD2L1', 'NUDC', 'PPP2R5B', 'CENPQ', 'RPS27', 'ERCC6L', 'DYNC1H1', 'PMF1-BGLAP', 'RCC2', 'CENPM', 'DYNC1LI1', 'SEH1L', 'DYNC1LI2', 'RANBP2', 'CENPL']",[],"['PCDHGB1', 'LEMD3']"
20.0,0.0,1.0,3419.0,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547,1.0,1.0,0.9523809523809523,0.9064200273355315,"['PPP2R1A', 'SPC25', 'CENPA', 'PPP2CB', 'NSL1', 'ZW10', 'CENPK', 'CENPM', 'CENPN', 'NDE1', 'CKAP5', 'SPDL1', 'RPS27', 'CLIP1', 'CLASP1', 'PMF1-BGLAP', 'CENPS-CORT', 'DYNC1I1', 'RANBP2', 'DYNC1LI2']",[],['SPRY2']
20.0,0.0,1.0,3419.0,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547,1.0,1.0,0.9523809523809523,0.3371057500810582,"['NUF2', 'PPP2CB', 'AHCTF1', 'MAPRE1', 'SGO1', 'PPP2R5E', 'NUP133', 'SEH1L', 'NUP43', 'MAD1L1', 'ZWILCH', 'INCENP', 'SPDL1', 'NUDC', 'RPS27', 'DYNC1I1', 'TAOK1', 'CENPN', 'KIF2A', 'DYNLL2']",[],['NXF1']
19.0,0.0,2.0,3419.0,1.0,0.9047619047619048,0.9500000000000001,0.9509116462086992,1.0,0.95,0.9047619047619048,0.9269535043338234,"['DSN1', 'NUF2', 'PPP2CB', 'CENPO', 'CENPH', 'ZW10', 'KIF2B', 'SKA1', 'DYNC1I1', 'KIF2A', 'XPO1', 'SPDL1', 'CENPM', 'CENPI', 'PMF1-BGLAP', 'CKAP5', 'DYNC1I2', 'CENPP', 'CLASP1']",[],"['C11orf49', 'AGT']"
