tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
2.0,16.0,25.0,3397.0,0.1111111111111111,0.07407407407407407,0.08888888888888888,0.08486846564834785,0.13333333333333333,0.1,0.1111111111111111,"['ERBB2', 'STAT3']","['BRCA1', 'HTT', 'UBC', 'AKT1', 'CDKN1A', 'KAT5', 'PIK3R1', 'UBE2I', 'LMNA', 'FUS', 'ATXN1', 'CDC5L', 'IQGAP1', 'GSK3B', 'CSNK2A1', 'YWHAB']","['CLU', 'MAPK14', 'ENO1', 'ADRB2', 'TGFB1', 'DAPK1', 'APC', 'APOA1', 'KRT8', 'TNF', 'ARID1A', 'CKB', 'DDR1', 'EGR1', 'UPF3A', 'GHITM', 'KRT20', 'PAWR', 'PLAU', 'CA2', 'FAT4', 'GKN1', 'CYP2E1', 'SYCP1', 'CA1']"
4.0,81.0,64.0,3291.0,0.047058823529411764,0.058823529411764705,0.05228758169934641,0.031206777672884534,0.13333333333333333,0.15,0.058823529411764705,"['YWHAG', 'CAND1', 'PSMD2', 'SDHA']","['SNW1', 'FN1', 'LMNA', 'HSPB1', 'UBQLN1', 'STUB1', 'FLNA', 'HSCB', 'PCNA', 'SDCBP', 'CDC37', 'TRAF2', 'PIN1', 'PPP1CA', 'EEF1A1', 'CRK', 'CUL2', 'RELA', 'VDAC1', 'P2RY6', 'PRKACA', 'ARRB1', 'TRIM54', 'TP53BP1', 'EWSR1', 'PSEN1', 'RAN', 'PML', 'NTAQ1', 'SMARCB1', 'SHANK3', 'HRAS', 'RAF1', 'CANX', 'TRAF6', 'TRIM28', 'BECN1', 'SMAD2', 'NEDD8', 'HNRNPM', 'PARK7', 'CLU', 'SOD1', 'HIF1A', 'STAU1', 'ATP5F1A', 'CDC42', 'RUVBL1', 'TGFBR2', 'KCTD17', 'AURKA', 'HSD17B10', 'PSMA1', 'KRAS', 'TCF4', 'SIAH1', 'RPL31', 'METTL3', 'PPP2R1A', 'ILK', 'TUBA1A', 'PSMD4', 'VAPA', 'ITGB1', 'PIAS4', 'ANXA2', 'CSNK1D', 'MAPRE1', 'CFL1', 'PSMB1', 'SMAD4', 'WWOX', 'PIK3R3', 'FLOT1', 'APC', 'ZDHHC17', 'CCT6A', 'DCTN1', 'MAPK8', 'HMOX2', 'HAX1']","['ACTBL2', 'SNRNP70', 'ACTN1', 'SGTB', 'LAT', 'RPL35', 'KIF1A', 'ARIH2', 'MARK3', 'LRP8', 'DRD4', 'NPY2R', 'GRIN1', 'VWF', 'CHRNA4', 'SUCO', 'GAP43', 'CTNNA2', 'GABRA3', 'ITM2A', 'DRD1', 'IRAK3', 'GGH', 'RIOK3', 'EGF', 'TESK2', 'SRRM4', 'MAGI3', 'MAOA', 'GGT1', 'GABRB1', 'CDH11', 'CNTN4', 'GATA4', 'GABRA6', 'NPSR1', 'MTHFR', 'IL6R', 'ECE2', 'OPRK1', 'NRXN3', 'GABRA2', 'CHRNA3', 'SLC18A2', 'ADRA2A', 'PCDH12', 'RABEPK', 'ANKRD7', 'IL1B', 'TEX43', 'GRM7', 'OPRL1', 'GHSR', 'ACE', 'SRD5A2', 'CHRNB2', 'ST18', 'ADH1A', 'NLGN4X', 'NTSR1', 'CARTPT', 'CDH12', 'NAT1', 'LILRA1']"
4.0,26.0,25.0,3385.0,0.13333333333333333,0.13793103448275862,0.13559322033898305,0.12813720357133418,0.26666666666666666,0.2,0.13793103448275862,"['TP53', 'APP', 'CAV1', 'SRC']","['MDM2', 'VCP', 'STUB1', 'EP300', 'HSP90AA1', 'NEK4', 'CUL2', 'STAT3', 'PCNA', 'CFTR', 'H4-16', 'MAPK6', 'PPP1CA', 'GAPDH', 'VDAC1', 'USP7', 'CDKN1A', 'HGS', 'RB1', 'METTL14', 'PHB', 'GRN', 'CSNK2B', 'DLD', 'PIK3R3', 'PLK1']","['BCL2L1', 'PPARA', 'FAS', 'SREBF1', 'MDH1', 'BACE1', 'CAV3', 'HMOX1', 'CAT', 'HEY1', 'MAGEB6', 'ID1', 'NEUROD1', 'ATP2A3', 'CYP1A1', 'LEPR', 'VEGFA', 'S1PR2', 'UCP2', 'NOS2', 'PTPRZ1', 'TIMP1', 'MFGE8', 'CCL20', 'IAPP']"
3.0,20.0,24.0,3393.0,0.13043478260869565,0.1111111111111111,0.12,0.11396999407701312,0.13333333333333333,0.15,0.1111111111111111,"['GSK3B', 'TMEM17', 'CLU']","['TP53', 'YWHAG', 'FLNA', 'STUB1', 'PRKN', 'SQSTM1', 'VCP', 'NEK4', 'HGS', 'STAT3', 'AURKA', 'VHL', 'MAPK1', 'CDC5L', 'KIF1B', 'RAF1', 'NOTCH1', 'CDKN2A', 'TUBA4A', 'RNF11']","['VAPB', 'FAM90A1', 'TFRC', 'INSR', 'SYVN1', 'BDNF', 'AMFR', 'TOMM40', 'TPI1', 'DHCR24', 'EIF2S1', 'CDK11A', 'FBXW5', 'F2', 'SMG7', 'GAPDHS', 'VSNL1', 'APOC1', 'PIP4P2', 'IL1B', 'TREM2', 'LEP', 'HFE', 'CHRNB2']"
4.0,19.0,13.0,3404.0,0.17391304347826086,0.23529411764705882,0.19999999999999998,0.19768995639789225,0.13333333333333333,0.2,0.17647058823529413,"['TP53', 'HSP90AB1', 'TP53BP1', 'TARDBP']","['HSPA8', 'HSPB1', 'MYC', 'PRKN', 'YWHAZ', 'BAG6', 'FLNA', 'ACTB', 'H4-16', 'HSPA5', 'IKBKG', 'MDM2', 'GAPDH', 'FYN', 'ERBB2', 'SMARCB1', 'ABL1', 'SPRED1', 'YWHAB']","['MATR3', 'TBK1', 'PRPH', 'SETX', 'GLE1', 'RNF128', 'SOD2', 'CHCHD10', 'PRKD3', 'DAO', 'TFR2', 'FIG4', 'CD40LG']"
10.0,141.0,40.0,3249.0,0.06622516556291391,0.2,0.09950248756218906,0.09254203137125765,0.3333333333333333,0.25,0.16,"['APP', 'GRB2', 'EP300', 'YWHAG', 'CFTR', 'TRAF6', 'CYSRT1', 'ENO1', 'CDK6', 'TRAF1']","['FN1', 'HSPA8', 'UBC', 'YWHAQ', 'TRAF2', 'SQSTM1', 'TRIM27', 'SMARCB1', 'WFS1', 'CAND1', 'CDKN1A', 'HGS', 'MYH9', 'FGFR3', 'MAPK1', 'HDAC6', 'PPP1CC', 'NOTCH1', 'VHL', 'NTAQ1', 'DLD', 'TP53BP2', 'TMEM17', 'CSNK2B', 'PICK1', 'TERF1', 'DDX5', 'PKM', 'KDM1A', 'PDGFRB', 'GSN', 'AP2B1', 'PSMD2', 'CUL4B', 'HSPA4', 'XRCC6', 'AURKA', 'CAV1', 'USP2', 'SMN2', 'PPP2R1A', 'MAPK3', 'ERBB3', 'BECN1', 'TK1', 'LZTS2', 'HNRNPA2B1', 'UBQLN4', 'MTOR', 'VAPA', 'PLK1', 'PDHA1', 'TUBA4A', 'SNRNP70', 'ACTG1', 'TUBA1A', 'P2RY6', 'RUVBL1', 'QARS1', 'UBE3A', 'NCK2', 'POLR2A', 'MDFI', 'KIFC3', 'CHUK', 'PRMT1', 'PRDX1', 'PSMC3', 'PCBP1', 'SKP2', 'SIAH1', 'H2BC21', 'TNFRSF1A', 'CCT4', 'MAPRE1', 'SH3KBP1', 'RPL10', 'PMP22', 'ILF2', 'ERBB4', 'PDCD6IP', 'LIMA1', 'CREB3', 'ANXA2', 'STAU1', 'TFG', 'NCK1', 'FBXW7', 'XIAP', 'RBM4', 'NEDD4', 'PLEC', 'KRTAP10-3', 'DNM1L', 'FBXW11', 'RNF4', 'ATG9A', 'UBXN1', 'BANP', 'TCEA2', 'EFTUD2', 'PRKCA', 'VDAC2', 'CEP128', 'DNAJB11', 'BARD1', 'MDC1', 'ERRFI1', 'PPP5C', 'AP2A1', 'SH3GLB1', 'MAGED1', 'NOS3', 'STOM', 'XRCC5', 'ANXA1', 'RPLP0', 'CDC23', 'TUFM', 'CREB1', 'TTR', 'XPO1', 'TAB2', 'MAX', 'SRRM2', 'FAS', 'RPA1', 'ATP5F1C', 'CTBP2', 'GSTP1', 'IL16', 'RPL3', 'TUBB3', 'FAF1', 'CASP8', 'SERPINH1', 'CLTA', 'SLC25A5', 'TCAP', 'MPP1', 'SPG21']","['TBC1D22B', 'MLH1', 'TNF', 'GRK2', 'MYO6', 'PRDM1', 'PPM1B', 'AGER', 'TLR2', 'PTPN2', 'SERPINA3', 'GRK6', 'P3H3', 'GOLGB1', 'CAT', 'ITGA6', 'TLE3', 'CTSD', 'COL2A1', 'HCLS1', 'CXCL2', 'NCF2', 'TNFRSF11A', 'CD83', 'CD2', 'ANXA3', 'CITED2', 'ARID4A', 'IL12RB1', 'ABCC5', 'UBR7', 'IFNAR2', 'SMPD2', 'PXK', 'PSG5', 'PTGS1', 'PON1', 'BMP6', 'MMEL1', 'IL2']"
3.0,7.0,14.0,3416.0,0.3,0.17647058823529413,0.22222222222222224,0.22719097323588328,0.2,0.15,0.17647058823529413,"['GRB2', 'VCAM1', 'BAG6']","['FN1', 'VCP', 'AKT1', 'COPS5', 'STUB1', 'AGR2', 'KAT5']","['SOD1', 'CYSRT1', 'PPARG', 'PRDX4', 'IL6ST', 'VEGFA', 'LDLR', 'FERMT3', 'SLC16A2', 'F2R', 'IL6', 'HRH1', 'ALOX15', 'IFNG']"
8.0,51.0,33.0,3348.0,0.13559322033898305,0.1951219512195122,0.16,0.15054797624689648,0.13333333333333333,0.1,0.1951219512195122,"['YWHAG', 'LNX1', 'TRIM54', 'KRT31', 'NR3C1', 'H2BC9', 'CAV1', 'SIRT1']","['HTT', 'CUL3', 'ESR1', 'VCAM1', 'VCP', 'GOLGA2', 'CFTR', 'USP7', 'HSCB', 'SNCA', 'HDAC1', 'SMARCD1', 'REL', 'KDM1A', 'AR', 'RELA', 'HSPD1', 'CEP170', 'CUL5', 'SETDB1', 'TMEM17', 'KANK2', 'BECN1', 'CUL4B', 'HOXA1', 'ABI2', 'CCDC33', 'SYNCRIP', 'SMAD2', 'SMN2', 'HNRNPA2B1', 'HSPA4', 'LMO2', 'STAU1', 'IQCB1', 'PPIA', 'MID2', 'HNRNPA1', 'ADAMTSL4', 'DDX5', 'CBX8', 'HDAC2', 'EZH2', 'HNRNPM', 'SP1', 'RPS3', 'PSMC5', 'AP2M1', 'CHD3', 'CCT5', 'SHANK3']","['XPO1', 'SGTA', 'PKP2', 'HSPB2', 'NEBL', 'GEMIN4', 'AP1B1', 'CREB5', 'SMAD7', 'GSC2', 'SH3PXD2A', 'MFF', 'CYTH1', 'KCNH2', 'MEX3C', 'DPF3', 'ASAH1', 'RABIF', 'CAV2', 'CLDN10', 'FAM153B', 'KCNJ2', 'ZRANB3', 'TBX5', 'ASXL2', 'KCNJ5', 'SLC35F1', 'KCNE5', 'DGKB', 'SSPN', 'PRRX1', 'ARMH3', 'KCNJ15']"
7.0,61.0,64.0,3308.0,0.10294117647058823,0.09859154929577464,0.10071942446043164,0.0822049432431751,0.26666666666666666,0.25,0.11267605633802817,"['TP53', 'GRB2', 'COPS5', 'HSPA5', 'NEK4', 'MAPK3', 'APC']","['PIK3R1', 'LNX1', 'ATXN1', 'AKT1', 'BAG6', 'TLE5', 'TRIM27', 'EEF1A1', 'SMARCB1', 'HNRNPC', 'TRAF2', 'PIN1', 'HSPA1A', 'CUL2', 'ARRB2', 'MCM7', 'TRIM54', 'HNRNPU', 'FXR2', 'HSP90B1', 'GSN', 'PSMD2', 'SKP1', 'RAC1', 'MKI67', 'RUVBL1', 'HNRNPM', 'CDK4', 'TUBA4A', 'CREBBP', 'CCDC33', 'NCK2', 'SMAD4', 'BECN1', 'KRAS', 'PSEN1', 'EMD', 'CYSRT1', 'HDAC6', 'TCF4', 'LMO2', 'PIAS1', 'CCT5', 'CASP6', 'YAP1', 'NR3C1', 'KRT31', 'SETDB1', 'HNRNPA1', 'A2M', 'MAPRE1', 'PARK7', 'CCT2', 'DMWD', 'CSNK2B', 'PSMD4', 'HSPA4', 'PRKACA', 'DDB1', 'PSMC1', 'AXIN1']","['ZDHHC17', 'IKBKB', 'HLA-A', 'MBD3', 'FMR1', 'ZNF24', 'KIF1A', 'POU6F2', 'COMT', 'FLNB', 'GOPC', 'NF1', 'PAXIP1', 'YEATS4', 'TF', 'TBR1', 'PITX1', 'PLOD1', 'PRKCB', 'SYNGAP1', 'NR4A2', 'ADNP', 'CETN3', 'SSTR3', 'CHRNA7', 'AHI1', 'PLA2G4A', 'FOXA1', 'BCL7B', 'AGPAT4', 'KDM5C', 'ADSL', 'TAF1C', 'SRGN', 'STIM2', 'HTR2B', 'ACADSB', 'KCND2', 'IL5RA', 'KMT2E', 'GABRB3', 'PDE4A', 'AVP', 'GABRB1', 'IL2RB', 'IMMP2L', 'CDH10', 'GABRA4', 'STXBP6', 'SCT', 'ROBO1', 'NTF4', 'MUC7', 'TPH2', 'GRM8', 'CHRNB2', 'IFNG', 'DLL1', 'GZMB', 'DPYD', 'IL13', 'TCN2', 'GPR155', 'HTN1']"
4.0,64.0,28.0,3344.0,0.058823529411764705,0.125,0.07999999999999999,0.07325470559834046,0.2,0.15,0.09375,"['APP', 'EP300', 'SRC', 'UNC93B1']","['GRB2', 'YWHAZ', 'PCNA', 'CSNK2A1', 'KDM1A', 'ABL1', 'SMAD3', 'RACK1', 'STAT3', 'KPNB1', 'YWHAE', 'CRK', 'FXR1', 'CCT6A', 'YY1', 'CFTR', 'REL', 'PIN1', 'SYNCRIP', 'TRIM27', 'MKI67', 'XRCC5', 'TUBA1A', 'SETDB1', 'KRT31', 'PDHA1', 'PKM', 'DDB1', 'PRMT1', 'PPP1CB', 'ARAF', 'CCT5', 'IRS4', 'ATXN3', 'HNRNPC', 'PSMC3', 'CDK9', 'DLD', 'FHL2', 'UBE2D1', 'FAF2', 'ILK', 'RAN', 'DYNC1H1', 'TTN', 'DHX9', 'SMAD4', 'PPIA', 'MAPK8', 'CCT4', 'RUVBL1', 'SKP2', 'PSMD4', 'PSMB1', 'H2BC21', 'KRTAP10-8', 'PSME3', 'RPA1', 'DCTN1', 'PRKAA2', 'CSNK1E', 'CCND1', 'INCA1', 'BAG2']","['FANCA', 'FANCC', 'FAS', 'KLF5', 'SOX2', 'BAP1', 'CEP76', 'SNAPIN', 'ATP5F1D', 'ZMYND12', 'ENO2', 'PAX5', 'ICAM1', 'PTGS2', 'LOXL4', 'SOD2', 'FERMT2', 'KDM6A', 'APOA2', 'SLC4A1', 'MPO', 'TMEM106C', 'MEIS1', 'MYBPH', 'SLC32A1', 'VWA3A', 'CSF3', 'UGT2B7']"
