tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
0.0,171.0,22.0,3247.0,0.0,0.0,0.0,-0.018349148106568423,0.0,0.0,0.0,[],"['BAG6', 'MYC', 'COPS5', 'UBE2I', 'FLNA', 'CUL1', 'BRCA1', 'YWHAG', 'SRC', 'STAT3', 'PIN1', 'GOLGA2', 'YWHAQ', 'KAT5', 'SDCBP', 'VIM', 'HOXA1', 'FUS', 'JUN', 'PPP1CC', 'SYNCRIP', 'STUB1', 'HSPA1A', 'HSP90B1', 'COPS6', 'NEK4', 'SMAD4', 'RNF11', 'TRIM23', 'AR', 'SMAD2', 'HNRNPA1', 'HDAC6', 'PSMA1', 'EGLN3', 'KDM1A', 'SHANK3', 'TP53BP1', 'SIAH1', 'HSPA4', 'KIFC3', 'PLK1', 'PML', 'PDGFRB', 'ANXA2', 'DMWD', 'CEP70', 'HNRNPK', 'RAD23A', 'EEF1G', 'NR3C1', 'PDGFRA', 'FAM161A', 'PIK3R2', 'YWHAH', 'RPL15', 'CCDC120', 'BYSL', 'SMN2', 'DCTN1', 'KPNA2', 'YBX1', 'MAPK1', 'BTRC', 'MTOR', 'NEDD8', 'PDIA6', 'RBPMS', 'LMO2', 'PIK3R3', 'TRIM55', 'MTNR1B', 'MVP', 'NEFL', 'CUL4A', 'WTAP', 'HSF2BP', 'UBE2M', 'KRTAP10-7', 'NEK6', 'RARA', 'PRMT1', 'CCT6A', 'XIAP', 'STIP1', 'HNRNPH1', 'MLH1', 'TAB1', 'HSPA9', 'POT1', 'SUMO2', 'LRP1', 'SFN', 'OTUD7B', 'SYK', 'PTPN1', 'CD44', 'ECSIT', 'PDIA3', 'CFL1', 'STX11', 'HCK', 'TAB2', 'HOXB5', 'TGM2', 'MAP2K1', 'SOCS6', 'ZNF655', 'RPL31', 'UBE2E3', 'RBM10', 'TMEM216', 'WDR5', 'HNRNPF', 'SERPINH1', 'ZC2HC1C', 'GNB2', 'MAPK8IP2', 'COMT', 'FBXW11', 'IMMT', 'ALDOA', 'VAPA', 'HDAC3', 'GABARAPL2', 'TRIM21', 'PRNP', 'TPM3', 'COPB1', 'ZNF24', 'FGFR1', 'CSNK1E', 'ARID5A', 'RPL10A', 'FLNB', 'TNFAIP3', 'TNF', 'USP54', 'CDK9', 'CDK5', 'PIAS2', 'CCT5', 'MCM3', 'NFKBIA', 'CSNK2A2', 'ITGB3BP', 'ASPH', 'KLHL12', 'FLOT2', 'PPIB', 'SPTAN1', 'CTNND1', 'TOR1A', 'EPHA2', 'CLPP', 'MAVS', 'DNAJA1', 'RAB7A', 'ANKS1A', 'ABI1', 'PLA2G10', 'SOAT1', 'UBA52', 'SNRNP200', 'EFTUD2', 'NDEL1', 'SH2D4A', 'KIF1A', 'GLIS2', 'ZNF688', 'CCDC102B']","['JAK2', 'IGFBP3', 'TGFBR1', 'GATAD2B', 'SERPINB4', 'IGFBP6', 'CYP1A1', 'AHR', 'NCAM1', 'FST', 'COL4A6', 'CD8A', 'TNR', 'CHIA', 'FETUB', 'IL6', 'CEACAM5', 'COL6A3', 'MMP12', 'CSRNP3', 'CRISP3', 'IFNA10']"
3.0,252.0,19.0,3166.0,0.011764705882352941,0.13636363636363635,0.02166064981949458,0.019058939391348527,0.0,0.0,0.0,"['ITGB4', 'DNALI1', 'SPAG5']","['HSCB', 'SNW1', 'VCP', 'UBQLN1', 'HSPB1', 'FLNA', 'YWHAZ', 'ERBB2', 'HSP90AB1', 'CDC5L', 'KRAS', 'TRAF2', 'PIN1', 'KAT5', 'MAPK6', 'GFAP', 'SDCBP', 'SMAD3', 'CSNK2A1', 'NTAQ1', 'MDM2', 'TARDBP', 'SYNCRIP', 'TLE5', 'KRT31', 'P2RY6', 'STUB1', 'FUS', 'PTPN11', 'MAPT', 'H4-16', 'SIAH1', 'EMD', 'PSMA1', 'NFKB1', 'PLK1', 'MTUS2', 'RAC1', 'MCM7', 'TK1', 'HMOX2', 'AR', 'LASP1', 'UBE2D1', 'EEF1G', 'ATP5F1A', 'MAPK3', 'HNRNPK', 'ITGB1', 'BLZF1', 'TNFRSF1A', 'PSMC5', 'MKI67', 'PRKDC', 'TUBA1A', 'ANXA2', 'MAPK1', 'MAPK9', 'TSG101', 'DLST', 'CREBBP', 'POLR1C', 'PLCG1', 'MAPRE1', 'DLD', 'ACTG1', 'ATP5F1B', 'RB1', 'PHB', 'TANK', 'BANP', 'YBX1', 'OTUD7B', 'BAG4', 'PIAS4', 'HSD17B10', 'HSF2BP', 'PLSCR1', 'GEM', 'DVL2', 'MAGED1', 'RBCK1', 'LAMTOR5', 'PSMC3', 'STIP1', 'LRIF1', 'PIK3R3', 'TGM2', 'PTPN1', 'CFL1', 'FHL3', 'PRMT1', 'EFEMP1', 'RARA', 'FBXW7', 'TCTN3', 'MLF1', 'KRTAP10-3', 'SPTBN1', 'PDE4DIP', 'TCF4', 'ECSIT', 'CAMK2A', 'SUMO1', 'RPL31', 'SUV39H1', 'SUMO2', 'AKAP9', 'TAB2', 'E2F1', 'EFEMP2', 'COPS3', 'PUF60', 'TMEM216', 'RHEB', 'BAIAP2', 'CTBP2', 'SLC25A6', 'GSTP1', 'SMARCA4', 'PXN', 'NF2', 'SERPINH1', 'PIK3CA', 'EEF1D', 'FLOT2', 'KBTBD7', 'ADRB2', 'GABARAPL2', 'ARID5A', 'RPL13', 'SNAI1', 'UBE2E3', 'PSMA3', 'CCT5', 'PSMA6', 'EIF3F', 'EPHA2', 'EIF4G1', 'MMP2', 'ENG', 'SH3GLB1', 'LUC7L2', 'TSGA10IP', 'CHEK2', 'DTX2', 'TCTN2', 'TRIM41', 'CBX8', 'FGFR1', 'RPL4', 'USP20', 'ANKS1A', 'TCF7L2', 'UBAC1', 'DNAJA1', 'IQUB', 'ACTN1', 'AP1M1', 'HIVEP1', 'SNRPD2', 'CSNK1E', 'DISC1', 'HSPB2', 'UBA52', 'CTTN', 'FKBP8', 'TNK2', 'RPS4X', 'BAG3', 'RPLP0', 'HP1BP3', 'ERRFI1', 'SMAD9', 'DNAJB1', 'PRKAR1B', 'MTA1', 'TUBB4B', 'RBM4', 'ZNF572', 'LRRC59', 'VAV1', 'PLEKHB2', 'CCHCR1', 'FKBP1A', 'C8orf33', 'COX15', 'ATP1B3', 'UBR5', 'BCAP31', 'RPS19', 'HNRNPUL1', 'RCHY1', 'KRT8', 'PNMA1', 'SEC16A', 'P3H3', 'UTP23', 'ATP6V0D1', 'FLNC', 'MYOZ1', 'ZMYM6', 'MYO15B', 'COPS7B', 'SMAD1', 'BAG5', 'GATA1', 'PAK1', 'ZMAT2', 'ARHGAP32', 'KPNA1', 'SLC25A5', 'KRT33B', 'ATP1A1', 'COMMD1', 'YIF1A', 'RAD51', 'HOMEZ', 'RPLP1', 'MAVS', 'PRPF19', 'HOXC8', 'TFAP2C', 'EIF4A3', 'TUBA1B', 'FANCC', 'FAM9B', 'TRMT2A', 'KRT6A', 'FGB', 'XRCC3', 'RPL37A', 'SOCS1', 'CEP76', 'BCAR1', 'ELOA', 'NOP2', 'PABPC4', 'ITSN2', 'PCMT1', 'UBR1', 'CCDC136', 'DDX19B', 'COX5A', 'MMGT1', 'FZR1', 'PDHB', 'CCT8', 'FOSL2', 'PELO', 'CRY2', 'TLN1']","['DIP2A', 'RHPN1', 'SMCHD1', 'TIMP3', 'CD68', 'MAP2', 'NCAM1', 'COL4A6', 'TIMP2', 'CEACAM1', 'CD69', 'CD7', 'MMP26', 'CHIA', 'PTGIS', 'IL11', 'CEACAM5', 'CYP24A1', 'IFNA10']"
3.0,15.0,21.0,3401.0,0.16666666666666666,0.125,0.14285714285714288,0.1391450146099391,0.2,0.15,0.125,"['TP53', 'EGFR', 'STAT3']","['AKT1', 'HDAC1', 'BAG6', 'HSPA1A', 'NPM1', 'CAND1', 'GSK3B', 'CFTR', 'METTL14', 'HIF1A', 'HDAC6', 'LRRK2', 'SMARCB1', 'FXR1', 'UBB']","['PTEN', 'NFKB1', 'CASP8', 'SPP1', 'TP63', 'STAT5A', 'KRT8', 'PGR', 'CCN2', 'PTGS2', 'ALOX5', 'KRT20', 'C1QA', 'HLA-DPA1', 'KCNQ1', 'GAST', 'HOXA10', 'ZP3', 'GAGE1', 'TYRP1', 'CYP2A6']"
1.0,48.0,11.0,3380.0,0.02040816326530612,0.08333333333333333,0.032786885245901634,0.03449662094596659,0.0,0.05,0.0,['PKM'],"['PRKN', 'PCNA', 'GRB2', 'AGR2', 'NEK4', 'BRCA1', 'MDM2', 'YWHAZ', 'UBQLN1', 'YWHAB', 'CTNNB1', 'HSCB', 'BAG6', 'SNCA', 'FLNA', 'SMN2', 'HSPA5', 'STUB1', 'YWHAE', 'CUL5', 'GOLGA2', 'PPP1CC', 'CDKN2A', 'HNRNPD', 'PRKDC', 'EMD', 'OPTN', 'GFAP', 'HOXA1', 'HUWE1', 'CSNK2B', 'PPP1CB', 'TUBA1C', 'DMWD', 'RAF1', 'ILF3', 'CEP70', 'PSMA6', 'UBB', 'DCAF7', 'SET', 'EEF2', 'PRMT5', 'SSX2IP', 'TANK', 'TLE5', 'CCT7', 'DYNC1H1']","['U2AF1', 'VDR', 'COL1A2', 'TNFRSF11B', 'GORAB', 'RSU1', 'POMC', 'IL6R', 'GPD2', 'CALCR', 'CYP24A1']"
0.0,14.0,53.0,3373.0,0.0,0.0,0.0,-0.007996513504229684,0.0,0.0,0.05660377358490566,[],"['PRKN', 'FLNA', 'AGR2', 'PCNA', 'CDC5L', 'H4-16', 'HNRNPK', 'MAPK6', 'YWHAQ', 'PRPF40A', 'CUL5', 'AP2B1', 'TERF1', 'HDAC6']","['HMGB1', 'XRCC5', 'NFKB1', 'FHL3', 'HDAC2', 'CAMK2A', 'HTR2C', 'ZC3HAV1', 'GEMIN4', 'AGO1', 'GRIN2B', 'DPYSL2', 'HERPUD1', 'LRP8', 'MAOB', 'KIAA0040', 'CHRNA4', 'EGF', 'ARSA', 'OSBPL5', 'EPHA8', 'ZCCHC14', 'THSD7B', 'CDH11', 'NPSR1', 'ADH1B', 'ADH6', 'CDH10', 'HLA-DRA', 'OPRK1', 'GABRG2', 'CYP2E1', 'CNR2', 'CRHBP', 'ALDH1A1', 'IL6', 'ZNF699', 'ADRA2A', 'HTR1B', 'SLC6A1', 'RASGRF2', 'IL1B', 'BHMT', 'REN', 'CHRNA5', 'ASTN1', 'OPRL1', 'LHB', 'CYP2B6', 'NTS', 'PDYN', 'ALDH3B2', 'CYP2A13']"
9.0,146.0,14.0,3271.0,0.05806451612903226,0.391304347826087,0.10112359550561799,0.136946633715106,0.13333333333333333,0.15,0.13043478260869565,"['TP53', 'PPARG', 'YWHAH', 'MAP3K5', 'PRKCA', 'PRKCD', 'FAS', 'SRSF2', 'INSR']","['APP', 'EP300', 'UBE2I', 'HSP90AA1', 'FUS', 'CUL1', 'HSPD1', 'KPNB1', 'GOLGA2', 'GAPDH', 'VIM', 'CLTC', 'VHL', 'DNM2', 'PPP1CC', 'MYH9', 'RB1', 'AGR2', 'ATF2', 'LRRK2', 'PLK1', 'AP2B1', 'HNRNPD', 'GSN', 'H2AX', 'KRAS', 'TRIM27', 'ATXN3', 'SMAD2', 'SETDB1', 'FGFR3', 'TRIM63', 'TP53BP1', 'BECN1', 'CSNK1D', 'FLOT1', 'CCT5', 'EGLN3', 'HUWE1', 'ITGB1', 'SIAH1', 'IQCB1', 'CEP128', 'PSMB1', 'ALDOA', 'PSMD11', 'RPS3', 'PDHA1', 'PDGFRA', 'COPB1', 'RPN1', 'EEF1D', 'XRCC5', 'ADRB2', 'AP2M1', 'ARAF', 'KLF11', 'UNC93B1', 'STIP1', 'ACTG1', 'GOLT1B', 'POLR2A', 'VAPA', 'SENP3', 'FAF1', 'DNAJA1', 'ZDHHC17', 'ANXA1', 'EIF2S2', 'RPS4X', 'WDR61', 'CUL4B', 'MCM7', 'UBE2D2', 'YBX1', 'HNRNPF', 'DNM1L', 'RPA2', 'AXIN1', 'DAB2', 'CDK5', 'BARD1', 'G3BP1', 'OTUD7B', 'CDC20', 'RPL4', 'KPNA2', 'PSMD3', 'LNX2', 'ZNF24', 'ENG', 'TCTN3', 'LATS2', 'PLSCR1', 'MAPRE1', 'SYNPO', 'NCOR2', 'ACTN1', 'HCK', 'PPP1CB', 'TRAP1', 'CALR', 'IMMT', 'RIF1', 'FBXW11', 'BCAP31', 'KRT40', 'SRPK2', 'MYBBP1A', 'AGO2', 'PSMC2', 'RBPMS', 'KRTAP10-8', 'RPL23', 'PPIB', 'ATP6AP2', 'HNRNPUL1', 'MCM3', 'STAM2', 'GEM', 'PATZ1', 'TERF2', 'TCTN2', 'PPP5C', 'PRKAA2', 'CCDC120', 'H1-1', 'MTUS2', 'AP2A1', 'DDX6', 'SCLT1', 'RPS27A', 'HNRNPR', 'NFE2L2', 'HIPK2', 'ARNT', 'DNAJC7', 'MDM4', 'NCK2', 'CENPJ', 'CKAP4', 'NXF1', 'MLF2', 'HOXC4', 'SSB', 'RPS19']","['PRKCE', 'AGT', 'RAPGEF2', 'AOC3', 'ATP2A3', 'ACOX1', 'PCK1', 'KCTD16', 'CX3CL1', 'MFGE8', 'ADRB3', 'CHRM2', 'HSD11B1', 'SLC2A2']"
1.0,23.0,18.0,3398.0,0.041666666666666664,0.05263157894736842,0.04651162790697675,0.04087718018300647,0.06666666666666667,0.05,0.05263157894736842,['ESR1'],"['EGFR', 'MYC', 'ACTB', 'KAT5', 'HSCB', 'SNW1', 'UBQLN1', 'MAPK6', 'SPRED1', 'SQSTM1', 'GAPDH', 'HSPA1A', 'PIN1', 'JUN', 'PLK1', 'PCNA', 'MYH9', 'TEX101', 'KIF1B', 'DCTN1', 'TSC1', 'ESR2', 'CUL5']","['ATP5F1A', 'CALM1', 'TF', 'PPARG', 'INSR', 'SORL1', 'TPI1', 'AMFR', 'CST3', 'ABI3', 'PLAU', 'MAOB', 'CD33', 'ARC', 'SLC2A4', 'TREM2', 'HFE', 'CYP46A1']"
1.0,9.0,11.0,3419.0,0.1,0.08333333333333333,0.0909090909090909,0.08838529057279171,0.06666666666666667,0.05,0.08333333333333333,['TP53'],"['HTT', 'PRKN', 'HSPB1', 'CUL1', 'KAT5', 'HSP90AA1', 'LNX1', 'TP53BP1', 'PSMD2']","['SOD1', 'MATR3', 'TBK1', 'TAF15', 'VAPB', 'GSTP1', 'PON2', 'GLE1', 'CCNF', 'PTGS2', 'SLC6A1']"
2.0,153.0,35.0,3250.0,0.012903225806451613,0.05405405405405406,0.020833333333333332,0.0045220995014786,0.0,0.0,0.05405405405405406,"['TRAF6', 'KRT18']","['EGFR', 'MYC', 'PIK3R1', 'YWHAZ', 'BRCA1', 'SNW1', 'BAG6', 'CUL1', 'YWHAG', 'SNCA', 'CSNK2A1', 'HNRNPK', 'GSK3B', 'KAT5', 'PPP1CA', 'WFS1', 'NOTCH1', 'RACK1', 'HSP90B1', 'YWHAE', 'CDK1', 'HDAC6', 'TSC1', 'IKBKB', 'TP53BP2', 'HNRNPA1', 'PSMD2', 'A2M', 'PRKACA', 'RNF11', 'ILF3', 'ATP5F1A', 'TP53BP1', 'EPHA2', 'PSMA3', 'ZBTB16', 'CDKN2A', 'SNRNP70', 'MUC1', 'PPP2R1A', 'UBQLN4', 'DCTN1', 'HMGB1', 'RUVBL2', 'PDGFRA', 'EWSR1', 'TUBA1C', 'MDFI', 'QARS1', 'KANK2', 'RPS2', 'CUL4A', 'CDK9', 'FBXW7', 'YES1', 'KRT31', 'LYN', 'TANK', 'SPTAN1', 'BAG3', 'SKP2', 'PSMC3', 'FAM90A1', 'POLR2A', 'MTUS2', 'CEP170', 'BANP', 'ENG', 'KEAP1', 'EGLN3', 'BIRC2', 'ACTBL2', 'PIK3R2', 'RANBP9', 'ATM', 'WWP2', 'CTNND1', 'CALR', 'STIP1', 'PPP1CB', 'TAB1', 'TRIM21', 'COX15', 'DYNLL1', 'TP63', 'HDAC4', 'CSNK1D', 'APPL1', 'CEP128', 'CREB3', 'UCHL1', 'RNF111', 'TSNAX', 'GNB2', 'RBM39', 'ACTN1', 'SET', 'SRSF1', 'MAP3K7', 'UBE2N', 'TNFAIP1', 'HIP1', 'LRP1', 'RPS6', 'TTR', 'TTN', 'TOR1A', 'GEM', 'TCAP', 'MAP2K1', 'SPRY2', 'AGO2', 'SNRPD2', 'CHCHD3', 'RPLP0', 'DAB2', 'CDKN2C', 'SUMO2', 'CDC23', 'FGFR1', 'CDKN1B', 'SCRIB', 'KPNA1', 'MAP2K5', 'AIFM1', 'DAPK1', 'ENKD1', 'SOCS3', 'LAT', 'LUC7L2', 'FAF1', 'ATR', 'AQP1', 'LMO3', 'PLSCR1', 'RPL6', 'RPS27', 'TUFM', 'ABI1', 'KLHL20', 'LRPPRC', 'CLTA', 'FZR1', 'CDC27', 'HMGA1', 'KRTAP10-7', 'BCAS2', 'AIMP2', 'USP11', 'AHNAK', 'FAS', 'SPG21', 'CKAP5']","['PPP1R21', 'TXNIP', 'TXNDC5', 'IRF5', 'KIF5A', 'LCN2', 'TLR2', 'PRKCQ', 'PADI4', 'CCN2', 'ACKR3', 'BDKRB2', 'ANKRD55', 'VEGFA', 'CXCR4', 'CXCL2', 'NCF2', 'SLC25A12', 'PTPRC', 'CD83', 'CSF2', 'GPRC5A', 'BCL2A1', 'SMS', 'ABCC2', 'HOXD13', 'TNFAIP2', 'ADORA2A', 'STS', 'PXK', 'PLEK', 'IFNG', 'PON1', 'ABCC3', 'CCR6']"
2.0,118.0,15.0,3305.0,0.016666666666666666,0.11764705882352941,0.029197080291970802,0.031787603446391234,0.06666666666666667,0.05,0.058823529411764705,"['PPP2CA', 'TNF']","['YWHAZ', 'PIK3R1', 'BRCA1', 'WFS1', 'STAT3', 'ATXN1', 'ARRB2', 'AURKA', 'GAPDH', 'USP7', 'GSN', 'HNRNPD', 'NEK4', 'CREBBP', 'IQGAP1', 'HIF1A', 'SDCBP', 'CDK2', 'HNRNPK', 'ATP5F1A', 'PRKDC', 'CBL', 'EMD', 'LRRK2', 'NF2', 'SMN2', 'MAPK14', 'MAPK8', 'TERF1', 'TLE5', 'SHC1', 'KIF1B', 'METTL3', 'CCT6A', 'RPA2', 'EGLN3', 'TCEANC', 'IKBKB', 'FHL2', 'HNRNPC', 'LAMP2', 'RAN', 'CYSRT1', 'TAB2', 'AP2M1', 'RPL10A', 'KIFC3', 'COPS6', 'FOS', 'C1QBP', 'IQCB1', 'PABPC1', 'RIF1', 'ATM', 'PSEN1', 'PSMC5', 'DCUN1D1', 'AXIN1', 'DDB1', 'QARS1', 'TRAF1', 'KPNA2', 'LYN', 'MAP3K5', 'CUL4B', 'SKP1', 'EEF1D', 'WT1', 'STX5', 'AIMP2', 'MCM3', 'WDFY3', 'SUMO2', 'DDX6', 'LRRC59', 'NR3C1', 'POLR2E', 'BANP', 'PDZK1IP1', 'TMEM216', 'MAP1LC3B', 'UTP14A', 'GTF2B', 'CCT2', 'ANXA7', 'TRAP1', 'RPL31', 'PCM1', 'TRIP13', 'CHCHD3', 'KHDRBS1', 'XRCC3', 'TUFM', 'POT1', 'NONO', 'CCHCR1', 'NEDD4', 'DDX24', 'MVP', 'HDAC3', 'WTAP', 'ACTBL2', 'MCM10', 'HADHA', 'RANBP9', 'RPS3', 'NDUFV2', 'RPL28', 'SYK', 'MTA1', 'HIP1', 'PMP22', 'FANCD2', 'MME', 'KLK6', 'PSMC1', 'MCM5', 'SLC25A3']","['KIF3A', 'DNMT1', 'GSTP1', 'PYHIN1', 'CAT', 'ALDH2', 'CTNNA3', 'CXCL14', 'NQO1', 'MMP9', 'HLA-G', 'NOS2', 'NPY', 'IL5', 'SCGB3A2']"
